year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,2358000.0,4.657,2358000.0,4.657,2358000.0,4.657,2358000.0,4.657,2.1,3263584.0
1961,2399722.0,4.547,2399722.0,4.547,2399722.0,4.547,2399722.0,4.547,2.1,3263584.0
1962,2450322.0,4.411,2450322.0,4.411,2450322.0,4.411,2450322.0,4.411,2.1,3263584.0
1963,2504530.0,4.252,2504530.0,4.252,2504530.0,4.252,2504530.0,4.252,2.1,3263584.0
1964,2554066.0,4.075,2554066.0,4.075,2554066.0,4.075,2554066.0,4.075,2.1,3263584.0
1965,2594000.0,3.888,2594000.0,3.888,2594000.0,3.888,2594000.0,3.888,2.1,3263584.0
1966,2624995.0,3.703,2624995.0,3.703,2624995.0,3.703,2624995.0,3.703,2.1,3263584.0
1967,2645674.0,3.53,2645674.0,3.53,2645674.0,3.53,2645674.0,3.53,2.1,3263584.0
1968,2662064.0,3.377,2662064.0,3.377,2662064.0,3.377,2662064.0,3.377,2.1,3263584.0
1969,2684150.0,3.248,2684150.0,3.248,2684150.0,3.248,2684150.0,3.248,2.1,3263584.0
1970,2718000.0,3.146,2718000.0,3.146,2718000.0,3.146,2718000.0,3.146,2.1,3263584.0
1971,2762190.0,3.068,2762190.0,3.068,2762190.0,3.068,2762190.0,3.068,2.1,3263584.0
1972,2817256.0,3.006,2817256.0,3.006,2817256.0,3.006,2817256.0,3.006,2.1,3263584.0
1973,2878786.0,2.955,2878786.0,2.955,2878786.0,2.955,2878786.0,2.955,2.1,3263584.0
1974,2939299.0,2.908,2939299.0,2.908,2939299.0,2.908,2939299.0,2.908,2.1,3263584.0
1975,2994000.0,2.864,2994000.0,2.864,2994000.0,2.864,2994000.0,2.864,2.1,3263584.0
1976,3043854.0,2.818,3043854.0,2.818,3043854.0,2.818,3043854.0,2.818,2.1,3263584.0
1977,3088690.0,2.769,3088690.0,2.769,3088690.0,2.769,3088690.0,2.769,2.1,3263584.0
1978,3129421.0,2.718,3129421.0,2.718,3129421.0,2.718,3129421.0,2.718,2.1,3263584.0
1979,3168088.0,2.664,3168088.0,2.664,3168088.0,2.664,3168088.0,2.664,2.1,3263584.0
1980,3206000.0,2.607,3206000.0,2.607,3206000.0,2.607,3206000.0,2.607,2.1,3263584.0
1981,3242552.0,2.548,3242552.0,2.548,3242552.0,2.548,3242552.0,2.548,2.1,3263584.0
1982,3277453.0,2.49,3277453.0,2.49,3277453.0,2.49,3277453.0,2.49,2.1,3263584.0
1983,3311138.0,2.436,3311138.0,2.436,3311138.0,2.436,3311138.0,2.436,2.1,3263584.0
1984,3344190.0,2.387,3344190.0,2.387,3344190.0,2.387,3344190.0,2.387,2.1,3263584.0
1985,3377000.0,2.344,3377000.0,2.344,3377000.0,2.344,3377000.0,2.344,2.1,3263584.0
1986,3409554.0,2.308,3409554.0,2.308,3409554.0,2.308,3409554.0,2.308,2.1,3263584.0
