year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,11424189.0,4.579,11424189.0,4.579,11424189.0,4.579,11424189.0,4.579,2.1,25887045.0
1961,11665592.0,4.357,11665592.0,4.357,11665592.0,4.357,11665592.0,4.357,2.1,25887045.0
1962,11871726.0,4.173,11871726.0,4.173,11871726.0,4.173,11871726.0,4.173,2.1,25887045.0
1963,12065468.0,4.057,12065468.0,4.057,12065468.0,4.057,12065468.0,4.057,2.1,25887045.0
1964,12282417.0,4.022,12282417.0,4.022,12282417.0,4.022,12282417.0,4.022,2.1,25887045.0
1965,12547524.0,4.063,12547524.0,4.063,12547524.0,4.063,12547524.0,4.063,2.1,25887045.0
1966,12864947.0,4.157,12864947.0,4.157,12864947.0,4.157,12864947.0,4.157,2.1,25887045.0
1967,13222703.0,4.257,13222703.0,4.257,13222703.0,4.257,13222703.0,4.257,2.1,25887045.0
1968,13609976.0,4.327,13609976.0,4.327,13609976.0,4.327,13609976.0,4.327,2.1,25887045.0
1969,14010339.0,4.352,14010339.0,4.352,14010339.0,4.352,14010339.0,4.352,2.1,25887045.0
1970,14410391.0,4.315,14410391.0,4.315,14410391.0,4.315,14410391.0,4.315,2.1,25887045.0
1971,14809518.0,4.21,14809518.0,4.21,14809518.0,4.21,14809518.0,4.21,2.1,25887045.0
1972,15207765.0,4.05,15207765.0,4.05,15207765.0,4.05,15207765.0,4.05,2.1,25887045.0
1973,15593353.0,3.852,15593353.0,3.852,15593353.0,3.852,15593353.0,3.852,2.1,25887045.0
1974,15952077.0,3.63,15952077.0,3.63,15952077.0,3.63,15952077.0,3.63,2.1,25887045.0
1975,16274737.0,3.404,16274737.0,3.404,16274737.0,3.404,16274737.0,3.404,2.1,25887045.0
1976,16554744.0,3.197,16554744.0,3.197,16554744.0,3.197,16554744.0,3.197,2.1,25887045.0
1977,16796568.0,3.025,16796568.0,3.025,16796568.0,3.025,16796568.0,3.025,2.1,25887045.0
1978,17015984.0,2.897,17015984.0,2.897,17015984.0,2.897,17015984.0,2.897,2.1,25887045.0
1979,17235668.0,2.815,17235668.0,2.815,17235668.0,2.815,17235668.0,2.815,2.1,25887045.0
1980,17472144.0,2.773,17472144.0,2.773,17472144.0,2.773,17472144.0,2.773,2.1,25887045.0
1981,17731229.0,2.753,17731229.0,2.753,17731229.0,2.753,17731229.0,2.753,2.1,25887045.0
1982,18008568.0,2.734,18008568.0,2.734,18008568.0,2.734,18008568.0,2.734,2.1,25887045.0
1983,18298212.0,2.701,18298212.0,2.701,18298212.0,2.701,18298212.0,2.701,2.1,25887045.0
1984,18590142.0,2.65,18590142.0,2.65,18590142.0,2.65,18590142.0,2.65,2.1,25887045.0
1985,18877226.0,2.581,18877226.0,2.581,18877226.0,2.581,18877226.0,2.581,2.1,25887045.0
1986,19156791.0,2.503,19156791.0,2.503,19156791.0,2.503,19156791.0,2.503,2.1,25887045.0
1987,19431992.0,2.429,19431992.0,2.429,19431992.0,2.429,19431992.0,2.429,2.1,25887045.0
1988,19708316.0,2.369,19708316.0,2.369,19708316.0,2.369,19708316.0,2.369,2.1,25887045.0
1989,19993757.0,2.323,19993757.0,2.323,19993757.0,2.323,19993757.0,2.323,2.1,25887045.0
1990,20293057.0,2.289,20293057.0,2.289,20293057.0,2.289,20293057.0,2.289,2.1,25887045.0
1991,20609151.0,2.262,20609151.0,2.262,20609151.0,2.262,20609151.0,2.262,2.1,25887045.0
1992,20937407.0,2.235,20937407.0,2.235,20937407.0,2.235,20937407.0,2.235,2.1,25887045.0
1993,21265832.0,2.202,21265832.0,2.202,21265832.0,2.202,21265832.0,2.202,2.1,25887045.0
1994,21577979.0,2.164,21577979.0,2.164,21577979.0,2.164,21577979.0,2.164,2.1,25887045.0
1995,21862300.0,2.122,21862300.0,2.122,21862300.0,2.122,21862300.0,2.122,2.1,25887045.0
1996,22113428.0,2.08,22113428.0,2.08,22113428.0,2.08,22113428.0,2.08,2.1,25887045.0
1997,22335263.0,2.044,22335263.0,2.044,22335263.0,2.044,22335263.0,2.044,2.1,25887045.0
1998,22536754.0,2.017,22536754.0,2.017,22536754.0,2.017,22536754.0,2.017,2.1,25887045.0
1999,22731470.0,1.999,22731470.0,1.999,22731470.0,1.999,22731470.0,1.999,2.1,25887045.0
2000,22929078.0,1.991,22929078.0,1.991,22929078.0,1.991,22929078.0,1.991,2.1,25887045.0
2001,23132982.0,1.988,23132982.0,1.988,23132982.0,1.988,23132982.0,1.988,2.1,25887045.0
2002,23339453.0,1.988,23339453.0,1.988,23339453.0,1.988,23339453.0,1.988,2.1,25887045.0
2003,23542434.0,1.986,23542434.0,1.986,23542434.0,1.986,23542434.0,1.986,2.1,25887045.0
2004,23732740.0,1.982,23732740.0,1.982,23732740.0,1.982,23732740.0,1.982,2.1,25887045.0
2005,23904167.0,1.975,23904167.0,1.975,23904167.0,1.975,23904167.0,1.975,2.1,25887045.0
2006,24054866.0,1.966,24054866.0,1.966,24054866.0,1.966,24054866.0,1.966,2.1,25887045.0
2007,24188330.0,1.957,24188330.0,1.957,24188330.0,1.957,24188330.0,1.957,2.1,25887045.0
2008,24310143.0,1.949,24310143.0,1.949,24310143.0,1.949,24310143.0,1.949,2.1,25887045.0
2009,24428340.0,1.943,24428340.0,1.943,24428340.0,1.943,24428340.0,1.943,2.1,25887045.0
2010,24548840.0,1.938,24548840.0,1.938,24548840.0,1.938,24548840.0,1.938,2.1,25887045.0
2011,24673392.0,1.934,24673392.0,1.934,24673392.0,1.934,24673392.0,1.934,2.1,25887045.0
2012,24800638.0,1.931,24800638.0,1.931,24800638.0,1.931,24800638.0,1.931,2.1,25887045.0
2013,24929500.0,1.929,24929500.0,1.929,24929500.0,1.929,24929500.0,1.929,2.1,25887045.0
2014,25057793.0,1.926,25057793.0,1.926,25057793.0,1.926,25057793.0,1.926,2.1,25887045.0
2015,25183832.0,1.922,25183832.0,1.922,25183832.0,1.922,25183832.0,1.922,2.1,25887045.0
2016,25307665.0,1.917,25307665.0,1.917,25307665.0,1.917,25307665.0,1.917,2.1,25887045.0
2017,25429816.0,1.911,25429816.0,1.911,25429816.0,1.911,25429816.0,1.911,2.1,25887045.0
