year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,8857716.0,3.16,8857716.0,3.16,8857716.0,3.16,8857716,3.16,2.1,10299423.0
1961,8929316.0,3.21,8929316.0,3.21,8929316.0,3.21,8929316,3.21,2.1,10299423.0
1962,8993985.0,3.23,8993985.0,3.23,8993985.0,3.23,8993985,3.23,2.1,10299423.0
1963,9030355.0,3.12,9030355.0,3.12,9030355.0,3.12,9030355,3.12,2.1,10299423.0
1964,9035365.0,3.21,9035365.0,3.21,9035365.0,3.21,9035365,3.21,2.1,10299423.0
1965,8998595.0,3.15,8998595.0,3.15,8998595.0,3.15,8998595,3.15,2.1,10299423.0
1966,8930990.0,3.16,8930990.0,3.16,8930990.0,3.16,8930990,3.16,2.1,10299423.0
1967,8874520.0,3.16,8874520.0,3.16,8874520.0,3.16,8874520,3.16,2.1,10299423.0
1968,8836650.0,3.12,8836650.0,3.12,8836650.0,3.12,8836650,3.12,2.1,10299423.0
1969,8757705.0,3.12,8757705.0,3.12,8757705.0,3.12,8757705,3.12,2.1,10299423.0
1970,8680431.0,3.01,8680431.0,3.01,8680431.0,3.01,8680431,3.01,2.1,10299423.0
1971,8643756.0,3.0,8643756.0,3.0,8643756.0,3.0,8643756,3.0,2.1,10299423.0
1972,8630430.0,2.86,8630430.0,2.86,8630430.0,2.86,8630430,2.86,2.1,10299423.0
1973,8633100.0,2.77,8633100.0,2.77,8633100.0,2.77,8633100,2.77,2.1,10299423.0
1974,8754365.0,2.7,8754365.0,2.7,8754365.0,2.7,8754365,2.7,2.1,10299423.0
1975,9093470.0,2.75,9093470.0,2.75,9093470.0,2.75,9093470,2.75,2.1,10299423.0
1976,9355810.0,2.82,9355810.0,2.82,9355810.0,2.82,9355810,2.82,2.1,10299423.0
1977,9455675.0,2.69,9455675.0,2.69,9455675.0,2.69,9455675,2.69,2.1,10299423.0
1978,9558250.0,2.45,9558250.0,2.45,9558250.0,2.45,9558250,2.45,2.1,10299423.0
1979,9661265.0,2.31,9661265.0,2.31,9661265.0,2.31,9661265,2.31,2.1,10299423.0
1980,9766312.0,2.25,9766312.0,2.25,9766312.0,2.25,9766312,2.25,2.1,10299423.0
1981,9851362.0,2.13,9851362.0,2.13,9851362.0,2.13,9851362,2.13,2.1,10299423.0
1982,9911771.0,2.07,9911771.0,2.07,9911771.0,2.07,9911771,2.07,2.1,10299423.0
1983,9957865.0,1.95,9957865.0,1.95,9957865.0,1.95,9957865,1.95,2.1,10299423.0
1984,9996232.0,1.9,9996232.0,1.9,9996232.0,1.9,9996232,1.9,2.1,10299423.0
1985,10023613.0,1.72,10023613.0,1.72,10023613.0,1.72,10023613,1.72,2.1,10299423.0
1986,10032734.0,1.66,10032734.0,1.66,10032734.0,1.66,10032734,1.66,2.1,10299423.0
1987,10030031.0,1.62,10030031.0,1.62,10030031.0,1.62,10030031,1.62,2.1,10299423.0
1988,10019610.0,1.61,10019610.0,1.61,10019610.0,1.61,10019610,1.61,2.1,10299423.0
1989,10005000.0,1.57,10005000.0,1.57,10005000.0,1.57,10005000,1.57,2.1,10299423.0
1990,9983218.0,1.56,9983218.0,1.56,9983218.0,1.56,9983218,1.56,2.1,10299423.0
1991,9960235.0,1.56,9960235.0,1.56,9960235.0,1.56,9960235,1.56,2.1,10299423.0
