year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,1903990.0,6.5,1903990.0,6.5,1903990.0,6.5,1903990.0,6.5,2.1,7219641.0
1961,1954552.0,6.489,1954552.0,6.489,1954552.0,6.489,1954552.0,6.489,2.1,7219641.0
1962,2006675.0,6.472,2006675.0,6.472,2006675.0,6.472,2006675.0,6.472,2.1,7219641.0
1963,2060340.0,6.447,2060340.0,6.447,2060340.0,6.447,2060340.0,6.447,2.1,7219641.0
1964,2115573.0,6.41,2115573.0,6.41,2115573.0,6.41,2115573.0,6.41,2.1,7219641.0
1965,2172309.0,6.356,2172309.0,6.356,2172309.0,6.356,2172309.0,6.356,2.1,7219641.0
1966,2230733.0,6.276,2230733.0,6.276,2230733.0,6.276,2230733.0,6.276,2.1,7219641.0
1967,2290797.0,6.17,2290797.0,6.17,2290797.0,6.17,2290797.0,6.17,2.1,7219641.0
1968,2351926.0,6.041,2351926.0,6.041,2351926.0,6.041,2351926.0,6.041,2.1,7219641.0
1969,2413396.0,5.894,2413396.0,5.894,2413396.0,5.894,2413396.0,5.894,2.1,7219641.0
1970,2474757.0,5.739,2474757.0,5.739,2474757.0,5.739,2474757.0,5.739,2.1,7219641.0
1971,2535877.0,5.591,2535877.0,5.591,2535877.0,5.591,2535877.0,5.591,2.1,7219641.0
1972,2597149.0,5.458,2597149.0,5.458,2597149.0,5.458,2597149.0,5.458,2.1,7219641.0
1973,2659418.0,5.351,2659418.0,5.351,2659418.0,5.351,2659418.0,5.351,2.1,7219641.0
1974,2723816.0,5.272,2723816.0,5.272,2723816.0,5.272,2723816.0,5.272,2.1,7219641.0
1975,2791236.0,5.223,2791236.0,5.223,2791236.0,5.223,2791236.0,5.223,2.1,7219641.0
1976,2861868.0,5.198,2861868.0,5.198,2861868.0,5.198,2861868.0,5.198,2.1,7219641.0
1977,2935710.0,5.189,2935710.0,5.189,2935710.0,5.189,2935710.0,5.189,2.1,7219641.0
1978,3013281.0,5.186,3013281.0,5.186,3013281.0,5.186,3013281.0,5.186,2.1,7219641.0
1979,3095151.0,5.183,3095151.0,5.183,3095151.0,5.183,3095151.0,5.183,2.1,7219641.0
1980,3181627.0,5.174,3181627.0,5.174,3181627.0,5.174,3181627.0,5.174,2.1,7219641.0
1981,3272922.0,5.155,3272922.0,5.155,3272922.0,5.155,3272922.0,5.155,2.1,7219641.0
1982,3368763.0,5.126,3368763.0,5.126,3368763.0,5.126,3368763.0,5.126,2.1,7219641.0
1983,3468533.0,5.087,3468533.0,5.087,3468533.0,5.087,3468533.0,5.087,2.1,7219641.0
1984,3571275.0,5.037,3571275.0,5.037,3571275.0,5.037,3571275.0,5.037,2.1,7219641.0
1985,3676206.0,4.974,3676206.0,4.974,3676206.0,4.974,3676206.0,4.974,2.1,7219641.0
1986,3783074.0,4.9,3783074.0,4.9,3783074.0,4.9,3783074.0,4.9,2.1,7219641.0
1987,3891725.0,4.818,3891725.0,4.818,3891725.0,4.818,3891725.0,4.818,2.1,7219641.0
1988,4001678.0,4.73,4001678.0,4.73,4001678.0,4.73,4001678.0,4.73,2.1,7219641.0
1989,4112396.0,4.639,4112396.0,4.639,4112396.0,4.639,4112396.0,4.639,2.1,7219641.0
1990,4223413.0,4.547,4223413.0,4.547,4223413.0,4.547,4223413.0,4.547,2.1,7219641.0
1991,4334348.0,4.457,4334348.0,4.457,4334348.0,4.457,4334348.0,4.457,2.1,7219641.0
1992,4445019.0,4.368,4445019.0,4.368,4445019.0,4.368,4445019.0,4.368,2.1,7219641.0
1993,4555518.0,4.282,4555518.0,4.282,4555518.0,4.282,4555518.0,4.282,2.1,7219641.0
1994,4666096.0,4.196,4666096.0,4.196,4666096.0,4.196,4666096.0,4.196,2.1,7219641.0
1995,4776838.0,4.108,4776838.0,4.108,4776838.0,4.108,4776838.0,4.108,2.1,7219641.0
1996,4887638.0,4.014,4887638.0,4.014,4887638.0,4.014,4887638.0,4.014,2.1,7219641.0
1997,4998096.0,3.911,4998096.0,3.911,4998096.0,3.911,4998096.0,3.911,2.1,7219641.0
1998,5107840.0,3.798,5107840.0,3.798,5107840.0,3.798,5107840.0,3.798,2.1,7219641.0
1999,5216346.0,3.678,5216346.0,3.678,5216346.0,3.678,5216346.0,3.678,2.1,7219641.0
2000,5323202.0,3.553,5323202.0,3.553,5323202.0,3.553,5323202.0,3.553,2.1,7219641.0
2001,5428442.0,3.431,5428442.0,3.431,5428442.0,3.431,5428442.0,3.431,2.1,7219641.0
2002,5531958.0,3.315,5531958.0,3.315,5531958.0,3.315,5531958.0,3.315,2.1,7219641.0
2003,5632983.0,3.21,5632983.0,3.21,5632983.0,3.21,5632983.0,3.21,2.1,7219641.0
2004,5730556.0,3.119,5730556.0,3.119,5730556.0,3.119,5730556.0,3.119,2.1,7219641.0
2005,5824095.0,3.04,5824095.0,3.04,5824095.0,3.04,5824095.0,3.04,2.1,7219641.0
2006,5913212.0,2.97,5913212.0,2.97,5913212.0,2.97,5913212.0,2.97,2.1,7219641.0
2007,5998430.0,2.907,5998430.0,2.907,5998430.0,2.907,5998430.0,2.907,2.1,7219641.0
2008,6081296.0,2.846,6081296.0,2.846,6081296.0,2.846,6081296.0,2.846,2.1,7219641.0
2009,6163970.0,2.787,6163970.0,2.787,6163970.0,2.787,6163970.0,2.787,2.1,7219641.0
2010,6248017.0,2.73,6248017.0,2.73,6248017.0,2.73,6248017.0,2.73,2.1,7219641.0
2011,6333981.0,2.675,6333981.0,2.675,6333981.0,2.675,6333981.0,2.675,2.1,7219641.0
2012,6421510.0,2.625,6421510.0,2.625,6421510.0,2.625,6421510.0,2.625,2.1,7219641.0
2013,6510273.0,2.581,6510273.0,2.581,6510273.0,2.581,6510273.0,2.581,2.1,7219641.0
2014,6599524.0,2.542,6599524.0,2.542,6599524.0,2.542,6599524.0,2.542,2.1,7219641.0
2015,6688746.0,2.508,6688746.0,2.508,6688746.0,2.508,6688746.0,2.508,2.1,7219641.0
2016,6777878.0,2.479,6777878.0,2.479,6777878.0,2.479,6777878.0,2.479,2.1,7219641.0
2017,6867058.0,2.453,6867058.0,2.453,6867058.0,2.453,6867058.0,2.453,2.1,7219641.0
2018,6956069.0,2.429,6956069.0,2.429,6956069.0,2.429,6956069.0,2.429,2.1,7219641.0
2019,7044639.0,2.405,7044639.0,2.405,7044639.0,2.405,7044639.0,2.405,2.1,7219641.0
2020,7132530.0,2.383,7132530.0,2.383,7132530.0,2.383,7132530.0,2.383,2.1,7219641.0
2021,7219641.0,2.383,7219641.0,2.383,7219641.0,2.383,7219641.0,2.383,2.1,7219641.0
2022,7230871.443,2.343,7230884.664,2.343,7230239.07,2.329,7232724.494,2.383,2.1,7219641.0
2023,7240280.004,2.304,7240319.222,2.304,7238407.788,2.277,7245807.989,2.383,2.1,7219641.0
2024,7247897.327,2.265,7247974.887,2.266,7244201.96,2.225,7258891.483,2.383,2.1,7219641.0
2025,7253753.539,2.227,7253881.366,2.228,7247675.155,2.175,7271974.977,2.383,2.1,7219641.0
2026,7257878.263,2.189,7258067.871,2.191,7248879.734,2.126,7285058.471,2.383,2.1,7219641.0
