year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,,,,,,,,,2.1,4922749.0
1961,,,,,,,,,2.1,4922749.0
1962,,,,,,,,,2.1,4922749.0
1963,,,,,,,,,2.1,4922749.0
1964,,,,,,,,,2.1,4922749.0
1965,,,,,,,,,2.1,4922749.0
1966,,,,,,,,,2.1,4922749.0
1967,,,,,,,,,2.1,4922749.0
1968,,,,,,,,,2.1,4922749.0
1969,,,,,,,,,2.1,4922749.0
1970,,,,,,,,,2.1,4922749.0
1971,,,,,,,,,2.1,4922749.0
1972,,,,,,,,,2.1,4922749.0
1973,,,,,,,,,2.1,4922749.0
1974,,,,,,,,,2.1,4922749.0
1975,,,,,,,,,2.1,4922749.0
1976,,,,,,,,,2.1,4922749.0
1977,,,,,,,,,2.1,4922749.0
1978,,,,,,,,,2.1,4922749.0
1979,,,,,,,,,2.1,4922749.0
1980,,,,,,,,,2.1,4922749.0
1981,,,,,,,,,2.1,4922749.0
1982,,,,,,,,,2.1,4922749.0
1983,,,,,,,,,2.1,4922749.0
1984,,,,,,,,,2.1,4922749.0
1985,,,,,,,,,2.1,4922749.0
1986,,,,,,,,,2.1,4922749.0
1987,,,,,,,,,2.1,4922749.0
1988,,,,,,,,,2.1,4922749.0
1989,,,,,,,,,2.1,4922749.0
1990,1978248.0,6.718,1978248.0,6.718,1978248.0,6.718,1978248.0,6.718,2.1,4922749.0
1991,2068845.0,6.674,2068845.0,6.674,2068845.0,6.674,2068845.0,6.674,2.1,4922749.0
1992,2163591.0,6.607,2163591.0,6.607,2163591.0,6.607,2163591.0,6.607,2.1,4922749.0
1993,2262676.0,6.515,2262676.0,6.515,2262676.0,6.515,2262676.0,6.515,2.1,4922749.0
1994,2366298.0,6.396,2366298.0,6.396,2366298.0,6.396,2366298.0,6.396,2.1,4922749.0
1995,2474666.0,6.251,2474666.0,6.251,2474666.0,6.251,2474666.0,6.251,2.1,4922749.0
1996,2587997.0,6.085,2587997.0,6.085,2587997.0,6.085,2587997.0,6.085,2.1,4922749.0
1997,2706518.0,5.907,2706518.0,5.907,2706518.0,5.907,2706518.0,5.907,2.1,4922749.0
1998,2776568.0,5.727,2776568.0,5.727,2776568.0,5.727,2776568.0,5.727,2.1,4922749.0
1999,2848431.0,5.55,2848431.0,5.55,2848431.0,5.55,2848431.0,5.55,2.1,4922749.0
2000,2922153.0,5.383,2922153.0,5.383,2922153.0,5.383,2922153.0,5.383,2.1,4922749.0
2001,2997784.0,5.231,2997784.0,5.231,2997784.0,5.231,2997784.0,5.231,2.1,4922749.0
2002,3075373.0,5.094,3075373.0,5.094,3075373.0,5.094,3075373.0,5.094,2.1,4922749.0
2003,3154969.0,4.973,3154969.0,4.973,3154969.0,4.973,3154969.0,4.973,2.1,4922749.0
2004,3236626.0,4.867,3236626.0,4.867,3236626.0,4.867,3236626.0,4.867,2.1,4922749.0
2005,3320396.0,4.776,3320396.0,4.776,3320396.0,4.776,3320396.0,4.776,2.1,4922749.0
2006,3406334.0,4.699,3406334.0,4.699,3406334.0,4.699,3406334.0,4.699,2.1,4922749.0
2007,3494496.0,4.631,3494496.0,4.631,3494496.0,4.631,3494496.0,4.631,2.1,4922749.0
2008,3591977.0,4.567,3591977.0,4.567,3591977.0,4.567,3591977.0,4.567,2.1,4922749.0
2009,3689099.0,4.504,3689099.0,4.504,3689099.0,4.504,3689099.0,4.504,2.1,4922749.0
2010,3786161.0,4.437,3786161.0,4.437,3786161.0,4.437,3786161.0,4.437,2.1,4922749.0
2011,3882986.0,4.36,3882986.0,4.36,3882986.0,4.36,3882986.0,4.36,2.1,4922749.0
2012,3979998.0,4.272,3979998.0,4.272,3979998.0,4.272,3979998.0,4.272,2.1,4922749.0
2013,4076708.0,4.174,4076708.0,4.174,4076708.0,4.174,4076708.0,4.174,2.1,4922749.0
2014,4173398.0,4.067,4173398.0,4.067,4173398.0,4.067,4173398.0,4.067,2.1,4922749.0
2015,4270092.0,3.955,4270092.0,3.955,4270092.0,3.955,4270092.0,3.955,2.1,4922749.0
2016,4367088.0,3.844,4367088.0,3.844,4367088.0,3.844,4367088.0,3.844,2.1,4922749.0
