year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,865064.0,6.767421503,865064.0,6.767421503,865064.0,6.767421503,865064.0,6.767421503,2.1,2566494.0
1961,893394.0,6.672575349,893394.0,6.672575349,893394.0,6.672575349,893394.0,6.672575349,2.1,2566494.0
1962,923320.0,6.562855727,923320.0,6.562855727,923320.0,6.562855727,923320.0,6.562855727,2.1,2566494.0
1963,954098.0,6.442189434,954098.0,6.442189434,954098.0,6.442189434,954098.0,6.442189434,2.1,2566494.0
1964,984824.0,6.315572712,984824.0,6.315572712,984824.0,6.315572712,984824.0,6.315572712,2.1,2566494.0
1965,1014633.0,6.187564466,1014633.0,6.187564466,1014633.0,6.187564466,1014633.0,6.187564466,2.1,2566494.0
1966,1043365.0,6.059267063,1043365.0,6.059267063,1043365.0,6.059267063,1043365.0,6.059267063,2.1,2566494.0
1967,1071166.0,5.933756688,1071166.0,5.933756688,1071166.0,5.933756688,1071166.0,5.933756688,2.1,2566494.0
1968,1098151.0,5.813080918,1098151.0,5.813080918,1098151.0,5.813080918,1098151.0,5.813080918,2.1,2566494.0
1969,1124577.0,5.698500666,1124577.0,5.698500666,1124577.0,5.698500666,1124577.0,5.698500666,2.1,2566494.0
1970,1150712.0,5.591889293,1150712.0,5.591889293,1150712.0,5.591889293,1150712.0,5.591889293,2.1,2566494.0
1971,1176559.0,5.495367551,1176559.0,5.495367551,1176559.0,5.495367551,1176559.0,5.495367551,2.1,2566494.0
1972,1202128.0,5.407488827,1202128.0,5.407488827,1202128.0,5.407488827,1202128.0,5.407488827,2.1,2566494.0
1973,1227653.0,5.328861391,1227653.0,5.328861391,1227653.0,5.328861391,1227653.0,5.328861391,2.1,2566494.0
1974,1253371.0,5.261375008,1253371.0,5.261375008,1253371.0,5.261375008,1253371.0,5.261375008,2.1,2566494.0
1975,1279519.0,5.203449368,1279519.0,5.203449368,1279519.0,5.203449368,1279519.0,5.203449368,2.1,2566494.0
1976,1306023.0,5.163050534,1306023.0,5.163050534,1306023.0,5.163050534,1306023.0,5.163050534,2.1,2566494.0
1977,1332876.0,5.126548805,1332876.0,5.126548805,1332876.0,5.126548805,1332876.0,5.126548805,2.1,2566494.0
