year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,755229793.0,2.899588799,755229793.0,2.899588799,755229793.0,2.899588799,755229793.0,2.899588799,2.1,1116655196.0
1961,764423461.0,2.908150268,764423461.0,2.908150268,764423461.0,2.908150268,764423461.0,2.908150268,2.1,1116655196.0
1962,773856028.0,2.864454549,773856028.0,2.864454549,773856028.0,2.864454549,773856028.0,2.864454549,2.1,1116655196.0
1963,783141819.0,2.838881475,783141819.0,2.838881475,783141819.0,2.838881475,783141819.0,2.838881475,2.1,1116655196.0
1964,792263980.0,2.81663249,792263980.0,2.81663249,792263980.0,2.81663249,792263980.0,2.81663249,2.1,1116655196.0
1965,801098720.0,2.722517935,801098720.0,2.722517935,801098720.0,2.722517935,801098720.0,2.722517935,2.1,1116655196.0
1966,809363152.0,2.568870719,809363152.0,2.568870719,809363152.0,2.568870719,809363152.0,2.568870719,2.1,1116655196.0
1967,817179925.0,2.555350961,817179925.0,2.555350961,817179925.0,2.555350961,817179925.0,2.555350961,2.1,1116655196.0
1968,824733296.0,2.507759588,824733296.0,2.507759588,824733296.0,2.507759588,824733296.0,2.507759588,2.1,1116655196.0
1969,832280859.0,2.470328468,832280859.0,2.470328468,832280859.0,2.470328468,832280859.0,2.470328468,2.1,1116655196.0
1970,839822017.0,2.4390669,839822017.0,2.4390669,839822017.0,2.4390669,839822017.0,2.4390669,2.1,1116655196.0
1971,849163924.0,2.374800737,849163924.0,2.374800737,849163924.0,2.374800737,849163924.0,2.374800737,2.1,1116655196.0
1972,857079422.0,2.233440387,857079422.0,2.233440387,857079422.0,2.233440387,857079422.0,2.233440387,2.1,1116655196.0
1973,864609745.0,2.145663643,864609745.0,2.145663643,864609745.0,2.145663643,864609745.0,2.145663643,2.1,1116655196.0
1974,871928836.0,2.091899779,871928836.0,2.091899779,871928836.0,2.091899779,871928836.0,2.091899779,2.1,1116655196.0
1975,878890622.0,2.000033016,878890622.0,2.000033016,878890622.0,2.000033016,878890622.0,2.000033016,2.1,1116655196.0
1976,885145869.0,1.936013977,885145869.0,1.936013977,885145869.0,1.936013977,885145869.0,1.936013977,2.1,1116655196.0
1977,891251760.0,1.903489441,891251760.0,1.903489441,891251760.0,1.903489441,891251760.0,1.903489441,2.1,1116655196.0
1978,897391855.0,1.860066543,897391855.0,1.860066543,897391855.0,1.860066543,897391855.0,1.860066543,2.1,1116655196.0
1979,903788370.0,1.865955343,903788370.0,1.865955343,903788370.0,1.865955343,903788370.0,1.865955343,2.1,1116655196.0
1980,909890607.0,1.85509071,909890607.0,1.85509071,909890607.0,1.85509071,909890607.0,1.85509071,2.1,1116655196.0
1981,915971623.0,1.810693318,915971623.0,1.810693318,915971623.0,1.810693318,915971623.0,1.810693318,2.1,1116655196.0
1982,921511883.0,1.800648186,921511883.0,1.800648186,921511883.0,1.800648186,921511883.0,1.800648186,2.1,1116655196.0
1983,926614804.0,1.765726669,926614804.0,1.765726669,926614804.0,1.765726669,926614804.0,1.765726669,2.1,1116655196.0
1984,931410415.0,1.740728953,931410415.0,1.740728953,931410415.0,1.740728953,931410415.0,1.740728953,2.1,1116655196.0
1985,936241263.0,1.739154989,936241263.0,1.739154989,936241263.0,1.739154989,936241263.0,1.739154989,2.1,1116655196.0
1986,941376248.0,1.723982779,941376248.0,1.723982779,941376248.0,1.723982779,941376248.0,1.723982779,2.1,1116655196.0
