year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,78080.0,5.658,78080.0,5.658,78080.0,5.658,78080.0,5.658,2.1,282534.0
1961,80705.0,5.577,80705.0,5.577,80705.0,5.577,80705.0,5.577,2.1,282534.0
1962,83652.0,5.5,83652.0,5.5,83652.0,5.5,83652.0,5.5,2.1,282534.0
1963,86847.0,5.43,86847.0,5.43,86847.0,5.43,86847.0,5.43,2.1,282534.0
1964,90132.0,5.368,90132.0,5.368,90132.0,5.368,90132.0,5.368,2.1,282534.0
1965,93442.0,5.314,93442.0,5.314,93442.0,5.314,93442.0,5.314,2.1,282534.0
1966,96719.0,5.267,96719.0,5.267,96719.0,5.267,96719.0,5.267,2.1,282534.0
1967,99990.0,5.222,99990.0,5.222,99990.0,5.222,99990.0,5.222,2.1,282534.0
1968,103329.0,5.174,103329.0,5.174,103329.0,5.174,103329.0,5.174,2.1,282534.0
1969,106814.0,5.12,106814.0,5.12,106814.0,5.12,106814.0,5.12,2.1,282534.0
1970,110490.0,5.057,110490.0,5.057,110490.0,5.057,110490.0,5.057,2.1,282534.0
1971,114385.0,4.98,114385.0,4.98,114385.0,4.98,114385.0,4.98,2.1,282534.0
1972,118438.0,4.889,118438.0,4.889,118438.0,4.889,118438.0,4.889,2.1,282534.0
1973,122641.0,4.785,122641.0,4.785,122641.0,4.785,122641.0,4.785,2.1,282534.0
1974,126919.0,4.67,126919.0,4.67,126919.0,4.67,126919.0,4.67,2.1,282534.0
1975,131229.0,4.548,131229.0,4.548,131229.0,4.548,131229.0,4.548,2.1,282534.0
1976,135559.0,4.423,135559.0,4.423,135559.0,4.423,135559.0,4.423,2.1,282534.0
1977,139893.0,4.301,139893.0,4.301,139893.0,4.301,139893.0,4.301,2.1,282534.0
1978,144273.0,4.185,144273.0,4.185,144273.0,4.185,144273.0,4.185,2.1,282534.0
1979,148734.0,4.08,148734.0,4.08,148734.0,4.08,148734.0,4.08,2.1,282534.0
1980,153298.0,3.989,153298.0,3.989,153298.0,3.989,153298.0,3.989,2.1,282534.0
1981,157954.0,3.916,157954.0,3.916,157954.0,3.916,157954.0,3.916,2.1,282534.0
1982,162679.0,3.858,162679.0,3.858,162679.0,3.858,162679.0,3.858,2.1,282534.0
1983,167456.0,3.812,167456.0,3.812,167456.0,3.812,167456.0,3.812,2.1,282534.0
1984,172249.0,3.774,172249.0,3.774,172249.0,3.774,172249.0,3.774,2.1,282534.0
1985,177024.0,3.738,177024.0,3.738,177024.0,3.738,177024.0,3.738,2.1,282534.0
1986,181807.0,3.697,181807.0,3.697,181807.0,3.697,181807.0,3.697,2.1,282534.0
1987,186588.0,3.645,186588.0,3.645,186588.0,3.645,186588.0,3.645,2.1,282534.0
1988,191260.0,3.579,191260.0,3.579,191260.0,3.579,191260.0,3.579,2.1,282534.0
1989,195728.0,3.498,195728.0,3.498,195728.0,3.498,195728.0,3.498,2.1,282534.0
1990,199906.0,3.401,199906.0,3.401,199906.0,3.401,199906.0,3.401,2.1,282534.0
1991,203716.0,3.291,203716.0,3.291,203716.0,3.291,203716.0,3.291,2.1,282534.0
1992,207238.0,3.175,207238.0,3.175,207238.0,3.175,207238.0,3.175,2.1,282534.0
1993,210644.0,3.059,210644.0,3.059,210644.0,3.059,210644.0,3.059,2.1,282534.0
1994,214196.0,2.946,214196.0,2.946,214196.0,2.946,214196.0,2.946,2.1,282534.0
1995,218064.0,2.841,218064.0,2.841,218064.0,2.841,218064.0,2.841,2.1,282534.0
1996,222323.0,2.745,222323.0,2.745,222323.0,2.745,222323.0,2.745,2.1,282534.0
1997,226854.0,2.66,226854.0,2.66,226854.0,2.66,226854.0,2.66,2.1,282534.0
1998,231562.0,2.585,231562.0,2.585,231562.0,2.585,231562.0,2.585,2.1,282534.0
