year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,47383.0,6.971,47383.0,6.971,47383.0,6.971,47383.0,6.971,2.1,2930524.0
1961,51427.0,6.973,51427.0,6.973,51427.0,6.973,51427.0,6.973,2.1,2930524.0
1962,56266.0,6.977,56266.0,6.977,56266.0,6.977,56266.0,6.977,2.1,2930524.0
1963,61721.0,6.982,61721.0,6.982,61721.0,6.982,61721.0,6.982,2.1,2930524.0
1964,67562.0,6.986,67562.0,6.986,67562.0,6.986,67562.0,6.986,2.1,2930524.0
1965,73631.0,6.988,73631.0,6.988,73631.0,6.988,73631.0,6.988,2.1,2930524.0
1966,79850.0,6.988,79850.0,6.988,79850.0,6.988,79850.0,6.988,2.1,2930524.0
1967,86298.0,6.983,86298.0,6.983,86298.0,6.983,86298.0,6.983,2.1,2930524.0
1968,93206.0,6.97,93206.0,6.97,93206.0,6.97,93206.0,6.97,2.1,2930524.0
1969,100880.0,6.947,100880.0,6.947,100880.0,6.947,100880.0,6.947,2.1,2930524.0
1970,109521.0,6.91,109521.0,6.91,109521.0,6.91,109521.0,6.91,2.1,2930524.0
1971,119413.0,6.855,119413.0,6.855,119413.0,6.855,119413.0,6.855,2.1,2930524.0
1972,130505.0,6.781,130505.0,6.781,130505.0,6.781,130505.0,6.781,2.1,2930524.0
1973,142181.0,6.69,142181.0,6.69,142181.0,6.69,142181.0,6.69,2.1,2930524.0
1974,153624.0,6.581,153624.0,6.581,153624.0,6.581,153624.0,6.581,2.1,2930524.0
1975,164314.0,6.46,164314.0,6.46,164314.0,6.46,164314.0,6.46,2.1,2930524.0
1976,173716.0,6.332,173716.0,6.332,173716.0,6.332,173716.0,6.332,2.1,2930524.0
1977,182319.0,6.201,182319.0,6.201,182319.0,6.201,182319.0,6.201,2.1,2930524.0
1978,191947.0,6.07,191947.0,6.07,191947.0,6.07,191947.0,6.07,2.1,2930524.0
1979,205172.0,5.94,205172.0,5.94,205172.0,5.94,205172.0,5.94,2.1,2930524.0
1980,223622.0,5.806,223622.0,5.806,223622.0,5.806,223622.0,5.806,2.1,2930524.0
1981,247984.0,5.661,247984.0,5.661,247984.0,5.661,247984.0,5.661,2.1,2930524.0
1982,277229.0,5.5,277229.0,5.5,277229.0,5.5,277229.0,5.5,2.1,2930524.0
1983,309299.0,5.322,309299.0,5.322,309299.0,5.322,309299.0,5.322,2.1,2930524.0
1984,341272.0,5.128,341272.0,5.128,341272.0,5.128,341272.0,5.128,2.1,2930524.0
1985,370886.0,4.925,370886.0,4.925,370886.0,4.925,370886.0,4.925,2.1,2930524.0
1986,397739.0,4.718,397739.0,4.718,397739.0,4.718,397739.0,4.718,2.1,2930524.0
1987,422154.0,4.516,422154.0,4.516,422154.0,4.516,422154.0,4.516,2.1,2930524.0
1988,443611.0,4.329,443611.0,4.329,443611.0,4.329,443611.0,4.329,2.1,2930524.0
1989,461688.0,4.159,461688.0,4.159,461688.0,4.159,461688.0,4.159,2.1,2930524.0
1990,476275.0,4.013,476275.0,4.013,476275.0,4.013,476275.0,4.013,2.1,2930524.0
1991,487354.0,3.893,487354.0,3.893,487354.0,3.893,487354.0,3.893,2.1,2930524.0
