year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,18406905.0,2.34,18406905.0,2.34,18406905.0,2.34,18406905.0,2.34,2.1,19115146.0
1961,18555250.0,2.17,18555250.0,2.17,18555250.0,2.17,18555250.0,2.17,2.1,19115146.0
1962,18676550.0,2.04,18676550.0,2.04,18676550.0,2.04,18676550.0,2.04,2.1,19115146.0
1963,18797850.0,2.01,18797850.0,2.01,18797850.0,2.01,18797850.0,2.01,2.1,19115146.0
1964,18919126.0,1.96,18919126.0,1.96,18919126.0,1.96,18919126.0,1.96,2.1,19115146.0
1965,19031576.0,1.91,19031576.0,1.91,19031576.0,1.91,19031576.0,1.91,2.1,19115146.0
1966,19215450.0,1.9,19215450.0,1.9,19215450.0,1.9,19215450.0,1.9,2.1,19115146.0
1967,19534242.0,3.66,19534242.0,3.66,19534242.0,3.66,19534242.0,3.66,2.1,19115146.0
1968,19799831.0,3.63,19799831.0,3.63,19799831.0,3.63,19799831.0,3.63,2.1,19115146.0
1969,20009141.0,3.19,20009141.0,3.19,20009141.0,3.19,20009141.0,3.19,2.1,19115146.0
1970,20250398.0,2.89,20250398.0,2.89,20250398.0,2.89,20250398.0,2.89,2.1,19115146.0
1971,20461567.0,2.67,20461567.0,2.67,20461567.0,2.67,20461567.0,2.67,2.1,19115146.0
1972,20657957.0,2.55,20657957.0,2.55,20657957.0,2.55,20657957.0,2.55,2.1,19115146.0
1973,20835681.0,2.44,20835681.0,2.44,20835681.0,2.44,20835681.0,2.44,2.1,19115146.0
1974,21029429.0,2.71,21029429.0,2.71,21029429.0,2.71,21029429.0,2.71,2.1,19115146.0
1975,21293583.0,2.59,21293583.0,2.59,21293583.0,2.59,21293583.0,2.59,2.1,19115146.0
1976,21551634.0,2.54,21551634.0,2.54,21551634.0,2.54,21551634.0,2.54,2.1,19115146.0
1977,21756096.0,2.57,21756096.0,2.57,21756096.0,2.57,21756096.0,2.57,2.1,19115146.0
1978,21951464.0,2.52,21951464.0,2.52,21951464.0,2.52,21951464.0,2.52,2.1,19115146.0
1979,22090488.0,2.49,22090488.0,2.49,22090488.0,2.49,22090488.0,2.49,2.1,19115146.0
1980,22207282.0,2.43,22207282.0,2.43,22207282.0,2.43,22207282.0,2.43,2.1,19115146.0
1981,22353070.0,2.36,22353070.0,2.36,22353070.0,2.36,22353070.0,2.36,2.1,19115146.0
1982,22475741.0,2.17,22475741.0,2.17,22475741.0,2.17,22475741.0,2.17,2.1,19115146.0
1983,22560478.0,2.06,22560478.0,2.06,22560478.0,2.06,22560478.0,2.06,2.1,19115146.0
1984,22640547.0,2.26,22640547.0,2.26,22640547.0,2.26,22640547.0,2.26,2.1,19115146.0
1985,22732999.0,2.31,22732999.0,2.31,22732999.0,2.31,22732999.0,2.31,2.1,19115146.0
1986,22836841.0,2.39,22836841.0,2.39,22836841.0,2.39,22836841.0,2.39,2.1,19115146.0
1987,22949430.0,2.38,22949430.0,2.38,22949430.0,2.38,22949430.0,2.38,2.1,19115146.0
1988,23057662.0,2.3,23057662.0,2.3,23057662.0,2.3,23057662.0,2.3,2.1,19115146.0
1989,23161458.0,2.22,23161458.0,2.22,23161458.0,2.22,23161458.0,2.22,2.1,19115146.0
1990,23201835.0,1.83,23201835.0,1.83,23201835.0,1.83,23201835.0,1.83,2.1,19115146.0
1991,23001155.0,1.59,23001155.0,1.59,23001155.0,1.59,23001155.0,1.59,2.1,19115146.0
1992,22794284.0,1.51,22794284.0,1.51,22794284.0,1.51,22794284.0,1.51,2.1,19115146.0
1993,22763280.0,1.43,22763280.0,1.43,22763280.0,1.43,22763280.0,1.43,2.1,19115146.0
1994,22730211.0,1.4,22730211.0,1.4,22730211.0,1.4,22730211.0,1.4,2.1,19115146.0
1995,22684270.0,1.33,22684270.0,1.33,22684270.0,1.33,22684270.0,1.33,2.1,19115146.0
1996,22619004.0,1.3,22619004.0,1.3,22619004.0,1.3,22619004.0,1.3,2.1,19115146.0
1997,22553978.0,1.32,22553978.0,1.32,22553978.0,1.32,22553978.0,1.32,2.1,19115146.0
1998,22507344.0,1.32,22507344.0,1.32,22507344.0,1.32,22507344.0,1.32,2.1,19115146.0
1999,22472040.0,1.3,22472040.0,1.3,22472040.0,1.3,22472040.0,1.3,2.1,19115146.0
2000,22442971.0,1.31,22442971.0,1.31,22442971.0,1.31,22442971.0,1.31,2.1,19115146.0
2001,22131970.0,1.27,22131970.0,1.27,22131970.0,1.27,22131970.0,1.27,2.1,19115146.0
2002,21730496.0,1.27,21730496.0,1.27,21730496.0,1.27,21730496.0,1.27,2.1,19115146.0
2003,21574326.0,1.3,21574326.0,1.3,21574326.0,1.3,21574326.0,1.3,2.1,19115146.0
2004,21451748.0,1.33,21451748.0,1.33,21451748.0,1.33,21451748.0,1.33,2.1,19115146.0
2005,21319685.0,1.4,21319685.0,1.4,21319685.0,1.4,21319685.0,1.4,2.1,19115146.0
2006,21193760.0,1.42,21193760.0,1.42,21193760.0,1.42,21193760.0,1.42,2.1,19115146.0
2007,20882982.0,1.45,20882982.0,1.45,20882982.0,1.45,20882982.0,1.45,2.1,19115146.0
2008,20537875.0,1.6,20537875.0,1.6,20537875.0,1.6,20537875.0,1.6,2.1,19115146.0
2009,20367487.0,1.66,20367487.0,1.66,20367487.0,1.66,20367487.0,1.66,2.1,19115146.0
2010,20246871.0,1.59,20246871.0,1.59,20246871.0,1.59,20246871.0,1.59,2.1,19115146.0
2011,20147528.0,1.47,20147528.0,1.47,20147528.0,1.47,20147528.0,1.47,2.1,19115146.0
2012,20058035.0,1.52,20058035.0,1.52,20058035.0,1.52,20058035.0,1.52,2.1,19115146.0
2013,19983693.0,1.46,19983693.0,1.46,19983693.0,1.46,19983693.0,1.46,2.1,19115146.0
2014,19908979.0,1.56,19908979.0,1.56,19908979.0,1.56,19908979.0,1.56,2.1,19115146.0
2015,19815616.0,1.62,19815616.0,1.62,19815616.0,1.62,19815616.0,1.62,2.1,19115146.0
2016,19702267.0,1.69,19702267.0,1.69,19702267.0,1.69,19702267.0,1.69,2.1,19115146.0
2017,19588715.0,1.71,19588715.0,1.71,19588715.0,1.71,19588715.0,1.71,2.1,19115146.0
2018,19473970.0,1.76,19473970.0,1.76,19473970.0,1.76,19473970.0,1.76,2.1,19115146.0
2019,19371648.0,1.77,19371648.0,1.77,19371648.0,1.77,19371648.0,1.77,2.1,19115146.0
2020,19257520.0,1.6,19257520.0,1.6,19257520.0,1.6,19257520.0,1.6,2.1,19115146.0
2021,19115146.0,1.6,19115146.0,1.6,19115146.0,1.6,19115146.0,1.6,2.1,19115146.0
2022,19053894.39,1.6,19056115.596,1.618,19056987.233,1.625,19053935.524,1.6,2.1,19115146.0
2023,18992601.656,1.599,18999289.529,1.636,19001927.722,1.65,18992725.048,1.6,2.1,19115146.0
2024,18931267.805,1.599,18944692.332,1.654,18950015.752,1.676,18931514.571,1.6,2.1,19115146.0
2025,18869892.847,1.599,18892348.814,1.672,18901300.362,1.702,18870304.095,1.6,2.1,19115146.0
2026,18808476.79,1.598,18842284.057,1.691,18855831.355,1.729,18809093.619,1.6,2.1,19115146.0
2027,18747019.643,1.598,18794523.424,1.71,18813659.31,1.756,18747883.143,1.6,2.1,19115146.0
2028,18685521.414,1.598,18749092.561,1.729,18774835.593,1.783,18686672.667,1.6,2.1,19115146.0
2029,18623982.112,1.597,18706017.396,1.748,18739412.371,1.811,18625462.19,1.6,2.1,19115146.0
2030,18562401.746,1.597,18665324.151,1.768,18707442.624,1.839,18564251.714,1.6,2.1,19115146.0
2031,18500780.324,1.597,18627039.334,1.787,18678980.157,1.868,18503041.238,1.6,2.1,19115146.0
2032,18439117.854,1.596,18591189.752,1.807,18654079.614,1.897,18441830.762,1.6,2.1,19115146.0
2033,18377414.347,1.596,18557802.509,1.827,18632796.489,1.926,18380620.286,1.6,2.1,19115146.0
2034,18315669.809,1.596,18526905.011,1.848,18615187.142,1.956,18319409.81,1.6,2.1,19115146.0
2035,18253884.25,1.595,18498524.969,1.868,18601308.809,1.987,18258199.333,1.6,2.1,19115146.0
2036,18192057.678,1.595,18472690.402,1.889,18591219.621,2.018,18196988.857,1.6,2.1,19115146.0
2037,18130190.103,1.595,18449429.641,1.91,18584978.612,2.049,18135778.381,1.6,2.1,19115146.0
2038,18068281.532,1.594,18428771.333,1.931,18582645.737,2.081,18074567.905,1.6,2.1,19115146.0
2039,18006331.974,1.594,18410744.443,1.953,18584281.885,2.113,18013357.429,1.6,2.1,19115146.0
2040,17944341.437,1.594,18395378.258,1.974,18589948.892,2.146,17952146.952,1.6,2.1,19115146.0
2041,17882309.932,1.593,18382702.393,1.996,18599709.56,2.18,17890936.476,1.6,2.1,19115146.0
2042,17820237.465,1.593,18372746.79,2.019,18613627.668,2.214,17829726.0,1.6,2.1,19115146.0
2043,17758124.045,1.593,18365541.726,2.041,18631767.989,2.248,17768515.524,1.6,2.1,19115146.0
2044,17695969.682,1.592,18361117.815,2.064,18654196.305,2.283,17707305.048,1.6,2.1,19115146.0
2045,17633774.384,1.592,18359506.01,2.087,18680979.422,2.319,17646094.571,1.6,2.1,19115146.0
2046,17571538.159,1.592,18360737.612,2.11,18712185.19,2.355,17584884.095,1.6,2.1,19115146.0
2047,17509261.016,1.591,18364844.265,2.134,18747882.511,2.392,17523673.619,1.6,2.1,19115146.0
2048,17446942.964,1.591,18371857.971,2.157,18788141.366,2.429,17462463.143,1.6,2.1,19115146.0
2049,17384584.01,1.591,18381811.084,2.181,18833032.823,2.467,17401252.667,1.6,2.1,19115146.0
2050,17322184.165,1.59,18394736.321,2.206,18882629.057,2.505,17340042.19,1.6,2.1,19115146.0
2051,17259743.436,1.59,18410666.76,2.23,18937003.369,2.544,17278831.714,1.6,2.1,19115146.0
2052,17197261.831,1.59,18429635.849,2.255,18996230.202,2.584,17217621.238,1.6,2.1,19115146.0
2053,17134739.36,1.589,18451677.41,2.28,19060385.157,2.624,17156410.762,1.6,2.1,19115146.0
2054,17072176.032,1.589,18476825.638,2.305,19129545.016,2.665,17095200.286,1.6,2.1,19115146.0
2055,17009571.854,1.589,18505115.111,2.331,19203787.754,2.706,17033989.81,1.6,2.1,19115146.0
2056,16946926.835,1.588,18536580.791,2.357,19283192.562,2.749,16972779.333,1.6,2.1,19115146.0
2057,16884240.984,1.588,18571258.028,2.383,19367839.866,2.791,16911568.857,1.6,2.1,19115146.0
2058,16821514.309,1.588,18609182.568,2.41,19457811.344,2.835,16850358.381,1.6,2.1,19115146.0
2059,16758746.82,1.587,18650390.554,2.437,19553189.946,2.879,16789147.905,1.6,2.1,19115146.0
2060,16695938.524,1.587,18694918.529,2.464,19654059.915,2.924,16727937.429,1.6,2.1,19115146.0
2061,16633089.429,1.587,18742803.445,2.491,19760506.807,2.97,16666726.952,1.6,2.1,19115146.0
2062,16570199.546,1.586,18794082.665,2.519,19872617.511,3.016,16605516.476,1.6,2.1,19115146.0
2063,16507268.882,1.586,18848793.968,2.547,19990480.268,3.063,16544306.0,1.6,2.1,19115146.0
2064,16444297.446,1.586,18906975.553,2.575,20114184.695,3.11,16483095.524,1.6,2.1,19115146.0
2065,16381285.246,1.585,18968666.043,2.604,20243821.806,3.159,16421885.048,1.6,2.1,19115146.0
2066,16318232.291,1.585,19033904.494,2.633,20379484.032,3.208,16360674.571,1.6,2.1,19115146.0
2067,16255138.589,1.585,19102730.394,2.662,20521265.244,3.258,16299464.095,1.6,2.1,19115146.0
2068,16192004.15,1.584,19175183.67,2.692,20669260.777,3.309,16238253.619,1.6,2.1,19115146.0
2069,16128828.981,1.584,19251304.697,2.722,20823567.448,3.36,16177043.143,1.6,2.1,19115146.0
2070,16065613.091,1.584,19331134.296,2.752,20984283.586,3.413,16115832.667,1.6,2.1,19115146.0
2071,16002356.489,1.583,19414713.743,2.783,21151509.05,3.466,16054622.19,1.6,2.1,19115146.0
2072,15939059.183,1.583,19502084.774,2.814,21325345.256,3.52,15993411.714,1.6,2.1,19115146.0
2073,15875721.182,1.583,19593289.589,2.845,21505895.198,3.575,15932201.238,1.6,2.1,19115146.0
2074,15812342.494,1.582,19688370.859,2.877,21693263.478,3.631,15870990.762,1.6,2.1,19115146.0
2075,15748923.128,1.582,19787371.729,2.909,21887556.323,3.687,15809780.286,1.6,2.1,19115146.0
2076,15685463.093,1.582,19890335.823,2.941,22088881.62,3.745,15748569.81,1.6,2.1,19115146.0
2077,15621962.397,1.581,19997307.253,2.974,22297348.934,3.803,15687359.333,1.6,2.1,19115146.0
2078,15558421.048,1.581,20108330.619,3.007,22513069.538,3.862,15626148.857,1.6,2.1,19115146.0
2079,15494839.055,1.581,20223451.02,3.04,22736156.437,3.922,15564938.381,1.6,2.1,19115146.0
2080,15431216.427,1.58,20342714.057,3.074,22966724.398,3.983,15503727.905,1.6,2.1,19115146.0
2081,15367553.171,1.58,20466165.836,3.108,23204889.978,4.045,15442517.429,1.6,2.1,19115146.0
2082,15303849.298,1.58,20593852.978,3.143,23450771.545,4.108,15381306.952,1.6,2.1,19115146.0
2083,15240104.815,1.579,20725822.623,3.178,23704489.316,4.173,15320096.476,1.6,2.1,19115146.0
2084,15176319.73,1.579,20862122.435,3.213,23966165.379,4.238,15258886.0,1.6,2.1,19115146.0
2085,15112494.052,1.579,21002800.608,3.249,24235923.724,4.304,15197675.524,1.6,2.1,19115146.0
2086,15048627.791,1.578,21147905.875,3.285,24513890.272,4.371,15136465.048,1.6,2.1,19115146.0
2087,14984720.953,1.578,21297487.508,3.322,24800192.908,4.439,15075254.571,1.6,2.1,19115146.0
2088,14920773.549,1.578,21451595.33,3.359,25094961.508,4.508,15014044.095,1.6,2.1,19115146.0
2089,14856785.585,1.577,21610279.717,3.396,25398327.971,4.578,14952833.619,1.6,2.1,19115146.0
2090,14792757.072,1.577,21773591.606,3.434,25710426.252,4.649,14891623.143,1.6,2.1,19115146.0
2091,14728688.017,1.577,21941582.501,3.472,26031392.394,4.722,14830412.667,1.6,2.1,19115146.0
2092,14664578.429,1.576,22114304.48,3.511,26361364.556,4.795,14769202.19,1.6,2.1,19115146.0
2093,14600428.316,1.576,22291810.199,3.55,26700483.054,4.87,14707991.714,1.6,2.1,19115146.0
2094,14536237.687,1.576,22474152.902,3.589,27048890.386,4.946,14646781.238,1.6,2.1,19115146.0
2095,14472006.55,1.575,22661386.424,3.629,27406731.274,5.023,14585570.762,1.6,2.1,19115146.0
2096,14407734.914,1.575,22853565.201,3.67,27774152.691,5.101,14524360.286,1.6,2.1,19115146.0
2097,14343422.788,1.575,23050744.271,3.711,28151303.902,5.181,14463149.81,1.6,2.1,19115146.0
2098,14279070.18,1.574,23252979.29,3.752,28538336.498,5.261,14401939.333,1.6,2.1,19115146.0
2099,14214677.098,1.574,23460326.53,3.794,28935404.431,5.343,14340728.857,1.6,2.1,19115146.0
2100,14150243.551,1.574,23672842.889,3.836,29342664.051,5.427,14279518.381,1.6,2.1,19115146.0
2101,14085769.547,1.573,23890585.9,3.879,29760274.144,5.511,14218307.905,1.6,2.1,19115146.0
2102,14021255.095,1.573,24113613.736,3.922,30188395.972,5.597,14157097.429,1.6,2.1,19115146.0
2103,13956700.204,1.573,24341985.216,3.965,30627193.306,5.684,14095886.952,1.6,2.1,19115146.0
2104,13892104.881,1.572,24575759.816,4.01,31076832.471,5.773,14034676.476,1.6,2.1,19115146.0
2105,13827469.136,1.572,24814997.673,4.054,31537482.384,5.863,13973466.0,1.6,2.1,19115146.0
2106,13762792.977,1.572,25059759.591,4.099,32009314.59,5.954,13912255.524,1.6,2.1,19115146.0
2107,13698076.412,1.571,25310107.055,4.145,32492503.311,6.047,13851045.048,1.6,2.1,19115146.0
2108,13633319.45,1.571,25566102.231,4.191,32987225.482,6.141,13789834.571,1.6,2.1,19115146.0
2109,13568522.099,1.571,25827807.978,4.238,33493660.792,6.237,13728624.095,1.6,2.1,19115146.0
2110,13503684.368,1.57,26095287.855,4.285,34011991.733,6.334,13667413.619,1.6,2.1,19115146.0
2111,13438806.266,1.57,26368606.127,4.333,34542403.639,6.433,13606203.143,1.6,2.1,19115146.0
2112,13373887.8,1.57,26647827.778,4.381,35085084.731,6.533,13544992.667,1.6,2.1,19115146.0
2113,13308928.979,1.569,26933018.51,4.43,35640226.163,6.635,13483782.19,1.6,2.1,19115146.0
2114,13243929.812,1.569,27224244.759,4.479,36208022.068,6.738,13422571.714,1.6,2.1,19115146.0
2115,13178890.307,1.569,27521573.702,4.529,36788669.601,6.843,13361361.238,1.6,2.1,19115146.0
2116,13113810.473,1.568,27825073.261,4.579,37382368.992,6.95,13300150.762,1.6,2.1,19115146.0
2117,13048690.318,1.568,28134812.115,4.63,37989323.588,7.058,13238940.286,1.6,2.1,19115146.0
2118,12983529.851,1.568,28450859.708,4.682,38609739.905,7.168,13177729.81,1.6,2.1,19115146.0
2119,12918329.08,1.567,28773286.254,4.734,39243827.677,7.28,13116519.333,1.6,2.1,19115146.0
2120,12853088.013,1.567,29102162.754,4.786,39891799.906,7.393,13055308.857,1.6,2.1,19115146.0
2121,12787806.659,1.567,29437560.993,4.84,40553872.91,7.508,12994098.381,1.6,2.1,19115146.0
