year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,119897000.0,2.52,119897000.0,2.52,119897000.0,2.52,119897000.0,2.52,2.1,143446060.0
1961,121236000.0,2.45,121236000.0,2.45,121236000.0,2.45,121236000.0,2.45,2.1,143446060.0
1962,122591000.0,2.36,122591000.0,2.36,122591000.0,2.36,122591000.0,2.36,2.1,143446060.0
1963,123960000.0,2.27,123960000.0,2.27,123960000.0,2.27,123960000.0,2.27,2.1,143446060.0
1964,125345000.0,2.18,125345000.0,2.18,125345000.0,2.18,125345000.0,2.18,2.1,143446060.0
1965,126745000.0,2.13,126745000.0,2.13,126745000.0,2.13,126745000.0,2.13,2.1,143446060.0
1966,127468000.0,2.1,127468000.0,2.1,127468000.0,2.1,127468000.0,2.1,2.1,143446060.0
1967,128196000.0,2.04,128196000.0,2.04,128196000.0,2.04,128196000.0,2.04,2.1,143446060.0
1968,128928000.0,1.99,128928000.0,1.99,128928000.0,1.99,128928000.0,1.99,2.1,143446060.0
1969,129664000.0,1.97,129664000.0,1.97,129664000.0,1.97,129664000.0,1.97,2.1,143446060.0
1970,130404000.0,1.99,130404000.0,1.99,130404000.0,1.99,130404000.0,1.99,2.1,143446060.0
1971,131155000.0,2.03,131155000.0,2.03,131155000.0,2.03,131155000.0,2.03,2.1,143446060.0
1972,131909000.0,2.04,131909000.0,2.04,131909000.0,2.04,131909000.0,2.04,2.1,143446060.0
1973,132669000.0,2.01,132669000.0,2.01,132669000.0,2.01,132669000.0,2.01,2.1,143446060.0
1974,133432000.0,2.0,133432000.0,2.0,133432000.0,2.0,133432000.0,2.0,2.1,143446060.0
1975,134200000.0,1.98,134200000.0,1.98,134200000.0,1.98,134200000.0,1.98,2.1,143446060.0
1976,135147000.0,1.97,135147000.0,1.97,135147000.0,1.97,135147000.0,1.97,2.1,143446060.0
1977,136100000.0,1.95,136100000.0,1.95,136100000.0,1.95,136100000.0,1.95,2.1,143446060.0
1978,137060000.0,1.92,137060000.0,1.92,137060000.0,1.92,137060000.0,1.92,2.1,143446060.0
1979,138027000.0,1.9,138027000.0,1.9,138027000.0,1.9,138027000.0,1.9,2.1,143446060.0
1980,139010000.0,1.89,139010000.0,1.89,139010000.0,1.89,139010000.0,1.89,2.1,143446060.0
1981,139941000.0,1.91,139941000.0,1.91,139941000.0,1.91,139941000.0,1.91,2.1,143446060.0
1982,140823000.0,2.04,140823000.0,2.04,140823000.0,2.04,140823000.0,2.04,2.1,143446060.0
1983,141668000.0,2.11,141668000.0,2.11,141668000.0,2.11,141668000.0,2.11,2.1,143446060.0
1984,142745000.0,2.06,142745000.0,2.06,142745000.0,2.06,142745000.0,2.06,2.1,143446060.0
1985,143858000.0,2.05,143858000.0,2.05,143858000.0,2.05,143858000.0,2.05,2.1,143446060.0
1986,144894000.0,2.15,144894000.0,2.15,144894000.0,2.15,144894000.0,2.15,2.1,143446060.0
1987,145908000.0,2.22,145908000.0,2.22,145908000.0,2.22,145908000.0,2.22,2.1,143446060.0
1988,146857000.0,2.12,146857000.0,2.12,146857000.0,2.12,146857000.0,2.12,2.1,143446060.0
1989,147721000.0,2.01,147721000.0,2.01,147721000.0,2.01,147721000.0,2.01,2.1,143446060.0
1990,147969407.0,1.892,147969407.0,1.892,147969407.0,1.892,147969407.0,1.892,2.1,143446060.0
1991,148394216.0,1.732,148394216.0,1.732,148394216.0,1.732,148394216.0,1.732,2.1,143446060.0
1992,148538197.0,1.552,148538197.0,1.552,148538197.0,1.552,148538197.0,1.552,2.1,143446060.0
1993,148458777.0,1.385,148458777.0,1.385,148458777.0,1.385,148458777.0,1.385,2.1,143446060.0
1994,148407912.0,1.4,148407912.0,1.4,148407912.0,1.4,148407912.0,1.4,2.1,143446060.0
1995,148375787.0,1.337,148375787.0,1.337,148375787.0,1.337,148375787.0,1.337,2.1,143446060.0
1996,148160129.0,1.27,148160129.0,1.27,148160129.0,1.27,148160129.0,1.27,2.1,143446060.0
1997,147915361.0,1.218,147915361.0,1.218,147915361.0,1.218,147915361.0,1.218,2.1,143446060.0
1998,147670784.0,1.232,147670784.0,1.232,147670784.0,1.232,147670784.0,1.232,2.1,143446060.0
