year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,2935575.0,8.187,2935575.0,8.187,2935575.0,8.187,2935575.0,8.187,2.1,13276517.0
1961,2998334.0,8.194,2998334.0,8.194,2998334.0,8.194,2998334.0,8.194,2.1,13276517.0
1962,3052937.0,8.197,3052937.0,8.197,3052937.0,8.197,3052937.0,8.197,2.1,13276517.0
1963,3105417.0,8.198,3105417.0,8.198,3105417.0,8.198,3105417.0,8.198,2.1,13276517.0
1964,3164258.0,8.198,3164258.0,8.198,3164258.0,8.198,3164258.0,8.198,2.1,13276517.0
1965,3235536.0,8.198,3235536.0,8.198,3235536.0,8.198,3235536.0,8.198,2.1,13276517.0
1966,3321674.0,8.198,3321674.0,8.198,3321674.0,8.198,3321674.0,8.198,2.1,13276517.0
1967,3420897.0,8.201,3420897.0,8.201,3420897.0,8.201,3420897.0,8.201,2.1,13276517.0
1968,3529839.0,8.207,3529839.0,8.207,3529839.0,8.207,3529839.0,8.207,2.1,13276517.0
1969,3643237.0,8.217,3643237.0,8.217,3643237.0,8.217,3643237.0,8.217,2.1,13276517.0
1970,3757351.0,8.231,3757351.0,8.231,3757351.0,8.231,3757351.0,8.231,2.1,13276517.0
1971,3871428.0,8.252,3871428.0,8.252,3871428.0,8.252,3871428.0,8.252,2.1,13276517.0
1972,3987223.0,8.278,3987223.0,8.278,3987223.0,8.278,3987223.0,8.278,2.1,13276517.0
1973,4106411.0,8.307,4106411.0,8.307,4106411.0,8.307,4106411.0,8.307,2.1,13276517.0
1974,4231579.0,8.339,4231579.0,8.339,4231579.0,8.339,4231579.0,8.339,2.1,13276517.0
1975,4364709.0,8.37,4364709.0,8.37,4364709.0,8.37,4364709.0,8.37,2.1,13276517.0
1976,4506109.0,8.401,4506109.0,8.401,4506109.0,8.401,4506109.0,8.401,2.1,13276517.0
1977,4655386.0,8.429,4655386.0,8.429,4655386.0,8.429,4655386.0,8.429,2.1,13276517.0
1978,4812872.0,8.451,4812872.0,8.451,4812872.0,8.451,4812872.0,8.451,2.1,13276517.0
1979,4978812.0,8.462,4978812.0,8.462,4978812.0,8.462,4978812.0,8.462,2.1,13276517.0
1980,5153314.0,8.461,5153314.0,8.461,5153314.0,8.461,5153314.0,8.461,2.1,13276517.0
1981,5329250.0,8.444,5329250.0,8.444,5329250.0,8.444,5329250.0,8.444,2.1,13276517.0
1982,5504847.0,8.41,5504847.0,8.41,5504847.0,8.41,5504847.0,8.41,2.1,13276517.0
1983,5690989.0,8.357,5690989.0,8.357,5690989.0,8.357,5690989.0,8.357,2.1,13276517.0
1984,5902847.0,8.282,5902847.0,8.282,5902847.0,8.282,5902847.0,8.282,2.1,13276517.0
1985,6146884.0,8.177,6146884.0,8.177,6146884.0,8.177,6146884.0,8.177,2.1,13276517.0
1986,6443748.0,8.038,6443748.0,8.038,6443748.0,8.038,6443748.0,8.038,2.1,13276517.0
1987,6779981.0,7.863,6779981.0,7.863,6779981.0,7.863,6779981.0,7.863,2.1,13276517.0
1988,7088194.0,7.657,7088194.0,7.657,7088194.0,7.657,7088194.0,7.657,2.1,13276517.0
1989,7276983.0,7.427,7276983.0,7.427,7276983.0,7.427,7276983.0,7.427,2.1,13276517.0
1990,7288883.0,7.184,7288883.0,7.184,7288883.0,7.184,7288883.0,7.184,2.1,13276517.0
1991,7083928.0,6.942,7083928.0,6.942,7083928.0,6.942,7083928.0,6.942,2.1,13276517.0
1992,6702239.0,6.713,6702239.0,6.713,6702239.0,6.713,6702239.0,6.713,2.1,13276517.0
1993,6263758.0,6.505,6263758.0,6.505,6263758.0,6.505,6263758.0,6.505,2.1,13276517.0
1994,5936253.0,6.324,5936253.0,6.324,5936253.0,6.324,5936253.0,6.324,2.1,13276517.0
1995,5836490.0,6.172,5836490.0,6.172,5836490.0,6.172,5836490.0,6.172,2.1,13276517.0
1996,6013112.0,6.046,6013112.0,6.046,6013112.0,6.046,6013112.0,6.046,2.1,13276517.0
1997,6419898.0,5.936,6419898.0,5.936,6419898.0,5.936,6419898.0,5.936,2.1,13276517.0
1998,6962800.0,5.835,6962800.0,5.835,6962800.0,5.835,6962800.0,5.835,2.1,13276517.0
1999,7501238.0,5.737,7501238.0,5.737,7501238.0,5.737,7501238.0,5.737,2.1,13276517.0
2000,7933688.0,5.64,7933688.0,5.64,7933688.0,5.64,7933688.0,5.64,2.1,13276517.0
2001,8231150.0,5.542,8231150.0,5.542,8231150.0,5.542,8231150.0,5.542,2.1,13276517.0
2002,8427061.0,5.443,8427061.0,5.443,8427061.0,5.443,8427061.0,5.443,2.1,13276517.0
2003,8557160.0,5.342,8557160.0,5.342,8557160.0,5.342,8557160.0,5.342,2.1,13276517.0
2004,8680516.0,5.239,8680516.0,5.239,8680516.0,5.239,8680516.0,5.239,2.1,13276517.0
2005,8840220.0,5.131,8840220.0,5.131,8840220.0,5.131,8840220.0,5.131,2.1,13276517.0
2006,9043342.0,5.015,9043342.0,5.015,9043342.0,5.015,9043342.0,5.015,2.1,13276517.0
2007,9273759.0,4.893,9273759.0,4.893,9273759.0,4.893,9273759.0,4.893,2.1,13276517.0
2008,9524532.0,4.767,9524532.0,4.767,9524532.0,4.767,9524532.0,4.767,2.1,13276517.0
2009,9782770.0,4.641,9782770.0,4.641,9782770.0,4.641,9782770.0,4.641,2.1,13276517.0
2010,10039338.0,4.52,10039338.0,4.52,10039338.0,4.52,10039338.0,4.52,2.1,13276517.0
2011,10293333.0,4.412,10293333.0,4.412,10293333.0,4.412,10293333.0,4.412,2.1,13276517.0
2012,10549668.0,4.322,10549668.0,4.322,10549668.0,4.322,10549668.0,4.322,2.1,13276517.0
2013,10811538.0,4.251,10811538.0,4.251,10811538.0,4.251,10811538.0,4.251,2.1,13276517.0
2014,11083629.0,4.197,11083629.0,4.197,11083629.0,4.197,11083629.0,4.197,2.1,13276517.0
2015,11369066.0,4.157,11369066.0,4.157,11369066.0,4.157,11369066.0,4.157,2.1,13276517.0
2016,11668829.0,4.123,11668829.0,4.123,11668829.0,4.123,11668829.0,4.123,2.1,13276517.0
2017,11980960.0,4.088,11980960.0,4.088,11980960.0,4.088,11980960.0,4.088,2.1,13276517.0
2018,12301969.0,4.044,12301969.0,4.044,12301969.0,4.044,12301969.0,4.044,2.1,13276517.0
2019,12626938.0,3.99,12626938.0,3.99,12626938.0,3.99,12626938.0,3.99,2.1,13276517.0
2020,12952209.0,3.926,12952209.0,3.926,12952209.0,3.926,12952209.0,3.926,2.1,13276517.0
2021,13276517.0,3.926,13276517.0,3.926,13276517.0,3.926,13276517.0,3.926,2.1,13276517.0
2022,13438623.66,3.878,13436722.606,3.857,13436292.99,3.852,13443030.81,3.926,2.1,13276517.0
2023,13596377.421,3.83,13590731.16,3.789,13589457.965,3.78,13609544.619,3.926,2.1,13276517.0
2024,13749831.869,3.783,13738651.852,3.722,13736136.346,3.708,13776058.429,3.926,2.1,13276517.0
2025,13899039.927,3.736,13880591.952,3.657,13876450.209,3.639,13942572.238,3.926,2.1,13276517.0
2026,14044053.87,3.69,14016656.838,3.592,14010519.336,3.57,14109086.048,3.926,2.1,13276517.0
2027,14184925.325,3.645,14146950.03,3.529,14138461.252,3.503,14275599.857,3.926,2.1,13276517.0
2028,14321705.288,3.6,14271573.226,3.467,14260391.27,3.437,14442113.667,3.926,2.1,13276517.0
2029,14454444.125,3.556,14390626.332,3.406,14376422.536,3.372,14608627.476,3.926,2.1,13276517.0
2030,14583191.582,3.512,14504207.492,3.346,14486666.064,3.309,14775141.286,3.926,2.1,13276517.0
2031,14707996.792,3.469,14612413.121,3.287,14591230.778,3.247,14941655.095,3.926,2.1,13276517.0
2032,14828908.285,3.426,14715337.938,3.229,14690223.554,3.186,15108168.905,3.926,2.1,13276517.0
2033,14945973.993,3.384,14813074.989,3.172,14783749.257,3.126,15274682.714,3.926,2.1,13276517.0
2034,15059241.257,3.342,14905715.684,3.116,14871910.775,3.067,15441196.524,3.926,2.1,13276517.0
2035,15168756.836,3.301,14993349.819,3.061,14954809.064,3.009,15607710.333,3.926,2.1,13276517.0
2036,15274566.913,3.26,15076065.611,3.007,15032543.177,2.952,15774224.143,3.926,2.1,13276517.0
2037,15376717.103,3.22,15153949.721,2.954,15105210.304,2.897,15940737.952,3.926,2.1,13276517.0
2038,15475252.46,3.181,15227087.282,2.902,15172905.806,2.842,16107251.762,3.926,2.1,13276517.0
2039,15570217.481,3.141,15295561.93,2.851,15235723.248,2.789,16273765.571,3.926,2.1,13276517.0
2040,15661656.117,3.103,15359455.825,2.801,15293754.436,2.736,16440279.381,3.926,2.1,13276517.0
2041,15749611.779,3.065,15418849.679,2.751,15347089.447,2.685,16606793.19,3.926,2.1,13276517.0
2042,15834127.342,3.027,15473822.783,2.703,15395816.663,2.634,16773307.0,3.926,2.1,13276517.0
2043,15915245.153,2.99,15524453.031,2.655,15440022.803,2.585,16939820.81,3.926,2.1,13276517.0
2044,15993007.039,2.953,15570816.945,2.608,15479792.954,2.536,17106334.619,3.926,2.1,13276517.0
2045,16067454.311,2.916,15612989.696,2.562,15515210.6,2.488,17272848.429,3.926,2.1,13276517.0
2046,16138627.773,2.88,15651045.133,2.517,15546357.656,2.442,17439362.238,3.926,2.1,13276517.0
2047,16206567.723,2.845,15685055.804,2.473,15573314.494,2.396,17605876.048,3.926,2.1,13276517.0
2048,16271313.969,2.81,15715092.976,2.429,15596159.975,2.351,17772389.857,3.926,2.1,13276517.0
2049,16332905.822,2.775,15741226.664,2.387,15614971.474,2.306,17938903.667,3.926,2.1,13276517.0
2050,16391382.116,2.741,15763525.646,2.345,15629824.91,2.263,18105417.476,3.926,2.1,13276517.0
2051,16446781.2,2.708,15782057.49,2.303,15640794.775,2.22,18271931.286,3.926,2.1,13276517.0
2052,16499140.958,2.674,15796888.572,2.263,15647954.157,2.179,18438445.095,3.926,2.1,13276517.0
2053,16548498.801,2.641,15808084.101,2.223,15651374.769,2.138,18604958.905,3.926,2.1,13276517.0
2054,16594891.685,2.609,15815708.135,2.184,15651126.976,2.097,18771472.714,3.926,2.1,13276517.0
2055,16638356.107,2.577,15819823.604,2.145,15647279.816,2.058,18937986.524,3.926,2.1,13276517.0
2056,16678928.117,2.545,15820492.328,2.107,15639901.029,2.019,19104500.333,3.926,2.1,13276517.0
2057,16716643.321,2.514,15817775.038,2.07,15629057.081,1.981,19271014.143,3.926,2.1,13276517.0
2058,16751536.885,2.483,15811731.398,2.034,15614813.187,1.944,19437527.952,3.926,2.1,13276517.0
2059,16783643.545,2.452,15802420.017,1.998,15597233.332,1.907,19604041.762,3.926,2.1,13276517.0
2060,16812997.607,2.422,15789898.472,1.963,15576380.3,1.871,19770555.571,3.926,2.1,13276517.0
2061,16839632.955,2.392,15774223.326,1.928,15552315.693,1.836,19937069.381,3.926,2.1,13276517.0
2062,16863583.057,2.363,15755450.147,1.894,15525099.951,1.802,20103583.19,3.926,2.1,13276517.0
2063,16884880.969,2.334,15733633.521,1.861,15494792.379,1.768,20270097.0,3.926,2.1,13276517.0
2064,16903559.338,2.305,15708827.074,1.828,15461451.166,1.734,20436610.81,3.926,2.1,13276517.0
2065,16919650.411,2.276,15681083.487,1.796,15425133.405,1.702,20603124.619,3.926,2.1,13276517.0
2066,16933186.038,2.248,15650454.512,1.764,15385895.114,1.67,20769638.429,3.926,2.1,13276517.0
2067,16944197.677,2.221,15616990.989,1.733,15343791.257,1.638,20936152.238,3.926,2.1,13276517.0
2068,16952716.397,2.193,15580742.863,1.703,15298875.765,1.607,21102666.048,3.926,2.1,13276517.0
2069,16958772.887,2.166,15541759.2,1.673,15251201.553,1.577,21269179.857,3.926,2.1,13276517.0
2070,16962397.457,2.14,15500088.199,1.643,15200820.539,1.548,21435693.667,3.926,2.1,13276517.0
2071,16963620.043,2.113,15455777.21,1.614,15147783.666,1.518,21602207.476,3.926,2.1,13276517.0
2072,16962470.214,2.087,15408872.751,1.586,15092140.917,1.49,21768721.286,3.926,2.1,13276517.0
2073,16958977.174,2.062,15359420.519,1.558,15033941.335,1.462,21935235.095,3.926,2.1,13276517.0
2074,16953169.769,2.036,15307465.406,1.53,14973233.039,1.434,22101748.905,3.926,2.1,13276517.0
2075,16945076.488,2.011,15253051.511,1.503,14910063.242,1.407,22268262.714,3.926,2.1,13276517.0
2076,16934725.47,1.986,15196222.159,1.477,14844478.272,1.381,22434776.524,3.926,2.1,13276517.0
2077,16922144.509,1.962,15137019.91,1.451,14776523.58,1.355,22601290.333,3.926,2.1,13276517.0
2078,16907361.054,1.938,15075486.575,1.425,14706243.766,1.329,22767804.143,3.926,2.1,13276517.0
2079,16890402.218,1.914,15011663.227,1.4,14633682.588,1.304,22934317.952,3.926,2.1,13276517.0
2080,16871294.78,1.89,14945590.217,1.375,14558882.981,1.28,23100831.762,3.926,2.1,13276517.0
2081,16850065.19,1.867,14877307.183,1.351,14481887.073,1.256,23267345.571,3.926,2.1,13276517.0
2082,16826739.572,1.844,14806853.066,1.327,14402736.198,1.232,23433859.381,3.926,2.1,13276517.0
2083,16801343.726,1.822,14734266.121,1.304,14321470.912,1.209,23600373.19,3.926,2.1,13276517.0
2084,16773903.139,1.799,14659583.928,1.281,14238131.009,1.186,23766887.0,3.926,2.1,13276517.0
2085,16744442.98,1.777,14582843.405,1.258,14152755.533,1.164,23933400.81,3.926,2.1,13276517.0
2086,16712988.111,1.755,14504080.82,1.236,14065382.794,1.142,24099914.619,3.926,2.1,13276517.0
2087,16679563.086,1.733,14423331.801,1.215,13976050.379,1.12,24266428.429,3.926,2.1,13276517.0
2088,16644192.158,1.712,14340631.351,1.193,13884795.17,1.099,24432942.238,3.926,2.1,13276517.0
2089,16606899.281,1.691,14256013.852,1.172,13791653.355,1.079,24599456.048,3.926,2.1,13276517.0
2090,16567708.115,1.67,14169513.084,1.151,13696660.438,1.058,24765969.857,3.926,2.1,13276517.0
2091,16526642.027,1.65,14081162.229,1.131,13599851.258,1.038,24932483.667,3.926,2.1,13276517.0
2092,16483724.097,1.629,13990993.886,1.111,13501259.997,1.019,25098997.476,3.926,2.1,13276517.0
2093,16438977.123,1.609,13899040.08,1.092,13400920.194,1.0,25265511.286,3.926,2.1,13276517.0
2094,16392423.618,1.589,13805332.269,1.072,13298864.755,0.981,25432025.095,3.926,2.1,13276517.0
2095,16344085.822,1.57,13709901.36,1.053,13195125.97,0.962,25598538.905,3.926,2.1,13276517.0
2096,16293985.699,1.551,13612777.714,1.035,13089735.519,0.944,25765052.714,3.926,2.1,13276517.0
2097,16242144.944,1.532,13513991.157,1.017,12982724.486,0.927,25931566.524,3.926,2.1,13276517.0
2098,16188584.984,1.513,13413570.988,0.999,12874123.371,0.909,26098080.333,3.926,2.1,13276517.0
2099,16133326.981,1.494,13311545.993,0.981,12763962.099,0.892,26264594.143,3.926,2.1,13276517.0
2100,16076391.84,1.476,13207944.448,0.964,12652270.031,0.875,26431107.952,3.926,2.1,13276517.0
2101,16017800.205,1.457,13102794.133,0.947,12539075.979,0.859,26597621.762,3.926,2.1,13276517.0
2102,15957572.469,1.44,12996122.336,0.93,12424408.209,0.843,26764135.571,3.926,2.1,13276517.0
2103,15895728.77,1.422,12887955.866,0.914,12308294.456,0.827,26930649.381,3.926,2.1,13276517.0
2104,15832289.003,1.404,12778321.06,0.898,12190761.934,0.811,27097163.19,3.926,2.1,13276517.0
2105,15767272.814,1.387,12667243.788,0.882,12071837.344,0.796,27263677.0,3.926,2.1,13276517.0
2106,15700699.61,1.37,12554749.469,0.866,11951546.884,0.781,27430190.81,3.926,2.1,13276517.0
2107,15632588.556,1.353,12440863.069,0.851,11829916.262,0.766,27596704.619,3.926,2.1,13276517.0
2108,15562958.585,1.336,12325609.117,0.836,11706970.697,0.752,27763218.429,3.926,2.1,13276517.0
2109,15491828.393,1.32,12209011.71,0.821,11582734.938,0.738,27929732.238,3.926,2.1,13276517.0
2110,15419216.45,1.304,12091094.52,0.807,11457233.266,0.724,28096246.048,3.926,2.1,13276517.0
2111,15345140.994,1.288,11971880.8,0.793,11330489.506,0.71,28262759.857,3.926,2.1,13276517.0
2112,15269620.042,1.272,11851393.396,0.779,11202527.033,0.697,28429273.667,3.926,2.1,13276517.0
2113,15192671.388,1.256,11729654.75,0.765,11073368.784,0.684,28595787.476,3.926,2.1,13276517.0
2114,15114312.607,1.241,11606686.909,0.752,10943037.263,0.671,28762301.286,3.926,2.1,13276517.0
2115,15034561.058,1.225,11482511.531,0.738,10811554.551,0.658,28928815.095,3.926,2.1,13276517.0
2116,14953433.885,1.21,11357149.894,0.725,10678942.314,0.646,29095328.905,3.926,2.1,13276517.0
2117,14870948.023,1.195,11230622.899,0.712,10545221.809,0.634,29261842.714,3.926,2.1,13276517.0
2118,14787120.196,1.181,11102951.079,0.7,10410413.894,0.622,29428356.524,3.926,2.1,13276517.0
2119,14701966.926,1.166,10974154.607,0.688,10274539.034,0.61,29594870.333,3.926,2.1,13276517.0
2120,14615504.526,1.152,10844253.298,0.675,10137617.309,0.599,29761384.143,3.926,2.1,13276517.0
2121,14527749.115,1.138,10713266.621,0.664,9999668.421,0.587,29927897.952,3.926,2.1,13276517.0
