year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,572839530.0,6.04470645,572839530.0,6.04470645,572839530.0,6.04470645,572839530.0,6.04470645,2.1,1877902324.0
1961,584939711.0,6.043408887,584939711.0,6.043408887,584939711.0,6.043408887,584939711.0,6.043408887,2.1,1877902324.0
1962,597494450.0,6.038920822,597494450.0,6.038920822,597494450.0,6.038920822,597494450.0,6.038920822,2.1,1877902324.0
1963,610498308.0,6.029620721,610498308.0,6.029620721,610498308.0,6.029620721,610498308.0,6.029620721,2.1,1877902324.0
1964,623943328.0,6.014404551,623943328.0,6.014404551,623943328.0,6.014404551,623943328.0,6.014404551,2.1,1877902324.0
1965,637823175.0,5.992379361,637823175.0,5.992379361,637823175.0,5.992379361,637823175.0,5.992379361,2.1,1877902324.0
1966,652144171.0,5.964457934,652144171.0,5.964457934,652144171.0,5.964457934,652144171.0,5.964457934,2.1,1877902324.0
1967,666908586.0,5.930238567,666908586.0,5.930238567,666908586.0,5.930238567,666908586.0,5.930238567,2.1,1877902324.0
1968,682102192.0,5.890368066,682102192.0,5.890368066,682102192.0,5.890368066,682102192.0,5.890368066,2.1,1877902324.0
1969,697706091.0,5.845746765,697706091.0,5.845746765,697706091.0,5.845746765,697706091.0,5.845746765,2.1,1877902324.0
1970,713711358.0,5.794839519,713711358.0,5.794839519,713711358.0,5.794839519,713711358.0,5.794839519,2.1,1877902324.0
1971,730107660.0,5.737287547,730107660.0,5.737287547,730107660.0,5.737287547,730107660.0,5.737287547,2.1,1877902324.0
1972,746911710.0,5.673427468,746911710.0,5.673427468,746911710.0,5.673427468,746911710.0,5.673427468,2.1,1877902324.0
1973,764174968.0,5.604109376,764174968.0,5.604109376,764174968.0,5.604109376,764174968.0,5.604109376,2.1,1877902324.0
1974,781966557.0,5.531065993,781966557.0,5.531065993,781966557.0,5.531065993,781966557.0,5.531065993,2.1,1877902324.0
1975,800335570.0,5.45650727,800335570.0,5.45650727,800335570.0,5.45650727,800335570.0,5.45650727,2.1,1877902324.0
1976,819292532.0,5.383088813,819292532.0,5.383088813,819292532.0,5.383088813,819292532.0,5.383088813,2.1,1877902324.0
1977,838819900.0,5.312713067,838819900.0,5.312713067,838819900.0,5.312713067,838819900.0,5.312713067,2.1,1877902324.0
1978,858901743.0,5.245703651,858901743.0,5.245703651,858901743.0,5.245703651,858901743.0,5.245703651,2.1,1877902324.0
1979,879510842.0,5.181604741,879510842.0,5.181604741,879510842.0,5.181604741,879510842.0,5.181604741,2.1,1877902324.0
1980,900620583.0,5.119454819,900620583.0,5.119454819,900620583.0,5.119454819,900620583.0,5.119454819,2.1,1877902324.0
1981,922226632.0,5.055666177,922226632.0,5.055666177,922226632.0,5.055666177,922226632.0,5.055666177,2.1,1877902324.0
1982,944315173.0,4.988771733,944315173.0,4.988771733,944315173.0,4.988771733,944315173.0,4.988771733,2.1,1877902324.0
1983,966836458.0,4.917283317,966836458.0,4.917283317,966836458.0,4.917283317,966836458.0,4.917283317,2.1,1877902324.0
1984,989728262.0,4.840002999,989728262.0,4.840002999,989728262.0,4.840002999,989728262.0,4.840002999,2.1,1877902324.0
1985,1012942302.0,4.756884631,1012942302.0,4.756884631,1012942302.0,4.756884631,1012942302.0,4.756884631,2.1,1877902324.0
1986,1036437878.0,4.668270542,1036437878.0,4.668270542,1036437878.0,4.668270542,1036437878.0,4.668270542,2.1,1877902324.0
1987,1060208544.0,4.576607244,1060208544.0,4.576607244,1060208544.0,4.576607244,1060208544.0,4.576607244,2.1,1877902324.0
1988,1084281159.0,4.483914573,1084281159.0,4.483914573,1084281159.0,4.483914573,1084281159.0,4.483914573,2.1,1877902324.0
1989,1108702366.0,4.390456178,1108702366.0,4.390456178,1108702366.0,4.390456178,1108702366.0,4.390456178,2.1,1877902324.0
1990,1133495194.0,4.299897299,1133495194.0,4.299897299,1133495194.0,4.299897299,1133495194.0,4.299897299,2.1,1877902324.0
1991,1158655616.0,4.210600137,1158655616.0,4.210600137,1158655616.0,4.210600137,1158655616.0,4.210600137,2.1,1877902324.0
1992,1184133340.0,4.125217693,1184133340.0,4.125217693,1184133340.0,4.125217693,1184133340.0,4.125217693,2.1,1877902324.0
1993,1209847774.0,4.043559111,1209847774.0,4.043559111,1209847774.0,4.043559111,1209847774.0,4.043559111,2.1,1877902324.0
1994,1235693864.0,3.963596983,1235693864.0,3.963596983,1235693864.0,3.963596983,1235693864.0,3.963596983,2.1,1877902324.0
1995,1261587780.0,3.886308801,1261587780.0,3.886308801,1261587780.0,3.886308801,1261587780.0,3.886308801,2.1,1877902324.0
1996,1287476203.0,3.810682411,1287476203.0,3.810682411,1287476203.0,3.810682411,1287476203.0,3.810682411,2.1,1877902324.0
1997,1313346375.0,3.735130613,1313346375.0,3.735130613,1313346375.0,3.735130613,1313346375.0,3.735130613,2.1,1877902324.0
1998,1339202700.0,3.658897287,1339202700.0,3.658897287,1339202700.0,3.658897287,1339202700.0,3.658897287,2.1,1877902324.0
1999,1365067953.0,3.583358145,1365067953.0,3.583358145,1365067953.0,3.583358145,1365067953.0,3.583358145,2.1,1877902324.0
2000,1390946065.0,3.507214778,1390946065.0,3.507214778,1390946065.0,3.507214778,1390946065.0,3.507214778,2.1,1877902324.0
2001,1416822995.0,3.43235861,1416822995.0,3.43235861,1416822995.0,3.43235861,1416822995.0,3.43235861,2.1,1877902324.0
2002,1442644044.0,3.357392086,1442644044.0,3.357392086,1442644044.0,3.357392086,1442644044.0,3.357392086,2.1,1877902324.0
2003,1468324423.0,3.283697977,1468324423.0,3.283697977,1468324423.0,3.283697977,1468324423.0,3.283697977,2.1,1877902324.0
2004,1493757846.0,3.210025974,1493757846.0,3.210025974,1493757846.0,3.210025974,1493757846.0,3.210025974,2.1,1877902324.0
2005,1518861546.0,3.136436575,1518861546.0,3.136436575,1518861546.0,3.136436575,1518861546.0,3.136436575,2.1,1877902324.0
2006,1543610686.0,3.060075228,1543610686.0,3.060075228,1543610686.0,3.060075228,1543610686.0,3.060075228,2.1,1877902324.0
2007,1568003175.0,2.982348123,1568003175.0,2.982348123,1568003175.0,2.982348123,1568003175.0,2.982348123,2.1,1877902324.0
2008,1592010815.0,2.902631172,1592010815.0,2.902631172,1592010815.0,2.902631172,1592010815.0,2.902631172,2.1,1877902324.0
