year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,4086534.0,7.216,4086534.0,7.216,4086534.0,7.216,4086534.0,7.216,2.1,35340680.0
1961,4218852.0,7.23,4218852.0,7.23,4218852.0,7.23,4218852.0,7.23,2.1,35340680.0
1962,4362788.0,7.243,4362788.0,7.243,4362788.0,7.243,4362788.0,7.243,2.1,35340680.0
1963,4516540.0,7.252,4516540.0,7.252,4516540.0,7.252,4516540.0,7.252,2.1,35340680.0
1964,4677304.0,7.257,4677304.0,7.257,4677304.0,7.257,4677304.0,7.257,2.1,35340680.0
1965,4843632.0,7.26,4843632.0,7.26,4843632.0,7.26,4843632.0,7.26,2.1,35340680.0
1966,5015353.0,7.262,5015353.0,7.262,5015353.0,7.262,5015353.0,7.262,2.1,35340680.0
1967,5195124.0,7.264,5195124.0,7.264,5195124.0,7.264,5195124.0,7.264,2.1,35340680.0
1968,5387822.0,7.267,5387822.0,7.267,5387822.0,7.267,5387822.0,7.267,2.1,35340680.0
1969,5599909.0,7.273,5599909.0,7.273,5599909.0,7.273,5599909.0,7.273,2.1,35340680.0
1970,5836388.0,7.28,5836388.0,7.28,5836388.0,7.28,5836388.0,7.28,2.1,35340680.0
1971,6100631.0,7.289,6100631.0,7.289,6100631.0,7.289,6100631.0,7.289,2.1,35340680.0
1972,6392973.0,7.299,6392973.0,7.299,6392973.0,7.299,6392973.0,7.299,2.1,35340680.0
1973,6711922.0,7.307,6711922.0,7.307,6711922.0,7.307,6711922.0,7.307,2.1,35340680.0
1974,7054532.0,7.312,7054532.0,7.312,7054532.0,7.312,7054532.0,7.312,2.1,35340680.0
1975,7419486.0,7.313,7419486.0,7.313,7419486.0,7.313,7419486.0,7.313,2.1,35340680.0
1976,7802928.0,7.309,7802928.0,7.309,7802928.0,7.309,7802928.0,7.309,2.1,35340680.0
1977,8207695.0,7.299,8207695.0,7.299,8207695.0,7.299,8207695.0,7.299,2.1,35340680.0
1978,8646845.0,7.281,8646845.0,7.281,8646845.0,7.281,8646845.0,7.281,2.1,35340680.0
1979,9137928.0,7.252,9137928.0,7.252,9137928.0,7.252,9137928.0,7.252,2.1,35340680.0
1980,9691471.0,7.206,9691471.0,7.206,9691471.0,7.206,9691471.0,7.206,2.1,35340680.0
1981,10311771.0,7.138,10311771.0,7.138,10311771.0,7.138,10311771.0,7.138,2.1,35340680.0
1982,10988851.0,7.047,10988851.0,7.047,10988851.0,7.047,10988851.0,7.047,2.1,35340680.0
1983,11701132.0,6.933,11701132.0,6.933,11701132.0,6.933,11701132.0,6.933,2.1,35340680.0
1984,12418836.0,6.798,12418836.0,6.798,12418836.0,6.798,12418836.0,6.798,2.1,35340680.0
1985,13118998.0,6.649,13118998.0,6.649,13118998.0,6.649,13118998.0,6.649,2.1,35340680.0
1986,13794167.0,6.495,13794167.0,6.495,13794167.0,6.495,13794167.0,6.495,2.1,35340680.0
1987,14445663.0,6.342,14445663.0,6.342,14445663.0,6.342,14445663.0,6.342,2.1,35340680.0
1988,15070082.0,6.194,15070082.0,6.194,15070082.0,6.194,15070082.0,6.194,2.1,35340680.0
1989,15666289.0,6.052,15666289.0,6.052,15666289.0,6.052,15666289.0,6.052,2.1,35340680.0
1990,16233786.0,5.911,16233786.0,5.911,16233786.0,5.911,16233786.0,5.911,2.1,35340680.0
1991,16772695.0,5.761,16772695.0,5.761,16772695.0,5.761,16772695.0,5.761,2.1,35340680.0
1992,17282686.0,5.594,17282686.0,5.594,17282686.0,5.594,17282686.0,5.594,2.1,35340680.0
1993,17763297.0,5.407,17763297.0,5.407,17763297.0,5.407,17763297.0,5.407,2.1,35340680.0
1994,18214475.0,5.2,18214475.0,5.2,18214475.0,5.2,18214475.0,5.2,2.1,35340680.0
1995,18638790.0,4.98,18638790.0,4.98,18638790.0,4.98,18638790.0,4.98,2.1,35340680.0
1996,19033843.0,4.754,19033843.0,4.754,19033843.0,4.754,19033843.0,4.754,2.1,35340680.0
1997,19407138.0,4.533,19407138.0,4.533,19407138.0,4.533,19407138.0,4.533,2.1,35340680.0
1998,19783301.0,4.325,19783301.0,4.325,19783301.0,4.325,19783301.0,4.325,2.1,35340680.0
1999,20194531.0,4.137,20194531.0,4.137,20194531.0,4.137,20194531.0,4.137,2.1,35340680.0
2000,20663840.0,3.971,20663840.0,3.971,20663840.0,3.971,20663840.0,3.971,2.1,35340680.0
2001,21202646.0,3.83,21202646.0,3.83,21202646.0,3.83,21202646.0,3.83,2.1,35340680.0
2002,21805322.0,3.708,21805322.0,3.708,21805322.0,3.708,21805322.0,3.708,2.1,35340680.0
2003,22456645.0,3.601,22456645.0,3.601,22456645.0,3.601,22456645.0,3.601,2.1,35340680.0
2004,23132686.0,3.505,23132686.0,3.505,23132686.0,3.505,23132686.0,3.505,2.1,35340680.0
2005,23816175.0,3.417,23816175.0,3.417,23816175.0,3.417,23816175.0,3.417,2.1,35340680.0
2006,24498313.0,3.331,24498313.0,3.331,24498313.0,3.331,24498313.0,3.331,2.1,35340680.0
2007,25184589.0,3.246,25184589.0,3.246,25184589.0,3.246,25184589.0,3.246,2.1,35340680.0
2008,25888535.0,3.158,25888535.0,3.158,25888535.0,3.158,25888535.0,3.158,2.1,35340680.0
2009,26630303.0,3.066,26630303.0,3.066,26630303.0,3.066,26630303.0,3.066,2.1,35340680.0
2010,27421468.0,2.97,27421468.0,2.97,27421468.0,2.97,27421468.0,2.97,2.1,35340680.0
2011,28267591.0,2.871,28267591.0,2.871,28267591.0,2.871,28267591.0,2.871,2.1,35340680.0
2012,29154906.0,2.773,29154906.0,2.773,29154906.0,2.773,29154906.0,2.773,2.1,35340680.0
2013,30052058.0,2.678,30052058.0,2.678,30052058.0,2.678,30052058.0,2.678,2.1,35340680.0
2014,30916603.0,2.589,30916603.0,2.589,30916603.0,2.589,30916603.0,2.589,2.1,35340680.0
2015,31717676.0,2.507,31717676.0,2.507,31717676.0,2.507,31717676.0,2.507,2.1,35340680.0
2016,32443443.0,2.435,32443443.0,2.435,32443443.0,2.435,32443443.0,2.435,2.1,35340680.0
2017,33101183.0,2.373,33101183.0,2.373,33101183.0,2.373,33101183.0,2.373,2.1,35340680.0
2018,33702757.0,2.319,33702757.0,2.319,33702757.0,2.319,33702757.0,2.319,2.1,35340680.0
2019,34268529.0,2.275,34268529.0,2.275,34268529.0,2.275,34268529.0,2.275,2.1,35340680.0
