year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,7544498.0,6.691,7544498.0,6.691,7544498.0,6.691,7544498.0,6.691,2.1,44909351.0
1961,7769475.0,6.713,7769475.0,6.713,7769475.0,6.713,7769475.0,6.713,2.1,44909351.0
1962,8004122.0,6.737,8004122.0,6.737,8004122.0,6.737,8004122.0,6.737,2.1,44909351.0
1963,8248818.0,6.762,8248818.0,6.762,8248818.0,6.762,8248818.0,6.762,2.1,44909351.0
1964,8503989.0,6.787,8503989.0,6.787,8503989.0,6.787,8503989.0,6.787,2.1,44909351.0
1965,8770094.0,6.81,8770094.0,6.81,8770094.0,6.81,8770094.0,6.81,2.1,44909351.0
1966,9047803.0,6.831,9047803.0,6.831,9047803.0,6.831,9047803.0,6.831,2.1,44909351.0
1967,9337662.0,6.85,9337662.0,6.85,9337662.0,6.85,9337662.0,6.85,2.1,44909351.0
1968,9639846.0,6.865,9639846.0,6.865,9639846.0,6.865,9639846.0,6.865,2.1,44909351.0
1969,9954411.0,6.878,9954411.0,6.878,9954411.0,6.878,9954411.0,6.878,2.1,44909351.0
1970,10281695.0,6.888,10281695.0,6.888,10281695.0,6.888,10281695.0,6.888,2.1,44909351.0
1971,10621471.0,6.899,10621471.0,6.899,10621471.0,6.899,10621471.0,6.899,2.1,44909351.0
1972,10974626.0,6.91,10974626.0,6.91,10974626.0,6.91,10974626.0,6.91,2.1,44909351.0
1973,11343923.0,6.921,11343923.0,6.921,11343923.0,6.921,11343923.0,6.921,2.1,44909351.0
1974,11732957.0,6.93,11732957.0,6.93,11732957.0,6.93,11732957.0,6.93,2.1,44909351.0
1975,12144128.0,6.936,12144128.0,6.936,12144128.0,6.936,12144128.0,6.936,2.1,44909351.0
1976,12578398.0,6.933,12578398.0,6.933,12578398.0,6.933,12578398.0,6.933,2.1,44909351.0
1977,13034631.0,6.919,13034631.0,6.919,13034631.0,6.919,13034631.0,6.919,2.1,44909351.0
1978,13510429.0,6.892,13510429.0,6.892,13510429.0,6.892,13510429.0,6.892,2.1,44909351.0
1979,14002302.0,6.853,14002302.0,6.853,14002302.0,6.853,14002302.0,6.853,2.1,44909351.0
1980,14507466.0,6.802,14507466.0,6.802,14507466.0,6.802,14507466.0,6.802,2.1,44909351.0
1981,15027254.0,6.741,15027254.0,6.741,15027254.0,6.741,15027254.0,6.741,2.1,44909351.0
1982,15562129.0,6.674,15562129.0,6.674,15562129.0,6.674,15562129.0,6.674,2.1,44909351.0
1983,16107613.0,6.605,16107613.0,6.605,16107613.0,6.605,16107613.0,6.605,2.1,44909351.0
1984,16657956.0,6.535,16657956.0,6.535,16657956.0,6.535,16657956.0,6.535,2.1,44909351.0
1985,17210182.0,6.467,17210182.0,6.467,17210182.0,6.467,17210182.0,6.467,2.1,44909351.0
1986,17757494.0,6.401,17757494.0,6.401,17757494.0,6.401,17757494.0,6.401,2.1,44909351.0
1987,18303430.0,6.337,18303430.0,6.337,18303430.0,6.337,18303430.0,6.337,2.1,44909351.0
1988,18867559.0,6.274,18867559.0,6.274,18867559.0,6.274,18867559.0,6.274,2.1,44909351.0
1989,19476653.0,6.213,19476653.0,6.213,19476653.0,6.213,19476653.0,6.213,2.1,44909351.0
1990,20147592.0,6.152,20147592.0,6.152,20147592.0,6.152,20147592.0,6.152,2.1,44909351.0
1991,20891442.0,6.091,20891442.0,6.091,20891442.0,6.091,20891442.0,6.091,2.1,44909351.0
1992,21696240.0,6.028,21696240.0,6.028,21696240.0,6.028,21696240.0,6.028,2.1,44909351.0
1993,22527837.0,5.964,22527837.0,5.964,22527837.0,5.964,22527837.0,5.964,2.1,44909351.0
1994,23338465.0,5.897,23338465.0,5.897,23338465.0,5.897,23338465.0,5.897,2.1,44909351.0
