year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,3206757.0,6.996,3206757.0,6.996,3206757.0,6.996,3206757.0,6.996,2.1,17196308.0
1961,3295280.0,7.038,3295280.0,7.038,3295280.0,7.038,3295280.0,7.038,2.1,17196308.0
1962,3386803.0,7.079,3386803.0,7.079,3386803.0,7.079,3386803.0,7.079,2.1,17196308.0
1963,3481654.0,7.12,3481654.0,7.12,3481654.0,7.12,3481654.0,7.12,2.1,17196308.0
1964,3580241.0,7.157,3580241.0,7.157,3580241.0,7.157,3580241.0,7.157,2.1,17196308.0
1965,3682879.0,7.19,3682879.0,7.19,3682879.0,7.19,3682879.0,7.19,2.1,17196308.0
1966,3789381.0,7.217,3789381.0,7.217,3789381.0,7.217,3789381.0,7.217,2.1,17196308.0
1967,3899648.0,7.237,3899648.0,7.237,3899648.0,7.237,3899648.0,7.237,2.1,17196308.0
1968,4014107.0,7.251,4014107.0,7.251,4014107.0,7.251,4014107.0,7.251,2.1,17196308.0
1969,4133324.0,7.259,4133324.0,7.259,4133324.0,7.259,4133324.0,7.259,2.1,17196308.0
1970,4257508.0,7.262,4257508.0,7.262,4257508.0,7.262,4257508.0,7.262,2.1,17196308.0
1971,4387532.0,7.261,4387532.0,7.261,4387532.0,7.261,4387532.0,7.261,2.1,17196308.0
1972,4522886.0,7.258,4522886.0,7.258,4522886.0,7.258,4522886.0,7.258,2.1,17196308.0
1973,4660726.0,7.255,4660726.0,7.255,4660726.0,7.255,4660726.0,7.255,2.1,17196308.0
1974,4797188.0,7.252,4797188.0,7.252,4797188.0,7.252,4797188.0,7.252,2.1,17196308.0
1975,4929846.0,7.252,4929846.0,7.252,4929846.0,7.252,4929846.0,7.252,2.1,17196308.0
1976,5057375.0,7.258,5057375.0,7.258,5057375.0,7.258,5057375.0,7.258,2.1,17196308.0
1977,5181505.0,7.268,5181505.0,7.268,5181505.0,7.268,5181505.0,7.268,2.1,17196308.0
1978,5306685.0,7.279,5306685.0,7.279,5306685.0,7.279,5306685.0,7.279,2.1,17196308.0
1979,5439069.0,7.29,5439069.0,7.29,5439069.0,7.29,5439069.0,7.29,2.1,17196308.0
1980,5583157.0,7.292,5583157.0,7.292,5583157.0,7.292,5583157.0,7.292,2.1,17196308.0
1981,5740441.0,7.279,5740441.0,7.279,5740441.0,7.279,5740441.0,7.279,2.1,17196308.0
1982,5909734.0,7.245,5909734.0,7.245,5909734.0,7.245,5909734.0,7.245,2.1,17196308.0
1983,6089567.0,7.189,6089567.0,7.189,6089567.0,7.189,6089567.0,7.189,2.1,17196308.0
1984,6277420.0,7.111,6277420.0,7.111,6277420.0,7.111,6277420.0,7.111,2.1,17196308.0
1985,6471329.0,7.013,6471329.0,7.013,6471329.0,7.013,6471329.0,7.013,2.1,17196308.0
1986,6670665.0,6.902,6670665.0,6.902,6670665.0,6.902,6670665.0,6.902,2.1,17196308.0
1987,6875746.0,6.785,6875746.0,6.785,6875746.0,6.785,6875746.0,6.785,2.1,17196308.0
1988,7086624.0,6.668,7086624.0,6.668,7086624.0,6.668,7086624.0,6.668,2.1,17196308.0
1989,7303511.0,6.555,7303511.0,6.555,7303511.0,6.555,7303511.0,6.555,2.1,17196308.0
1990,7526306.0,6.448,7526306.0,6.448,7526306.0,6.448,7526306.0,6.448,2.1,17196308.0
1991,7755503.0,6.346,7755503.0,6.346,7755503.0,6.346,7755503.0,6.346,2.1,17196308.0
1992,7990090.0,6.246,7990090.0,6.246,7990090.0,6.246,7990090.0,6.246,2.1,17196308.0
1993,8226749.0,6.146,8226749.0,6.146,8226749.0,6.146,8226749.0,6.146,2.1,17196308.0
1994,8461066.0,6.046,8461066.0,6.046,8461066.0,6.046,8461066.0,6.046,2.1,17196308.0
1995,8690155.0,5.945,8690155.0,5.945,8690155.0,5.945,8690155.0,5.945,2.1,17196308.0
1996,8912872.0,5.843,8912872.0,5.843,8912872.0,5.843,8912872.0,5.843,2.1,17196308.0
1997,9130876.0,5.741,9130876.0,5.741,9130876.0,5.741,9130876.0,5.741,2.1,17196308.0
1998,9347777.0,5.639,9347777.0,5.639,9347777.0,5.639,9347777.0,5.639,2.1,17196308.0
1999,9568717.0,5.541,9568717.0,5.541,9568717.0,5.541,9568717.0,5.541,2.1,17196308.0
2000,9797731.0,5.448,9797731.0,5.448,9797731.0,5.448,9797731.0,5.448,2.1,17196308.0
2001,10036102.0,5.365,10036102.0,5.365,10036102.0,5.365,10036102.0,5.365,2.1,17196308.0
2002,10283694.0,5.292,10283694.0,5.292,10283694.0,5.292,10283694.0,5.292,2.1,17196308.0
2003,10541470.0,5.232,10541470.0,5.232,10541470.0,5.232,10541470.0,5.232,2.1,17196308.0
2004,10810086.0,5.185,10810086.0,5.185,10810086.0,5.185,10810086.0,5.185,2.1,17196308.0
2005,11090123.0,5.149,11090123.0,5.149,11090123.0,5.149,11090123.0,5.149,2.1,17196308.0
2006,11382272.0,5.124,11382272.0,5.124,11382272.0,5.124,11382272.0,5.124,2.1,17196308.0
2007,11687078.0,5.107,11687078.0,5.107,11687078.0,5.107,11687078.0,5.107,2.1,17196308.0
2008,12004700.0,5.094,12004700.0,5.094,12004700.0,5.094,12004700.0,5.094,2.1,17196308.0
2009,12335092.0,5.081,12335092.0,5.081,12335092.0,5.081,12335092.0,5.081,2.1,17196308.0
2010,12678143.0,5.064,12678143.0,5.064,12678143.0,5.064,12678143.0,5.064,2.1,17196308.0
2011,13033814.0,5.039,13033814.0,5.039,13033814.0,5.039,13033814.0,5.039,2.1,17196308.0
2012,13401990.0,5.005,13401990.0,5.005,13401990.0,5.005,13401990.0,5.005,2.1,17196308.0
2013,13782429.0,4.96,13782429.0,4.96,13782429.0,4.96,13782429.0,4.96,2.1,17196308.0
2014,14174740.0,4.905,14174740.0,4.905,14174740.0,4.905,14174740.0,4.905,2.1,17196308.0
2015,14578450.0,4.841,14578450.0,4.841,14578450.0,4.841,14578450.0,4.841,2.1,17196308.0
2016,14993514.0,4.77,14993514.0,4.77,14993514.0,4.77,14993514.0,4.77,2.1,17196308.0
2017,15419354.0,4.697,15419354.0,4.697,15419354.0,4.697,15419354.0,4.697,2.1,17196308.0
2018,15854324.0,4.625,15854324.0,4.625,15854324.0,4.625,15854324.0,4.625,2.1,17196308.0
2019,16296362.0,4.556,16296362.0,4.556,16296362.0,4.556,16296362.0,4.556,2.1,17196308.0
2020,16743930.0,4.491,16743930.0,4.491,16743930.0,4.491,16743930.0,4.491,2.1,17196308.0
2021,17196308.0,4.491,17196308.0,4.491,17196308.0,4.491,17196308.0,4.491,2.1,17196308.0
2022,17479321.942,4.458,17477359.518,4.441,17477623.691,4.443,17483338.441,4.491,2.1,17196308.0
2023,17758349.307,4.424,17752498.419,4.392,17753285.207,4.396,17770368.883,4.491,2.1,17196308.0
2024,18033419.796,4.391,18021790.274,4.343,18023352.482,4.35,18057399.324,4.491,2.1,17196308.0
2025,18304562.888,4.359,18285299.927,4.295,18287884.817,4.304,18344429.766,4.491,2.1,17196308.0
2026,18571807.84,4.326,18543091.501,4.247,18546940.88,4.258,18631460.207,4.491,2.1,17196308.0
2027,18835183.695,4.294,18795228.412,4.2,18800578.721,4.213,18918490.649,4.491,2.1,17196308.0
2028,19094719.277,4.262,19041773.368,4.154,19048855.773,4.168,19205521.09,4.491,2.1,17196308.0
2029,19350443.197,4.23,19282788.385,4.108,19291828.86,4.124,19492551.531,4.491,2.1,17196308.0
2030,19602383.85,4.199,19518334.79,4.062,19529554.204,4.08,19779581.973,4.491,2.1,17196308.0
2031,19850569.423,4.167,19748473.229,4.017,19762087.431,4.037,20066612.414,4.491,2.1,17196308.0
2032,20095027.891,4.136,19973263.678,3.973,19989483.577,3.994,20353642.856,4.491,2.1,17196308.0
2033,20335787.021,4.106,20192765.444,3.928,20211797.096,3.952,20640673.297,4.491,2.1,17196308.0
2034,20572874.372,4.075,20407037.181,3.885,20429081.864,3.91,20927703.739,4.491,2.1,17196308.0
2035,20806317.3,4.045,20616136.888,3.842,20641391.185,3.869,21214734.18,4.491,2.1,17196308.0
2036,21036142.956,4.014,20820121.923,3.799,20848777.799,3.828,21501764.621,4.491,2.1,17196308.0
2037,21262378.288,3.985,21019049.009,3.757,21051293.887,3.787,21788795.063,4.491,2.1,17196308.0
2038,21485050.044,3.955,21212974.238,3.715,21248991.076,3.747,22075825.504,4.491,2.1,17196308.0
2039,21704184.772,3.925,21401953.08,3.674,21441920.446,3.707,22362855.946,4.491,2.1,17196308.0
2040,21919808.825,3.896,21586040.391,3.633,21630132.537,3.668,22649886.387,4.491,2.1,17196308.0
2041,22131948.355,3.867,21765290.418,3.593,21813677.352,3.629,22936916.829,4.491,2.1,17196308.0
2042,22340629.324,3.838,21939756.806,3.553,21992604.363,3.59,23223947.27,4.491,2.1,17196308.0
2043,22545877.496,3.81,22109492.607,3.514,22166962.52,3.552,23510977.711,4.491,2.1,17196308.0
2044,22747718.447,3.781,22274550.281,3.475,22336800.252,3.515,23798008.153,4.491,2.1,17196308.0
2045,22946177.56,3.753,22434981.711,3.436,22502165.477,3.478,24085038.594,4.491,2.1,17196308.0
2046,23141280.03,3.725,22590838.2,3.398,22663105.601,3.441,24372069.036,4.491,2.1,17196308.0
2047,23333050.864,3.697,22742170.485,3.361,22819667.532,3.404,24659099.477,4.491,2.1,17196308.0
2048,23521514.883,3.67,22889028.739,3.323,22971897.678,3.368,24946129.919,4.491,2.1,17196308.0
2049,23706696.722,3.643,23031462.579,3.286,23119841.957,3.332,25233160.36,4.491,2.1,17196308.0
2050,23888620.834,3.615,23169521.073,3.25,23263545.798,3.297,25520190.801,4.491,2.1,17196308.0
2051,24067311.489,3.589,23303252.742,3.214,23403054.15,3.262,25807221.243,4.491,2.1,17196308.0
2052,24242792.775,3.562,23432705.571,3.178,23538411.485,3.228,26094251.684,4.491,2.1,17196308.0
2053,24415088.603,3.535,23557927.012,3.143,23669661.805,3.193,26381282.126,4.491,2.1,17196308.0
2054,24584222.705,3.509,23678963.992,3.108,23796848.643,3.159,26668312.567,4.491,2.1,17196308.0
2055,24750218.635,3.483,23795862.916,3.074,23920015.072,3.126,26955343.009,4.491,2.1,17196308.0
2056,24913099.773,3.457,23908669.675,3.04,24039203.709,3.093,27242373.45,4.491,2.1,17196308.0
2057,25072889.323,3.431,24017429.652,3.006,24154456.718,3.06,27529403.891,4.491,2.1,17196308.0
2058,25229610.319,3.406,24122187.725,2.973,24265815.817,3.028,27816434.333,4.491,2.1,17196308.0
2059,25383285.621,3.38,24222988.275,2.94,24373322.281,2.996,28103464.774,4.491,2.1,17196308.0
2060,25533937.919,3.355,24319875.191,2.907,24477016.948,2.964,28390495.216,4.491,2.1,17196308.0
2061,25681589.734,3.33,24412891.875,2.875,24576940.224,2.932,28677525.657,4.491,2.1,17196308.0
2062,25826263.422,3.305,24502081.249,2.843,24673132.085,2.901,28964556.099,4.491,2.1,17196308.0
2063,25967981.167,3.281,24587485.757,2.811,24765632.084,2.871,29251586.54,4.491,2.1,17196308.0
2064,26106764.993,3.256,24669147.373,2.78,24854479.355,2.84,29538616.981,4.491,2.1,17196308.0
2065,26242636.756,3.232,24747107.606,2.749,24939712.617,2.81,29825647.423,4.491,2.1,17196308.0
2066,26375618.152,3.208,24821407.504,2.719,25021370.178,2.78,30112677.864,4.491,2.1,17196308.0
2067,26505730.714,3.184,24892087.661,2.689,25099489.94,2.751,30399708.306,4.491,2.1,17196308.0
2068,26632995.815,3.16,24959188.219,2.659,25174109.405,2.722,30686738.747,4.491,2.1,17196308.0
2069,26757434.668,3.137,25022748.876,2.629,25245265.675,2.693,30973769.189,4.491,2.1,17196308.0
2070,26879068.33,3.113,25082808.89,2.6,25312995.461,2.664,31260799.63,4.491,2.1,17196308.0
2071,26997917.697,3.09,25139407.083,2.571,25377335.082,2.636,31547830.071,4.491,2.1,17196308.0
2072,27114003.514,3.067,25192581.845,2.543,25438320.476,2.608,31834860.513,4.491,2.1,17196308.0
2073,27227346.37,3.044,25242371.144,2.515,25495987.196,2.58,32121890.954,4.491,2.1,17196308.0
2074,27337966.698,3.021,25288812.524,2.487,25550370.421,2.553,32408921.396,4.491,2.1,17196308.0
2075,27445884.782,2.999,25331943.113,2.459,25601504.955,2.526,32695951.837,4.491,2.1,17196308.0
2076,27551120.754,2.977,25371799.629,2.432,25649425.235,2.499,32982982.279,4.491,2.1,17196308.0
2077,27653694.595,2.954,25408418.379,2.405,25694165.332,2.473,33270012.72,4.491,2.1,17196308.0
2078,27753626.139,2.932,25441835.273,2.378,25735758.955,2.446,33557043.161,4.491,2.1,17196308.0
2079,27850935.07,2.911,25472085.817,2.352,25774239.458,2.421,33844073.603,4.491,2.1,17196308.0
2080,27945640.926,2.889,25499205.126,2.326,25809639.84,2.395,34131104.044,4.491,2.1,17196308.0
2081,28037763.102,2.867,25523227.927,2.3,25841992.749,2.37,34418134.486,4.491,2.1,17196308.0
2082,28127320.844,2.846,25544188.56,2.275,25871330.489,2.344,34705164.927,4.491,2.1,17196308.0
2083,28214333.259,2.825,25562120.983,2.249,25897685.021,2.32,34992195.369,4.491,2.1,17196308.0
2084,28298819.308,2.804,25577058.78,2.224,25921087.967,2.295,35279225.81,4.491,2.1,17196308.0
2085,28380797.814,2.783,25589035.161,2.2,25941570.613,2.271,35566256.251,4.491,2.1,17196308.0
2086,28460287.457,2.762,25598082.968,2.175,25959163.915,2.247,35853286.693,4.491,2.1,17196308.0
2087,28537306.78,2.742,25604234.679,2.151,25973898.5,2.223,36140317.134,4.491,2.1,17196308.0
2088,28611874.186,2.721,25607522.412,2.127,25985804.67,2.199,36427347.576,4.491,2.1,17196308.0
2089,28684007.943,2.701,25607977.928,2.104,25994912.407,2.176,36714378.017,4.491,2.1,17196308.0
2090,28753726.18,2.681,25605632.637,2.08,26001251.373,2.153,37001408.459,4.491,2.1,17196308.0
2091,28821046.894,2.661,25600517.6,2.057,26004850.918,2.13,37288438.9,4.491,2.1,17196308.0
2092,28885987.945,2.641,25592663.532,2.035,26005740.08,2.107,37575469.341,4.491,2.1,17196308.0
2093,28948567.064,2.621,25582100.811,2.012,26003947.588,2.085,37862499.783,4.491,2.1,17196308.0
2094,29008801.845,2.602,25568859.474,1.99,25999501.868,2.063,38149530.224,4.491,2.1,17196308.0
2095,29066709.754,2.582,25552969.228,1.968,25992431.045,2.041,38436560.666,4.491,2.1,17196308.0
2096,29122308.127,2.563,25534459.449,1.946,25982762.945,2.019,38723591.107,4.491,2.1,17196308.0
2097,29175614.169,2.544,25513359.188,1.924,25970525.098,1.998,39010621.549,4.491,2.1,17196308.0
2098,29226644.959,2.525,25489697.173,1.903,25955744.744,1.977,39297651.99,4.491,2.1,17196308.0
2099,29275417.446,2.506,25463501.814,1.882,25938448.834,1.956,39584682.431,4.491,2.1,17196308.0
2100,29321948.456,2.488,25434801.206,1.861,25918664.032,1.935,39871712.873,4.491,2.1,17196308.0
2101,29366254.688,2.469,25403623.131,1.84,25896416.721,1.915,40158743.314,4.491,2.1,17196308.0
2102,29408352.715,2.451,25369995.066,1.82,25871733.003,1.894,40445773.756,4.491,2.1,17196308.0
2103,29448258.989,2.432,25333944.181,1.8,25844638.704,1.874,40732804.197,4.491,2.1,17196308.0
2104,29485989.839,2.414,25295497.344,1.78,25815159.377,1.854,41019834.639,4.491,2.1,17196308.0
2105,29521561.471,2.396,25254681.126,1.76,25783320.302,1.835,41306865.08,4.491,2.1,17196308.0
2106,29554989.972,2.378,25211521.805,1.74,25749146.493,1.815,41593895.521,4.491,2.1,17196308.0
2107,29586291.308,2.361,25166045.365,1.721,25712662.699,1.796,41880925.963,4.491,2.1,17196308.0
2108,29615481.327,2.343,25118277.503,1.702,25673893.405,1.777,42167956.404,4.491,2.1,17196308.0
2109,29642575.757,2.326,25068243.631,1.683,25632862.836,1.758,42454986.846,4.491,2.1,17196308.0
2110,29667590.211,2.308,25015968.879,1.665,25589594.964,1.74,42742017.287,4.491,2.1,17196308.0
2111,29690540.184,2.291,24961478.098,1.646,25544113.503,1.721,43029047.729,4.491,2.1,17196308.0
2112,29711441.058,2.274,24904795.864,1.628,25496441.917,1.703,43316078.17,4.491,2.1,17196308.0
2113,29730308.098,2.257,24845946.48,1.61,25446603.422,1.685,43603108.611,4.491,2.1,17196308.0
2114,29747156.455,2.24,24784953.98,1.592,25394620.987,1.667,43890139.053,4.491,2.1,17196308.0
2115,29762001.17,2.224,24721842.131,1.574,25340517.337,1.649,44177169.494,4.491,2.1,17196308.0
2116,29774857.169,2.207,24656634.437,1.557,25284314.958,1.632,44464199.936,4.491,2.1,17196308.0
2117,29785739.267,2.191,24589354.141,1.54,25226036.096,1.615,44751230.377,4.491,2.1,17196308.0
2118,29794662.172,2.174,24520024.227,1.522,25165702.761,1.597,45038260.819,4.491,2.1,17196308.0
2119,29801640.478,2.158,24448667.427,1.506,25103336.732,1.58,45325291.26,4.491,2.1,17196308.0
2120,29806688.674,2.142,24375306.217,1.489,25038959.554,1.564,45612321.701,4.491,2.1,17196308.0
2121,29809821.137,2.126,24299962.828,1.472,24972592.546,1.547,45899352.143,4.491,2.1,17196308.0
