year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,1646400.0,5.76,1646400.0,5.76,1646400.0,5.76,1646400,5.76,2.1,5453566.0
1961,1702400.0,5.41,1702400.0,5.41,1702400.0,5.41,1702400,5.41,2.1,5453566.0
1962,1750200.0,5.21,1750200.0,5.21,1750200.0,5.21,1750200,5.21,2.1,5453566.0
1963,1795000.0,5.16,1795000.0,5.16,1795000.0,5.16,1795000,5.16,2.1,5453566.0
1964,1841600.0,4.97,1841600.0,4.97,1841600.0,4.97,1841600,4.97,2.1,5453566.0
1965,1886900.0,4.66,1886900.0,4.66,1886900.0,4.66,1886900,4.66,2.1,5453566.0
1966,1934400.0,4.46,1934400.0,4.46,1934400.0,4.46,1934400,4.46,2.1,5453566.0
1967,1977600.0,3.91,1977600.0,3.91,1977600.0,3.91,1977600,3.91,2.1,5453566.0
1968,2012000.0,3.53,2012000.0,3.53,2012000.0,3.53,2012000,3.53,2.1,5453566.0
1969,2042500.0,3.22,2042500.0,3.22,2042500.0,3.22,2042500,3.22,2.1,5453566.0
1970,2074507.0,3.07,2074507.0,3.07,2074507.0,3.07,2074507,3.07,2.1,5453566.0
1971,2112900.0,3.02,2112900.0,3.02,2112900.0,3.02,2112900,3.02,2.1,5453566.0
1972,2152400.0,3.04,2152400.0,3.04,2152400.0,3.04,2152400,3.04,2.1,5453566.0
1973,2193000.0,2.79,2193000.0,2.79,2193000.0,2.79,2193000,2.79,2.1,5453566.0
1974,2229800.0,2.35,2229800.0,2.35,2229800.0,2.35,2229800,2.35,2.1,5453566.0
1975,2262600.0,2.07,2262600.0,2.07,2262600.0,2.07,2262600,2.07,2.1,5453566.0
1976,2293300.0,2.11,2293300.0,2.11,2293300.0,2.11,2293300,2.11,2.1,5453566.0
1977,2325300.0,1.82,2325300.0,1.82,2325300.0,1.82,2325300,1.82,2.1,5453566.0
1978,2353600.0,1.79,2353600.0,1.79,2353600.0,1.79,2353600,1.79,2.1,5453566.0
