year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,117847.0,6.388,117847.0,6.388,117847.0,6.388,117847.0,6.388,2.1,703995.0
1961,121385.0,6.385,121385.0,6.385,121385.0,6.385,121385.0,6.385,2.1,703995.0
1962,125040.0,6.383,125040.0,6.383,125040.0,6.383,125040.0,6.383,2.1,703995.0
1963,128838.0,6.385,128838.0,6.385,128838.0,6.385,128838.0,6.385,2.1,703995.0
1964,132766.0,6.394,132766.0,6.394,132766.0,6.394,132766.0,6.394,2.1,703995.0
1965,136815.0,6.419,136815.0,6.419,136815.0,6.419,136815.0,6.419,2.1,703995.0
1966,140995.0,6.47,140995.0,6.47,140995.0,6.47,140995.0,6.47,2.1,703995.0
1967,145319.0,6.549,145319.0,6.549,145319.0,6.549,145319.0,6.549,2.1,703995.0
1968,149887.0,6.655,149887.0,6.655,149887.0,6.655,149887.0,6.655,2.1,703995.0
1969,154830.0,6.781,154830.0,6.781,154830.0,6.781,154830.0,6.781,2.1,703995.0
1970,160240.0,6.914,160240.0,6.914,160240.0,6.914,160240.0,6.914,2.1,703995.0
1971,166163.0,7.04,166163.0,7.04,166163.0,7.04,166163.0,7.04,2.1,703995.0
1972,172550.0,7.145,172550.0,7.145,172550.0,7.145,172550.0,7.145,2.1,703995.0
1973,179306.0,7.216,179306.0,7.216,179306.0,7.216,179306.0,7.216,2.1,703995.0
1974,186297.0,7.248,186297.0,7.248,186297.0,7.248,186297.0,7.248,2.1,703995.0
1975,193401.0,7.236,193401.0,7.236,193401.0,7.236,193401.0,7.236,2.1,703995.0
1976,200602.0,7.182,200602.0,7.182,200602.0,7.182,200602.0,7.182,2.1,703995.0
1977,207885.0,7.096,207885.0,7.096,207885.0,7.096,207885.0,7.096,2.1,703995.0
1978,215299.0,6.99,215299.0,6.99,215299.0,6.99,215299.0,6.99,2.1,703995.0
1979,222841.0,6.871,222841.0,6.871,222841.0,6.871,222841.0,6.871,2.1,703995.0
1980,230550.0,6.748,230550.0,6.748,230550.0,6.748,230550.0,6.748,2.1,703995.0
1981,238423.0,6.632,238423.0,6.632,238423.0,6.632,238423.0,6.632,2.1,703995.0
1982,246451.0,6.525,246451.0,6.525,246451.0,6.525,246451.0,6.525,2.1,703995.0
1983,254566.0,6.431,254566.0,6.431,254566.0,6.431,254566.0,6.431,2.1,703995.0
1984,262691.0,6.349,262691.0,6.349,262691.0,6.349,262691.0,6.349,2.1,703995.0
1985,270787.0,6.278,270787.0,6.278,270787.0,6.278,270787.0,6.278,2.1,703995.0
1986,278834.0,6.211,278834.0,6.211,278834.0,6.211,278834.0,6.211,2.1,703995.0
1987,286871.0,6.139,286871.0,6.139,286871.0,6.139,286871.0,6.139,2.1,703995.0
1988,294976.0,6.056,294976.0,6.056,294976.0,6.056,294976.0,6.056,2.1,703995.0
1989,303272.0,5.961,303272.0,5.961,303272.0,5.961,303272.0,5.961,2.1,703995.0
1990,311869.0,5.851,311869.0,5.851,311869.0,5.851,311869.0,5.851,2.1,703995.0
1991,320781.0,5.728,320781.0,5.728,320781.0,5.728,320781.0,5.728,2.1,703995.0
1992,330004.0,5.596,330004.0,5.596,330004.0,5.596,330004.0,5.596,2.1,703995.0
1993,339501.0,5.461,339501.0,5.461,339501.0,5.461,339501.0,5.461,2.1,703995.0
1994,349273.0,5.326,349273.0,5.326,349273.0,5.326,349273.0,5.326,2.1,703995.0
1995,359276.0,5.197,359276.0,5.197,359276.0,5.197,359276.0,5.197,2.1,703995.0
1996,369517.0,5.077,369517.0,5.077,369517.0,5.077,369517.0,5.077,2.1,703995.0
1997,379998.0,4.968,379998.0,4.968,379998.0,4.968,379998.0,4.968,2.1,703995.0
1998,390702.0,4.872,390702.0,4.872,390702.0,4.872,390702.0,4.872,2.1,703995.0
1999,401592.0,4.789,401592.0,4.789,401592.0,4.789,401592.0,4.789,2.1,703995.0
2000,412665.0,4.719,412665.0,4.719,412665.0,4.719,412665.0,4.719,2.1,703995.0
2001,423949.0,4.659,423949.0,4.659,423949.0,4.659,423949.0,4.659,2.1,703995.0
2002,435434.0,4.606,435434.0,4.606,435434.0,4.606,435434.0,4.606,2.1,703995.0
2003,447016.0,4.558,447016.0,4.558,447016.0,4.558,447016.0,4.558,2.1,703995.0
2004,458549.0,4.513,458549.0,4.513,458549.0,4.513,458549.0,4.513,2.1,703995.0
2005,469918.0,4.473,469918.0,4.473,469918.0,4.473,469918.0,4.473,2.1,703995.0
2006,481086.0,4.44,481086.0,4.44,481086.0,4.44,481086.0,4.44,2.1,703995.0
2007,492133.0,4.417,492133.0,4.417,492133.0,4.417,492133.0,4.417,2.1,703995.0
2008,503366.0,4.403,503366.0,4.403,503366.0,4.403,503366.0,4.403,2.1,703995.0
2009,515182.0,4.399,515182.0,4.399,515182.0,4.399,515182.0,4.399,2.1,703995.0
2010,527861.0,4.403,527861.0,4.403,527861.0,4.403,527861.0,4.403,2.1,703995.0
2011,541522.0,4.413,541522.0,4.413,541522.0,4.413,541522.0,4.413,2.1,703995.0
2012,556066.0,4.428,556066.0,4.428,556066.0,4.428,556066.0,4.428,2.1,703995.0
2013,571329.0,4.443,571329.0,4.443,571329.0,4.443,571329.0,4.443,2.1,703995.0
2014,587079.0,4.455,587079.0,4.455,587079.0,4.455,587079.0,4.455,2.1,703995.0
2015,603133.0,4.459,603133.0,4.459,603133.0,4.459,603133.0,4.459,2.1,703995.0
2016,619438.0,4.452,619438.0,4.452,619438.0,4.452,619438.0,4.452,2.1,703995.0
2017,636030.0,4.434,636030.0,4.434,636030.0,4.434,636030.0,4.434,2.1,703995.0
2018,652856.0,4.403,652856.0,4.403,652856.0,4.403,652856.0,4.403,2.1,703995.0
2019,669821.0,4.361,669821.0,4.361,669821.0,4.361,669821.0,4.361,2.1,703995.0
2020,686878.0,4.309,686878.0,4.309,686878.0,4.309,686878.0,4.309,2.1,703995.0
2021,703995.0,4.309,703995.0,4.309,703995.0,4.309,703995.0,4.309,2.1,703995.0
2022,713990.669,4.281,714101.871,4.305,714011.804,4.285,714120.635,4.309,2.1,703995.0
2023,723857.228,4.252,724189.996,4.301,723920.376,4.262,724246.27,4.309,2.1,703995.0
2024,733595.526,4.224,734259.393,4.297,733721.312,4.238,734371.906,4.309,2.1,703995.0
2025,743206.407,4.197,744310.079,4.293,743415.206,4.215,744497.541,4.309,2.1,703995.0
2026,752690.709,4.169,754342.072,4.289,753002.647,4.192,754623.176,4.309,2.1,703995.0
2027,762049.265,4.142,764355.39,4.284,762484.223,4.168,764748.811,4.309,2.1,703995.0
2028,771282.903,4.114,774350.05,4.28,771860.515,4.146,774874.447,4.309,2.1,703995.0
2029,780392.445,4.087,784326.071,4.276,781132.105,4.123,785000.082,4.309,2.1,703995.0
2030,789378.707,4.06,794283.47,4.272,790299.569,4.1,795125.717,4.309,2.1,703995.0
2031,798242.499,4.034,804222.265,4.268,799363.481,4.077,805251.352,4.309,2.1,703995.0
2032,806984.63,4.007,814142.473,4.264,808324.412,4.055,815376.988,4.309,2.1,703995.0
2033,815605.897,3.981,824044.113,4.26,817182.929,4.033,825502.623,4.309,2.1,703995.0
2034,824107.098,3.955,833927.201,4.256,825939.596,4.01,835628.258,4.309,2.1,703995.0
2035,832489.022,3.929,843791.755,4.252,834594.975,3.988,845753.893,4.309,2.1,703995.0
2036,840752.454,3.903,853637.794,4.248,843149.623,3.966,855879.529,4.309,2.1,703995.0
2037,848898.173,3.877,863465.334,4.244,851604.096,3.944,866005.164,4.309,2.1,703995.0
2038,856926.954,3.852,873274.393,4.24,859958.945,3.923,876130.799,4.309,2.1,703995.0
2039,864839.567,3.826,883064.989,4.236,868214.72,3.901,886256.434,4.309,2.1,703995.0
2040,872636.776,3.801,892837.139,4.232,876371.967,3.88,896382.07,4.309,2.1,703995.0
2041,880319.34,3.776,902590.861,4.228,884431.227,3.858,906507.705,4.309,2.1,703995.0
2042,887888.014,3.751,912326.172,4.224,892393.042,3.837,916633.34,4.309,2.1,703995.0
2043,895343.547,3.726,922043.09,4.22,900257.948,3.816,926758.975,4.309,2.1,703995.0
2044,902686.683,3.702,931741.632,4.216,908026.48,3.795,936884.61,4.309,2.1,703995.0
2045,909918.162,3.678,941421.816,4.212,915699.167,3.774,947010.246,4.309,2.1,703995.0
2046,917038.719,3.653,951083.659,4.208,923276.538,3.753,957135.881,4.309,2.1,703995.0
2047,924049.084,3.629,960727.178,4.204,930759.119,3.732,967261.516,4.309,2.1,703995.0
2048,930949.982,3.605,970352.392,4.2,938147.432,3.712,977387.151,4.309,2.1,703995.0
2049,937742.132,3.582,979959.316,4.196,945441.996,3.691,987512.787,4.309,2.1,703995.0
2050,944426.251,3.558,989547.97,4.192,952643.327,3.671,997638.422,4.309,2.1,703995.0
2051,951003.05,3.535,999118.369,4.188,959751.94,3.651,1007764.057,4.309,2.1,703995.0
2052,957473.234,3.512,1008670.532,4.184,966768.345,3.631,1017889.692,4.309,2.1,703995.0
2053,963837.505,3.488,1018204.476,4.18,973693.051,3.611,1028015.328,4.309,2.1,703995.0
2054,970096.56,3.465,1027720.218,4.176,980526.562,3.591,1038140.963,4.309,2.1,703995.0
2055,976251.092,3.443,1037217.775,4.172,987269.381,3.571,1048266.598,4.309,2.1,703995.0
2056,982301.788,3.42,1046697.165,4.168,993922.008,3.551,1058392.233,4.309,2.1,703995.0
2057,988249.331,3.398,1056158.404,4.164,1000484.94,3.532,1068517.869,4.309,2.1,703995.0
2058,994094.4,3.375,1065601.511,4.16,1006958.671,3.512,1078643.504,4.309,2.1,703995.0
2059,999837.669,3.353,1075026.502,4.156,1013343.692,3.493,1088769.139,4.309,2.1,703995.0
2060,1005479.809,3.331,1084433.395,4.152,1019640.493,3.474,1098894.774,4.309,2.1,703995.0
2061,1011021.484,3.309,1093822.206,4.148,1025849.559,3.455,1109020.41,4.309,2.1,703995.0
2062,1016463.356,3.287,1103192.954,4.144,1031971.373,3.436,1119146.045,4.309,2.1,703995.0
2063,1021806.082,3.266,1112545.654,4.14,1038006.418,3.417,1129271.68,4.309,2.1,703995.0
2064,1027050.313,3.244,1121880.325,4.136,1043955.17,3.398,1139397.315,4.309,2.1,703995.0
