year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,2317638.0,6.127,2317638.0,6.127,2317638.0,6.127,2317638.0,6.127,2.1,8141343.0
1961,2352370.0,6.171,2352370.0,6.171,2352370.0,6.171,2352370.0,6.171,2.1,8141343.0
1962,2388759.0,6.216,2388759.0,6.216,2388759.0,6.216,2388759.0,6.216,2.1,8141343.0
1963,2426864.0,6.26,2426864.0,6.26,2426864.0,6.26,2426864.0,6.26,2.1,8141343.0
1964,2466671.0,6.3,2466671.0,6.3,2466671.0,6.3,2466671.0,6.3,2.1,8141343.0
1965,2508226.0,6.337,2508226.0,6.337,2508226.0,6.337,2508226.0,6.337,2.1,8141343.0
1966,2551580.0,6.37,2551580.0,6.37,2551580.0,6.37,2551580.0,6.37,2.1,8141343.0
1967,2596798.0,6.402,2596798.0,6.402,2596798.0,6.402,2596798.0,6.402,2.1,8141343.0
1968,2644011.0,6.434,2644011.0,6.434,2644011.0,6.434,2644011.0,6.434,2.1,8141343.0
1969,2693344.0,6.465,2693344.0,6.465,2693344.0,6.465,2693344.0,6.465,2.1,8141343.0
1970,2744890.0,6.496,2744890.0,6.496,2744890.0,6.496,2744890.0,6.496,2.1,8141343.0
1971,2798727.0,6.524,2798727.0,6.524,2798727.0,6.524,2798727.0,6.524,2.1,8141343.0
1972,2854866.0,6.55,2854866.0,6.55,2854866.0,6.55,2854866.0,6.55,2.1,8141343.0
1973,2913347.0,6.573,2913347.0,6.573,2913347.0,6.573,2913347.0,6.573,2.1,8141343.0
1974,2974105.0,6.594,2974105.0,6.594,2974105.0,6.594,2974105.0,6.594,2.1,8141343.0
1975,3037158.0,6.611,3037158.0,6.611,3037158.0,6.611,3037158.0,6.611,2.1,8141343.0
1976,3102595.0,6.628,3102595.0,6.628,3102595.0,6.628,3102595.0,6.628,2.1,8141343.0
1977,3170503.0,6.644,3170503.0,6.644,3170503.0,6.644,3170503.0,6.644,2.1,8141343.0
1978,3240841.0,6.66,3240841.0,6.66,3240841.0,6.66,3240841.0,6.66,2.1,8141343.0
1979,3313506.0,6.675,3313506.0,6.675,3313506.0,6.675,3313506.0,6.675,2.1,8141343.0
1980,3388494.0,6.69,3388494.0,6.69,3388494.0,6.69,3388494.0,6.69,2.1,8141343.0
1981,3464113.0,6.704,3464113.0,6.704,3464113.0,6.704,3464113.0,6.704,2.1,8141343.0
1982,3540164.0,6.715,3540164.0,6.715,3540164.0,6.715,3540164.0,6.715,2.1,8141343.0
1983,3619854.0,6.724,3619854.0,6.724,3619854.0,6.724,3619854.0,6.724,2.1,8141343.0
1984,3707513.0,6.729,3707513.0,6.729,3707513.0,6.729,3707513.0,6.729,2.1,8141343.0
1985,3805304.0,6.731,3805304.0,6.731,3805304.0,6.731,3805304.0,6.731,2.1,8141343.0
1986,3916685.0,6.732,3916685.0,6.732,3916685.0,6.732,3916685.0,6.732,2.1,8141343.0
1987,4038154.0,6.731,4038154.0,6.731,4038154.0,6.731,4038154.0,6.731,2.1,8141343.0
1988,4156636.0,6.73,4156636.0,6.73,4156636.0,6.73,4156636.0,6.73,2.1,8141343.0
1989,4254434.0,6.726,4254434.0,6.726,4254434.0,6.726,4254434.0,6.726,2.1,8141343.0
1990,4319763.0,6.721,4319763.0,6.721,4319763.0,6.721,4319763.0,6.721,2.1,8141343.0
1991,4348663.0,6.711,4348663.0,6.711,4348663.0,6.711,4348663.0,6.711,2.1,8141343.0
1992,4347727.0,6.696,4347727.0,6.696,4347727.0,6.696,4347727.0,6.696,2.1,8141343.0
1993,4328965.0,6.674,4328965.0,6.674,4328965.0,6.674,4328965.0,6.674,2.1,8141343.0
1994,4309780.0,6.645,4309780.0,6.645,4309780.0,6.645,4309780.0,6.645,2.1,8141343.0
1995,4303953.0,6.608,4303953.0,6.608,4303953.0,6.608,4303953.0,6.608,2.1,8141343.0
1996,4312660.0,6.564,4312660.0,6.564,4312660.0,6.564,4312660.0,6.564,2.1,8141343.0
1997,4335295.0,6.512,4335295.0,6.512,4335295.0,6.512,4335295.0,6.512,2.1,8141343.0
1998,4381484.0,6.455,4381484.0,6.455,4381484.0,6.455,4381484.0,6.455,2.1,8141343.0
1999,4462374.0,6.39,4462374.0,6.39,4462374.0,6.39,4462374.0,6.39,2.1,8141343.0
2000,4584570.0,6.319,4584570.0,6.319,4584570.0,6.319,4584570.0,6.319,2.1,8141343.0
2001,4754069.0,6.242,4754069.0,6.242,4754069.0,6.242,4754069.0,6.242,2.1,8141343.0
2002,4965770.0,6.158,4965770.0,6.158,4965770.0,6.158,4965770.0,6.158,2.1,8141343.0
2003,5201074.0,6.067,5201074.0,6.067,5201074.0,6.067,5201074.0,6.067,2.1,8141343.0
2004,5433995.0,5.969,5433995.0,5.969,5433995.0,5.969,5433995.0,5.969,2.1,8141343.0
2005,5645629.0,5.863,5645629.0,5.863,5645629.0,5.863,5645629.0,5.863,2.1,8141343.0
2006,5829240.0,5.747,5829240.0,5.747,5829240.0,5.747,5829240.0,5.747,2.1,8141343.0
2007,5989641.0,5.621,5989641.0,5.621,5989641.0,5.621,5989641.0,5.621,2.1,8141343.0
2008,6133599.0,5.487,6133599.0,5.487,6133599.0,5.487,6133599.0,5.487,2.1,8141343.0
2009,6272735.0,5.346,6272735.0,5.346,6272735.0,5.346,6272735.0,5.346,2.1,8141343.0
2010,6415636.0,5.202,6415636.0,5.202,6415636.0,5.202,6415636.0,5.202,2.1,8141343.0
2011,6563238.0,5.06,6563238.0,5.06,6563238.0,5.06,6563238.0,5.06,2.1,8141343.0
2012,6712586.0,4.923,6712586.0,4.923,6712586.0,4.923,6712586.0,4.923,2.1,8141343.0
2013,6863975.0,4.793,6863975.0,4.793,6863975.0,4.793,6863975.0,4.793,2.1,8141343.0
2014,7017153.0,4.672,7017153.0,4.672,7017153.0,4.672,7017153.0,4.672,2.1,8141343.0
2015,7171909.0,4.561,7171909.0,4.561,7171909.0,4.561,7171909.0,4.561,2.1,8141343.0
2016,7328846.0,4.457,7328846.0,4.457,7328846.0,4.457,7328846.0,4.457,2.1,8141343.0
2017,7488427.0,4.359,7488427.0,4.359,7488427.0,4.359,7488427.0,4.359,2.1,8141343.0
2018,7650149.0,4.263,7650149.0,4.263,7650149.0,4.263,7650149.0,4.263,2.1,8141343.0
2019,7813207.0,4.169,7813207.0,4.169,7813207.0,4.169,7813207.0,4.169,2.1,8141343.0
2020,7976985.0,4.077,7976985.0,4.077,7976985.0,4.077,7976985.0,4.077,2.1,8141343.0
2021,8141343.0,4.077,8141343.0,4.077,8141343.0,4.077,8141343.0,4.077,2.1,8141343.0
2022,8278575.686,4.049,8272743.147,3.966,8274324.706,3.989,8280530.39,4.077,2.1,8141343.0
2023,8413866.979,4.022,8396567.319,3.859,8401234.896,3.903,8419717.78,4.077,2.1,8141343.0
2024,8547230.1,3.994,8513021.052,3.754,8522204.836,3.818,8558905.17,4.077,2.1,8141343.0
2025,8678678.181,3.967,8622304.306,3.652,8637362.953,3.736,8698092.56,4.077,2.1,8141343.0
2026,8808224.262,3.94,8724611.616,3.553,8746834.899,3.655,8837279.95,4.077,2.1,8141343.0
2027,8935881.296,3.913,8820132.24,3.457,8850743.61,3.576,8976467.34,4.077,2.1,8141343.0
2028,9061662.147,3.887,8909050.3,3.363,8949209.363,3.499,9115654.73,4.077,2.1,8141343.0
2029,9185579.593,3.86,8991544.925,3.272,9042349.834,3.423,9254842.12,4.077,2.1,8141343.0
2030,9307646.323,3.834,9067790.381,3.183,9130280.155,3.349,9394029.51,4.077,2.1,8141343.0
2031,9427874.941,3.808,9137956.208,3.097,9213112.971,3.277,9533216.9,4.077,2.1,8141343.0
2032,9546277.963,3.782,9202207.348,3.013,9290958.489,3.206,9672404.29,4.077,2.1,8141343.0
2033,9662867.823,3.756,9260704.265,2.931,9363924.536,3.136,9811591.68,4.077,2.1,8141343.0
