year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,2766319.0,6.674,2766319.0,6.674,2766319.0,6.674,2766319.0,6.674,2.1,6518500.0
1961,2846601.0,6.679,2846601.0,6.679,2846601.0,6.679,2846601.0,6.679,2.1,6518500.0
1962,2931187.0,6.67,2931187.0,6.67,2931187.0,6.67,2931187.0,6.67,2.1,6518500.0
1963,3019224.0,6.645,3019224.0,6.645,3019224.0,6.645,3019224.0,6.645,2.1,6518500.0
1964,3109571.0,6.606,3109571.0,6.606,3109571.0,6.606,3109571.0,6.606,2.1,6518500.0
1965,3201310.0,6.552,3201310.0,6.552,3201310.0,6.552,3201310.0,6.552,2.1,6518500.0
1966,3293954.0,6.488,3293954.0,6.488,3293954.0,6.488,3293954.0,6.488,2.1,6518500.0
1967,3387384.0,6.415,3387384.0,6.415,3387384.0,6.415,3387384.0,6.415,2.1,6518500.0
1968,3481624.0,6.337,3481624.0,6.337,3481624.0,6.337,3481624.0,6.337,2.1,6518500.0
1969,3576834.0,6.255,3576834.0,6.255,3576834.0,6.255,3576834.0,6.255,2.1,6518500.0
1970,3673066.0,6.172,3673066.0,6.172,3673066.0,6.172,3673066.0,6.172,2.1,6518500.0
1971,3770060.0,6.087,3770060.0,6.087,3770060.0,6.087,3770060.0,6.087,2.1,6518500.0
1972,3867310.0,6.0,3867310.0,6.0,3867310.0,6.0,3867310.0,6.0,2.1,6518500.0
1973,3964273.0,5.91,3964273.0,5.91,3964273.0,5.91,3964273.0,5.91,2.1,6518500.0
1974,4060255.0,5.816,4060255.0,5.816,4060255.0,5.816,4060255.0,5.816,2.1,6518500.0
1975,4154689.0,5.717,4154689.0,5.717,4154689.0,5.717,4154689.0,5.717,2.1,6518500.0
1976,4247508.0,5.609,4247508.0,5.609,4247508.0,5.609,4247508.0,5.609,2.1,6518500.0
1977,4338451.0,5.493,4338451.0,5.493,4338451.0,5.493,4338451.0,5.493,2.1,6518500.0
1978,4426679.0,5.369,4426679.0,5.369,4426679.0,5.369,4426679.0,5.369,2.1,6518500.0
1979,4511127.0,5.237,4511127.0,5.237,4511127.0,5.237,4511127.0,5.237,2.1,6518500.0
1980,4591135.0,5.1,4591135.0,5.1,4591135.0,5.1,4591135.0,5.1,2.1,6518500.0
1981,4666361.0,4.96,4666361.0,4.96,4666361.0,4.96,4666361.0,4.96,2.1,6518500.0
1982,4737256.0,4.82,4737256.0,4.82,4737256.0,4.82,4737256.0,4.82,2.1,6518500.0
1983,4804936.0,4.684,4804936.0,4.684,4804936.0,4.684,4804936.0,4.684,2.1,6518500.0
1984,4871041.0,4.554,4871041.0,4.554,4871041.0,4.554,4871041.0,4.554,2.1,6518500.0
1985,4936803.0,4.433,4936803.0,4.433,4936803.0,4.433,4936803.0,4.433,2.1,6518500.0
1986,5002339.0,4.322,5002339.0,4.322,5002339.0,4.322,5002339.0,4.322,2.1,6518500.0
1987,5067531.0,4.221,5067531.0,4.221,5067531.0,4.221,5067531.0,4.221,2.1,6518500.0
1988,5133273.0,4.129,5133273.0,4.129,5133273.0,4.129,5133273.0,4.129,2.1,6518500.0
1989,5200608.0,4.043,5200608.0,4.043,5200608.0,4.043,5200608.0,4.043,2.1,6518500.0
1990,5270074.0,3.964,5270074.0,3.964,5270074.0,3.964,5270074.0,3.964,2.1,6518500.0
