year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,15440.0,,15440.0,,15440.0,,15440.0,,2.1,34010.0
1961,15836.0,,15836.0,,15836.0,,15836.0,,2.1,34010.0
1962,16255.0,,16255.0,,16255.0,,16255.0,,2.1,34010.0
1963,16669.0,,16669.0,,16669.0,,16669.0,,2.1,34010.0
1964,17101.0,,17101.0,,17101.0,,17101.0,,2.1,34010.0
1965,17508.0,,17508.0,,17508.0,,17508.0,,2.1,34010.0
1966,17919.0,,17919.0,,17919.0,,17919.0,,2.1,34010.0
1967,18309.0,,18309.0,,18309.0,,18309.0,,2.1,34010.0
1968,18668.0,,18668.0,,18668.0,,18668.0,,2.1,34010.0
1969,18980.0,,18980.0,,18980.0,,18980.0,,2.1,34010.0
1970,19224.0,,19224.0,,19224.0,,19224.0,,2.1,34010.0
1971,19393.0,,19393.0,,19393.0,,19393.0,,2.1,34010.0
1972,19490.0,,19490.0,,19490.0,,19490.0,,2.1,34010.0
1973,19561.0,,19561.0,,19561.0,,19561.0,,2.1,34010.0
1974,19661.0,,19661.0,,19661.0,,19661.0,,2.1,34010.0
1975,19829.0,,19829.0,,19829.0,,19829.0,,2.1,34010.0
1976,20086.0,,20086.0,,20086.0,,20086.0,,2.1,34010.0
1977,20397.0,,20397.0,,20397.0,,20397.0,,2.1,34010.0
1978,20764.0,,20764.0,,20764.0,,20764.0,,2.1,34010.0
1979,21122.0,,21122.0,,21122.0,,21122.0,,2.1,34010.0
1980,21453.0,,21453.0,,21453.0,,21453.0,,2.1,34010.0
1981,21761.0,,21761.0,,21761.0,,21761.0,,2.1,34010.0
1982,22043.0,,22043.0,,22043.0,,22043.0,,2.1,34010.0
1983,22295.0,,22295.0,,22295.0,,22295.0,,2.1,34010.0
1984,22546.0,,22546.0,,22546.0,,22546.0,,2.1,34010.0
1985,22794.0,,22794.0,,22794.0,,22794.0,,2.1,34010.0
1986,23046.0,,23046.0,,23046.0,,23046.0,,2.1,34010.0
1987,23297.0,,23297.0,,23297.0,,23297.0,,2.1,34010.0
1988,23548.0,,23548.0,,23548.0,,23548.0,,2.1,34010.0
1989,23833.0,,23833.0,,23833.0,,23833.0,,2.1,34010.0
1990,24124.0,,24124.0,,24124.0,,24124.0,,2.1,34010.0
1991,24454.0,,24454.0,,24454.0,,24454.0,,2.1,34010.0
1992,24830.0,,24830.0,,24830.0,,24830.0,,2.1,34010.0
1993,25208.0,,25208.0,,25208.0,,25208.0,,2.1,34010.0
1994,25588.0,,25588.0,,25588.0,,25588.0,,2.1,34010.0
1995,25925.0,,25925.0,,25925.0,,25925.0,,2.1,34010.0
1996,26253.0,,26253.0,,26253.0,,26253.0,,2.1,34010.0
1997,26563.0,,26563.0,,26563.0,,26563.0,,2.1,34010.0
1998,26851.0,,26851.0,,26851.0,,26851.0,,2.1,34010.0
1999,27141.0,,27141.0,,27141.0,,27141.0,,2.1,34010.0
2000,27460.0,,27460.0,,27460.0,,27460.0,,2.1,34010.0
2001,27818.0,,27818.0,,27818.0,,27818.0,,2.1,34010.0
2002,28175.0,,28175.0,,28175.0,,28175.0,,2.1,34010.0
2003,28561.0,,28561.0,,28561.0,,28561.0,,2.1,34010.0
2004,28942.0,,28942.0,,28942.0,,28942.0,,2.1,34010.0
2005,29324.0,,29324.0,,29324.0,,29324.0,,2.1,34010.0
2006,29694.0,,29694.0,,29694.0,,29694.0,,2.1,34010.0
2007,30068.0,,30068.0,,30068.0,,30068.0,,2.1,34010.0
2008,30434.0,,30434.0,,30434.0,,30434.0,,2.1,34010.0
2009,30825.0,,30825.0,,30825.0,,30825.0,,2.1,34010.0
2010,31221.0,,31221.0,,31221.0,,31221.0,,2.1,34010.0
2011,31655.0,,31655.0,,31655.0,,31655.0,,2.1,34010.0
2012,32103.0,1.26,32103.0,1.26,32103.0,1.26,32103.0,1.26,2.1,34010.0
2013,32554.0,,32554.0,,32554.0,,32554.0,,2.1,34010.0
2014,32941.0,,32941.0,,32941.0,,32941.0,,2.1,34010.0
2015,33270.0,,33270.0,,33270.0,,33270.0,,2.1,34010.0
2016,33503.0,,33503.0,,33503.0,,33503.0,,2.1,34010.0
2017,33671.0,,33671.0,,33671.0,,33671.0,,2.1,34010.0
2018,33784.0,,33784.0,,33784.0,,33784.0,,2.1,34010.0
2019,33864.0,,33864.0,,33864.0,,33864.0,,2.1,34010.0
2020,33938.0,,33938.0,,33938.0,,33938.0,,2.1,34010.0
2021,34010.0,,34010.0,,34010.0,,34010.0,,2.1,34010.0
2022,,,,,,,,,2.1,34010.0
2023,,,,,,,,,2.1,34010.0
2024,,,,,,,,,2.1,34010.0
2025,,,,,,,,,2.1,34010.0
2026,,,,,,,,,2.1,34010.0
2027,,,,,,,,,2.1,34010.0
2028,,,,,,,,,2.1,34010.0
2029,,,,,,,,,2.1,34010.0
2030,,,,,,,,,2.1,34010.0
2031,,,,,,,,,2.1,34010.0
2032,,,,,,,,,2.1,34010.0
2033,,,,,,,,,2.1,34010.0
2034,,,,,,,,,2.1,34010.0
2035,,,,,,,,,2.1,34010.0
2036,,,,,,,,,2.1,34010.0
2037,,,,,,,,,2.1,34010.0
2038,,,,,,,,,2.1,34010.0
2039,,,,,,,,,2.1,34010.0
2040,,,,,,,,,2.1,34010.0
2041,,,,,,,,,2.1,34010.0
2042,,,,,,,,,2.1,34010.0
2043,,,,,,,,,2.1,34010.0
2044,,,,,,,,,2.1,34010.0
2045,,,,,,,,,2.1,34010.0
2046,,,,,,,,,2.1,34010.0
2047,,,,,,,,,2.1,34010.0
2048,,,,,,,,,2.1,34010.0
2049,,,,,,,,,2.1,34010.0
2050,,,,,,,,,2.1,34010.0
2051,,,,,,,,,2.1,34010.0
2052,,,,,,,,,2.1,34010.0
