year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,2755967.0,7.25,2755967.0,7.25,2755967.0,7.25,2755967.0,7.25,2.1,16359500.0
1961,2814125.0,7.252,2814125.0,7.252,2814125.0,7.252,2814125.0,7.252,2.1,16359500.0
1962,2874215.0,7.255,2874215.0,7.255,2874215.0,7.255,2874215.0,7.255,2.1,16359500.0
1963,2936478.0,7.258,2936478.0,7.258,2936478.0,7.258,2936478.0,7.258,2.1,16359500.0
1964,3001160.0,7.261,3001160.0,7.261,3001160.0,7.261,3001160.0,7.261,2.1,16359500.0
1965,3068465.0,7.261,3068465.0,7.261,3068465.0,7.261,3068465.0,7.261,2.1,16359500.0
1966,3143654.0,7.257,3143654.0,7.257,3143654.0,7.257,3143654.0,7.257,2.1,16359500.0
1967,3227835.0,7.248,3227835.0,7.248,3227835.0,7.248,3227835.0,7.248,2.1,16359500.0
1968,3312735.0,7.232,3312735.0,7.232,3312735.0,7.232,3312735.0,7.232,2.1,16359500.0
1969,3386736.0,7.209,3386736.0,7.209,3386736.0,7.209,3386736.0,7.209,2.1,16359500.0
1970,3444569.0,7.182,3444569.0,7.182,3444569.0,7.182,3444569.0,7.182,2.1,16359500.0
1971,3472357.0,7.151,3472357.0,7.151,3472357.0,7.151,3472357.0,7.151,2.1,16359500.0
1972,3479792.0,7.118,3479792.0,7.118,3479792.0,7.118,3479792.0,7.118,2.1,16359500.0
1973,3512626.0,7.086,3512626.0,7.086,3512626.0,7.086,3512626.0,7.086,2.1,16359500.0
1974,3632986.0,7.057,3632986.0,7.057,3632986.0,7.057,3632986.0,7.057,2.1,16359500.0
1975,3880285.0,7.033,3880285.0,7.033,3880285.0,7.033,3880285.0,7.033,2.1,16359500.0
1976,4278974.0,7.016,4278974.0,7.016,4278974.0,7.016,4278974.0,7.016,2.1,16359500.0
1977,4802134.0,7.004,4802134.0,7.004,4802134.0,7.004,4802134.0,7.004,2.1,16359500.0
1978,5375018.0,7.0,5375018.0,7.0,5375018.0,7.0,5375018.0,7.0,2.1,16359500.0
1979,5892763.0,7.002,5892763.0,7.002,5892763.0,7.002,5892763.0,7.002,2.1,16359500.0
1980,6281138.0,7.012,6281138.0,7.012,6281138.0,7.012,6281138.0,7.012,2.1,16359500.0
1981,6511115.0,7.029,6511115.0,7.029,6511115.0,7.029,6511115.0,7.029,2.1,16359500.0
1982,6608040.0,7.052,6608040.0,7.052,6608040.0,7.052,6608040.0,7.052,2.1,16359500.0
1983,6618594.0,7.08,6618594.0,7.08,6618594.0,7.08,6618594.0,7.08,2.1,16359500.0
1984,6614713.0,7.112,6614713.0,7.112,6614713.0,7.112,6614713.0,7.112,2.1,16359500.0
1985,6648628.0,7.149,6648628.0,7.149,6648628.0,7.149,6648628.0,7.149,2.1,16359500.0
1986,6736751.0,7.191,6736751.0,7.191,6736751.0,7.191,6736751.0,7.191,2.1,16359500.0
1987,6862267.0,7.238,6862267.0,7.238,6862267.0,7.238,6862267.0,7.238,2.1,16359500.0
1988,7005226.0,7.289,7005226.0,7.289,7005226.0,7.289,7005226.0,7.289,2.1,16359500.0
1989,7133263.0,7.343,7133263.0,7.343,7133263.0,7.343,7133263.0,7.343,2.1,16359500.0
1990,7225089.0,7.398,7225089.0,7.398,7225089.0,7.398,7225089.0,7.398,2.1,16359500.0
1991,7274026.0,7.455,7274026.0,7.455,7274026.0,7.455,7274026.0,7.455,2.1,16359500.0
1992,7295380.0,7.512,7295380.0,7.512,7295380.0,7.512,7295380.0,7.512,2.1,16359500.0
1993,7315864.0,7.566,7315864.0,7.566,7315864.0,7.566,7315864.0,7.566,2.1,16359500.0
1994,7372592.0,7.615,7372592.0,7.615,7372592.0,7.615,7372592.0,7.615,2.1,16359500.0
1995,7491647.0,7.654,7491647.0,7.654,7491647.0,7.654,7491647.0,7.654,2.1,16359500.0
1996,7682683.0,7.68,7682683.0,7.68,7682683.0,7.68,7682683.0,7.68,2.1,16359500.0
1997,7936122.0,7.691,7936122.0,7.691,7936122.0,7.691,7936122.0,7.691,2.1,16359500.0
1998,8235064.0,7.686,8235064.0,7.686,8235064.0,7.686,8235064.0,7.686,2.1,16359500.0
1999,8553595.0,7.664,8553595.0,7.664,8553595.0,7.664,8553595.0,7.664,2.1,16359500.0
2000,8872250.0,7.627,8872250.0,7.627,8872250.0,7.627,8872250.0,7.627,2.1,16359500.0
2001,9186719.0,7.577,9186719.0,7.577,9186719.0,7.577,9186719.0,7.577,2.1,16359500.0
