year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,6608000.0,,6608000.0,,6608000.0,,6608000.0,,2.1,6844078.0
1961,6655000.0,2.5,6655000.0,2.5,6655000.0,2.5,6655000.0,2.5,2.1,6844078.0
1962,6696000.0,,6696000.0,,6696000.0,,6696000.0,,2.1,6844078.0
1963,6732000.0,,6732000.0,,6732000.0,,6732000.0,,2.1,6844078.0
1964,6765000.0,,6765000.0,,6765000.0,,6765000.0,,2.1,6844078.0
1965,6794000.0,,6794000.0,,6794000.0,,6794000.0,,2.1,6844078.0
1966,6841000.0,,6841000.0,,6841000.0,,6841000.0,,2.1,6844078.0
1967,6880000.0,,6880000.0,,6880000.0,,6880000.0,,2.1,6844078.0
1968,6915000.0,,6915000.0,,6915000.0,,6915000.0,,2.1,6844078.0
1969,6945000.0,,6945000.0,,6945000.0,,6945000.0,,2.1,6844078.0
1970,6972000.0,,6972000.0,,6972000.0,,6972000.0,,2.1,6844078.0
1971,7013000.0,2.3,7013000.0,2.3,7013000.0,2.3,7013000.0,2.3,2.1,6844078.0
1972,7053000.0,,7053000.0,,7053000.0,,7053000.0,,2.1,6844078.0
1973,7091000.0,,7091000.0,,7091000.0,,7091000.0,,2.1,6844078.0
1974,7128000.0,,7128000.0,,7128000.0,,7128000.0,,2.1,6844078.0
1975,7163000.0,,7163000.0,,7163000.0,,7163000.0,,2.1,6844078.0
1976,7214000.0,,7214000.0,,7214000.0,,7214000.0,,2.1,6844078.0
1977,7258000.0,,7258000.0,,7258000.0,,7258000.0,,2.1,6844078.0
1978,7297000.0,,7297000.0,,7297000.0,,7297000.0,,2.1,6844078.0
1979,7332000.0,,7332000.0,,7332000.0,,7332000.0,,2.1,6844078.0
1980,7362000.0,,7362000.0,,7362000.0,,7362000.0,,2.1,6844078.0
1981,7405000.0,2.1,7405000.0,2.1,7405000.0,2.1,7405000.0,2.1,2.1,6844078.0
1982,7440000.0,,7440000.0,,7440000.0,,7440000.0,,2.1,6844078.0
1983,7468000.0,,7468000.0,,7468000.0,,7468000.0,,2.1,6844078.0
1984,7489000.0,,7489000.0,,7489000.0,,7489000.0,,2.1,6844078.0
1985,7504000.0,,7504000.0,,7504000.0,,7504000.0,,2.1,6844078.0
1986,7536000.0,,7536000.0,,7536000.0,,7536000.0,,2.1,6844078.0
1987,7558000.0,,7558000.0,,7558000.0,,7558000.0,,2.1,6844078.0
1988,7572000.0,,7572000.0,,7572000.0,,7572000.0,,2.1,6844078.0
1989,7581000.0,,7581000.0,,7581000.0,,7581000.0,,2.1,6844078.0
1990,7586000.0,,7586000.0,,7586000.0,,7586000.0,,2.1,6844078.0
1991,7595636.0,1.8,7595636.0,1.8,7595636.0,1.8,7595636.0,1.8,2.1,6844078.0
1992,7646424.0,,7646424.0,,7646424.0,,7646424.0,,2.1,6844078.0
1993,7699307.0,,7699307.0,,7699307.0,,7699307.0,,2.1,6844078.0
1994,7734639.0,,7734639.0,,7734639.0,,7734639.0,,2.1,6844078.0
1995,7625357.0,1.7,7625357.0,1.7,7625357.0,1.7,7625357.0,1.7,2.1,6844078.0
1996,7617794.0,,7617794.0,,7617794.0,,7617794.0,,2.1,6844078.0
1997,7596501.0,1.6,7596501.0,1.6,7596501.0,1.6,7596501.0,1.6,2.1,6844078.0
1998,7567745.0,,7567745.0,,7567745.0,,7567745.0,,2.1,6844078.0
1999,7540401.0,,7540401.0,,7540401.0,,7540401.0,,2.1,6844078.0
2000,7516346.0,1.48,7516346.0,1.48,7516346.0,1.48,7516346.0,1.48,2.1,6844078.0
2001,7503433.0,1.58,7503433.0,1.58,7503433.0,1.58,7503433.0,1.58,2.1,6844078.0
2002,7496522.0,1.57,7496522.0,1.57,7496522.0,1.57,7496522.0,1.57,2.1,6844078.0
2003,7480591.0,1.59,7480591.0,1.59,7480591.0,1.59,7480591.0,1.59,2.1,6844078.0
2004,7463157.0,1.57,7463157.0,1.57,7463157.0,1.57,7463157.0,1.57,2.1,6844078.0
2005,7440769.0,1.45,7440769.0,1.45,7440769.0,1.45,7440769.0,1.45,2.1,6844078.0
2006,7411569.0,1.43,7411569.0,1.43,7411569.0,1.43,7411569.0,1.43,2.1,6844078.0
2007,7381579.0,1.38,7381579.0,1.38,7381579.0,1.38,7381579.0,1.38,2.1,6844078.0
2008,7350222.0,1.4,7350222.0,1.4,7350222.0,1.4,7350222.0,1.4,2.1,6844078.0
2009,7320807.0,1.44,7320807.0,1.44,7320807.0,1.44,7320807.0,1.44,2.1,6844078.0
2010,7291436.0,1.4,7291436.0,1.4,7291436.0,1.4,7291436.0,1.4,2.1,6844078.0
2011,7234099.0,1.4,7234099.0,1.4,7234099.0,1.4,7234099.0,1.4,2.1,6844078.0
2012,7199077.0,1.45,7199077.0,1.45,7199077.0,1.45,7199077.0,1.45,2.1,6844078.0
2013,7164132.0,1.43,7164132.0,1.43,7164132.0,1.43,7164132.0,1.43,2.1,6844078.0
2014,7130576.0,1.46,7130576.0,1.46,7130576.0,1.46,7130576.0,1.46,2.1,6844078.0
2015,7095383.0,1.46,7095383.0,1.46,7095383.0,1.46,7095383.0,1.46,2.1,6844078.0
2016,7058322.0,1.46,7058322.0,1.46,7058322.0,1.46,7058322.0,1.46,2.1,6844078.0
2017,7020858.0,1.49,7020858.0,1.49,7020858.0,1.49,7020858.0,1.49,2.1,6844078.0
2018,6982604.0,1.49,6982604.0,1.49,6982604.0,1.49,6982604.0,1.49,2.1,6844078.0
2019,6945235.0,1.52,6945235.0,1.52,6945235.0,1.52,6945235.0,1.52,2.1,6844078.0
