year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,227191484.0,6.600868789,227191484.0,6.600868789,227191484.0,6.600868789,227191484.0,6.600868789,2.1,1165464785.0
1961,232524118.0,6.617008347,232524118.0,6.617008347,232524118.0,6.617008347,232524118.0,6.617008347,2.1,1165464785.0
1962,238077562.0,6.632195146,238077562.0,6.632195146,238077562.0,6.632195146,238077562.0,6.632195146,2.1,1165464785.0
1963,243848199.0,6.646466787,243848199.0,6.646466787,243848199.0,6.646466787,243848199.0,6.646466787,2.1,1165464785.0
1964,249827334.0,6.659067775,249827334.0,6.659067775,249827334.0,6.659067775,249827334.0,6.659067775,2.1,1165464785.0
1965,256012349.0,6.670938701,256012349.0,6.670938701,256012349.0,6.670938701,256012349.0,6.670938701,2.1,1165464785.0
1966,262405783.0,6.682992089,262405783.0,6.682992089,262405783.0,6.682992089,262405783.0,6.682992089,2.1,1165464785.0
1967,269022493.0,6.696431978,269022493.0,6.696431978,269022493.0,6.696431978,269022493.0,6.696431978,2.1,1165464785.0
1968,275886412.0,6.71112465,275886412.0,6.71112465,275886412.0,6.71112465,275886412.0,6.71112465,2.1,1165464785.0
1969,283028136.0,6.726978887,283028136.0,6.726978887,283028136.0,6.726978887,283028136.0,6.726978887,2.1,1165464785.0
1970,290472633.0,6.74342617,290472633.0,6.74342617,290472633.0,6.74342617,290472633.0,6.74342617,2.1,1165464785.0
1971,298229780.0,6.759171424,298229780.0,6.759171424,298229780.0,6.759171424,298229780.0,6.759171424,2.1,1165464785.0
1972,306303621.0,6.773759686,306303621.0,6.773759686,306303621.0,6.773759686,306303621.0,6.773759686,2.1,1165464785.0
1973,314704612.0,6.785641718,314704612.0,6.785641718,314704612.0,6.785641718,314704612.0,6.785641718,2.1,1165464785.0
1974,323442396.0,6.793949307,323442396.0,6.793949307,323442396.0,6.793949307,323442396.0,6.793949307,2.1,1165464785.0
1975,332524189.0,6.798620797,332524189.0,6.798620797,332524189.0,6.798620797,332524189.0,6.798620797,2.1,1165464785.0
1976,341958433.0,6.799807414,341958433.0,6.799807414,341958433.0,6.799807414,341958433.0,6.799807414,2.1,1165464785.0
