year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,2842718.0,6.721,2842718.0,6.721,2842718.0,6.721,2842718.0,6.721,2.1,11381377.0
1961,2895609.0,6.733,2895609.0,6.733,2895609.0,6.733,2895609.0,6.733,2.1,11381377.0
1962,2951041.0,6.747,2951041.0,6.747,2951041.0,6.747,2951041.0,6.747,2.1,11381377.0
1963,3009061.0,6.763,3009061.0,6.763,3009061.0,6.763,3009061.0,6.763,2.1,11381377.0
1964,3069735.0,6.781,3069735.0,6.781,3069735.0,6.781,3069735.0,6.781,2.1,11381377.0
1965,3133155.0,6.8,3133155.0,6.8,3133155.0,6.8,3133155.0,6.8,2.1,11381377.0
1966,3199348.0,6.819,3199348.0,6.819,3199348.0,6.819,3199348.0,6.819,2.1,11381377.0
1967,3268392.0,6.838,3268392.0,6.838,3268392.0,6.838,3268392.0,6.838,2.1,11381377.0
1968,3340426.0,6.855,3340426.0,6.855,3340426.0,6.855,3340426.0,6.855,2.1,11381377.0
1969,3415572.0,6.869,3415572.0,6.869,3415572.0,6.869,3415572.0,6.869,2.1,11381377.0
1970,3494011.0,6.881,3494011.0,6.881,3494011.0,6.881,3494011.0,6.881,2.1,11381377.0
1971,3575896.0,6.892,3575896.0,6.892,3575896.0,6.892,3575896.0,6.892,2.1,11381377.0
1972,3661442.0,6.903,3661442.0,6.903,3661442.0,6.903,3661442.0,6.903,2.1,11381377.0
1973,3750780.0,6.912,3750780.0,6.912,3750780.0,6.912,3750780.0,6.912,2.1,11381377.0
1974,3844094.0,6.92,3844094.0,6.92,3844094.0,6.92,3844094.0,6.92,2.1,11381377.0
1975,3941613.0,6.924,3941613.0,6.924,3941613.0,6.924,3941613.0,6.924,2.1,11381377.0
1976,4041792.0,6.922,4041792.0,6.922,4041792.0,6.922,4041792.0,6.922,2.1,11381377.0
1977,4144552.0,6.913,4144552.0,6.913,4144552.0,6.913,4144552.0,6.913,2.1,11381377.0
1978,4253085.0,6.897,4253085.0,6.897,4253085.0,6.897,4253085.0,6.897,2.1,11381377.0
1979,4371711.0,6.874,4371711.0,6.874,4371711.0,6.874,4371711.0,6.874,2.1,11381377.0
1980,4502603.0,6.85,4502603.0,6.85,4502603.0,6.85,4502603.0,6.85,2.1,11381377.0
1981,4646478.0,6.829,4646478.0,6.829,4646478.0,6.829,4646478.0,6.829,2.1,11381377.0
1982,4799435.0,6.813,4799435.0,6.813,4799435.0,6.813,4799435.0,6.813,2.1,11381377.0
1983,4953154.0,6.806,4953154.0,6.806,4953154.0,6.806,4953154.0,6.806,2.1,11381377.0
1984,5096478.0,6.806,5096478.0,6.806,5096478.0,6.806,5096478.0,6.806,2.1,11381377.0
1985,5220748.0,6.81,5220748.0,6.81,5220748.0,6.81,5220748.0,6.81,2.1,11381377.0
1986,5328167.0,6.816,5328167.0,6.816,5328167.0,6.816,5328167.0,6.816,2.1,11381377.0
1987,5419808.0,6.816,5419808.0,6.816,5419808.0,6.816,5419808.0,6.816,2.1,11381377.0
1988,5485288.0,6.808,5485288.0,6.808,5485288.0,6.808,5485288.0,6.808,2.1,11381377.0
1989,5511582.0,6.789,5511582.0,6.789,5511582.0,6.789,5511582.0,6.789,2.1,11381377.0
1990,5492620.0,6.761,5492620.0,6.761,5492620.0,6.761,5492620.0,6.761,2.1,11381377.0
1991,5420179.0,6.726,5420179.0,6.726,5420179.0,6.726,5420179.0,6.726,2.1,11381377.0
1992,5305449.0,6.686,5305449.0,6.686,5305449.0,6.686,5305449.0,6.686,2.1,11381377.0
1993,5185712.0,6.644,5185712.0,6.644,5185712.0,6.644,5185712.0,6.644,2.1,11381377.0
1994,5111371.0,6.601,5111371.0,6.601,5111371.0,6.601,5111371.0,6.601,2.1,11381377.0
1995,5118084.0,6.554,5118084.0,6.554,5118084.0,6.554,5118084.0,6.554,2.1,11381377.0
1996,5221925.0,6.503,5221925.0,6.503,5221925.0,6.503,5221925.0,6.503,2.1,11381377.0
1997,5411653.0,6.444,5411653.0,6.444,5411653.0,6.444,5411653.0,6.444,2.1,11381377.0
1998,5661934.0,6.377,5661934.0,6.377,5661934.0,6.377,5661934.0,6.377,2.1,11381377.0
1999,5933884.0,6.303,5933884.0,6.303,5933884.0,6.303,5933884.0,6.303,2.1,11381377.0
2000,6199396.0,6.223,6199396.0,6.223,6199396.0,6.223,6199396.0,6.223,2.1,11381377.0
2001,6447791.0,6.139,6447791.0,6.139,6447791.0,6.139,6447791.0,6.139,2.1,11381377.0
2002,6688225.0,6.054,6688225.0,6.054,6688225.0,6.054,6688225.0,6.054,2.1,11381377.0
2003,6935665.0,5.969,6935665.0,5.969,6935665.0,5.969,6935665.0,5.969,2.1,11381377.0
2004,7213354.0,5.885,7213354.0,5.885,7213354.0,5.885,7213354.0,5.885,2.1,11381377.0
2005,7535931.0,5.803,7535931.0,5.803,7535931.0,5.803,7535931.0,5.803,2.1,11381377.0
2006,7907407.0,5.721,7907407.0,5.721,7907407.0,5.721,7907407.0,5.721,2.1,11381377.0
2007,8315144.0,5.638,8315144.0,5.638,8315144.0,5.638,8315144.0,5.638,2.1,11381377.0
2008,8736932.0,5.552,8736932.0,5.552,8736932.0,5.552,8736932.0,5.552,2.1,11381377.0
2009,9142258.0,5.465,9142258.0,5.465,9142258.0,5.465,9142258.0,5.465,2.1,11381377.0
2010,9508372.0,5.376,9508372.0,5.376,9508372.0,5.376,9508372.0,5.376,2.1,11381377.0
2011,9830695.0,5.286,9830695.0,5.286,9830695.0,5.286,9830695.0,5.286,2.1,11381377.0
2012,10113648.0,5.197,10113648.0,5.197,10113648.0,5.197,10113648.0,5.197,2.1,11381377.0
2013,10355030.0,5.108,10355030.0,5.108,10355030.0,5.108,10355030.0,5.108,2.1,11381377.0
2014,10554882.0,5.022,10554882.0,5.022,10554882.0,5.022,10554882.0,5.022,2.1,11381377.0
2015,10715657.0,4.937,10715657.0,4.937,10715657.0,4.937,10715657.0,4.937,2.1,11381377.0
2016,10832520.0,4.855,10832520.0,4.855,10832520.0,4.855,10832520.0,4.855,2.1,11381377.0
