year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,227233184.0,6.600868789,227233184.0,6.600868789,227233184.0,6.600868789,227233184.0,6.600868789,2.1,1165563987.0
1961,232567007.0,6.617008347,232567007.0,6.617008347,232567007.0,6.617008347,232567007.0,6.617008347,2.1,1165563987.0
1962,238121604.0,6.632195146,238121604.0,6.632195146,238121604.0,6.632195146,238121604.0,6.632195146,2.1,1165563987.0
1963,243893375.0,6.646466787,243893375.0,6.646466787,243893375.0,6.646466787,243893375.0,6.646466787,2.1,1165563987.0
1964,249873656.0,6.659067775,249873656.0,6.659067775,249873656.0,6.659067775,249873656.0,6.659067775,2.1,1165563987.0
1965,256059849.0,6.670938701,256059849.0,6.670938701,256059849.0,6.670938701,256059849.0,6.670938701,2.1,1165563987.0
1966,262454482.0,6.682992089,262454482.0,6.682992089,262454482.0,6.682992089,262454482.0,6.682992089,2.1,1165563987.0
1967,269072404.0,6.696431978,269072404.0,6.696431978,269072404.0,6.696431978,269072404.0,6.696431978,2.1,1165563987.0
1968,275937546.0,6.71112465,275937546.0,6.71112465,275937546.0,6.71112465,275937546.0,6.71112465,2.1,1165563987.0
1969,283080501.0,6.726978887,283080501.0,6.726978887,283080501.0,6.726978887,283080501.0,6.726978887,2.1,1165563987.0
1970,290526233.0,6.74342617,290526233.0,6.74342617,290526233.0,6.74342617,290526233.0,6.74342617,2.1,1165563987.0
1971,298284475.0,6.759171424,298284475.0,6.759171424,298284475.0,6.759171424,298284475.0,6.759171424,2.1,1165563987.0
1972,306359650.0,6.773759686,306359650.0,6.773759686,306359650.0,6.773759686,306359650.0,6.773759686,2.1,1165563987.0
1973,314761504.0,6.785641718,314761504.0,6.785641718,314761504.0,6.785641718,314761504.0,6.785641718,2.1,1165563987.0
1974,323500333.0,6.793949307,323500333.0,6.793949307,323500333.0,6.793949307,323500333.0,6.793949307,2.1,1165563987.0
1975,332583481.0,6.798620797,332583481.0,6.798620797,332583481.0,6.798620797,332583481.0,6.798620797,2.1,1165563987.0
1976,342018937.0,6.799425475,342018937.0,6.799425475,342018937.0,6.799425475,342018937.0,6.799425475,2.1,1165563987.0
1977,351808760.0,6.79791339,351808760.0,6.79791339,351808760.0,6.79791339,351808760.0,6.79791339,2.1,1165563987.0
