year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,14211632.0,5.319412988,14211632.0,5.319412988,14211632.0,5.319412988,14211632.0,5.319412988,2.1,42512407.0
1961,14483280.0,5.312822803,14483280.0,5.312822803,14483280.0,5.312822803,14483280.0,5.312822803,2.1,42512407.0
1962,14762137.0,5.302958364,14762137.0,5.302958364,14762137.0,5.302958364,14762137.0,5.302958364,2.1,42512407.0
1963,15045754.0,5.269399456,15045754.0,5.269399456,15045754.0,5.269399456,15045754.0,5.269399456,2.1,42512407.0
1964,15333414.0,5.237925345,15333414.0,5.237925345,15333414.0,5.237925345,15333414.0,5.237925345,2.1,42512407.0
1965,15621038.0,5.182277292,15621038.0,5.182277292,15621038.0,5.182277292,15621038.0,5.182277292,2.1,42512407.0
1966,15906000.0,5.127601194,15906000.0,5.127601194,15906000.0,5.127601194,15906000.0,5.127601194,2.1,42512407.0
1967,16189729.0,5.07354498,16189729.0,5.07354498,16189729.0,5.07354498,16189729.0,5.07354498,2.1,42512407.0
1968,16478258.0,5.027979383,16478258.0,5.027979383,16478258.0,5.027979383,16478258.0,5.027979383,2.1,42512407.0
1969,16772135.0,4.983363975,16772135.0,4.983363975,16772135.0,4.983363975,16772135.0,4.983363975,2.1,42512407.0
1970,17073320.0,4.936323977,17073320.0,4.936323977,17073320.0,4.936323977,17073320.0,4.936323977,2.1,42512407.0
1971,17384835.0,4.885760772,17384835.0,4.885760772,17384835.0,4.885760772,17384835.0,4.885760772,2.1,42512407.0
1972,17702798.0,4.827732301,17702798.0,4.827732301,17702798.0,4.827732301,17702798.0,4.827732301,2.1,42512407.0
1973,18024903.0,4.759764978,18024903.0,4.759764978,18024903.0,4.759764978,18024903.0,4.759764978,2.1,42512407.0
1974,18352225.0,4.70470515,18352225.0,4.70470515,18352225.0,4.70470515,18352225.0,4.70470515,2.1,42512407.0
1975,18688113.0,4.663032854,18688113.0,4.663032854,18688113.0,4.663032854,18688113.0,4.663032854,2.1,42512407.0
1976,19027575.0,4.615710314,19027575.0,4.615710314,19027575.0,4.615710314,19027575.0,4.615710314,2.1,42512407.0
1977,19373865.0,4.570207547,19373865.0,4.570207547,19373865.0,4.570207547,19373865.0,4.570207547,2.1,42512407.0
1978,19729124.0,4.530307695,19729124.0,4.530307695,19729124.0,4.530307695,19729124.0,4.530307695,2.1,42512407.0
1979,20104329.0,4.500804334,20104329.0,4.500804334,20104329.0,4.500804334,20104329.0,4.500804334,2.1,42512407.0
1980,20501052.0,4.472255386,20501052.0,4.472255386,20501052.0,4.472255386,20501052.0,4.472255386,2.1,42512407.0
1981,20918880.0,4.440069078,20918880.0,4.440069078,20918880.0,4.440069078,20918880.0,4.440069078,2.1,42512407.0
1982,21359036.0,4.400831472,21359036.0,4.400831472,21359036.0,4.400831472,21359036.0,4.400831472,2.1,42512407.0
1983,21809929.0,4.369263544,21809929.0,4.369263544,21809929.0,4.369263544,21809929.0,4.369263544,2.1,42512407.0
1984,22269272.0,4.316993731,22269272.0,4.316993731,22269272.0,4.316993731,22269272.0,4.316993731,2.1,42512407.0
1985,22740424.0,4.255037378,22740424.0,4.255037378,22740424.0,4.255037378,22740424.0,4.255037378,2.1,42512407.0
1986,23219508.0,4.203735676,23219508.0,4.203735676,23219508.0,4.203735676,23219508.0,4.203735676,2.1,42512407.0
1987,23705895.0,4.158129176,23705895.0,4.158129176,23705895.0,4.158129176,23705895.0,4.158129176,2.1,42512407.0
1988,24190637.0,4.116655617,24190637.0,4.116655617,24190637.0,4.116655617,24190637.0,4.116655617,2.1,42512407.0
1989,24669495.0,4.065401608,24669495.0,4.065401608,24669495.0,4.065401608,24669495.0,4.065401608,2.1,42512407.0
1990,25134374.0,4.007699238,25134374.0,4.007699238,25134374.0,4.007699238,25134374.0,4.007699238,2.1,42512407.0
1991,25593378.0,3.932495306,25593378.0,3.932495306,25593378.0,3.932495306,25593378.0,3.932495306,2.1,42512407.0
1992,26020298.0,3.872506775,26020298.0,3.872506775,26020298.0,3.872506775,26020298.0,3.872506775,2.1,42512407.0
1993,26428489.0,3.796491452,26428489.0,3.796491452,26428489.0,3.796491452,26428489.0,3.796491452,2.1,42512407.0
1994,26841261.0,3.733495695,26841261.0,3.733495695,26841261.0,3.733495695,26841261.0,3.733495695,2.1,42512407.0
1995,27247916.0,3.66597058,27247916.0,3.66597058,27247916.0,3.66597058,27247916.0,3.66597058,2.1,42512407.0
1996,27660218.0,3.608250729,27660218.0,3.608250729,27660218.0,3.608250729,27660218.0,3.608250729,2.1,42512407.0
1997,28081580.0,3.537223866,28081580.0,3.537223866,28081580.0,3.537223866,28081580.0,3.537223866,2.1,42512407.0
1998,28504891.0,3.474988865,28504891.0,3.474988865,28504891.0,3.474988865,28504891.0,3.474988865,2.1,42512407.0
1999,28948552.0,3.423842992,28948552.0,3.423842992,28948552.0,3.423842992,28948552.0,3.423842992,2.1,42512407.0
2000,29393017.0,3.374666489,29393017.0,3.374666489,29393017.0,3.374666489,29393017.0,3.374666489,2.1,42512407.0
2001,29820320.0,3.320491333,29820320.0,3.320491333,29820320.0,3.320491333,29820320.0,3.320491333,2.1,42512407.0
2002,30250201.0,3.282642484,30250201.0,3.282642484,30250201.0,3.282642484,30250201.0,3.282642484,2.1,42512407.0
2003,30697300.0,3.243703791,30697300.0,3.243703791,30697300.0,3.243703791,30697300.0,3.243703791,2.1,42512407.0
2004,31189665.0,3.214617255,31189665.0,3.214617255,31189665.0,3.214617255,31189665.0,3.214617255,2.1,42512407.0
2005,31746502.0,3.180133061,31746502.0,3.180133061,31746502.0,3.180133061,31746502.0,3.180133061,2.1,42512407.0
2006,32375205.0,3.14690803,32375205.0,3.14690803,32375205.0,3.14690803,32375205.0,3.14690803,2.1,42512407.0
2007,33066727.0,3.122280847,33066727.0,3.122280847,33066727.0,3.122280847,33066727.0,3.122280847,2.1,42512407.0
2008,33798831.0,3.096575932,33798831.0,3.096575932,33798831.0,3.096575932,33798831.0,3.096575932,2.1,42512407.0
2009,34529570.0,3.070141935,34529570.0,3.070141935,34529570.0,3.070141935,34529570.0,3.070141935,2.1,42512407.0
2010,35238631.0,3.041554516,35238631.0,3.041554516,35238631.0,3.041554516,35238631.0,3.041554516,2.1,42512407.0
2011,35912140.0,3.016406448,35912140.0,3.016406448,35912140.0,3.016406448,35912140.0,3.016406448,2.1,42512407.0
2012,36568506.0,2.997640626,36568506.0,2.997640626,36568506.0,2.997640626,36568506.0,2.997640626,2.1,42512407.0
2013,37213359.0,2.974230582,37213359.0,2.974230582,37213359.0,2.974230582,37213359.0,2.974230582,2.1,42512407.0
2014,37861447.0,2.958354653,37861447.0,2.958354653,37861447.0,2.958354653,37861447.0,2.958354653,2.1,42512407.0
2015,38524668.0,2.938093445,38524668.0,2.938093445,38524668.0,2.938093445,38524668.0,2.938093445,2.1,42512407.0
2016,39198032.0,2.920290939,39198032.0,2.920290939,39198032.0,2.920290939,39198032.0,2.920290939,2.1,42512407.0
2017,39883677.0,2.897601611,39883677.0,2.897601611,39883677.0,2.897601611,39883677.0,2.897601611,2.1,42512407.0
2018,40574734.0,2.874224865,40574734.0,2.874224865,40574734.0,2.874224865,40574734.0,2.874224865,2.1,42512407.0
2019,41254483.0,2.847479534,41254483.0,2.847479534,41254483.0,2.847479534,41254483.0,2.847479534,2.1,42512407.0
2020,41901130.0,2.819720573,41901130.0,2.819720573,41901130.0,2.819720573,41901130.0,2.819720573,2.1,42512407.0
2021,42512407.0,2.819720573,42512407.0,2.819720573,42512407.0,2.819720573,42512407.0,2.819720573,2.1,42512407.0
2022,42711969.49,2.79,42713878.981,2.796,42712605.987,2.792,42720692.763,2.82,2.1,42512407.0
2023,42902901.96,2.76,42908594.076,2.773,42904798.339,2.764,42928978.526,2.82,2.1,42512407.0
2024,43085296.663,2.73,43096608.704,2.75,43089063.4,2.737,43137264.289,2.82,2.1,42512407.0
2025,43259244.869,2.701,43277978.814,2.727,43265479.731,2.71,43345550.052,2.82,2.1,42512407.0
2026,43424836.872,2.672,43452759.888,2.704,43434125.113,2.683,43553835.815,2.82,2.1,42512407.0
2027,43582161.997,2.644,43621006.945,2.681,43595076.555,2.656,43762121.578,2.82,2.1,42512407.0
2028,43731308.62,2.615,43782774.543,2.659,43748410.304,2.63,43970407.341,2.82,2.1,42512407.0
2029,43872364.167,2.587,43938116.786,2.637,43894201.852,2.604,44178693.103,2.82,2.1,42512407.0
2030,44005415.132,2.56,44087087.325,2.615,44032525.943,2.578,44386978.866,2.82,2.1,42512407.0
2031,44130547.085,2.532,44229739.366,2.593,44163456.577,2.552,44595264.629,2.82,2.1,42512407.0
2032,44247844.679,2.505,44366125.665,2.571,44287067.026,2.527,44803550.392,2.82,2.1,42512407.0
2033,44357391.665,2.479,44496298.544,2.55,44403429.831,2.502,45011836.155,2.82,2.1,42512407.0
2034,44459270.895,2.452,44620309.884,2.529,44512616.817,2.477,45220121.918,2.82,2.1,42512407.0
2035,44553564.338,2.426,44738211.133,2.507,44614699.096,2.453,45428407.681,2.82,2.1,42512407.0
2036,44640353.087,2.4,44850053.311,2.486,44709747.076,2.428,45636693.444,2.82,2.1,42512407.0
2037,44719717.366,2.374,44955887.012,2.466,44797830.466,2.404,45844979.207,2.82,2.1,42512407.0
2038,44791736.543,2.349,45055762.406,2.445,44879018.287,2.381,46053264.97,2.82,2.1,42512407.0
2039,44856489.137,2.324,45149729.244,2.425,44953378.872,2.357,46261550.733,2.82,2.1,42512407.0
2040,44914052.828,2.299,45237836.864,2.404,45020979.881,2.334,46469836.496,2.82,2.1,42512407.0
2041,44964504.465,2.274,45320134.189,2.384,45081888.299,2.31,46678122.259,2.82,2.1,42512407.0
2042,45007920.077,2.25,45396669.736,2.364,45136170.452,2.288,46886408.022,2.82,2.1,42512407.0
2043,45044374.878,2.226,45467491.616,2.345,45183892.004,2.265,47094693.784,2.82,2.1,42512407.0
