year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,64294.0,6.242,64294.0,6.242,64294.0,6.242,64294.0,6.242,2.1,223364.0
1961,64597.0,6.263,64597.0,6.263,64597.0,6.263,64597.0,6.263,2.1,223364.0
1962,64478.0,6.284,64478.0,6.284,64478.0,6.284,64478.0,6.284,2.1,223364.0
1963,64237.0,6.306,64237.0,6.306,64237.0,6.306,64237.0,6.306,2.1,223364.0
1964,64278.0,6.327,64278.0,6.327,64278.0,6.327,64278.0,6.327,2.1,223364.0
1965,64884.0,6.349,64884.0,6.349,64884.0,6.349,64884.0,6.349,2.1,223364.0
1966,66172.0,6.371,66172.0,6.371,66172.0,6.371,66172.0,6.371,2.1,223364.0
1967,68039.0,6.394,68039.0,6.394,68039.0,6.394,68039.0,6.394,2.1,223364.0
1968,70258.0,6.419,70258.0,6.419,70258.0,6.419,70258.0,6.419,2.1,223364.0
1969,72501.0,6.444,72501.0,6.444,72501.0,6.444,72501.0,6.444,2.1,223364.0
1970,74570.0,6.468,74570.0,6.468,74570.0,6.468,74570.0,6.468,2.1,223364.0
1971,76344.0,6.49,76344.0,6.49,76344.0,6.49,76344.0,6.49,2.1,223364.0
1972,77930.0,6.51,77930.0,6.51,77930.0,6.51,77930.0,6.51,2.1,223364.0
1973,79463.0,6.525,79463.0,6.525,79463.0,6.525,79463.0,6.525,2.1,223364.0
1974,81148.0,6.534,81148.0,6.534,81148.0,6.534,81148.0,6.534,2.1,223364.0
1975,83134.0,6.534,83134.0,6.534,83134.0,6.534,83134.0,6.534,2.1,223364.0
1976,85475.0,6.524,85475.0,6.524,85475.0,6.524,85475.0,6.524,2.1,223364.0
1977,88102.0,6.504,88102.0,6.504,88102.0,6.504,88102.0,6.504,2.1,223364.0
1978,90846.0,6.473,90846.0,6.473,90846.0,6.473,90846.0,6.473,2.1,223364.0
1979,93458.0,6.434,93458.0,6.434,93458.0,6.434,93458.0,6.434,2.1,223364.0
1980,95788.0,6.386,95788.0,6.386,95788.0,6.386,95788.0,6.386,2.1,223364.0
1981,97767.0,6.333,97767.0,6.333,97767.0,6.333,97767.0,6.333,2.1,223364.0
1982,99478.0,6.276,99478.0,6.276,99478.0,6.276,99478.0,6.276,2.1,223364.0
1983,101064.0,6.217,101064.0,6.217,101064.0,6.217,101064.0,6.217,2.1,223364.0
1984,102826.0,6.158,102826.0,6.158,102826.0,6.158,102826.0,6.158,2.1,223364.0
1985,104926.0,6.101,104926.0,6.101,104926.0,6.101,104926.0,6.101,2.1,223364.0
1986,107429.0,6.046,107429.0,6.046,107429.0,6.046,107429.0,6.046,2.1,223364.0
1987,110259.0,5.992,110259.0,5.992,110259.0,5.992,110259.0,5.992,2.1,223364.0
1988,113288.0,5.938,113288.0,5.938,113288.0,5.938,113288.0,5.938,2.1,223364.0
1989,116313.0,5.884,116313.0,5.884,116313.0,5.884,116313.0,5.884,2.1,223364.0
1990,119211.0,5.828,119211.0,5.828,119211.0,5.828,119211.0,5.828,2.1,223364.0
1991,121949.0,5.769,121949.0,5.769,121949.0,5.769,121949.0,5.769,2.1,223364.0
1992,124574.0,5.704,124574.0,5.704,124574.0,5.704,124574.0,5.704,2.1,223364.0
1993,127066.0,5.635,127066.0,5.635,127066.0,5.635,127066.0,5.635,2.1,223364.0
1994,129426.0,5.562,129426.0,5.562,129426.0,5.562,129426.0,5.562,2.1,223364.0
1995,131679.0,5.487,131679.0,5.487,131679.0,5.487,131679.0,5.487,2.1,223364.0
1996,133799.0,5.414,133799.0,5.414,133799.0,5.414,133799.0,5.414,2.1,223364.0
1997,135831.0,5.345,135831.0,5.345,135831.0,5.345,135831.0,5.345,2.1,223364.0
1998,137855.0,5.282,137855.0,5.282,137855.0,5.282,137855.0,5.282,2.1,223364.0
1999,139964.0,5.226,139964.0,5.226,139964.0,5.226,139964.0,5.226,2.1,223364.0
2000,142264.0,5.176,142264.0,5.176,142264.0,5.176,142264.0,5.176,2.1,223364.0
2001,144760.0,5.131,144760.0,5.131,144760.0,5.131,144760.0,5.131,2.1,223364.0
2002,147450.0,5.09,147450.0,5.09,147450.0,5.09,147450.0,5.09,2.1,223364.0
2003,150405.0,5.049,150405.0,5.049,150405.0,5.049,150405.0,5.049,2.1,223364.0
2004,153736.0,5.007,153736.0,5.007,153736.0,5.007,153736.0,5.007,2.1,223364.0
2005,157472.0,4.964,157472.0,4.964,157472.0,4.964,157472.0,4.964,2.1,223364.0
2006,161676.0,4.919,161676.0,4.919,161676.0,4.919,161676.0,4.919,2.1,223364.0
2007,166297.0,4.872,166297.0,4.872,166297.0,4.872,166297.0,4.872,2.1,223364.0
2008,171122.0,4.825,171122.0,4.825,171122.0,4.825,171122.0,4.825,2.1,223364.0
