year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,287870.0,6.608,287870.0,6.608,287870.0,6.608,287870.0,6.608,2.1,591798.0
1961,295913.0,6.594,295913.0,6.594,295913.0,6.594,295913.0,6.594,2.1,591798.0
1962,303894.0,6.558,303894.0,6.558,303894.0,6.558,303894.0,6.558,2.1,591798.0
1963,311945.0,6.497,311945.0,6.497,311945.0,6.497,311945.0,6.497,2.1,591798.0
1964,320267.0,6.412,320267.0,6.412,320267.0,6.412,320267.0,6.412,2.1,591798.0
1965,328939.0,6.304,328939.0,6.304,328939.0,6.304,328939.0,6.304,2.1,591798.0
1966,338155.0,6.182,338155.0,6.182,338155.0,6.182,338155.0,6.182,2.1,591798.0
1967,347673.0,6.053,347673.0,6.053,347673.0,6.053,347673.0,6.053,2.1,591798.0
1968,356551.0,5.922,356551.0,5.922,356551.0,5.922,356551.0,5.922,2.1,591798.0
1969,363574.0,5.79,363574.0,5.79,363574.0,5.79,363574.0,5.79,2.1,591798.0
1970,367926.0,5.653,367926.0,5.653,367926.0,5.653,367926.0,5.653,2.1,591798.0
1971,369230.0,5.504,369230.0,5.504,369230.0,5.504,369230.0,5.504,2.1,591798.0
1972,367907.0,5.336,367907.0,5.336,367907.0,5.336,367907.0,5.336,2.1,591798.0
1973,364907.0,5.148,364907.0,5.148,364907.0,5.148,364907.0,5.148,2.1,591798.0
1974,361665.0,4.945,361665.0,4.945,361665.0,4.945,361665.0,4.945,2.1,591798.0
1975,359234.0,4.734,359234.0,4.734,359234.0,4.734,359234.0,4.734,2.1,591798.0
1976,357949.0,4.526,357949.0,4.526,357949.0,4.526,357949.0,4.526,2.1,591798.0
1977,357649.0,4.332,357649.0,4.332,357649.0,4.332,357649.0,4.332,2.1,591798.0
1978,358103.0,4.161,358103.0,4.161,358103.0,4.161,358103.0,4.161,2.1,591798.0
1979,358826.0,4.015,358826.0,4.015,358826.0,4.015,358826.0,4.015,2.1,591798.0
1980,359531.0,3.895,359531.0,3.895,359531.0,3.895,359531.0,3.895,2.1,591798.0
1981,360144.0,3.798,360144.0,3.798,360144.0,3.798,360144.0,3.798,2.1,591798.0
1982,360927.0,3.715,360927.0,3.715,360927.0,3.715,360927.0,3.715,2.1,591798.0
1983,362282.0,3.64,362282.0,3.64,362282.0,3.64,362282.0,3.64,2.1,591798.0
1984,364722.0,3.57,364722.0,3.57,364722.0,3.57,364722.0,3.57,2.1,591798.0
