year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,4068095.0,3.04,4068095.0,3.04,4068095.0,3.04,4068095.0,3.04,2.1,5447247.0
1961,4191667.0,2.96,4191667.0,2.96,4191667.0,2.96,4191667.0,2.96,2.1,5447247.0
1962,4238188.0,2.83,4238188.0,2.83,4238188.0,2.83,4238188.0,2.83,2.1,5447247.0
1963,4282017.0,2.92,4282017.0,2.92,4282017.0,2.92,4282017.0,2.92,2.1,5447247.0
1964,4327341.0,2.89,4327341.0,2.89,4327341.0,2.89,4327341.0,2.89,2.1,5447247.0
1965,4370983.0,2.78,4370983.0,2.78,4370983.0,2.78,4370983.0,2.78,2.1,5447247.0
1966,4411666.0,2.66,4411666.0,2.66,4411666.0,2.66,4411666.0,2.66,2.1,5447247.0
1967,4449367.0,2.48,4449367.0,2.48,4449367.0,2.48,4449367.0,2.48,2.1,5447247.0
1968,4483915.0,2.39,4483915.0,2.39,4483915.0,2.39,4483915.0,2.39,2.1,5447247.0
1969,4518607.0,2.43,4518607.0,2.43,4518607.0,2.43,4518607.0,2.43,2.1,5447247.0
1970,4538223.0,2.41,4538223.0,2.41,4538223.0,2.41,4538223.0,2.41,2.1,5447247.0
1971,4557449.0,2.43,4557449.0,2.43,4557449.0,2.43,4557449.0,2.43,2.1,5447247.0
1972,4596622.0,2.49,4596622.0,2.49,4596622.0,2.49,4596622.0,2.49,2.1,5447247.0
1973,4641445.0,2.56,4641445.0,2.56,4641445.0,2.56,4641445.0,2.56,2.1,5447247.0
1974,4689623.0,2.61,4689623.0,2.61,4689623.0,2.61,4689623.0,2.61,2.1,5447247.0
1975,4739105.0,2.55,4739105.0,2.55,4739105.0,2.55,4739105.0,2.55,2.1,5447247.0
1976,4789507.0,2.55,4789507.0,2.55,4789507.0,2.55,4789507.0,2.55,2.1,5447247.0
1977,4840501.0,2.49,4840501.0,2.49,4840501.0,2.49,4840501.0,2.49,2.1,5447247.0
1978,4890125.0,2.47,4890125.0,2.47,4890125.0,2.47,4890125.0,2.47,2.1,5447247.0
1979,4938973.0,2.45,4938973.0,2.45,4938973.0,2.45,4938973.0,2.45,2.1,5447247.0
1980,4979815.0,2.32,4979815.0,2.32,4979815.0,2.32,4979815.0,2.32,2.1,5447247.0
1981,5016105.0,2.29,5016105.0,2.29,5016105.0,2.29,5016105.0,2.29,2.1,5447247.0
1982,5055099.0,2.28,5055099.0,2.28,5055099.0,2.28,5055099.0,2.28,2.1,5447247.0
1983,5091971.0,2.28,5091971.0,2.28,5091971.0,2.28,5091971.0,2.28,2.1,5447247.0
1984,5127097.0,2.26,5127097.0,2.26,5127097.0,2.26,5127097.0,2.26,2.1,5447247.0
1985,5161768.0,2.26,5161768.0,2.26,5161768.0,2.26,5161768.0,2.26,2.1,5447247.0
1986,5193838.0,2.2,5193838.0,2.2,5193838.0,2.2,5193838.0,2.2,2.1,5447247.0
1987,5222840.0,2.14,5222840.0,2.14,5222840.0,2.14,5222840.0,2.14,2.1,5447247.0
1988,5250596.0,2.13,5250596.0,2.13,5250596.0,2.13,5250596.0,2.13,2.1,5447247.0
1989,5275942.0,2.07,5275942.0,2.07,5275942.0,2.07,5275942.0,2.07,2.1,5447247.0
1990,5299187.0,2.09,5299187.0,2.09,5299187.0,2.09,5299187.0,2.09,2.1,5447247.0
1991,5303294.0,2.05,5303294.0,2.05,5303294.0,2.05,5303294.0,2.05,2.1,5447247.0
1992,5305016.0,1.93,5305016.0,1.93,5305016.0,1.93,5305016.0,1.93,2.1,5447247.0
1993,5325305.0,1.87,5325305.0,1.87,5325305.0,1.87,5325305.0,1.87,2.1,5447247.0
1994,5346331.0,1.67,5346331.0,1.67,5346331.0,1.67,5346331.0,1.67,2.1,5447247.0
1995,5361999.0,1.52,5361999.0,1.52,5361999.0,1.52,5361999.0,1.52,2.1,5447247.0
1996,5373361.0,1.47,5373361.0,1.47,5373361.0,1.47,5373361.0,1.47,2.1,5447247.0
1997,5383291.0,1.43,5383291.0,1.43,5383291.0,1.43,5383291.0,1.43,2.1,5447247.0
1998,5390516.0,1.37,5390516.0,1.37,5390516.0,1.37,5390516.0,1.37,2.1,5447247.0
1999,5396020.0,1.33,5396020.0,1.33,5396020.0,1.33,5396020.0,1.33,2.1,5447247.0
2000,5388720.0,1.3,5388720.0,1.3,5388720.0,1.3,5388720.0,1.3,2.1,5447247.0
2001,5378867.0,1.2,5378867.0,1.2,5378867.0,1.2,5378867.0,1.2,2.1,5447247.0
2002,5376912.0,1.19,5376912.0,1.19,5376912.0,1.19,5376912.0,1.19,2.1,5447247.0
