year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,1584720.0,2.341,1584720.0,2.341,1584720.0,2.341,1584720.0,2.341,2.1,2107007.0
1961,1594131.0,2.333,1594131.0,2.333,1594131.0,2.333,1594131.0,2.333,2.1,2107007.0
1962,1603649.0,2.327,1603649.0,2.327,1603649.0,2.327,1603649.0,2.327,2.1,2107007.0
1963,1616971.0,2.32,1616971.0,2.32,1616971.0,2.32,1616971.0,2.32,2.1,2107007.0
1964,1632114.0,2.312,1632114.0,2.312,1632114.0,2.312,1632114.0,2.312,2.1,2107007.0
1965,1649160.0,2.301,1649160.0,2.301,1649160.0,2.301,1649160.0,2.301,2.1,2107007.0
1966,1669905.0,2.287,1669905.0,2.287,1669905.0,2.287,1669905.0,2.287,2.1,2107007.0
1967,1689528.0,2.272,1689528.0,2.272,1689528.0,2.272,1689528.0,2.272,2.1,2107007.0
1968,1704546.0,2.258,1704546.0,2.258,1704546.0,2.258,1704546.0,2.258,2.1,2107007.0
1969,1713874.0,2.243,1713874.0,2.243,1713874.0,2.243,1713874.0,2.243,2.1,2107007.0
1970,1724891.0,2.231,1724891.0,2.231,1724891.0,2.231,1724891.0,2.231,2.1,2107007.0
1971,1738335.0,2.22,1738335.0,2.22,1738335.0,2.22,1738335.0,2.22,2.1,2107007.0
1972,1752233.0,2.213,1752233.0,2.213,1752233.0,2.213,1752233.0,2.213,2.1,2107007.0
1973,1766697.0,2.207,1766697.0,2.207,1766697.0,2.207,1766697.0,2.207,2.1,2107007.0
1974,1776132.0,2.202,1776132.0,2.202,1776132.0,2.202,1776132.0,2.202,2.1,2107007.0
1975,1793581.0,2.195,1793581.0,2.195,1793581.0,2.195,1793581.0,2.195,2.1,2107007.0
1976,1820249.0,2.183,1820249.0,2.183,1820249.0,2.183,1820249.0,2.183,2.1,2107007.0
1977,1842377.0,2.166,1842377.0,2.166,1842377.0,2.166,1842377.0,2.166,2.1,2107007.0
1978,1862548.0,2.14,1862548.0,2.14,1862548.0,2.14,1862548.0,2.14,2.1,2107007.0
1979,1882599.0,2.106,1882599.0,2.106,1882599.0,2.106,1882599.0,2.106,2.1,2107007.0
1980,1901315.0,2.064,1901315.0,2.064,1901315.0,2.064,1901315.0,2.064,2.1,2107007.0
1981,1906531.0,2.016,1906531.0,2.016,1906531.0,2.016,1906531.0,2.016,2.1,2107007.0
1982,1910334.0,1.93,1910334.0,1.93,1910334.0,1.93,1910334.0,1.93,2.1,2107007.0
1983,1922321.0,1.81,1922321.0,1.81,1922321.0,1.81,1922321.0,1.81,2.1,2107007.0
1984,1932154.0,1.74,1932154.0,1.74,1932154.0,1.74,1932154.0,1.74,2.1,2107007.0
1985,1941641.0,1.71,1941641.0,1.71,1941641.0,1.71,1941641.0,1.71,2.1,2107007.0
1986,1965964.0,1.67,1965964.0,1.67,1965964.0,1.67,1965964.0,1.67,2.1,2107007.0
1987,1989776.0,1.65,1989776.0,1.65,1989776.0,1.65,1989776.0,1.65,2.1,2107007.0
