year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,7484656.0,2.17,7484656.0,2.17,7484656.0,2.17,7484656.0,2.17,2.1,10415811.0
1961,7519998.0,2.21,7519998.0,2.21,7519998.0,2.21,7519998.0,2.21,2.1,10415811.0
1962,7561588.0,2.25,7561588.0,2.25,7561588.0,2.25,7561588.0,2.25,2.1,10415811.0
1963,7604328.0,2.33,7604328.0,2.33,7604328.0,2.33,7604328.0,2.33,2.1,10415811.0
1964,7661354.0,2.47,7661354.0,2.47,7661354.0,2.47,7661354.0,2.47,2.1,10415811.0
1965,7733853.0,2.39,7733853.0,2.39,7733853.0,2.39,7733853.0,2.39,2.1,10415811.0
1966,7807797.0,2.37,7807797.0,2.37,7807797.0,2.37,7807797.0,2.37,2.1,10415811.0
1967,7867931.0,2.28,7867931.0,2.28,7867931.0,2.28,7867931.0,2.28,2.1,10415811.0
1968,7912273.0,2.07,7912273.0,2.07,7912273.0,2.07,7912273.0,2.07,2.1,10415811.0
1969,7968072.0,1.93,7968072.0,1.93,7968072.0,1.93,7968072.0,1.93,2.1,10415811.0
1970,8042801.0,1.92,8042801.0,1.92,8042801.0,1.92,8042801.0,1.92,2.1,10415811.0
1971,8098334.0,1.96,8098334.0,1.96,8098334.0,1.96,8098334.0,1.96,2.1,10415811.0
1972,8122300.0,1.91,8122300.0,1.91,8122300.0,1.91,8122300.0,1.91,2.1,10415811.0
1973,8136312.0,1.87,8136312.0,1.87,8136312.0,1.87,8136312.0,1.87,2.1,10415811.0
1974,8159955.0,1.87,8159955.0,1.87,8159955.0,1.87,8159955.0,1.87,2.1,10415811.0
1975,8192437.0,1.77,8192437.0,1.77,8192437.0,1.77,8192437.0,1.77,2.1,10415811.0
1976,8222286.0,1.68,8222286.0,1.68,8222286.0,1.68,8222286.0,1.68,2.1,10415811.0
1977,8251540.0,1.64,8251540.0,1.64,8251540.0,1.64,8251540.0,1.64,2.1,10415811.0
1978,8275599.0,1.6,8275599.0,1.6,8275599.0,1.6,8275599.0,1.6,2.1,10415811.0
1979,8293678.0,1.66,8293678.0,1.66,8293678.0,1.66,8293678.0,1.66,2.1,10415811.0
1980,8310531.0,1.68,8310531.0,1.68,8310531.0,1.68,8310531.0,1.68,2.1,10415811.0
1981,8320503.0,1.63,8320503.0,1.63,8320503.0,1.63,8320503.0,1.63,2.1,10415811.0
1982,8325263.0,1.62,8325263.0,1.62,8325263.0,1.62,8325263.0,1.62,2.1,10415811.0
1983,8329033.0,1.61,8329033.0,1.61,8329033.0,1.61,8329033.0,1.61,2.1,10415811.0
1984,8336605.0,1.66,8336605.0,1.66,8336605.0,1.66,8336605.0,1.66,2.1,10415811.0
1985,8350386.0,1.74,8350386.0,1.74,8350386.0,1.74,8350386.0,1.74,2.1,10415811.0
1986,8369829.0,1.8,8369829.0,1.8,8369829.0,1.8,8369829.0,1.8,2.1,10415811.0
1987,8397804.0,1.84,8397804.0,1.84,8397804.0,1.84,8397804.0,1.84,2.1,10415811.0
1988,8436489.0,1.96,8436489.0,1.96,8436489.0,1.96,8436489.0,1.96,2.1,10415811.0
1989,8492964.0,2.01,8492964.0,2.01,8492964.0,2.01,8492964.0,2.01,2.1,10415811.0
1990,8558835.0,2.13,8558835.0,2.13,8558835.0,2.13,8558835.0,2.13,2.1,10415811.0
1991,8617375.0,2.11,8617375.0,2.11,8617375.0,2.11,8617375.0,2.11,2.1,10415811.0
1992,8668067.0,2.09,8668067.0,2.09,8668067.0,2.09,8668067.0,2.09,2.1,10415811.0
1993,8718561.0,1.99,8718561.0,1.99,8718561.0,1.99,8718561.0,1.99,2.1,10415811.0
1994,8780745.0,1.88,8780745.0,1.88,8780745.0,1.88,8780745.0,1.88,2.1,10415811.0
1995,8826939.0,1.73,8826939.0,1.73,8826939.0,1.73,8826939.0,1.73,2.1,10415811.0
1996,8840998.0,1.6,8840998.0,1.6,8840998.0,1.6,8840998.0,1.6,2.1,10415811.0
1997,8846062.0,1.52,8846062.0,1.52,8846062.0,1.52,8846062.0,1.52,2.1,10415811.0
1998,8850974.0,1.5,8850974.0,1.5,8850974.0,1.5,8850974.0,1.5,2.1,10415811.0
1999,8857874.0,1.5,8857874.0,1.5,8857874.0,1.5,8857874.0,1.5,2.1,10415811.0
2000,8872109.0,1.54,8872109.0,1.54,8872109.0,1.54,8872109.0,1.54,2.1,10415811.0
2001,8895960.0,1.57,8895960.0,1.57,8895960.0,1.57,8895960.0,1.57,2.1,10415811.0
2002,8924958.0,1.65,8924958.0,1.65,8924958.0,1.65,8924958.0,1.65,2.1,10415811.0
2003,8958229.0,1.71,8958229.0,1.71,8958229.0,1.71,8958229.0,1.71,2.1,10415811.0
2004,8993531.0,1.75,8993531.0,1.75,8993531.0,1.75,8993531.0,1.75,2.1,10415811.0
2005,9029572.0,1.77,9029572.0,1.77,9029572.0,1.77,9029572.0,1.77,2.1,10415811.0
2006,9080505.0,1.85,9080505.0,1.85,9080505.0,1.85,9080505.0,1.85,2.1,10415811.0
2007,9148092.0,1.88,9148092.0,1.88,9148092.0,1.88,9148092.0,1.88,2.1,10415811.0
2008,9219637.0,1.91,9219637.0,1.91,9219637.0,1.91,9219637.0,1.91,2.1,10415811.0
2009,9298515.0,1.94,9298515.0,1.94,9298515.0,1.94,9298515.0,1.94,2.1,10415811.0
2010,9378126.0,1.98,9378126.0,1.98,9378126.0,1.98,9378126.0,1.98,2.1,10415811.0
2011,9449213.0,1.9,9449213.0,1.9,9449213.0,1.9,9449213.0,1.9,2.1,10415811.0
2012,9519374.0,1.91,9519374.0,1.91,9519374.0,1.91,9519374.0,1.91,2.1,10415811.0
2013,9600379.0,1.89,9600379.0,1.89,9600379.0,1.89,9600379.0,1.89,2.1,10415811.0
2014,9696110.0,1.88,9696110.0,1.88,9696110.0,1.88,9696110.0,1.88,2.1,10415811.0
2015,9799186.0,1.85,9799186.0,1.85,9799186.0,1.85,9799186.0,1.85,2.1,10415811.0
2016,9923085.0,1.85,9923085.0,1.85,9923085.0,1.85,9923085.0,1.85,2.1,10415811.0
2017,10057698.0,1.78,10057698.0,1.78,10057698.0,1.78,10057698.0,1.78,2.1,10415811.0
2018,10175214.0,1.76,10175214.0,1.76,10175214.0,1.76,10175214.0,1.76,2.1,10415811.0
2019,10278887.0,1.71,10278887.0,1.71,10278887.0,1.71,10278887.0,1.71,2.1,10415811.0
2020,10353442.0,1.66,10353442.0,1.66,10353442.0,1.66,10353442.0,1.66,2.1,10415811.0
2021,10415811.0,1.66,10415811.0,1.66,10415811.0,1.66,10415811.0,1.66,2.1,10415811.0
2022,10388943.789,1.654,10388249.404,1.642,10390015.838,1.671,10389328.448,1.66,2.1,10415811.0
2023,10361693.399,1.647,10359620.418,1.624,10364912.797,1.683,10362845.895,1.66,2.1,10415811.0
2024,10334061.306,1.641,10329935.57,1.607,10340506.637,1.694,10336363.343,1.66,2.1,10415811.0
2025,10306048.981,1.635,10299206.263,1.589,10316802.153,1.706,10309880.79,1.66,2.1,10415811.0
2026,10277657.885,1.628,10267443.777,1.572,10293804.174,1.718,10283398.238,1.66,2.1,10415811.0
2027,10248889.479,1.622,10234659.271,1.555,10271517.559,1.73,10256915.686,1.66,2.1,10415811.0
2028,10219745.214,1.616,10200863.783,1.538,10249947.203,1.742,10230433.133,1.66,2.1,10415811.0
2029,10190226.537,1.61,10166068.23,1.522,10229098.033,1.754,10203950.581,1.66,2.1,10415811.0
2030,10160334.891,1.603,10130283.415,1.505,10208975.012,1.766,10177468.029,1.66,2.1,10415811.0
2031,10130071.71,1.597,10093520.02,1.489,10189583.135,1.778,10150985.476,1.66,2.1,10415811.0
2032,10099438.426,1.591,10055788.614,1.473,10170927.433,1.79,10124502.924,1.66,2.1,10415811.0
2033,10068436.463,1.585,10017099.653,1.457,10153012.971,1.802,10098020.371,1.66,2.1,10415811.0
2034,10037067.241,1.579,9977463.477,1.441,10135844.847,1.815,10071537.819,1.66,2.1,10415811.0
2035,10005332.173,1.573,9936890.317,1.426,10119428.198,1.827,10045055.267,1.66,2.1,10415811.0
2036,9973232.669,1.567,9895390.291,1.41,10103768.193,1.84,10018572.714,1.66,2.1,10415811.0
2037,9940770.13,1.561,9852973.411,1.395,10088870.037,1.852,9992090.162,1.66,2.1,10415811.0
2038,9907945.956,1.555,9809649.577,1.38,10074738.973,1.865,9965607.61,1.66,2.1,10415811.0
2039,9874761.538,1.549,9765428.586,1.365,10061380.278,1.878,9939125.057,1.66,2.1,10415811.0
2040,9841218.262,1.543,9720320.127,1.351,10048799.266,1.891,9912642.505,1.66,2.1,10415811.0
2041,9807317.512,1.537,9674333.783,1.336,10037001.288,1.904,9886159.952,1.66,2.1,10415811.0
2042,9773060.662,1.531,9627479.037,1.322,10025991.73,1.917,9859677.4,1.66,2.1,10415811.0
2043,9738449.085,1.525,9579765.267,1.307,10015776.017,1.93,9833194.848,1.66,2.1,10415811.0
2044,9703484.145,1.519,9531201.751,1.293,10006359.61,1.944,9806712.295,1.66,2.1,10415811.0
2045,9668167.203,1.513,9481797.665,1.279,9997748.009,1.957,9780229.743,1.66,2.1,10415811.0
2046,9632499.615,1.507,9431562.088,1.265,9989946.752,1.97,9753747.19,1.66,2.1,10415811.0
2047,9596482.729,1.502,9380504.001,1.252,9982961.412,1.984,9727264.638,1.66,2.1,10415811.0
2048,9560117.892,1.496,9328632.285,1.238,9976797.604,1.998,9700782.086,1.66,2.1,10415811.0
2049,9523406.443,1.49,9275955.729,1.225,9971460.98,2.011,9674299.533,1.66,2.1,10415811.0
2050,9486349.716,1.484,9222483.024,1.212,9966957.23,2.025,9647816.981,1.66,2.1,10415811.0
2051,9448949.04,1.479,9168222.769,1.198,9963292.085,2.039,9621334.429,1.66,2.1,10415811.0
2052,9411205.741,1.473,9113183.47,1.186,9960471.315,2.053,9594851.876,1.66,2.1,10415811.0
2053,9373121.135,1.467,9057373.54,1.173,9958500.729,2.067,9568369.324,1.66,2.1,10415811.0
2054,9334696.539,1.462,9000801.302,1.16,9957386.176,2.081,9541886.771,1.66,2.1,10415811.0
2055,9295933.261,1.456,8943474.99,1.148,9957133.545,2.096,9515404.219,1.66,2.1,10415811.0
2056,9256832.604,1.45,8885402.746,1.135,9957748.767,2.11,9488921.667,1.66,2.1,10415811.0
2057,9217395.868,1.445,8826592.627,1.123,9959237.812,2.125,9462439.114,1.66,2.1,10415811.0
2058,9177624.346,1.439,8767052.602,1.111,9961606.693,2.139,9435956.562,1.66,2.1,10415811.0
2059,9137519.328,1.434,8706790.554,1.099,9964861.463,2.154,9409474.01,1.66,2.1,10415811.0
2060,9097082.097,1.428,8645814.282,1.087,9969008.215,2.169,9382991.457,1.66,2.1,10415811.0
2061,9056313.933,1.423,8584131.497,1.075,9974053.089,2.184,9356508.905,1.66,2.1,10415811.0
2062,9015216.109,1.417,8521749.832,1.064,9980002.262,2.199,9330026.352,1.66,2.1,10415811.0
2063,8973789.895,1.412,8458676.833,1.052,9986861.955,2.214,9303543.8,1.66,2.1,10415811.0
2064,8932036.555,1.406,8394919.968,1.041,9994638.435,2.229,9277061.248,1.66,2.1,10415811.0
2065,8889957.349,1.401,8330486.621,1.029,10003338.007,2.245,9250578.695,1.66,2.1,10415811.0
2066,8847553.53,1.395,8265384.1,1.018,10012967.022,2.26,9224096.143,1.66,2.1,10415811.0
2067,8804826.35,1.39,8199619.63,1.007,10023531.877,2.276,9197613.59,1.66,2.1,10415811.0
2068,8761777.052,1.385,8133200.362,0.996,10035039.008,2.291,9171131.038,1.66,2.1,10415811.0
2069,8718406.877,1.379,8066133.366,0.986,10047494.899,2.307,9144648.486,1.66,2.1,10415811.0
2070,8674717.06,1.374,7998425.639,0.975,10060906.077,2.323,9118165.933,1.66,2.1,10415811.0
2071,8630708.832,1.369,7930084.1,0.965,10075279.115,2.339,9091683.381,1.66,2.1,10415811.0
2072,8586383.419,1.364,7861115.595,0.954,10090620.63,2.355,9065200.829,1.66,2.1,10415811.0
2073,8541742.042,1.358,7791526.894,0.944,10106937.285,2.371,9038718.276,1.66,2.1,10415811.0
2074,8496785.917,1.353,7721324.696,0.934,10124235.79,2.387,9012235.724,1.66,2.1,10415811.0
2075,8451516.256,1.348,7650515.626,0.924,10142522.899,2.404,8985753.171,1.66,2.1,10415811.0
2076,8405934.267,1.343,7579106.24,0.914,10161805.414,2.42,8959270.619,1.66,2.1,10415811.0
2077,8360041.151,1.337,7507103.019,0.904,10182090.183,2.437,8932788.067,1.66,2.1,10415811.0
2078,8313838.108,1.332,7434512.378,0.894,10203384.103,2.454,8906305.514,1.66,2.1,10415811.0
2079,8267326.328,1.327,7361340.661,0.884,10225694.115,2.471,8879822.962,1.66,2.1,10415811.0
2080,8220507.003,1.322,7287594.143,0.875,10249027.211,2.488,8853340.41,1.66,2.1,10415811.0
