year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,336578.0,6.752,336578.0,6.752,336578.0,6.752,336578.0,6.752,2.1,1172369.0
1961,343346.0,6.774,343346.0,6.774,343346.0,6.774,343346.0,6.774,2.1,1172369.0
1962,350155.0,6.794,350155.0,6.794,350155.0,6.794,350155.0,6.794,2.1,1172369.0
1963,357279.0,6.812,357279.0,6.812,357279.0,6.812,357279.0,6.812,2.1,1172369.0
1964,365120.0,6.826,365120.0,6.826,365120.0,6.826,365120.0,6.826,2.1,1172369.0
1965,373925.0,6.837,373925.0,6.837,373925.0,6.837,373925.0,6.837,2.1,1172369.0
1966,383820.0,6.846,383820.0,6.846,383820.0,6.846,383820.0,6.846,2.1,1172369.0
1967,394760.0,6.854,394760.0,6.854,394760.0,6.854,394760.0,6.854,2.1,1172369.0
1968,406508.0,6.861,406508.0,6.861,406508.0,6.861,406508.0,6.861,2.1,1172369.0
1969,418739.0,6.867,418739.0,6.867,418739.0,6.867,418739.0,6.867,2.1,1172369.0
1970,431251.0,6.871,431251.0,6.871,431251.0,6.871,431251.0,6.871,2.1,1172369.0
1971,443979.0,6.871,443979.0,6.871,443979.0,6.871,443979.0,6.871,2.1,1172369.0
1972,457039.0,6.866,457039.0,6.866,457039.0,6.866,457039.0,6.866,2.1,1172369.0
1973,470561.0,6.854,470561.0,6.854,470561.0,6.854,470561.0,6.854,2.1,1172369.0
1974,484747.0,6.837,484747.0,6.837,484747.0,6.837,484747.0,6.837,2.1,1172369.0
1975,499759.0,6.817,499759.0,6.817,499759.0,6.817,499759.0,6.817,2.1,1172369.0
1976,515602.0,6.798,515602.0,6.798,515602.0,6.798,515602.0,6.798,2.1,1172369.0
1977,532253.0,6.783,532253.0,6.783,532253.0,6.783,532253.0,6.783,2.1,1172369.0
1978,549787.0,6.769,549787.0,6.769,549787.0,6.769,549787.0,6.769,2.1,1172369.0
1979,568316.0,6.752,568316.0,6.752,568316.0,6.752,568316.0,6.752,2.1,1172369.0
1980,587852.0,6.721,587852.0,6.721,587852.0,6.721,587852.0,6.721,2.1,1172369.0
1981,608374.0,6.662,608374.0,6.662,608374.0,6.662,608374.0,6.662,2.1,1172369.0
1982,629812.0,6.567,629812.0,6.567,629812.0,6.567,629812.0,6.567,2.1,1172369.0
1983,652112.0,6.434,652112.0,6.434,652112.0,6.434,652112.0,6.434,2.1,1172369.0
1984,675240.0,6.265,675240.0,6.265,675240.0,6.265,675240.0,6.265,2.1,1172369.0
1985,699077.0,6.069,699077.0,6.069,699077.0,6.069,699077.0,6.069,2.1,1172369.0
1986,723599.0,5.857,723599.0,5.857,723599.0,5.857,723599.0,5.857,2.1,1172369.0
1987,748634.0,5.646,748634.0,5.646,748634.0,5.646,748634.0,5.646,2.1,1172369.0
1988,773774.0,5.447,773774.0,5.447,773774.0,5.447,773774.0,5.447,2.1,1172369.0
