year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,2833.0,,2833.0,,2833.0,,2833.0,,2.1,42846.0
1961,3077.0,,3077.0,,3077.0,,3077.0,,2.1,42846.0
1962,3367.0,,3367.0,,3367.0,,3367.0,,2.1,42846.0
1963,3703.0,,3703.0,,3703.0,,3703.0,,2.1,42846.0
1964,4063.0,,4063.0,,4063.0,,4063.0,,2.1,42846.0
1965,4460.0,,4460.0,,4460.0,,4460.0,,2.1,42846.0
1966,4895.0,,4895.0,,4895.0,,4895.0,,2.1,42846.0
1967,5362.0,,5362.0,,5362.0,,5362.0,,2.1,42846.0
1968,5857.0,,5857.0,,5857.0,,5857.0,,2.1,42846.0
1969,6354.0,,6354.0,,6354.0,,6354.0,,2.1,42846.0
1970,6854.0,,6854.0,,6854.0,,6854.0,,2.1,42846.0
1971,7372.0,,7372.0,,7372.0,,7372.0,,2.1,42846.0
1972,7892.0,,7892.0,,7892.0,,7892.0,,2.1,42846.0
1973,8429.0,,8429.0,,8429.0,,8429.0,,2.1,42846.0
1974,8977.0,,8977.0,,8977.0,,8977.0,,2.1,42846.0
1975,9556.0,,9556.0,,9556.0,,9556.0,,2.1,42846.0
1976,10147.0,,10147.0,,10147.0,,10147.0,,2.1,42846.0
1977,10791.0,,10791.0,,10791.0,,10791.0,,2.1,42846.0
1978,11481.0,,11481.0,,11481.0,,11481.0,,2.1,42846.0
1979,12244.0,,12244.0,,12244.0,,12244.0,,2.1,42846.0
1980,13097.0,,13097.0,,13097.0,,13097.0,,2.1,42846.0
1981,14030.0,,14030.0,,14030.0,,14030.0,,2.1,42846.0
1982,15032.0,,15032.0,,15032.0,,15032.0,,2.1,42846.0
1983,16175.0,,16175.0,,16175.0,,16175.0,,2.1,42846.0
1984,17517.0,,17517.0,,17517.0,,17517.0,,2.1,42846.0
1985,19127.0,,19127.0,,19127.0,,19127.0,,2.1,42846.0
1986,21028.0,,21028.0,,21028.0,,21028.0,,2.1,42846.0
1987,23157.0,,23157.0,,23157.0,,23157.0,,2.1,42846.0
1988,25334.0,,25334.0,,25334.0,,25334.0,,2.1,42846.0
1989,27280.0,,27280.0,,27280.0,,27280.0,,2.1,42846.0
1990,28814.0,,28814.0,,28814.0,,28814.0,,2.1,42846.0
1991,29852.0,,29852.0,,29852.0,,29852.0,,2.1,42846.0
1992,30458.0,2.03,30458.0,2.03,30458.0,2.03,30458.0,2.03,2.1,42846.0
1993,30765.0,,30765.0,,30765.0,,30765.0,,2.1,42846.0
1994,30950.0,,30950.0,,30950.0,,30950.0,,2.1,42846.0
1995,31164.0,,31164.0,,31164.0,,31164.0,,2.1,42846.0
1996,31434.0,,31434.0,,31434.0,,31434.0,,2.1,42846.0
1997,31731.0,,31731.0,,31731.0,,31731.0,,2.1,42846.0
1998,31240.0,,31240.0,,31240.0,,31240.0,,2.1,42846.0
1999,31084.0,,31084.0,,31084.0,,31084.0,,2.1,42846.0
2000,30519.0,,30519.0,,30519.0,,30519.0,,2.1,42846.0
2001,30600.0,1.95,30600.0,1.95,30600.0,1.95,30600.0,1.95,2.1,42846.0
2002,30777.0,,30777.0,,30777.0,,30777.0,,2.1,42846.0
2003,31472.0,,31472.0,,31472.0,,31472.0,,2.1,42846.0
2004,32488.0,,32488.0,,32488.0,,32488.0,,2.1,42846.0
2005,33011.0,,33011.0,,33011.0,,33011.0,,2.1,42846.0
2006,33441.0,,33441.0,,33441.0,,33441.0,,2.1,42846.0
2007,33811.0,1.5,33811.0,1.5,33811.0,1.5,33811.0,1.5,2.1,42846.0
2008,33964.0,1.7,33964.0,1.7,33964.0,1.7,33964.0,1.7,2.1,42846.0
2009,34238.0,1.7,34238.0,1.7,34238.0,1.7,34238.0,1.7,2.1,42846.0
2010,34056.0,,34056.0,,34056.0,,34056.0,,2.1,42846.0
2011,33435.0,2.03,33435.0,2.03,33435.0,2.03,33435.0,2.03,2.1,42846.0
2012,34640.0,,34640.0,,34640.0,,34640.0,,2.1,42846.0
2013,36607.0,,36607.0,,36607.0,,36607.0,,2.1,42846.0
2014,37685.0,,37685.0,,37685.0,,37685.0,,2.1,42846.0
2015,38825.0,,38825.0,,38825.0,,38825.0,,2.1,42846.0
2016,39969.0,,39969.0,,39969.0,,39969.0,,2.1,42846.0
2017,40574.0,,40574.0,,40574.0,,40574.0,,2.1,42846.0
2018,40895.0,,40895.0,,40895.0,,40895.0,,2.1,42846.0
2019,41608.0,,41608.0,,41608.0,,41608.0,,2.1,42846.0
2020,42310.0,,42310.0,,42310.0,,42310.0,,2.1,42846.0
2021,42846.0,,42846.0,,42846.0,,42846.0,,2.1,42846.0
2022,,,,,,,,,2.1,42846.0
2023,,,,,,,,,2.1,42846.0
2024,,,,,,,,,2.1,42846.0
2025,,,,,,,,,2.1,42846.0
2026,,,,,,,,,2.1,42846.0
2027,,,,,,,,,2.1,42846.0
2028,,,,,,,,,2.1,42846.0
2029,,,,,,,,,2.1,42846.0
2030,,,,,,,,,2.1,42846.0
2031,,,,,,,,,2.1,42846.0
2032,,,,,,,,,2.1,42846.0
2033,,,,,,,,,2.1,42846.0
2034,,,,,,,,,2.1,42846.0
2035,,,,,,,,,2.1,42846.0
2036,,,,,,,,,2.1,42846.0
2037,,,,,,,,,2.1,42846.0
2038,,,,,,,,,2.1,42846.0
2039,,,,,,,,,2.1,42846.0
2040,,,,,,,,,2.1,42846.0
2041,,,,,,,,,2.1,42846.0
2042,,,,,,,,,2.1,42846.0
2043,,,,,,,,,2.1,42846.0
2044,,,,,,,,,2.1,42846.0
2045,,,,,,,,,2.1,42846.0
2046,,,,,,,,,2.1,42846.0
2047,,,,,,,,,2.1,42846.0
2048,,,,,,,,,2.1,42846.0
2049,,,,,,,,,2.1,42846.0
2050,,,,,,,,,2.1,42846.0
2051,,,,,,,,,2.1,42846.0
2052,,,,,,,,,2.1,42846.0
2053,,,,,,,,,2.1,42846.0
2054,,,,,,,,,2.1,42846.0
2055,,,,,,,,,2.1,42846.0
2056,,,,,,,,,2.1,42846.0
2057,,,,,,,,,2.1,42846.0
2058,,,,,,,,,2.1,42846.0
2059,,,,,,,,,2.1,42846.0
2060,,,,,,,,,2.1,42846.0
2061,,,,,,,,,2.1,42846.0
2062,,,,,,,,,2.1,42846.0
2063,,,,,,,,,2.1,42846.0
2064,,,,,,,,,2.1,42846.0
2065,,,,,,,,,2.1,42846.0
2066,,,,,,,,,2.1,42846.0
2067,,,,,,,,,2.1,42846.0
2068,,,,,,,,,2.1,42846.0
2069,,,,,,,,,2.1,42846.0
2070,,,,,,,,,2.1,42846.0
2071,,,,,,,,,2.1,42846.0
2072,,,,,,,,,2.1,42846.0
2073,,,,,,,,,2.1,42846.0
2074,,,,,,,,,2.1,42846.0
2075,,,,,,,,,2.1,42846.0
2076,,,,,,,,,2.1,42846.0
2077,,,,,,,,,2.1,42846.0
2078,,,,,,,,,2.1,42846.0
2079,,,,,,,,,2.1,42846.0
2080,,,,,,,,,2.1,42846.0
2081,,,,,,,,,2.1,42846.0
2082,,,,,,,,,2.1,42846.0
2083,,,,,,,,,2.1,42846.0
2084,,,,,,,,,2.1,42846.0
2085,,,,,,,,,2.1,42846.0
2086,,,,,,,,,2.1,42846.0
2087,,,,,,,,,2.1,42846.0
2088,,,,,,,,,2.1,42846.0
2089,,,,,,,,,2.1,42846.0
2090,,,,,,,,,2.1,42846.0
2091,,,,,,,,,2.1,42846.0
2092,,,,,,,,,2.1,42846.0
2093,,,,,,,,,2.1,42846.0
2094,,,,,,,,,2.1,42846.0
2095,,,,,,,,,2.1,42846.0
2096,,,,,,,,,2.1,42846.0
2097,,,,,,,,,2.1,42846.0
2098,,,,,,,,,2.1,42846.0
2099,,,,,,,,,2.1,42846.0
2100,,,,,,,,,2.1,42846.0
2101,,,,,,,,,2.1,42846.0
2102,,,,,,,,,2.1,42846.0
2103,,,,,,,,,2.1,42846.0
2104,,,,,,,,,2.1,42846.0
2105,,,,,,,,,2.1,42846.0
2106,,,,,,,,,2.1,42846.0
2107,,,,,,,,,2.1,42846.0
2108,,,,,,,,,2.1,42846.0
2109,,,,,,,,,2.1,42846.0
2110,,,,,,,,,2.1,42846.0
2111,,,,,,,,,2.1,42846.0
2112,,,,,,,,,2.1,42846.0
2113,,,,,,,,,2.1,42846.0
2114,,,,,,,,,2.1,42846.0
2115,,,,,,,,,2.1,42846.0
2116,,,,,,,,,2.1,42846.0
2117,,,,,,,,,2.1,42846.0
2118,,,,,,,,,2.1,42846.0
2119,,,,,,,,,2.1,42846.0
2120,,,,,,,,,2.1,42846.0
2121,,,,,,,,,2.1,42846.0
