year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,41700.0,,41700.0,,41700.0,,41700.0,,2.1,99202.0
1961,42889.0,,42889.0,,42889.0,,42889.0,,2.1,99202.0
1962,44042.0,,44042.0,,44042.0,,44042.0,,2.1,99202.0
1963,45176.0,,45176.0,,45176.0,,45176.0,,2.1,99202.0
1964,46322.0,,46322.0,,46322.0,,46322.0,,2.1,99202.0
1965,47500.0,,47500.0,,47500.0,,47500.0,,2.1,99202.0
1966,48699.0,,48699.0,,48699.0,,48699.0,,2.1,99202.0
1967,49911.0,,49911.0,,49911.0,,49911.0,,2.1,99202.0
1968,51134.0,,51134.0,,51134.0,,51134.0,,2.1,99202.0
1969,52365.0,,52365.0,,52365.0,,52365.0,,2.1,99202.0
1970,53600.0,,53600.0,,53600.0,,53600.0,,2.1,99202.0
1971,54695.0,,54695.0,,54695.0,,54695.0,,2.1,99202.0
1972,56029.0,,56029.0,,56029.0,,56029.0,,2.1,99202.0
1973,56892.0,,56892.0,,56892.0,,56892.0,,2.1,99202.0
1974,57937.0,,57937.0,,57937.0,,57937.0,,2.1,99202.0
1975,59292.0,,59292.0,,59292.0,,59292.0,,2.1,99202.0
1976,60504.0,4.5,60504.0,4.5,60504.0,4.5,60504.0,4.5,2.1,99202.0
1977,61786.0,,61786.0,,61786.0,,61786.0,,2.1,99202.0
1978,62150.0,,62150.0,,62150.0,,62150.0,,2.1,99202.0
1979,62686.0,,62686.0,,62686.0,,62686.0,,2.1,99202.0
1980,63261.0,,63261.0,,63261.0,,63261.0,,2.1,99202.0
1981,64035.0,,64035.0,,64035.0,,64035.0,,2.1,99202.0
1982,64413.0,3.5,64413.0,3.5,64413.0,3.5,64413.0,3.5,2.1,99202.0
1983,64335.0,,64335.0,,64335.0,,64335.0,,2.1,99202.0
1984,64717.0,,64717.0,,64717.0,,64717.0,,2.1,99202.0
1985,65244.0,,65244.0,,65244.0,,65244.0,,2.1,99202.0
1986,65652.0,,65652.0,,65652.0,,65652.0,,2.1,99202.0
1987,68499.0,3.0,68499.0,3.0,68499.0,3.0,68499.0,3.0,2.1,99202.0
1988,68755.0,,68755.0,,68755.0,,68755.0,,2.1,99202.0
1989,69167.0,,69167.0,,69167.0,,69167.0,,2.1,99202.0
1990,69507.0,,69507.0,,69507.0,,69507.0,,2.1,99202.0
1991,70439.0,,70439.0,,70439.0,,70439.0,,2.1,99202.0
1992,70763.0,2.696,70763.0,2.696,70763.0,2.696,70763.0,2.696,2.1,99202.0
1993,72253.0,,72253.0,,72253.0,,72253.0,,2.1,99202.0
1994,74205.0,,74205.0,,74205.0,,74205.0,,2.1,99202.0
1995,75304.0,,75304.0,,75304.0,,75304.0,,2.1,99202.0
1996,76417.0,,76417.0,,76417.0,,76417.0,,2.1,99202.0
1997,77319.0,2.1,77319.0,2.1,77319.0,2.1,77319.0,2.1,2.1,99202.0
1998,78846.0,2.04,78846.0,2.04,78846.0,2.04,78846.0,2.04,2.1,99202.0
1999,80410.0,2.04,80410.0,2.04,80410.0,2.04,80410.0,2.04,2.1,99202.0
2000,81131.0,2.08,81131.0,2.08,81131.0,2.08,81131.0,2.08,2.1,99202.0
2001,81202.0,1.98,81202.0,1.98,81202.0,1.98,81202.0,1.98,2.1,99202.0
2002,83723.0,2.04,83723.0,2.04,83723.0,2.04,83723.0,2.04,2.1,99202.0
2003,82781.0,2.06,82781.0,2.06,82781.0,2.06,82781.0,2.06,2.1,99202.0
2004,82475.0,2.01,82475.0,2.01,82475.0,2.01,82475.0,2.01,2.1,99202.0
2005,82858.0,2.2,82858.0,2.2,82858.0,2.2,82858.0,2.2,2.1,99202.0
2006,84600.0,2.11,84600.0,2.11,84600.0,2.11,84600.0,2.11,2.1,99202.0
2007,85033.0,2.24,85033.0,2.24,85033.0,2.24,85033.0,2.24,2.1,99202.0
