year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,4573514.0,7.467,4573514.0,7.467,4573514.0,7.467,4573514.0,7.467,2.1,18275704.0
1961,4721893.0,7.497,4721893.0,7.497,4721893.0,7.497,4721893.0,7.497,2.1,18275704.0
1962,4875429.0,7.522,4875429.0,7.522,4875429.0,7.522,4875429.0,7.522,2.1,18275704.0
1963,5034639.0,7.541,5034639.0,7.541,5034639.0,7.541,5034639.0,7.541,2.1,18275704.0
1964,5200341.0,7.555,5200341.0,7.555,5200341.0,7.555,5200341.0,7.555,2.1,18275704.0
1965,5373137.0,7.564,5373137.0,7.564,5373137.0,7.564,5373137.0,7.564,2.1,18275704.0
1966,5553247.0,7.569,5553247.0,7.569,5553247.0,7.569,5553247.0,7.569,2.1,18275704.0
1967,5740702.0,7.572,5740702.0,7.572,5740702.0,7.572,5740702.0,7.572,2.1,18275704.0
1968,5935850.0,7.574,5935850.0,7.574,5935850.0,7.574,5935850.0,7.574,2.1,18275704.0
1969,6139054.0,7.574,6139054.0,7.574,6139054.0,7.574,6139054.0,7.574,2.1,18275704.0
1970,6350544.0,7.572,6350544.0,7.572,6350544.0,7.572,6350544.0,7.572,2.1,18275704.0
1971,6570859.0,7.566,6570859.0,7.566,6570859.0,7.566,6570859.0,7.566,2.1,18275704.0
1972,6800148.0,7.556,6800148.0,7.556,6800148.0,7.556,6800148.0,7.556,2.1,18275704.0
1973,7037860.0,7.537,7037860.0,7.537,7037860.0,7.537,7037860.0,7.537,2.1,18275704.0
1974,7283181.0,7.51,7283181.0,7.51,7283181.0,7.51,7283181.0,7.51,2.1,18275704.0
1975,7535715.0,7.472,7535715.0,7.472,7535715.0,7.472,7535715.0,7.472,2.1,18275704.0
1976,7794658.0,7.422,7794658.0,7.422,7794658.0,7.422,7794658.0,7.422,2.1,18275704.0
1977,8060652.0,7.359,8060652.0,7.359,8060652.0,7.359,8060652.0,7.359,2.1,18275704.0
1978,8336421.0,7.285,8336421.0,7.285,8336421.0,7.285,8336421.0,7.285,2.1,18275704.0
1979,8625693.0,7.197,8625693.0,7.197,8625693.0,7.197,8625693.0,7.197,2.1,18275704.0
1980,8930776.0,7.094,8930776.0,7.094,8930776.0,7.094,8930776.0,7.094,2.1,18275704.0
1981,9252854.0,6.976,9252854.0,6.976,9252854.0,6.976,9252854.0,6.976,2.1,18275704.0
1982,9590226.0,6.843,9590226.0,6.843,9590226.0,6.843,9590226.0,6.843,2.1,18275704.0
1983,9938852.0,6.695,9938852.0,6.695,9938852.0,6.695,9938852.0,6.695,2.1,18275704.0
1984,10293048.0,6.534,10293048.0,6.534,10293048.0,6.534,10293048.0,6.534,2.1,18275704.0
1985,10648633.0,6.359,10648633.0,6.359,10648633.0,6.359,10648633.0,6.359,2.1,18275704.0
1986,11004273.0,6.168,11004273.0,6.168,11004273.0,6.168,11004273.0,6.168,2.1,18275704.0
1987,11360848.0,5.962,11360848.0,5.962,11360848.0,5.962,11360848.0,5.962,2.1,18275704.0
1988,11719064.0,5.746,11719064.0,5.746,11719064.0,5.746,11719064.0,5.746,2.1,18275704.0
1989,12080439.0,5.526,12080439.0,5.526,12080439.0,5.526,12080439.0,5.526,2.1,18275704.0
1990,12446168.0,5.309,12446168.0,5.309,12446168.0,5.309,12446168.0,5.309,2.1,18275704.0
1991,12815400.0,5.106,12815400.0,5.106,12815400.0,5.106,12815400.0,5.106,2.1,18275704.0
1992,13187669.0,4.92,13187669.0,4.92,13187669.0,4.92,13187669.0,4.92,2.1,18275704.0
1993,13565074.0,4.757,13565074.0,4.757,13565074.0,4.757,13565074.0,4.757,2.1,18275704.0
1994,13950486.0,4.617,13950486.0,4.617,13950486.0,4.617,13950486.0,4.617,2.1,18275704.0
1995,14345491.0,4.501,14345491.0,4.501,14345491.0,4.501,14345491.0,4.501,2.1,18275704.0
1996,14754148.0,4.402,14754148.0,4.402,14754148.0,4.402,14754148.0,4.402,2.1,18275704.0
1997,15175308.0,4.314,15175308.0,4.314,15175308.0,4.314,15175308.0,4.314,2.1,18275704.0
1998,15599588.0,4.232,15599588.0,4.232,15599588.0,4.232,15599588.0,4.232,2.1,18275704.0
1999,16013992.0,4.152,16013992.0,4.152,16013992.0,4.152,16013992.0,4.152,2.1,18275704.0
2000,16410847.0,4.076,16410847.0,4.076,16410847.0,4.076,16410847.0,4.076,2.1,18275704.0
2001,16766555.0,4.007,16766555.0,4.007,16766555.0,4.007,16766555.0,4.007,2.1,18275704.0
2002,17084628.0,3.948,17084628.0,3.948,17084628.0,3.948,17084628.0,3.948,2.1,18275704.0
