year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,5825.0,,5825.0,,5825.0,,5825.0,,2.1,39226.0
1961,5867.0,,5867.0,,5867.0,,5867.0,,2.1,39226.0
1962,5884.0,,5884.0,,5884.0,,5884.0,,2.1,39226.0
1963,5870.0,,5870.0,,5870.0,,5870.0,,2.1,39226.0
1964,5851.0,,5851.0,,5851.0,,5851.0,,2.1,39226.0
1965,5814.0,,5814.0,,5814.0,,5814.0,,2.1,39226.0
1966,5783.0,,5783.0,,5783.0,,5783.0,,2.1,39226.0
1967,5766.0,,5766.0,,5766.0,,5766.0,,2.1,39226.0
1968,5746.0,,5746.0,,5746.0,,5746.0,,2.1,39226.0
1969,5765.0,,5765.0,,5765.0,,5765.0,,2.1,39226.0
1970,5837.0,,5837.0,,5837.0,,5837.0,,2.1,39226.0
1971,5973.0,,5973.0,,5973.0,,5973.0,,2.1,39226.0
1972,6156.0,,6156.0,,6156.0,,6156.0,,2.1,39226.0
1973,6380.0,,6380.0,,6380.0,,6380.0,,2.1,39226.0
1974,6610.0,,6610.0,,6610.0,,6610.0,,2.1,39226.0
1975,6832.0,,6832.0,,6832.0,,6832.0,,2.1,39226.0
1976,7020.0,,7020.0,,7020.0,,7020.0,,2.1,39226.0
1977,7193.0,,7193.0,,7193.0,,7193.0,,2.1,39226.0
1978,7380.0,,7380.0,,7380.0,,7380.0,,2.1,39226.0
1979,7607.0,,7607.0,,7607.0,,7607.0,,2.1,39226.0
1980,7894.0,,7894.0,,7894.0,,7894.0,,2.1,39226.0
1981,8243.0,,8243.0,,8243.0,,8243.0,,2.1,39226.0
1982,8654.0,,8654.0,,8654.0,,8654.0,,2.1,39226.0
1983,9096.0,,9096.0,,9096.0,,9096.0,,2.1,39226.0
1984,9556.0,,9556.0,,9556.0,,9556.0,,2.1,39226.0
1985,9974.0,,9974.0,,9974.0,,9974.0,,2.1,39226.0
1986,10365.0,,10365.0,,10365.0,,10365.0,,2.1,39226.0
1987,10717.0,,10717.0,,10717.0,,10717.0,,2.1,39226.0
1988,11091.0,,11091.0,,11091.0,,11091.0,,2.1,39226.0
1989,11550.0,,11550.0,,11550.0,,11550.0,,2.1,39226.0
1990,12115.0,,12115.0,,12115.0,,12115.0,,2.1,39226.0
1991,12815.0,,12815.0,,12815.0,,12815.0,,2.1,39226.0
1992,13639.0,,13639.0,,13639.0,,13639.0,,2.1,39226.0
1993,14526.0,,14526.0,,14526.0,,14526.0,,2.1,39226.0
1994,15399.0,,15399.0,,15399.0,,15399.0,,2.1,39226.0
1995,16221.0,,16221.0,,16221.0,,16221.0,,2.1,39226.0
1996,16930.0,,16930.0,,16930.0,,16930.0,,2.1,39226.0
1997,17566.0,,17566.0,,17566.0,,17566.0,,2.1,39226.0
1998,18228.0,,18228.0,,18228.0,,18228.0,,2.1,39226.0
1999,19069.0,,19069.0,,19069.0,,19069.0,,2.1,39226.0
2000,20171.0,,20171.0,,20171.0,,20171.0,,2.1,39226.0
2001,21578.0,,21578.0,,21578.0,,21578.0,,2.1,39226.0
2002,23230.0,,23230.0,,23230.0,,23230.0,,2.1,39226.0
2003,25008.0,,25008.0,,25008.0,,25008.0,,2.1,39226.0
2004,26709.0,,26709.0,,26709.0,,26709.0,,2.1,39226.0
2005,28181.0,,28181.0,,28181.0,,28181.0,,2.1,39226.0
2006,29394.0,,29394.0,,29394.0,,29394.0,,2.1,39226.0
2007,30383.0,,30383.0,,30383.0,,30383.0,,2.1,39226.0
2008,31200.0,,31200.0,,31200.0,,31200.0,,2.1,39226.0
2009,31933.0,,31933.0,,31933.0,,31933.0,,2.1,39226.0
2010,32658.0,,32658.0,,32658.0,,32658.0,,2.1,39226.0
2011,33371.0,,33371.0,,33371.0,,33371.0,,2.1,39226.0
2012,34067.0,,34067.0,,34067.0,,34067.0,,2.1,39226.0
2013,34733.0,,34733.0,,34733.0,,34733.0,,2.1,39226.0
2014,35371.0,,35371.0,,35371.0,,35371.0,,2.1,39226.0
2015,35979.0,,35979.0,,35979.0,,35979.0,,2.1,39226.0
2016,36558.0,,36558.0,,36558.0,,36558.0,,2.1,39226.0
2017,37116.0,,37116.0,,37116.0,,37116.0,,2.1,39226.0
2018,37667.0,,37667.0,,37667.0,,37667.0,,2.1,39226.0
2019,38194.0,,38194.0,,38194.0,,38194.0,,2.1,39226.0
2020,38718.0,,38718.0,,38718.0,,38718.0,,2.1,39226.0
2021,39226.0,,39226.0,,39226.0,,39226.0,,2.1,39226.0
2022,,,,,,,,,2.1,39226.0
2023,,,,,,,,,2.1,39226.0
2024,,,,,,,,,2.1,39226.0
2025,,,,,,,,,2.1,39226.0
2026,,,,,,,,,2.1,39226.0
2027,,,,,,,,,2.1,39226.0
2028,,,,,,,,,2.1,39226.0
2029,,,,,,,,,2.1,39226.0
2030,,,,,,,,,2.1,39226.0
2031,,,,,,,,,2.1,39226.0
2032,,,,,,,,,2.1,39226.0
2033,,,,,,,,,2.1,39226.0
2034,,,,,,,,,2.1,39226.0
2035,,,,,,,,,2.1,39226.0
2036,,,,,,,,,2.1,39226.0
2037,,,,,,,,,2.1,39226.0
2038,,,,,,,,,2.1,39226.0
2039,,,,,,,,,2.1,39226.0
2040,,,,,,,,,2.1,39226.0
2041,,,,,,,,,2.1,39226.0
2042,,,,,,,,,2.1,39226.0
2043,,,,,,,,,2.1,39226.0
2044,,,,,,,,,2.1,39226.0
2045,,,,,,,,,2.1,39226.0
2046,,,,,,,,,2.1,39226.0
2047,,,,,,,,,2.1,39226.0
2048,,,,,,,,,2.1,39226.0
2049,,,,,,,,,2.1,39226.0
