year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,3001604.0,6.25,3001604.0,6.25,3001604.0,6.25,3001604.0,6.25,2.1,16914985.0
1961,3060365.0,6.268,3060365.0,6.268,3060365.0,6.268,3060365.0,6.268,2.1,16914985.0
1962,3121226.0,6.285,3121226.0,6.285,3121226.0,6.285,3121226.0,6.285,2.1,16914985.0
1963,3183576.0,6.301,3183576.0,6.301,3183576.0,6.301,3183576.0,6.301,2.1,16914985.0
1964,3246527.0,6.318,3246527.0,6.318,3246527.0,6.318,3246527.0,6.318,2.1,16914985.0
1965,3309583.0,6.337,3309583.0,6.337,3309583.0,6.337,3309583.0,6.337,2.1,16914985.0
1966,3372182.0,6.362,3372182.0,6.362,3372182.0,6.362,3372182.0,6.362,2.1,16914985.0
1967,3434817.0,6.393,3434817.0,6.393,3434817.0,6.393,3434817.0,6.393,2.1,16914985.0
1968,3499370.0,6.432,3499370.0,6.432,3499370.0,6.432,3499370.0,6.432,2.1,16914985.0
1969,3568402.0,6.477,3568402.0,6.477,3568402.0,6.477,3568402.0,6.477,2.1,16914985.0
1970,3643608.0,6.528,3643608.0,6.528,3643608.0,6.528,3643608.0,6.528,2.1,16914985.0
1971,3726189.0,6.582,3726189.0,6.582,3726189.0,6.582,3726189.0,6.582,2.1,16914985.0
1972,3815253.0,6.636,3815253.0,6.636,3815253.0,6.636,3815253.0,6.636,2.1,16914985.0
1973,3907891.0,6.688,3907891.0,6.688,3907891.0,6.688,3907891.0,6.688,2.1,16914985.0
1974,3999918.0,6.736,3999918.0,6.736,3999918.0,6.736,3999918.0,6.736,2.1,16914985.0
1975,4088568.0,6.78,4088568.0,6.78,4088568.0,6.78,4088568.0,6.78,2.1,16914985.0
1976,4173131.0,6.82,4173131.0,6.82,4173131.0,6.82,4173131.0,6.82,2.1,16914985.0
1977,4255242.0,6.857,4255242.0,6.857,4255242.0,6.857,4255242.0,6.857,2.1,16914985.0
1978,4337292.0,6.892,4337292.0,6.892,4337292.0,6.892,4337292.0,6.892,2.1,16914985.0
1979,4422743.0,6.925,4422743.0,6.925,4422743.0,6.925,4422743.0,6.925,2.1,16914985.0
1980,4514427.0,6.958,4514427.0,6.958,4514427.0,6.958,4514427.0,6.958,2.1,16914985.0
1981,4612858.0,6.99,4612858.0,6.99,4612858.0,6.99,4612858.0,6.99,2.1,16914985.0
1982,4718157.0,7.023,4718157.0,7.023,4718157.0,7.023,4718157.0,7.023,2.1,16914985.0
1983,4832316.0,7.056,4832316.0,7.056,4832316.0,7.056,4832316.0,7.056,2.1,16914985.0
1984,4957561.0,7.089,4957561.0,7.089,4957561.0,7.089,4957561.0,7.089,2.1,16914985.0
1985,5095400.0,7.124,5095400.0,7.124,5095400.0,7.124,5095400.0,7.124,2.1,16914985.0
1986,5247281.0,7.161,5247281.0,7.161,5247281.0,7.161,5247281.0,7.161,2.1,16914985.0
1987,5412844.0,7.199,5412844.0,7.199,5412844.0,7.199,5412844.0,7.199,2.1,16914985.0
1988,5589624.0,7.238,5589624.0,7.238,5589624.0,7.238,5589624.0,7.238,2.1,16914985.0
1989,5773930.0,7.276,5773930.0,7.276,5773930.0,7.276,5773930.0,7.276,2.1,16914985.0
1990,5963250.0,7.313,5963250.0,7.313,5963250.0,7.313,5963250.0,7.313,2.1,16914985.0
1991,6157085.0,7.346,6157085.0,7.346,6157085.0,7.346,6157085.0,7.346,2.1,16914985.0
1992,6356741.0,7.376,6356741.0,7.376,6356741.0,7.376,6356741.0,7.376,2.1,16914985.0
1993,6563925.0,7.399,6563925.0,7.399,6563925.0,7.399,6563925.0,7.399,2.1,16914985.0
1994,6781057.0,7.416,6781057.0,7.416,6781057.0,7.416,6781057.0,7.416,2.1,16914985.0
1995,7010159.0,7.425,7010159.0,7.425,7010159.0,7.425,7010159.0,7.425,2.1,16914985.0
1996,7250974.0,7.426,7250974.0,7.426,7250974.0,7.426,7250974.0,7.426,2.1,16914985.0
1997,7503494.0,7.419,7503494.0,7.419,7503494.0,7.419,7503494.0,7.419,2.1,16914985.0
1998,7770053.0,7.405,7770053.0,7.405,7770053.0,7.405,7770053.0,7.405,2.1,16914985.0
1999,8053532.0,7.384,8053532.0,7.384,8053532.0,7.384,8053532.0,7.384,2.1,16914985.0
2000,8355654.0,7.354,8355654.0,7.354,8355654.0,7.354,8355654.0,7.354,2.1,16914985.0
2001,8678049.0,7.315,8678049.0,7.315,8678049.0,7.315,8678049.0,7.315,2.1,16914985.0
2002,9019226.0,7.268,9019226.0,7.268,9019226.0,7.268,9019226.0,7.268,2.1,16914985.0
2003,9373913.0,7.212,9373913.0,7.212,9373913.0,7.212,9373913.0,7.212,2.1,16914985.0
2004,9734761.0,7.147,9734761.0,7.147,9734761.0,7.147,9734761.0,7.147,2.1,16914985.0
2005,10096630.0,7.074,10096630.0,7.074,10096630.0,7.074,10096630.0,7.074,2.1,16914985.0
2006,10457122.0,6.992,10457122.0,6.992,10457122.0,6.992,10457122.0,6.992,2.1,16914985.0
2007,10818031.0,6.901,10818031.0,6.901,10818031.0,6.901,10818031.0,6.901,2.1,16914985.0
2008,11183589.0,6.803,11183589.0,6.803,11183589.0,6.803,11183589.0,6.803,2.1,16914985.0
2009,11560142.0,6.699,11560142.0,6.699,11560142.0,6.699,11560142.0,6.699,2.1,16914985.0
2010,11952134.0,6.592,11952134.0,6.592,11952134.0,6.592,11952134.0,6.592,2.1,16914985.0
2011,12360986.0,6.482,12360986.0,6.482,12360986.0,6.482,12360986.0,6.482,2.1,16914985.0
2012,12784748.0,6.372,12784748.0,6.372,12784748.0,6.372,12784748.0,6.372,2.1,16914985.0
2013,13220433.0,6.262,13220433.0,6.262,13220433.0,6.262,13220433.0,6.262,2.1,16914985.0
2014,13663562.0,6.154,13663562.0,6.154,13663562.0,6.154,13663562.0,6.154,2.1,16914985.0
2015,14110971.0,6.049,14110971.0,6.049,14110971.0,6.049,14110971.0,6.049,2.1,16914985.0
2016,14561658.0,5.947,14561658.0,5.947,14561658.0,5.947,14561658.0,5.947,2.1,16914985.0
2017,15016761.0,5.846,15016761.0,5.846,15016761.0,5.846,15016761.0,5.846,2.1,16914985.0
2018,15477727.0,5.747,15477727.0,5.747,15477727.0,5.747,15477727.0,5.747,2.1,16914985.0
2019,15946882.0,5.649,15946882.0,5.649,15946882.0,5.649,15946882.0,5.649,2.1,16914985.0
2020,16425859.0,5.553,16425859.0,5.553,16425859.0,5.553,16425859.0,5.553,2.1,16914985.0
2021,16914985.0,5.553,16914985.0,5.553,16914985.0,5.553,16914985.0,5.553,2.1,16914985.0
2022,17423660.92,5.542,17410145.27,5.451,17414248.382,5.478,17425269.34,5.553,2.1,16914985.0
2023,17930731.573,5.531,17890460.207,5.35,17902638.817,5.405,17935553.68,5.553,2.1,16914985.0
2024,18436200.105,5.52,18356203.411,5.252,18380302.33,5.332,18445838.02,5.553,2.1,16914985.0
2025,18940069.656,5.51,18807643.438,5.155,18847382.982,5.261,18956122.36,5.553,2.1,16914985.0
