year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,883445587.0,5.846563119,883445587.0,5.846563119,883445587.0,5.846563119,883445587.0,5.846563119,2.1,2096155040.0
1961,882807979.0,5.958385045,882807979.0,5.958385045,882807979.0,5.958385045,882807979.0,5.958385045,2.1,2096155040.0
1962,894536202.0,6.072928338,894536202.0,6.072928338,894536202.0,6.072928338,894536202.0,6.072928338,2.1,2096155040.0
1963,917563058.0,6.175866078,917563058.0,6.175866078,917563058.0,6.175866078,917563058.0,6.175866078,2.1,2096155040.0
1964,940205341.0,6.255243848,940205341.0,6.255243848,940205341.0,6.255243848,940205341.0,6.255243848,2.1,2096155040.0
1965,963806224.0,6.297286227,963806224.0,6.297286227,963806224.0,6.297286227,963806224.0,6.297286227,2.1,2096155040.0
1966,990927362.0,6.288813875,990927362.0,6.288813875,990927362.0,6.288813875,990927362.0,6.288813875,2.1,2096155040.0
1967,1017110642.0,6.228968766,1017110642.0,6.228968766,1017110642.0,6.228968766,1017110642.0,6.228968766,2.1,2096155040.0
1968,1044230688.0,6.119191576,1044230688.0,6.119191576,1044230688.0,6.119191576,1044230688.0,6.119191576,2.1,2096155040.0
1969,1073035646.0,5.957507459,1073035646.0,5.957507459,1073035646.0,5.957507459,1073035646.0,5.957507459,2.1,2096155040.0
1970,1102743524.0,5.745556425,1102743524.0,5.745556425,1102743524.0,5.745556425,1102743524.0,5.745556425,2.1,2096155040.0
1971,1133088596.0,5.48486745,1133088596.0,5.48486745,1133088596.0,5.48486745,1133088596.0,5.48486745,2.1,2096155040.0
1972,1161692236.0,5.187117108,1161692236.0,5.187117108,1161692236.0,5.187117108,1161692236.0,5.187117108,2.1,2096155040.0
1973,1189353305.0,4.869327502,1189353305.0,4.869327502,1189353305.0,4.869327502,1189353305.0,4.869327502,2.1,2096155040.0
1974,1215519592.0,4.544551494,1215519592.0,4.544551494,1215519592.0,4.544551494,1215519592.0,4.544551494,2.1,2096155040.0
1975,1239283626.0,4.228792263,1239283626.0,4.228792263,1239283626.0,4.228792263,1239283626.0,4.228792263,2.1,2096155040.0
1976,1261221802.0,3.936008541,1261221802.0,3.936008541,1261221802.0,3.936008541,1261221802.0,3.936008541,2.1,2096155040.0
1977,1281596019.0,3.674567057,1281596019.0,3.674567057,1281596019.0,3.674567057,1281596019.0,3.674567057,2.1,2096155040.0
1978,1301958170.0,3.450242213,1301958170.0,3.450242213,1301958170.0,3.450242213,1301958170.0,3.450242213,2.1,2096155040.0
1979,1322627340.0,3.269133558,1322627340.0,3.269133558,1322627340.0,3.269133558,1322627340.0,3.269133558,2.1,2096155040.0
1980,1342952249.0,3.136921987,1342952249.0,3.136921987,1342952249.0,3.136921987,1342952249.0,3.136921987,2.1,2096155040.0
1981,1363987476.0,3.052697544,1363987476.0,3.052697544,1363987476.0,3.052697544,1363987476.0,3.052697544,2.1,2096155040.0
1982,1387365779.0,3.008422294,1387365779.0,3.008422294,1387365779.0,3.008422294,1387365779.0,3.008422294,2.1,2096155040.0
1983,1410865643.0,2.990704133,1410865643.0,2.990704133,1410865643.0,2.990704133,1410865643.0,2.990704133,2.1,2096155040.0
1984,1433295157.0,2.989567733,1433295157.0,2.989567733,1433295157.0,2.989567733,1433295157.0,2.989567733,2.1,2096155040.0
1985,1456445331.0,2.987008058,1456445331.0,2.987008058,1456445331.0,2.987008058,1456445331.0,2.987008058,2.1,2096155040.0
1986,1481135104.0,2.965746018,1481135104.0,2.965746018,1481135104.0,2.965746018,1481135104.0,2.965746018,2.1,2096155040.0
1987,1507322673.0,2.91754475,1507322673.0,2.91754475,1507322673.0,2.91754475,1507322673.0,2.91754475,2.1,2096155040.0
1988,1533819032.0,2.838470709,1533819032.0,2.838470709,1533819032.0,2.838470709,1533819032.0,2.838470709,2.1,2096155040.0
1989,1559650590.0,2.72711498,1559650590.0,2.72711498,1559650590.0,2.72711498,1559650590.0,2.72711498,2.1,2096155040.0
1990,1584871821.0,2.591306309,1584871821.0,2.591306309,1584871821.0,2.591306309,1584871821.0,2.591306309,2.1,2096155040.0
1991,1608998997.0,2.444907371,1608998997.0,2.444907371,1608998997.0,2.444907371,1608998997.0,2.444907371,2.1,2096155040.0
1992,1631566861.0,2.30327117,1631566861.0,2.30327117,1631566861.0,2.30327117,1631566861.0,2.30327117,2.1,2096155040.0
1993,1653289936.0,2.179665022,1653289936.0,2.179665022,1653289936.0,2.179665022,1653289936.0,2.179665022,2.1,2096155040.0
