year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,308424859.0,3.1208611,308424859.0,3.1208611,308424859.0,3.1208611,308424859.0,3.1208611,2.1,462624055.0
1961,313062858.0,3.04844473,313062858.0,3.04844473,313062858.0,3.04844473,313062858.0,3.04844473,2.1,462624055.0
1962,317744155.0,2.997709345,317744155.0,2.997709345,317744155.0,2.997709345,317744155.0,2.997709345,2.1,462624055.0
1963,322502356.0,2.937982301,322502356.0,2.937982301,322502356.0,2.937982301,322502356.0,2.937982301,2.1,462624055.0
1964,327271196.0,2.86177723,327271196.0,2.86177723,327271196.0,2.86177723,327271196.0,2.86177723,2.1,462624055.0
1965,331852935.0,2.826613886,331852935.0,2.826613886,331852935.0,2.826613886,331852935.0,2.826613886,2.1,462624055.0
1966,335704786.0,2.790443006,335704786.0,2.790443006,335704786.0,2.790443006,335704786.0,2.790443006,2.1,462624055.0
1967,339692825.0,2.85839859,339692825.0,2.85839859,339692825.0,2.85839859,339692825.0,2.85839859,2.1,462624055.0
1968,343594800.0,2.823478341,343594800.0,2.823478341,343594800.0,2.823478341,343594800.0,2.823478341,2.1,462624055.0
1969,347372826.0,2.785908136,347372826.0,2.785908136,347372826.0,2.785908136,347372826.0,2.785908136,2.1,462624055.0
1970,351017860.0,2.776631268,351017860.0,2.776631268,351017860.0,2.776631268,351017860.0,2.776631268,2.1,462624055.0
1971,354660485.0,2.769384938,354660485.0,2.769384938,354660485.0,2.769384938,354660485.0,2.769384938,2.1,462624055.0
1972,358451364.0,2.758157031,358451364.0,2.758157031,358451364.0,2.758157031,358451364.0,2.758157031,2.1,462624055.0
1973,362249658.0,2.726882763,362249658.0,2.726882763,362249658.0,2.726882763,362249658.0,2.726882763,2.1,462624055.0
1974,366086343.0,2.727205286,366086343.0,2.727205286,366086343.0,2.727205286,366086343.0,2.727205286,2.1,462624055.0
1975,369959058.0,2.69246412,369959058.0,2.69246412,369959058.0,2.69246412,369959058.0,2.69246412,2.1,462624055.0
1976,373993098.0,2.666087522,373993098.0,2.666087522,373993098.0,2.666087522,373993098.0,2.666087522,2.1,462624055.0
1977,377959108.0,2.627620666,377959108.0,2.627620666,377959108.0,2.627620666,377959108.0,2.627620666,2.1,462624055.0
1978,381826792.0,2.595745594,381826792.0,2.595745594,381826792.0,2.595745594,381826792.0,2.595745594,2.1,462624055.0
1979,385669994.0,2.572113165,385669994.0,2.572113165,385669994.0,2.572113165,385669994.0,2.572113165,2.1,462624055.0
1980,389610131.0,2.54318772,389610131.0,2.54318772,389610131.0,2.54318772,389610131.0,2.54318772,2.1,462624055.0
1981,393632708.0,2.520214436,393632708.0,2.520214436,393632708.0,2.520214436,393632708.0,2.520214436,2.1,462624055.0
1982,397542988.0,2.57289036,397542988.0,2.57289036,397542988.0,2.57289036,397542988.0,2.57289036,2.1,462624055.0
1983,401434284.0,2.602737895,401434284.0,2.602737895,401434284.0,2.602737895,401434284.0,2.602737895,2.1,462624055.0
1984,405559660.0,2.579585095,405559660.0,2.579585095,405559660.0,2.579585095,405559660.0,2.579585095,2.1,462624055.0
1985,409642788.0,2.549913514,409642788.0,2.549913514,409642788.0,2.549913514,409642788.0,2.549913514,2.1,462624055.0
1986,413657306.0,2.572003629,413657306.0,2.572003629,413657306.0,2.572003629,413657306.0,2.572003629,2.1,462624055.0
1987,417635043.0,2.573569855,417635043.0,2.573569855,417635043.0,2.573569855,417635043.0,2.573569855,2.1,462624055.0
1988,421417208.0,2.504153167,421417208.0,2.504153167,421417208.0,2.504153167,421417208.0,2.504153167,2.1,462624055.0
1989,424805449.0,2.412172973,424805449.0,2.412172973,424805449.0,2.412172973,424805449.0,2.412172973,2.1,462624055.0
1990,427282191.0,2.309040599,427282191.0,2.309040599,427282191.0,2.309040599,427282191.0,2.309040599,2.1,462624055.0
1991,429373360.0,2.208693186,429373360.0,2.208693186,429373360.0,2.208693186,429373360.0,2.208693186,2.1,462624055.0
1992,431065585.0,2.092428686,431065585.0,2.092428686,431065585.0,2.092428686,431065585.0,2.092428686,2.1,462624055.0
1993,432578630.0,1.969384259,432578630.0,1.969384259,432578630.0,1.969384259,432578630.0,1.969384259,2.1,462624055.0
