year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,1580508.0,6.521,1580508.0,6.521,1580508.0,6.521,1580508.0,6.521,2.1,8478242.0
1961,1597523.0,6.57,1597523.0,6.57,1597523.0,6.57,1597523.0,6.57,2.1,8478242.0
1962,1612761.0,6.622,1612761.0,6.622,1612761.0,6.622,1612761.0,6.622,2.1,8478242.0
1963,1631758.0,6.677,1631758.0,6.677,1631758.0,6.677,1631758.0,6.677,2.1,8478242.0
1964,1662073.0,6.734,1662073.0,6.734,1662073.0,6.734,1662073.0,6.734,2.1,8478242.0
1965,1708631.0,6.792,1708631.0,6.792,1708631.0,6.792,1708631.0,6.792,2.1,8478242.0
1966,1774020.0,6.851,1774020.0,6.851,1774020.0,6.851,1774020.0,6.851,2.1,8478242.0
1967,1855450.0,6.911,1855450.0,6.911,1855450.0,6.911,1855450.0,6.911,2.1,8478242.0
1968,1945777.0,6.971,1945777.0,6.971,1945777.0,6.971,1945777.0,6.971,2.1,8478242.0
1969,2034902.0,7.029,2034902.0,7.029,2034902.0,7.029,2034902.0,7.029,2.1,8478242.0
1970,2115522.0,7.084,2115522.0,7.084,2115522.0,7.084,2115522.0,7.084,2.1,8478242.0
1971,2185667.0,7.136,2185667.0,7.136,2185667.0,7.136,2185667.0,7.136,2.1,8478242.0
1972,2247578.0,7.182,2247578.0,7.182,2247578.0,7.182,2247578.0,7.182,2.1,8478242.0
1973,2303344.0,7.222,2303344.0,7.222,2303344.0,7.222,2303344.0,7.222,2.1,8478242.0
1974,2356620.0,7.254,2356620.0,7.254,2356620.0,7.254,2356620.0,7.254,2.1,8478242.0
1975,2410451.0,7.276,2410451.0,7.276,2410451.0,7.276,2410451.0,7.276,2.1,8478242.0
1976,2464424.0,7.287,2464424.0,7.287,2464424.0,7.287,2464424.0,7.287,2.1,8478242.0
1977,2518454.0,7.288,2518454.0,7.288,2518454.0,7.288,2518454.0,7.288,2.1,8478242.0
1978,2576293.0,7.277,2576293.0,7.277,2576293.0,7.277,2576293.0,7.277,2.1,8478242.0
1979,2642693.0,7.254,2642693.0,7.254,2642693.0,7.254,2642693.0,7.254,2.1,8478242.0
1980,2720835.0,7.216,2720835.0,7.216,2720835.0,7.216,2720835.0,7.216,2.1,8478242.0
1981,2812312.0,7.163,2812312.0,7.163,2812312.0,7.163,2812312.0,7.163,2.1,8478242.0
1982,2915618.0,7.094,2915618.0,7.094,2915618.0,7.094,2915618.0,7.094,2.1,8478242.0
1983,3026980.0,7.011,3026980.0,7.011,3026980.0,7.011,3026980.0,7.011,2.1,8478242.0
1984,3140840.0,6.915,3140840.0,6.915,3140840.0,6.915,3140840.0,6.915,2.1,8478242.0
1985,3252997.0,6.808,3252997.0,6.808,3252997.0,6.808,3252997.0,6.808,2.1,8478242.0
1986,3363040.0,6.69,3363040.0,6.69,3363040.0,6.69,3363040.0,6.69,2.1,8478242.0
1987,3471738.0,6.566,3471738.0,6.566,3471738.0,6.566,3471738.0,6.566,2.1,8478242.0
1988,3577469.0,6.437,3577469.0,6.437,3577469.0,6.437,3577469.0,6.437,2.1,8478242.0
1989,3678567.0,6.309,3678567.0,6.309,3678567.0,6.309,3678567.0,6.309,2.1,8478242.0
1990,3774310.0,6.185,3774310.0,6.185,3774310.0,6.185,3774310.0,6.185,2.1,8478242.0
1991,3862998.0,6.068,3862998.0,6.068,3862998.0,6.068,3862998.0,6.068,2.1,8478242.0
1992,3945902.0,5.96,3945902.0,5.96,3945902.0,5.96,3945902.0,5.96,2.1,8478242.0
1993,4029044.0,5.861,4029044.0,5.861,4029044.0,5.861,4029044.0,5.861,2.1,8478242.0
1994,4120615.0,5.772,4120615.0,5.772,4120615.0,5.772,4120615.0,5.772,2.1,8478242.0
1995,4226293.0,5.695,4226293.0,5.695,4226293.0,5.695,4226293.0,5.695,2.1,8478242.0
1996,4348808.0,5.628,4348808.0,5.628,4348808.0,5.628,4348808.0,5.628,2.1,8478242.0
1997,4485945.0,5.569,4485945.0,5.569,4485945.0,5.569,4485945.0,5.569,2.1,8478242.0
1998,4632451.0,5.515,4632451.0,5.515,4632451.0,5.515,4632451.0,5.515,2.1,8478242.0
1999,4780455.0,5.466,4780455.0,5.466,4780455.0,5.466,4780455.0,5.466,2.1,8478242.0
2000,4924406.0,5.419,4924406.0,5.419,4924406.0,5.419,4924406.0,5.419,2.1,8478242.0
2001,5062571.0,5.372,5062571.0,5.372,5062571.0,5.372,5062571.0,5.372,2.1,8478242.0
2002,5197040.0,5.326,5197040.0,5.326,5197040.0,5.326,5197040.0,5.326,2.1,8478242.0
2003,5330629.0,5.279,5330629.0,5.279,5330629.0,5.279,5330629.0,5.279,2.1,8478242.0
2004,5467770.0,5.231,5467770.0,5.231,5467770.0,5.231,5467770.0,5.231,2.1,8478242.0
2005,5611643.0,5.179,5611643.0,5.179,5611643.0,5.179,5611643.0,5.179,2.1,8478242.0
2006,5762881.0,5.123,5762881.0,5.123,5762881.0,5.123,5762881.0,5.123,2.1,8478242.0
2007,5920360.0,5.064,5920360.0,5.064,5920360.0,5.064,5920360.0,5.064,2.1,8478242.0
2008,6083417.0,5.001,6083417.0,5.001,6083417.0,5.001,6083417.0,5.001,2.1,8478242.0
2009,6250840.0,4.936,6250840.0,4.936,6250840.0,4.936,6250840.0,4.936,2.1,8478242.0
2010,6421674.0,4.868,6421674.0,4.868,6421674.0,4.868,6421674.0,4.868,2.1,8478242.0
2011,6595939.0,4.798,6595939.0,4.798,6595939.0,4.798,6595939.0,4.798,2.1,8478242.0
2012,6773807.0,4.727,6773807.0,4.727,6773807.0,4.727,6773807.0,4.727,2.1,8478242.0
2013,6954721.0,4.656,6954721.0,4.656,6954721.0,4.656,6954721.0,4.656,2.1,8478242.0
2014,7137997.0,4.585,7137997.0,4.585,7137997.0,4.585,7137997.0,4.585,2.1,8478242.0
2015,7323162.0,4.516,7323162.0,4.516,7323162.0,4.516,7323162.0,4.516,2.1,8478242.0
2016,7509952.0,4.449,7509952.0,4.449,7509952.0,4.449,7509952.0,4.449,2.1,8478242.0
2017,7698476.0,4.384,7698476.0,4.384,7698476.0,4.384,7698476.0,4.384,2.1,8478242.0
2018,7889095.0,4.32,7889095.0,4.32,7889095.0,4.32,7889095.0,4.32,2.1,8478242.0
2019,8082359.0,4.259,8082359.0,4.259,8082359.0,4.259,8082359.0,4.259,2.1,8478242.0
2020,8278737.0,4.199,8278737.0,4.199,8278737.0,4.199,8278737.0,4.199,2.1,8478242.0
