year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,27397208.0,6.147,27397208.0,6.147,27397208.0,6.147,27397208.0,6.147,2.1,69950844.0
1961,28224186.0,6.151,28224186.0,6.151,28224186.0,6.151,28224186.0,6.151,2.1,69950844.0
1962,29080945.0,6.155,29080945.0,6.155,29080945.0,6.155,29080945.0,6.155,2.1,69950844.0
1963,29966873.0,6.157,29966873.0,6.157,29966873.0,6.157,29966873.0,6.157,2.1,69950844.0
1964,30881136.0,6.151,30881136.0,6.151,30881136.0,6.151,30881136.0,6.151,2.1,69950844.0
1965,31822656.0,6.129,31822656.0,6.129,31822656.0,6.129,31822656.0,6.129,2.1,69950844.0
1966,32789129.0,6.084,32789129.0,6.084,32789129.0,6.084,32789129.0,6.084,2.1,69950844.0
1967,33778804.0,6.009,33778804.0,6.009,33778804.0,6.009,33778804.0,6.009,2.1,69950844.0
1968,34791418.0,5.903,34791418.0,5.903,34791418.0,5.903,34791418.0,5.903,2.1,69950844.0
1969,35827089.0,5.764,35827089.0,5.764,35827089.0,5.764,35827089.0,5.764,2.1,69950844.0
1970,36884525.0,5.595,36884525.0,5.595,36884525.0,5.595,36884525.0,5.595,2.1,69950844.0
1971,37963280.0,5.397,37963280.0,5.397,37963280.0,5.397,37963280.0,5.397,2.1,69950844.0
1972,39058594.0,5.181,39058594.0,5.181,39058594.0,5.181,39058594.0,5.181,2.1,69950844.0
1973,40159581.0,4.953,40159581.0,4.953,40159581.0,4.953,40159581.0,4.953,2.1,69950844.0
1974,41252320.0,4.721,41252320.0,4.721,41252320.0,4.721,41252320.0,4.721,2.1,69950844.0
1975,42326307.0,4.488,42326307.0,4.488,42326307.0,4.488,42326307.0,4.488,2.1,69950844.0
1976,43377270.0,4.257,43377270.0,4.257,43377270.0,4.257,43377270.0,4.257,2.1,69950844.0
1977,44405903.0,4.03,44405903.0,4.03,44405903.0,4.03,44405903.0,4.03,2.1,69950844.0
1978,45413082.0,3.808,45413082.0,3.808,45413082.0,3.808,45413082.0,3.808,2.1,69950844.0
1979,46401750.0,3.594,46401750.0,3.594,46401750.0,3.594,46401750.0,3.594,2.1,69950844.0
1980,47374463.0,3.392,47374463.0,3.392,47374463.0,3.392,47374463.0,3.392,2.1,69950844.0
1981,48326269.0,3.202,48326269.0,3.202,48326269.0,3.202,48326269.0,3.202,2.1,69950844.0
1982,49255889.0,3.024,49255889.0,3.024,49255889.0,3.024,49255889.0,3.024,2.1,69950844.0
1983,50173922.0,2.859,50173922.0,2.859,50173922.0,2.859,50173922.0,2.859,2.1,69950844.0
