year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,2087053.0,6.547,2087053.0,6.547,2087053.0,6.547,2087053.0,6.547,2.1,9749625.0
1961,2159134.0,6.661,2159134.0,6.661,2159134.0,6.661,2159134.0,6.661,2.1,9749625.0
1962,2236564.0,6.76,2236564.0,6.76,2236564.0,6.76,2236564.0,6.76,2.1,9749625.0
1963,2318252.0,6.844,2318252.0,6.844,2318252.0,6.844,2318252.0,6.844,2.1,9749625.0
1964,2402473.0,6.911,2402473.0,6.911,2402473.0,6.911,2402473.0,6.911,2.1,9749625.0
1965,2487975.0,6.962,2487975.0,6.962,2487975.0,6.962,2487975.0,6.962,2.1,9749625.0
1966,2574506.0,6.999,2574506.0,6.999,2574506.0,6.999,2574506.0,6.999,2.1,9749625.0
1967,2662257.0,7.024,2662257.0,7.024,2662257.0,7.024,2662257.0,7.024,2.1,9749625.0
1968,2750932.0,7.035,2750932.0,7.035,2750932.0,7.035,2750932.0,7.035,2.1,9749625.0
1969,2840265.0,7.031,2840265.0,7.031,2840265.0,7.031,2840265.0,7.031,2.1,9749625.0
1970,2930108.0,7.003,2930108.0,7.003,2930108.0,7.003,2930108.0,7.003,2.1,9749625.0
1971,3020419.0,6.943,3020419.0,6.943,3020419.0,6.943,3020419.0,6.943,2.1,9749625.0
1972,3111284.0,6.845,3111284.0,6.845,3111284.0,6.845,3111284.0,6.845,2.1,9749625.0
1973,3203035.0,6.714,3203035.0,6.714,3203035.0,6.714,3203035.0,6.714,2.1,9749625.0
1974,3296092.0,6.553,3296092.0,6.553,3296092.0,6.553,3296092.0,6.553,2.1,9749625.0
1975,3390941.0,6.376,3390941.0,6.376,3390941.0,6.376,3390941.0,6.376,2.1,9749625.0
1976,3487658.0,6.197,3487658.0,6.197,3487658.0,6.197,3487658.0,6.197,2.1,9749625.0
1977,3586516.0,6.029,3586516.0,6.029,3586516.0,6.029,3586516.0,6.029,2.1,9749625.0
1978,3688411.0,5.885,3688411.0,5.885,3688411.0,5.885,3688411.0,5.885,2.1,9749625.0
1979,3794457.0,5.77,3794457.0,5.77,3794457.0,5.77,3794457.0,5.77,2.1,9749625.0
