year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,1603254.0,6.59,1603254.0,6.59,1603254.0,6.59,1603254.0,6.59,2.1,6117933.0
1961,1658364.0,6.689,1658364.0,6.689,1658364.0,6.689,1658364.0,6.689,2.1,6117933.0
1962,1715408.0,6.756,1715408.0,6.756,1715408.0,6.756,1715408.0,6.756,2.1,6117933.0
1963,1773854.0,6.788,1773854.0,6.788,1773854.0,6.788,1773854.0,6.788,2.1,6117933.0
1964,1833065.0,6.787,1833065.0,6.787,1833065.0,6.787,1833065.0,6.787,2.1,6117933.0
1965,1892596.0,6.756,1892596.0,6.756,1892596.0,6.756,1892596.0,6.756,2.1,6117933.0
1966,1952144.0,6.703,1952144.0,6.703,1952144.0,6.703,1952144.0,6.703,2.1,6117933.0
1967,2011762.0,6.635,2011762.0,6.635,2011762.0,6.635,2011762.0,6.635,2.1,6117933.0
1968,2071793.0,6.56,2071793.0,6.56,2071793.0,6.56,2071793.0,6.56,2.1,6117933.0
1969,2132800.0,6.482,2132800.0,6.482,2132800.0,6.482,2132800.0,6.482,2.1,6117933.0
1970,2195165.0,6.404,2195165.0,6.404,2195165.0,6.404,2195165.0,6.404,2.1,6117933.0
1971,2258965.0,6.323,2258965.0,6.323,2258965.0,6.323,2258965.0,6.323,2.1,6117933.0
1972,2324019.0,6.237,2324019.0,6.237,2324019.0,6.237,2324019.0,6.237,2.1,6117933.0
1973,2390212.0,6.143,2390212.0,6.143,2390212.0,6.143,2390212.0,6.143,2.1,6117933.0
1974,2457379.0,6.04,2457379.0,6.04,2457379.0,6.04,2457379.0,6.04,2.1,6117933.0
1975,2525374.0,5.926,2525374.0,5.926,2525374.0,5.926,2525374.0,5.926,2.1,6117933.0
1976,2594315.0,5.796,2594315.0,5.796,2594315.0,5.796,2594315.0,5.796,2.1,6117933.0
1977,2664262.0,5.651,2664262.0,5.651,2664262.0,5.651,2664262.0,5.651,2.1,6117933.0
1978,2734899.0,5.494,2734899.0,5.494,2734899.0,5.494,2734899.0,5.494,2.1,6117933.0
1979,2805817.0,5.331,2805817.0,5.331,2805817.0,5.331,2805817.0,5.331,2.1,6117933.0
1980,2876809.0,5.17,2876809.0,5.17,2876809.0,5.17,2876809.0,5.17,2.1,6117933.0
1981,2947783.0,5.022,2947783.0,5.022,2947783.0,5.022,2947783.0,5.022,2.1,6117933.0
1982,3019064.0,4.895,3019064.0,4.895,3019064.0,4.895,3019064.0,4.895,2.1,6117933.0
1983,3091510.0,4.791,3091510.0,4.791,3091510.0,4.791,3091510.0,4.791,2.1,6117933.0
1984,3166215.0,4.711,3166215.0,4.711,3166215.0,4.711,3166215.0,4.711,2.1,6117933.0
1985,3244024.0,4.65,3244024.0,4.65,3244024.0,4.65,3244024.0,4.65,2.1,6117933.0
1986,3324462.0,4.603,3324462.0,4.603,3324462.0,4.603,3324462.0,4.603,2.1,6117933.0
1987,3407310.0,4.557,3407310.0,4.557,3407310.0,4.557,3407310.0,4.557,2.1,6117933.0
1988,3493892.0,4.504,3493892.0,4.504,3493892.0,4.504,3493892.0,4.504,2.1,6117933.0
1989,3585867.0,4.436,3585867.0,4.436,3585867.0,4.436,3585867.0,4.436,2.1,6117933.0
1990,3683978.0,4.344,3683978.0,4.344,3683978.0,4.344,3683978.0,4.344,2.1,6117933.0
1991,3789188.0,4.222,3789188.0,4.222,3789188.0,4.222,3789188.0,4.222,2.1,6117933.0
1992,3899843.0,4.071,3899843.0,4.071,3899843.0,4.071,3899843.0,4.071,2.1,6117933.0
1993,4010789.0,3.898,4010789.0,3.898,4010789.0,3.898,4010789.0,3.898,2.1,6117933.0
1994,4115105.0,3.707,4115105.0,3.707,4115105.0,3.707,4115105.0,3.707,2.1,6117933.0
1995,4207841.0,3.512,4207841.0,3.512,4207841.0,3.512,4207841.0,3.512,2.1,6117933.0
1996,4287337.0,3.323,4287337.0,3.323,4287337.0,3.323,4287337.0,3.323,2.1,6117933.0
1997,4355125.0,3.154,4355125.0,3.154,4355125.0,3.154,4355125.0,3.154,2.1,6117933.0
1998,4413477.0,3.013,4413477.0,3.013,4413477.0,3.013,4413477.0,3.013,2.1,6117933.0
1999,4466133.0,2.903,4466133.0,2.903,4466133.0,2.903,4466133.0,2.903,2.1,6117933.0
2000,4516128.0,2.824,4516128.0,2.824,4516128.0,2.824,4516128.0,2.824,2.1,6117933.0
2001,4564087.0,2.77,4564087.0,2.77,4564087.0,2.77,4564087.0,2.77,2.1,6117933.0
2002,4610018.0,2.73,4610018.0,2.73,4610018.0,2.73,4610018.0,2.73,2.1,6117933.0
2003,4655752.0,2.698,4655752.0,2.698,4655752.0,2.698,4655752.0,2.698,2.1,6117933.0
2004,4703396.0,2.671,4703396.0,2.671,4703396.0,2.671,4703396.0,2.671,2.1,6117933.0
2005,4754652.0,2.654,4754652.0,2.654,4754652.0,2.654,4754652.0,2.654,2.1,6117933.0
2006,4810114.0,2.653,4810114.0,2.653,4810114.0,2.653,4810114.0,2.653,2.1,6117933.0
2007,4870142.0,2.672,4870142.0,2.672,4870142.0,2.672,4870142.0,2.672,2.1,6117933.0
2008,4935765.0,2.712,4935765.0,2.712,4935765.0,2.712,4935765.0,2.712,2.1,6117933.0
2009,5007953.0,2.769,5007953.0,2.769,5007953.0,2.769,5007953.0,2.769,2.1,6117933.0
2010,5087211.0,2.833,5087211.0,2.833,5087211.0,2.833,5087211.0,2.833,2.1,6117933.0
2011,5174076.0,2.892,5174076.0,2.892,5174076.0,2.892,5174076.0,2.892,2.1,6117933.0
2012,5267906.0,2.936,5267906.0,2.936,5267906.0,2.936,5267906.0,2.936,2.1,6117933.0
2013,5366376.0,2.958,5366376.0,2.958,5366376.0,2.958,5366376.0,2.958,2.1,6117933.0
2014,5466324.0,2.956,5466324.0,2.956,5466324.0,2.956,5466324.0,2.956,2.1,6117933.0
2015,5565283.0,2.93,5565283.0,2.93,5565283.0,2.93,5565283.0,2.93,2.1,6117933.0
2016,5662371.0,2.887,5662371.0,2.887,5662371.0,2.887,5662371.0,2.887,2.1,6117933.0
2017,5757667.0,2.836,5757667.0,2.836,5757667.0,2.836,5757667.0,2.836,2.1,6117933.0
2018,5850902.0,2.786,5850902.0,2.786,5850902.0,2.786,5850902.0,2.786,2.1,6117933.0
2019,5942094.0,2.74,5942094.0,2.74,5942094.0,2.74,5942094.0,2.74,2.1,6117933.0
2020,6031187.0,2.701,6031187.0,2.701,6031187.0,2.701,6031187.0,2.701,2.1,6117933.0
