year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,209749023.0,5.960991376,209749023.0,5.960991376,209749023.0,5.960991376,209749023.0,5.960991376,2.1,642239838.0
1961,215629972.0,5.944051193,215629972.0,5.944051193,215629972.0,5.944051193,215629972.0,5.944051193,2.1,642239838.0
1962,221676249.0,5.915626327,221676249.0,5.915626327,221676249.0,5.915626327,221676249.0,5.915626327,2.1,642239838.0
1963,227866079.0,5.875037128,227866079.0,5.875037128,227866079.0,5.875037128,227866079.0,5.875037128,2.1,642239838.0
1964,234169957.0,5.822298403,234169957.0,5.822298403,234169957.0,5.822298403,234169957.0,5.822298403,2.1,642239838.0
1965,240564863.0,5.756296545,240564863.0,5.756296545,240564863.0,5.756296545,240564863.0,5.756296545,2.1,642239838.0
1966,247044234.0,5.677392626,247044234.0,5.677392626,247044234.0,5.677392626,247044234.0,5.677392626,2.1,642239838.0
1967,253607485.0,5.587540971,253607485.0,5.587540971,253607485.0,5.587540971,253607485.0,5.587540971,2.1,642239838.0
1968,260246118.0,5.490048735,260246118.0,5.490048735,260246118.0,5.490048735,260246118.0,5.490048735,2.1,642239838.0
1969,266952916.0,5.386644184,266952916.0,5.386644184,266952916.0,5.386644184,266952916.0,5.386644184,2.1,642239838.0
1970,273723962.0,5.279906906,273723962.0,5.279906906,273723962.0,5.279906906,273723962.0,5.279906906,2.1,642239838.0
1971,280552945.0,5.172660349,280552945.0,5.172660349,280552945.0,5.172660349,280552945.0,5.172660349,2.1,642239838.0
1972,287442489.0,5.066789734,287442489.0,5.066789734,287442489.0,5.066789734,287442489.0,5.066789734,2.1,642239838.0
1973,294409011.0,4.96335121,294409011.0,4.96335121,294409011.0,4.96335121,294409011.0,4.96335121,2.1,642239838.0
1974,301475452.0,4.863729542,301475452.0,4.863729542,301475452.0,4.863729542,301475452.0,4.863729542,2.1,642239838.0
1975,308657753.0,4.766774724,308657753.0,4.766774724,308657753.0,4.766774724,308657753.0,4.766774724,2.1,642239838.0
1976,315955197.0,4.67166923,315955197.0,4.67166923,315955197.0,4.67166923,315955197.0,4.67166923,2.1,642239838.0
1977,323363576.0,4.576078869,323363576.0,4.576078869,323363576.0,4.576078869,323363576.0,4.576078869,2.1,642239838.0
1978,330890816.0,4.478978841,330890816.0,4.478978841,330890816.0,4.478978841,330890816.0,4.478978841,2.1,642239838.0
1979,338545320.0,4.379859894,338545320.0,4.379859894,338545320.0,4.379859894,338545320.0,4.379859894,2.1,642239838.0
1980,346328178.0,4.278040481,346328178.0,4.278040481,346328178.0,4.278040481,346328178.0,4.278040481,2.1,642239838.0
1981,354241995.0,4.174167098,354241995.0,4.174167098,354241995.0,4.174167098,354241995.0,4.174167098,2.1,642239838.0
1982,362272025.0,4.068911446,362272025.0,4.068911446,362272025.0,4.068911446,362272025.0,4.068911446,2.1,642239838.0
1983,370377355.0,3.963470202,370377355.0,3.963470202,370377355.0,3.963470202,370377355.0,3.963470202,2.1,642239838.0
1984,378506071.0,3.859077555,378506071.0,3.859077555,378506071.0,3.859077555,378506071.0,3.859077555,2.1,642239838.0
1985,386619091.0,3.756781541,386619091.0,3.756781541,386619091.0,3.756781541,386619091.0,3.756781541,2.1,642239838.0
1986,394697236.0,3.65790036,394697236.0,3.65790036,394697236.0,3.65790036,394697236.0,3.65790036,2.1,642239838.0
1987,402742139.0,3.56368147,402742139.0,3.56368147,402742139.0,3.56368147,402742139.0,3.56368147,2.1,642239838.0
1988,410761042.0,3.474434756,410761042.0,3.474434756,410761042.0,3.474434756,410761042.0,3.474434756,2.1,642239838.0
1989,418769937.0,3.389972054,418769937.0,3.389972054,418769937.0,3.389972054,418769937.0,3.389972054,2.1,642239838.0
1990,426777889.0,3.31047149,426777889.0,3.31047149,426777889.0,3.31047149,426777889.0,3.31047149,2.1,642239838.0
1991,434776652.0,3.23524571,434776652.0,3.23524571,434776652.0,3.23524571,434776652.0,3.23524571,2.1,642239838.0
1992,442751009.0,3.164103169,442751009.0,3.164103169,442751009.0,3.164103169,442751009.0,3.164103169,2.1,642239838.0
1993,450695871.0,3.095472146,450695871.0,3.095472146,450695871.0,3.095472146,450695871.0,3.095472146,2.1,642239838.0
1994,458608078.0,3.02928228,458608078.0,3.02928228,458608078.0,3.02928228,458608078.0,3.02928228,2.1,642239838.0
1995,466483148.0,2.964668083,466483148.0,2.964668083,466483148.0,2.964668083,466483148.0,2.964668083,2.1,642239838.0
1996,474321040.0,2.900731621,474321040.0,2.900731621,474321040.0,2.900731621,474321040.0,2.900731621,2.1,642239838.0
1997,482112390.0,2.838198278,482112390.0,2.838198278,482112390.0,2.838198278,482112390.0,2.838198278,2.1,642239838.0
1998,489832061.0,2.776335001,489832061.0,2.776335001,489832061.0,2.776335001,489832061.0,2.776335001,2.1,642239838.0
1999,497441659.0,2.715360571,497441659.0,2.715360571,497441659.0,2.715360571,497441659.0,2.715360571,2.1,642239838.0
2000,504921279.0,2.655332974,504921279.0,2.655332974,504921279.0,2.655332974,504921279.0,2.655332974,2.1,642239838.0
2001,512247446.0,2.596340245,512247446.0,2.596340245,512247446.0,2.596340245,512247446.0,2.596340245,2.1,642239838.0
2002,519420841.0,2.538595453,519420841.0,2.538595453,519420841.0,2.538595453,519420841.0,2.538595453,2.1,642239838.0
2003,526462542.0,2.483309645,526462542.0,2.483309645,526462542.0,2.483309645,526462542.0,2.483309645,2.1,642239838.0
2004,533415243.0,2.430233034,533415243.0,2.430233034,533415243.0,2.430233034,533415243.0,2.430233034,2.1,642239838.0
2005,540306150.0,2.381212597,540306150.0,2.381212597,540306150.0,2.381212597,540306150.0,2.381212597,2.1,642239838.0
2006,547139431.0,2.335969387,547139431.0,2.335969387,547139431.0,2.335969387,547139431.0,2.335969387,2.1,642239838.0
2007,553909998.0,2.295444343,553909998.0,2.295444343,553909998.0,2.295444343,553909998.0,2.295444343,2.1,642239838.0
2008,560624662.0,2.259725178,560624662.0,2.259725178,560624662.0,2.259725178,560624662.0,2.259725178,2.1,642239838.0
2009,567289597.0,2.227885991,567289597.0,2.227885991,567289597.0,2.227885991,567289597.0,2.227885991,2.1,642239838.0
2010,573800616.0,2.199936925,573800616.0,2.199936925,573800616.0,2.199936925,573800616.0,2.199936925,2.1,642239838.0
2011,580428448.0,2.175727613,580428448.0,2.175727613,580428448.0,2.175727613,580428448.0,2.175727613,2.1,642239838.0
2012,586999600.0,2.15419004,586999600.0,2.15419004,586999600.0,2.15419004,586999600.0,2.15419004,2.1,642239838.0
2013,593506947.0,2.134141471,593506947.0,2.134141471,593506947.0,2.134141471,593506947.0,2.134141471,2.1,642239838.0
2014,599935349.0,2.114593147,599935349.0,2.114593147,599935349.0,2.114593147,599935349.0,2.114593147,2.1,642239838.0
2015,606271936.0,2.095698423,606271936.0,2.095698423,606271936.0,2.095698423,606271936.0,2.095698423,2.1,642239838.0
2016,612511541.0,2.07667149,612511541.0,2.07667149,612511541.0,2.07667149,612511541.0,2.07667149,2.1,642239838.0
2017,618653508.0,2.057454707,618653508.0,2.057454707,618653508.0,2.057454707,618653508.0,2.057454707,2.1,642239838.0
2018,624698076.0,2.03849405,624698076.0,2.03849405,624698076.0,2.03849405,624698076.0,2.03849405,2.1,642239838.0
2019,630644771.0,2.019710483,630644771.0,2.019710483,630644771.0,2.019710483,630644771.0,2.019710483,2.1,642239838.0
