year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,474535.0,6.319,474535.0,6.319,474535.0,6.319,474535.0,6.319,2.1,1343875.0
1961,482852.0,6.273,482852.0,6.273,482852.0,6.273,482852.0,6.273,2.1,1343875.0
1962,491575.0,6.218,491575.0,6.218,491575.0,6.218,491575.0,6.218,2.1,1343875.0
1963,500652.0,6.155,500652.0,6.155,500652.0,6.155,500652.0,6.155,2.1,1343875.0
1964,510035.0,6.084,510035.0,6.084,510035.0,6.084,510035.0,6.084,2.1,1343875.0
1965,519676.0,6.008,519676.0,6.008,519676.0,6.008,519676.0,6.008,2.1,1343875.0
1966,529328.0,5.932,529328.0,5.932,529328.0,5.932,529328.0,5.932,2.1,1343875.0
1967,538906.0,5.858,538906.0,5.858,538906.0,5.858,538906.0,5.858,2.1,1343875.0
1968,548817.0,5.788,548817.0,5.788,548817.0,5.788,548817.0,5.788,2.1,1343875.0
1969,559620.0,5.722,559620.0,5.722,559620.0,5.722,559620.0,5.722,2.1,1343875.0
1970,571565.0,5.655,571565.0,5.655,571565.0,5.655,571565.0,5.655,2.1,1343875.0
1971,585250.0,5.58,585250.0,5.58,585250.0,5.58,585250.0,5.58,2.1,1343875.0
1972,600185.0,5.492,600185.0,5.492,600185.0,5.492,600185.0,5.492,2.1,1343875.0
1973,614264.0,5.392,614264.0,5.392,614264.0,5.392,614264.0,5.392,2.1,1343875.0
1974,624561.0,5.287,624561.0,5.287,624561.0,5.287,624561.0,5.287,2.1,1343875.0
1975,629227.0,5.19,629227.0,5.19,629227.0,5.19,629227.0,5.19,2.1,1343875.0
1976,627255.0,5.119,627255.0,5.119,627255.0,5.119,627255.0,5.119,2.1,1343875.0
1977,619817.0,5.085,619817.0,5.085,619817.0,5.085,619817.0,5.085,2.1,1343875.0
1978,610048.0,5.094,610048.0,5.094,610048.0,5.094,610048.0,5.094,2.1,1343875.0
1979,602363.0,5.142,602363.0,5.142,602363.0,5.142,602363.0,5.142,2.1,1343875.0
1980,599907.0,5.219,599907.0,5.219,599907.0,5.219,599907.0,5.219,2.1,1343875.0
1981,603837.0,5.306,603837.0,5.306,603837.0,5.306,603837.0,5.306,2.1,1343875.0
1982,613233.0,5.384,613233.0,5.384,613233.0,5.384,613233.0,5.384,2.1,1343875.0
1983,626677.0,5.439,626677.0,5.439,626677.0,5.439,626677.0,5.439,2.1,1343875.0
1984,641845.0,5.467,641845.0,5.467,641845.0,5.467,641845.0,5.467,2.1,1343875.0
1985,657061.0,5.47,657061.0,5.47,657061.0,5.47,657061.0,5.47,2.1,1343875.0
1986,671747.0,5.457,671747.0,5.457,671747.0,5.457,671747.0,5.457,2.1,1343875.0
1987,686475.0,5.444,686475.0,5.444,686475.0,5.444,686475.0,5.444,2.1,1343875.0
