year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,97553136.0,6.970435781,97553136.0,6.970435781,97553136.0,6.970435781,97553136.0,6.970435781,2.1,398128866.0
1961,100147125.0,6.987415175,100147125.0,6.987415175,100147125.0,6.987415175,100147125.0,6.987415175,2.1,398128866.0
1962,102808039.0,7.001505705,102808039.0,7.001505705,102808039.0,7.001505705,102808039.0,7.001505705,2.1,398128866.0
1963,105546241.0,7.010319961,105546241.0,7.010319961,105546241.0,7.010319961,105546241.0,7.010319961,2.1,398128866.0
1964,108376349.0,7.011677031,108376349.0,7.011677031,108376349.0,7.011677031,108376349.0,7.011677031,2.1,398128866.0
1965,111307810.0,7.003482159,111307810.0,7.003482159,111307810.0,7.003482159,111307810.0,7.003482159,2.1,398128866.0
1966,114351844.0,6.982686089,114351844.0,6.982686089,114351844.0,6.982686089,114351844.0,6.982686089,2.1,398128866.0
1967,117503838.0,6.950226171,117503838.0,6.950226171,117503838.0,6.950226171,117503838.0,6.950226171,2.1,398128866.0
1968,120739199.0,6.907286214,120739199.0,6.907286214,120739199.0,6.907286214,120739199.0,6.907286214,2.1,398128866.0
1969,124023275.0,6.85399072,124023275.0,6.85399072,124023275.0,6.85399072,124023275.0,6.85399072,2.1,398128866.0
1970,127335093.0,6.793233743,127335093.0,6.793233743,127335093.0,6.793233743,127335093.0,6.793233743,2.1,398128866.0
1971,130670746.0,6.727175414,130670746.0,6.727175414,130670746.0,6.727175414,130670746.0,6.727175414,2.1,398128866.0
1972,134051048.0,6.660044398,134051048.0,6.660044398,134051048.0,6.660044398,134051048.0,6.660044398,2.1,398128866.0
1973,137511232.0,6.594978343,137511232.0,6.594978343,137511232.0,6.594978343,137511232.0,6.594978343,2.1,398128866.0
1974,141099598.0,6.533675506,141099598.0,6.533675506,141099598.0,6.533675506,141099598.0,6.533675506,2.1,398128866.0
1975,144855662.0,6.478701333,144855662.0,6.478701333,144855662.0,6.478701333,144855662.0,6.478701333,2.1,398128866.0
1976,148781943.0,6.430912517,148781943.0,6.430912517,148781943.0,6.430912517,148781943.0,6.430912517,2.1,398128866.0
1977,152881163.0,6.388778209,152881163.0,6.388778209,152881163.0,6.388778209,152881163.0,6.388778209,2.1,398128866.0
1978,157192250.0,6.348696553,157192250.0,6.348696553,157192250.0,6.348696553,157192250.0,6.348696553,2.1,398128866.0
1979,161761403.0,6.30629168,161761403.0,6.30629168,161761403.0,6.30629168,161761403.0,6.30629168,2.1,398128866.0
1980,166616386.0,6.258611214,166616386.0,6.258611214,166616386.0,6.258611214,166616386.0,6.258611214,2.1,398128866.0
1981,171766018.0,6.201325316,171766018.0,6.201325316,171766018.0,6.201325316,171766018.0,6.201325316,2.1,398128866.0
1982,177185651.0,6.130286627,177185651.0,6.130286627,177185651.0,6.130286627,177185651.0,6.130286627,2.1,398128866.0
1983,182825252.0,6.042954736,182825252.0,6.042954736,182825252.0,6.042954736,182825252.0,6.042954736,2.1,398128866.0
1984,188614684.0,5.936701906,188614684.0,5.936701906,188614684.0,5.936701906,188614684.0,5.936701906,2.1,398128866.0
1985,194494177.0,5.808773318,194494177.0,5.808773318,194494177.0,5.808773318,194494177.0,5.808773318,2.1,398128866.0
1986,200443463.0,5.654958554,200443463.0,5.654958554,200443463.0,5.654958554,200443463.0,5.654958554,2.1,398128866.0
1987,206447529.0,5.479196159,206447529.0,5.479196159,206447529.0,5.479196159,206447529.0,5.479196159,2.1,398128866.0
1988,212456877.0,5.285601924,212456877.0,5.285601924,212456877.0,5.285601924,212456877.0,5.285601924,2.1,398128866.0
1989,218415839.0,5.077196173,218415839.0,5.077196173,218415839.0,5.077196173,218415839.0,5.077196173,2.1,398128866.0
1990,224280776.0,4.858933763,224280776.0,4.858933763,224280776.0,4.858933763,224280776.0,4.858933763,2.1,398128866.0
1991,230032568.0,4.63663846,230032568.0,4.63663846,230032568.0,4.63663846,230032568.0,4.63663846,2.1,398128866.0
1992,235665095.0,4.415796556,235665095.0,4.415796556,235665095.0,4.415796556,235665095.0,4.415796556,2.1,398128866.0
1993,241166641.0,4.201857885,241166641.0,4.201857885,241166641.0,4.201857885,241166641.0,4.201857885,2.1,398128866.0
1994,246530980.0,3.999454317,246530980.0,3.999454317,246530980.0,3.999454317,246530980.0,3.999454317,2.1,398128866.0
1995,251758674.0,3.812439295,251758674.0,3.812439295,251758674.0,3.812439295,251758674.0,3.812439295,2.1,398128866.0
1996,256843601.0,3.642264224,256843601.0,3.642264224,256843601.0,3.642264224,256843601.0,3.642264224,2.1,398128866.0
1997,261797640.0,3.489260578,261797640.0,3.489260578,261797640.0,3.489260578,261797640.0,3.489260578,2.1,398128866.0
1998,266664106.0,3.353377699,266664106.0,3.353377699,266664106.0,3.353377699,266664106.0,3.353377699,2.1,398128866.0
1999,271501583.0,3.234339138,271501583.0,3.234339138,271501583.0,3.234339138,271501583.0,3.234339138,2.1,398128866.0
2000,276357461.0,3.133569351,276357461.0,3.133569351,276357461.0,3.133569351,276357461.0,3.133569351,2.1,398128866.0
2001,281251221.0,3.050038945,281251221.0,3.050038945,281251221.0,3.050038945,281251221.0,3.050038945,2.1,398128866.0
2002,286188978.0,2.982516053,286188978.0,2.982516053,286188978.0,2.982516053,286188978.0,2.982516053,2.1,398128866.0
2003,291188690.0,2.930020344,291188690.0,2.930020344,291188690.0,2.930020344,291188690.0,2.930020344,2.1,398128866.0
2004,296266120.0,2.890168231,296266120.0,2.890168231,296266120.0,2.890168231,296266120.0,2.890168231,2.1,398128866.0
2005,301435118.0,2.864368225,301435118.0,2.864368225,301435118.0,2.864368225,301435118.0,2.864368225,2.1,398128866.0
2006,306703097.0,2.852375096,306703097.0,2.852375096,306703097.0,2.852375096,306703097.0,2.852375096,2.1,398128866.0
2007,312078867.0,2.853272917,312078867.0,2.853272917,312078867.0,2.853272917,312078867.0,2.853272917,2.1,398128866.0
2008,317576769.0,2.864343662,317576769.0,2.864343662,317576769.0,2.864343662,317576769.0,2.864343662,2.1,398128866.0
2009,323211867.0,2.882027923,323211867.0,2.882027923,323211867.0,2.882027923,323211867.0,2.882027923,2.1,398128866.0
2010,328991681.0,2.903014682,328991681.0,2.903014682,328991681.0,2.903014682,328991681.0,2.903014682,2.1,398128866.0
2011,334930074.0,2.924159374,334930074.0,2.924159374,334930074.0,2.924159374,334930074.0,2.924159374,2.1,398128866.0
2012,341018430.0,2.941806088,341018430.0,2.941806088,341018430.0,2.941806088,341018430.0,2.941806088,2.1,398128866.0
2013,347213697.0,2.953237751,347213697.0,2.953237751,347213697.0,2.953237751,347213697.0,2.953237751,2.1,398128866.0
2014,353456440.0,2.95617679,353456440.0,2.95617679,353456440.0,2.95617679,353456440.0,2.95617679,2.1,398128866.0
2015,359705464.0,2.949051429,359705464.0,2.949051429,359705464.0,2.949051429,359705464.0,2.949051429,2.1,398128866.0
2016,365926929.0,2.931256676,365926929.0,2.931256676,365926929.0,2.931256676,365926929.0,2.931256676,2.1,398128866.0
2017,372133652.0,2.906722711,372133652.0,2.906722711,372133652.0,2.906722711,372133652.0,2.906722711,2.1,398128866.0
2018,378386080.0,2.878414147,378386080.0,2.878414147,378386080.0,2.878414147,378386080.0,2.878414147,2.1,398128866.0
2019,384771769.0,2.847422479,384771769.0,2.847422479,384771769.0,2.847422479,384771769.0,2.847422479,2.1,398128866.0
2020,391344574.0,2.814892764,391344574.0,2.814892764,391344574.0,2.814892764,391344574.0,2.814892764,2.1,398128866.0
2021,398128866.0,2.814892764,398128866.0,2.814892764,398128866.0,2.814892764,398128866.0,2.814892764,2.1,398128866.0
2022,399852302.014,2.772,399957212.701,2.813,399903169.988,2.792,399961325.431,2.815,2.1,398128866.0
2023,401468361.956,2.73,401781449.016,2.812,401619787.267,2.77,401793784.861,2.815,2.1,398128866.0
2024,402978668.278,2.689,403601577.288,2.81,403279182.791,2.747,403626244.292,2.815,2.1,398128866.0
2025,404384818.918,2.649,405417599.86,2.808,404881817.767,2.725,405458703.722,2.815,2.1,398128866.0
2026,405688387.667,2.609,407229519.071,2.807,406428149.687,2.703,407291163.153,2.815,2.1,398128866.0
2027,406890924.538,2.569,409037337.26,2.805,407918632.352,2.681,409123622.583,2.815,2.1,398128866.0
2028,407993956.123,2.53,410841056.764,2.804,409353715.907,2.66,410956082.014,2.815,2.1,398128866.0
2029,408998985.947,2.492,412640679.921,2.802,410733846.869,2.638,412788541.444,2.815,2.1,398128866.0
2030,409907494.815,2.454,414436209.064,2.8,412059468.157,2.617,414621000.875,2.815,2.1,398128866.0
2031,410720941.161,2.417,416227646.528,2.799,413331019.117,2.596,416453460.305,2.815,2.1,398128866.0
2032,411440761.378,2.381,418014994.645,2.797,414548935.558,2.575,418285919.736,2.815,2.1,398128866.0
2033,412068370.157,2.345,419798255.745,2.796,415713649.772,2.554,420118379.166,2.815,2.1,398128866.0
2034,412605160.814,2.309,421577432.158,2.794,416825590.571,2.534,421950838.597,2.815,2.1,398128866.0
2035,413052505.609,2.275,423352526.213,2.793,417885183.307,2.513,423783298.027,2.815,2.1,398128866.0
2036,413411756.071,2.24,425123540.237,2.791,418892849.907,2.493,425615757.458,2.815,2.1,398128866.0
2037,413684243.304,2.206,426890476.554,2.789,419849008.894,2.473,427448216.888,2.815,2.1,398128866.0
2038,413871278.301,2.173,428653337.49,2.788,420754075.421,2.453,429280676.319,2.815,2.1,398128866.0
2039,413974152.245,2.14,430412125.368,2.786,421608461.292,2.433,431113135.749,2.815,2.1,398128866.0
2040,413994136.809,2.108,432166842.508,2.785,422412574.994,2.414,432945595.18,2.815,2.1,398128866.0
2041,413932484.452,2.076,433917491.232,2.783,423166821.719,2.394,434778054.61,2.815,2.1,398128866.0
2042,413790428.709,2.045,435664073.858,2.781,423871603.397,2.375,436610514.041,2.815,2.1,398128866.0
2043,413569184.473,2.014,437406592.703,2.78,424527318.715,2.356,438442973.471,2.815,2.1,398128866.0
2044,413269948.284,1.983,439145050.086,2.778,425134363.149,2.337,440275432.902,2.815,2.1,398128866.0
2045,412893898.599,1.953,440879448.319,2.777,425693128.985,2.318,442107892.332,2.815,2.1,398128866.0
2046,412442196.071,1.924,442609789.718,2.775,426204005.348,2.299,443940351.763,2.815,2.1,398128866.0
2047,411915983.814,1.895,444336076.594,2.773,426667378.229,2.281,445772811.193,2.815,2.1,398128866.0
2048,411316387.67,1.866,446058311.259,2.772,427083630.506,2.262,447605270.624,2.815,2.1,398128866.0
