year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,61574.0,7.363,61574.0,7.363,61574.0,7.363,61574.0,7.363,2.1,106759.0
1961,63721.0,7.346,63721.0,7.346,63721.0,7.346,63721.0,7.346,2.1,106759.0
1962,66233.0,7.302,66233.0,7.302,66233.0,7.302,66233.0,7.302,2.1,106759.0
1963,68975.0,7.226,68975.0,7.226,68975.0,7.226,68975.0,7.226,2.1,106759.0
1964,71744.0,7.117,71744.0,7.117,71744.0,7.117,71744.0,7.117,2.1,106759.0
1965,74348.0,6.973,74348.0,6.973,74348.0,6.973,74348.0,6.973,2.1,106759.0
1966,76774.0,6.795,76774.0,6.795,76774.0,6.795,76774.0,6.795,2.1,106759.0
1967,79034.0,6.59,79034.0,6.59,79034.0,6.59,79034.0,6.59,2.1,106759.0
1968,81076.0,6.371,81076.0,6.371,81076.0,6.371,81076.0,6.371,2.1,106759.0
1969,82861.0,6.15,82861.0,6.15,82861.0,6.15,82861.0,6.15,2.1,106759.0
1970,84344.0,5.941,84344.0,5.941,84344.0,5.941,84344.0,5.941,2.1,106759.0
1971,85492.0,5.761,85492.0,5.761,85492.0,5.761,85492.0,5.761,2.1,106759.0
1972,86327.0,5.616,86327.0,5.616,86327.0,5.616,86327.0,5.616,2.1,106759.0
1973,86958.0,5.512,86958.0,5.512,86958.0,5.512,86958.0,5.512,2.1,106759.0
1974,87584.0,5.449,87584.0,5.449,87584.0,5.449,87584.0,5.449,2.1,106759.0
1975,88321.0,5.426,88321.0,5.426,88321.0,5.426,88321.0,5.426,2.1,106759.0
1976,89228.0,5.438,89228.0,5.438,89228.0,5.438,89228.0,5.438,2.1,106759.0
1977,90259.0,5.471,90259.0,5.471,90259.0,5.471,90259.0,5.471,2.1,106759.0
1978,91336.0,5.509,91336.0,5.509,91336.0,5.509,91336.0,5.509,2.1,106759.0
1979,92271.0,5.541,92271.0,5.541,92271.0,5.541,92271.0,5.541,2.1,106759.0
1980,92966.0,5.553,92966.0,5.553,92966.0,5.553,92966.0,5.553,2.1,106759.0
1981,93415.0,5.532,93415.0,5.532,93415.0,5.532,93415.0,5.532,2.1,106759.0
1982,93636.0,5.475,93636.0,5.475,93636.0,5.475,93636.0,5.475,2.1,106759.0
1983,93736.0,5.385,93736.0,5.385,93736.0,5.385,93736.0,5.385,2.1,106759.0
1984,93793.0,5.266,93793.0,5.266,93793.0,5.266,93793.0,5.266,2.1,106759.0
1985,93896.0,5.128,93896.0,5.128,93896.0,5.128,93896.0,5.128,2.1,106759.0
1986,94081.0,4.989,94081.0,4.989,94081.0,4.989,94081.0,4.989,2.1,106759.0
1987,94318.0,4.864,94318.0,4.864,94318.0,4.864,94318.0,4.864,2.1,106759.0
1988,94592.0,4.763,94592.0,4.763,94592.0,4.763,94592.0,4.763,2.1,106759.0
1989,94848.0,4.691,94848.0,4.691,94848.0,4.691,94848.0,4.691,2.1,106759.0
1990,95069.0,4.644,95069.0,4.644,95069.0,4.644,95069.0,4.644,2.1,106759.0
1991,95243.0,4.612,95243.0,4.612,95243.0,4.612,95243.0,4.612,2.1,106759.0
1992,95398.0,4.583,95398.0,4.583,95398.0,4.583,95398.0,4.583,2.1,106759.0
