year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,847973.0,5.264,847973.0,5.264,847973.0,5.264,847973.0,5.264,2.1,1403374.0
1961,864814.0,5.177,864814.0,5.177,864814.0,5.177,864814.0,5.177,2.1,1403374.0
1962,879436.0,5.047,879436.0,5.047,879436.0,5.047,879436.0,5.047,2.1,1403374.0
1963,891948.0,4.873,891948.0,4.873,891948.0,4.873,891948.0,4.873,2.1,1403374.0
1964,902620.0,4.664,902620.0,4.664,902620.0,4.664,902620.0,4.664,2.1,1403374.0
1965,911742.0,4.433,911742.0,4.433,911742.0,4.433,911742.0,4.433,2.1,1403374.0
1966,919218.0,4.2,919218.0,4.2,919218.0,4.2,919218.0,4.2,2.1,1403374.0
1967,925233.0,3.985,925233.0,3.985,925233.0,3.985,925233.0,3.985,2.1,1403374.0
1968,930792.0,3.802,930792.0,3.802,930792.0,3.802,930792.0,3.802,2.1,1403374.0
1969,937184.0,3.658,937184.0,3.658,937184.0,3.658,937184.0,3.658,2.1,1403374.0
1970,945357.0,3.554,945357.0,3.554,945357.0,3.554,945357.0,3.554,2.1,1403374.0
1971,955753.0,3.484,955753.0,3.484,955753.0,3.484,955753.0,3.484,2.1,1403374.0
1972,968136.0,3.432,968136.0,3.432,968136.0,3.432,968136.0,3.432,2.1,1403374.0
1973,982006.0,3.389,982006.0,3.389,982006.0,3.389,982006.0,3.389,2.1,1403374.0
1974,996479.0,3.349,996479.0,3.349,996479.0,3.349,996479.0,3.349,2.1,1403374.0
1975,1010934.0,3.313,1010934.0,3.313,1010934.0,3.313,1010934.0,3.313,2.1,1403374.0
1976,1025104.0,3.287,1025104.0,3.287,1025104.0,3.287,1025104.0,3.287,2.1,1403374.0
1977,1039210.0,3.273,1039210.0,3.273,1039210.0,3.273,1039210.0,3.273,2.1,1403374.0
1978,1053560.0,3.271,1053560.0,3.271,1053560.0,3.271,1053560.0,3.271,2.1,1403374.0
1979,1068644.0,3.278,1068644.0,3.278,1068644.0,3.278,1068644.0,3.278,2.1,1403374.0
1980,1084743.0,3.284,1084743.0,3.284,1084743.0,3.284,1084743.0,3.284,2.1,1403374.0
1981,1101983.0,3.281,1101983.0,3.281,1101983.0,3.281,1101983.0,3.281,2.1,1403374.0
1982,1120019.0,3.261,1120019.0,3.261,1120019.0,3.261,1120019.0,3.261,2.1,1403374.0
1983,1138071.0,3.218,1138071.0,3.218,1138071.0,3.218,1138071.0,3.218,2.1,1403374.0
1984,1155083.0,3.151,1155083.0,3.151,1155083.0,3.151,1155083.0,3.151,2.1,1403374.0
1985,1170296.0,3.06,1170296.0,3.06,1170296.0,3.06,1170296.0,3.06,2.1,1403374.0
1986,1183382.0,2.949,1183382.0,2.949,1183382.0,2.949,1183382.0,2.949,2.1,1403374.0
1987,1194532.0,2.827,1194532.0,2.827,1194532.0,2.827,1194532.0,2.827,2.1,1403374.0
1988,1204150.0,2.7,1204150.0,2.7,1204150.0,2.7,1204150.0,2.7,2.1,1403374.0
1989,1212858.0,2.574,1212858.0,2.574,1212858.0,2.574,1212858.0,2.574,2.1,1403374.0
1990,1221121.0,2.453,1221121.0,2.453,1221121.0,2.453,1221121.0,2.453,2.1,1403374.0
