year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,4178235.0,6.942,4178235.0,6.942,4178235.0,6.942,4178235.0,6.942,2.1,11935764.0
1961,4238141.0,6.97,4238141.0,6.97,4238141.0,6.97,4238141.0,6.97,2.1,11935764.0
1962,4305477.0,6.993,4305477.0,6.993,4305477.0,6.993,4305477.0,6.993,2.1,11935764.0
1963,4380074.0,7.009,4380074.0,7.009,4380074.0,7.009,4380074.0,7.009,2.1,11935764.0
1964,4461111.0,7.015,4461111.0,7.015,4461111.0,7.015,4461111.0,7.015,2.1,11935764.0
1965,4547941.0,7.008,4547941.0,7.008,4547941.0,7.008,4547941.0,7.008,2.1,11935764.0
1966,4640995.0,6.984,4640995.0,6.984,4640995.0,6.984,4640995.0,6.984,2.1,11935764.0
1967,4740526.0,6.942,4740526.0,6.942,4740526.0,6.942,4740526.0,6.942,2.1,11935764.0
1968,4845220.0,6.881,4845220.0,6.881,4845220.0,6.881,4845220.0,6.881,2.1,11935764.0
1969,4953379.0,6.802,4953379.0,6.802,4953379.0,6.802,4953379.0,6.802,2.1,11935764.0
1970,5063805.0,6.705,5063805.0,6.705,5063805.0,6.705,5063805.0,6.705,2.1,11935764.0
1971,5176290.0,6.591,5176290.0,6.591,5176290.0,6.591,5176290.0,6.591,2.1,11935764.0
1972,5291335.0,6.465,5291335.0,6.465,5291335.0,6.465,5291335.0,6.465,2.1,11935764.0
1973,5409338.0,6.33,5409338.0,6.33,5409338.0,6.33,5409338.0,6.33,2.1,11935764.0
1974,5530978.0,6.189,5530978.0,6.189,5530978.0,6.189,5530978.0,6.189,2.1,11935764.0
1975,5656912.0,6.042,5656912.0,6.042,5656912.0,6.042,5656912.0,6.042,2.1,11935764.0
1976,5786482.0,5.89,5786482.0,5.89,5786482.0,5.89,5786482.0,5.89,2.1,11935764.0
1977,5919958.0,5.733,5919958.0,5.733,5919958.0,5.733,5919958.0,5.733,2.1,11935764.0
1978,6060158.0,5.572,6060158.0,5.572,6060158.0,5.572,6060158.0,5.572,2.1,11935764.0
1979,6210756.0,5.408,6210756.0,5.408,6210756.0,5.408,6210756.0,5.408,2.1,11935764.0
1980,6374040.0,5.243,6374040.0,5.243,6374040.0,5.243,6374040.0,5.243,2.1,11935764.0
1981,6551232.0,5.078,6551232.0,5.078,6551232.0,5.078,6551232.0,5.078,2.1,11935764.0
1982,6740520.0,4.915,6740520.0,4.915,6740520.0,4.915,6740520.0,4.915,2.1,11935764.0
1983,6937332.0,4.752,6937332.0,4.752,6937332.0,4.752,6937332.0,4.752,2.1,11935764.0
1984,7135265.0,4.59,7135265.0,4.59,7135265.0,4.59,7135265.0,4.59,2.1,11935764.0
1985,7329590.0,4.425,7329590.0,4.425,7329590.0,4.425,7329590.0,4.425,2.1,11935764.0
1986,7517854.0,4.252,7517854.0,4.252,7517854.0,4.252,7517854.0,4.252,2.1,11935764.0
1987,7700733.0,4.07,7700733.0,4.07,7700733.0,4.07,7700733.0,4.07,2.1,11935764.0
1988,7880333.0,3.878,7880333.0,3.878,7880333.0,3.878,7880333.0,3.878,2.1,11935764.0
1989,8060211.0,3.678,8060211.0,3.678,8060211.0,3.678,8060211.0,3.678,2.1,11935764.0
1990,8242509.0,3.476,8242509.0,3.476,8242509.0,3.476,8242509.0,3.476,2.1,11935764.0
1991,8427851.0,3.276,8427851.0,3.276,8427851.0,3.276,8427851.0,3.276,2.1,11935764.0
1992,8613855.0,3.085,8613855.0,3.085,8613855.0,3.085,8613855.0,3.085,2.1,11935764.0
1993,8795934.0,2.907,8795934.0,2.907,8795934.0,2.907,8795934.0,2.907,2.1,11935764.0
1994,8967916.0,2.747,8967916.0,2.747,8967916.0,2.747,8967916.0,2.747,2.1,11935764.0
1995,9125400.0,2.606,9125400.0,2.606,9125400.0,2.606,9125400.0,2.606,2.1,11935764.0
1996,9267335.0,2.485,9267335.0,2.485,9267335.0,2.485,9267335.0,2.485,2.1,11935764.0
1997,9395119.0,2.379,9395119.0,2.379,9395119.0,2.379,9395119.0,2.379,2.1,11935764.0
1998,9509862.0,2.287,9509862.0,2.287,9509862.0,2.287,9509862.0,2.287,2.1,11935764.0
1999,9613587.0,2.208,9613587.0,2.208,9613587.0,2.208,9613587.0,2.208,2.1,11935764.0
2000,9708347.0,2.142,9708347.0,2.142,9708347.0,2.142,9708347.0,2.142,2.1,11935764.0
2001,9793915.0,2.088,9793915.0,2.088,9793915.0,2.088,9793915.0,2.088,2.1,11935764.0
2002,9871261.0,2.046,9871261.0,2.046,9871261.0,2.046,9871261.0,2.046,2.1,11935764.0
2003,9945282.0,2.016,9945282.0,2.016,9945282.0,2.016,9945282.0,2.016,2.1,11935764.0
2004,10022278.0,1.997,10022278.0,1.997,10022278.0,1.997,10022278.0,1.997,2.1,11935764.0
2005,10106778.0,1.991,10106778.0,1.991,10106778.0,1.991,10106778.0,1.991,2.1,11935764.0
2006,10201211.0,1.999,10201211.0,1.999,10201211.0,1.999,10201211.0,1.999,2.1,11935764.0
2007,10304729.0,2.02,10304729.0,2.02,10304729.0,2.02,10304729.0,2.02,2.1,11935764.0
2008,10414425.0,2.054,10414425.0,2.054,10414425.0,2.054,10414425.0,2.054,2.1,11935764.0
2009,10525691.0,2.095,10525691.0,2.095,10525691.0,2.095,10525691.0,2.095,2.1,11935764.0
2010,10635245.0,2.14,10635245.0,2.14,10635245.0,2.14,10635245.0,2.14,2.1,11935764.0
2011,10741872.0,2.182,10741872.0,2.182,10741872.0,2.182,10741872.0,2.182,2.1,11935764.0
