year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,27472339.0,6.366,27472339.0,6.366,27472339.0,6.366,27472339.0,6.366,2.1,85042736.0
1961,28146909.0,6.304,28146909.0,6.304,28146909.0,6.304,28146909.0,6.304,2.1,85042736.0
1962,28832831.0,6.237,28832831.0,6.237,28832831.0,6.237,28832831.0,6.237,2.1,85042736.0
1963,29531362.0,6.165,29531362.0,6.165,29531362.0,6.165,29531362.0,6.165,2.1,85042736.0
1964,30244258.0,6.089,30244258.0,6.089,30244258.0,6.089,30244258.0,6.089,2.1,85042736.0
1965,30972996.0,6.011,30972996.0,6.011,30972996.0,6.011,30972996.0,6.011,2.1,85042736.0
1966,31717504.0,5.933,31717504.0,5.933,31717504.0,5.933,31717504.0,5.933,2.1,85042736.0
1967,32477994.0,5.855,32477994.0,5.855,32477994.0,5.855,32477994.0,5.855,2.1,85042736.0
1968,33256465.0,5.778,33256465.0,5.778,33256465.0,5.778,33256465.0,5.778,2.1,85042736.0
1969,34055391.0,5.7,34055391.0,5.7,34055391.0,5.7,34055391.0,5.7,2.1,85042736.0
1970,34876296.0,5.619,34876296.0,5.619,34876296.0,5.619,34876296.0,5.619,2.1,85042736.0
1971,35720603.0,5.529,35720603.0,5.529,35720603.0,5.529,35720603.0,5.529,2.1,85042736.0
1972,36587267.0,5.429,36587267.0,5.429,36587267.0,5.429,36587267.0,5.429,2.1,85042736.0
1973,37472329.0,5.316,37472329.0,5.316,37472329.0,5.316,37472329.0,5.316,2.1,85042736.0
1974,38370278.0,5.191,38370278.0,5.191,38370278.0,5.191,38370278.0,5.191,2.1,85042736.0
1975,39277249.0,5.058,39277249.0,5.058,39277249.0,5.058,39277249.0,5.058,2.1,85042736.0
1976,40189561.0,4.921,40189561.0,4.921,40189561.0,4.921,40189561.0,4.921,2.1,85042736.0
1977,41108290.0,4.785,41108290.0,4.785,41108290.0,4.785,41108290.0,4.785,2.1,85042736.0
1978,42039983.0,4.654,42039983.0,4.654,42039983.0,4.654,42039983.0,4.654,2.1,85042736.0
1979,42994043.0,4.528,42994043.0,4.528,42994043.0,4.528,42994043.0,4.528,2.1,85042736.0
1980,43975972.0,4.405,43975972.0,4.405,43975972.0,4.405,43975972.0,4.405,2.1,85042736.0
1981,44988411.0,4.282,44988411.0,4.282,44988411.0,4.282,44988411.0,4.282,2.1,85042736.0
1982,46025411.0,4.155,46025411.0,4.155,46025411.0,4.155,46025411.0,4.155,2.1,85042736.0
1983,47073470.0,4.021,47073470.0,4.021,47073470.0,4.021,47073470.0,4.021,2.1,85042736.0
1984,48114158.0,3.883,48114158.0,3.883,48114158.0,3.883,48114158.0,3.883,2.1,85042736.0
1985,49133928.0,3.741,49133928.0,3.741,49133928.0,3.741,49133928.0,3.741,2.1,85042736.0
1986,50128548.0,3.598,50128548.0,3.598,50128548.0,3.598,50128548.0,3.598,2.1,85042736.0
1987,51100930.0,3.461,51100930.0,3.461,51100930.0,3.461,51100930.0,3.461,2.1,85042736.0
1988,52053764.0,3.331,52053764.0,3.331,52053764.0,3.331,52053764.0,3.331,2.1,85042736.0
1989,52992479.0,3.213,52992479.0,3.213,52992479.0,3.213,52992479.0,3.213,2.1,85042736.0
1990,53921758.0,3.107,53921758.0,3.107,53921758.0,3.107,53921758.0,3.107,2.1,85042736.0
1991,54840595.0,3.016,54840595.0,3.016,54840595.0,3.016,54840595.0,3.016,2.1,85042736.0
