year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,5321.0,,5321.0,,5321.0,,5321.0,,2.1,11925.0
1961,5330.0,,5330.0,,5330.0,,5330.0,,2.1,11925.0
1962,5340.0,,5340.0,,5340.0,,5340.0,,2.1,11925.0
1963,5341.0,,5341.0,,5341.0,,5341.0,,2.1,11925.0
1964,5354.0,,5354.0,,5354.0,,5354.0,,2.1,11925.0
1965,5388.0,,5388.0,,5388.0,,5388.0,,2.1,11925.0
1966,5435.0,,5435.0,,5435.0,,5435.0,,2.1,11925.0
1967,5510.0,,5510.0,,5510.0,,5510.0,,2.1,11925.0
1968,5598.0,,5598.0,,5598.0,,5598.0,,2.1,11925.0
1969,5671.0,,5671.0,,5671.0,,5671.0,,2.1,11925.0
1970,5740.0,,5740.0,,5740.0,,5740.0,,2.1,11925.0
1971,5770.0,,5770.0,,5770.0,,5770.0,,2.1,11925.0
1972,5786.0,,5786.0,,5786.0,,5786.0,,2.1,11925.0
1973,5819.0,,5819.0,,5819.0,,5819.0,,2.1,11925.0
1974,5903.0,,5903.0,,5903.0,,5903.0,,2.1,11925.0
1975,6064.0,,6064.0,,6064.0,,6064.0,,2.1,11925.0
1976,6319.0,,6319.0,,6319.0,,6319.0,,2.1,11925.0
1977,6650.0,,6650.0,,6650.0,,6650.0,,2.1,11925.0
1978,7018.0,,7018.0,,7018.0,,7018.0,,2.1,11925.0
1979,7357.0,,7357.0,,7357.0,,7357.0,,2.1,11925.0
1980,7631.0,,7631.0,,7631.0,,7631.0,,2.1,11925.0
1981,7825.0,,7825.0,,7825.0,,7825.0,,2.1,11925.0
1982,7951.0,,7951.0,,7951.0,,7951.0,,2.1,11925.0
1983,8041.0,,8041.0,,8041.0,,8041.0,,2.1,11925.0
1984,8110.0,,8110.0,,8110.0,,8110.0,,2.1,11925.0
1985,8211.0,,8211.0,,8211.0,,8211.0,,2.1,11925.0
1986,8341.0,,8341.0,,8341.0,,8341.0,,2.1,11925.0
1987,8481.0,,8481.0,,8481.0,,8481.0,,2.1,11925.0
1988,8637.0,,8637.0,,8637.0,,8637.0,,2.1,11925.0
1989,8787.0,,8787.0,,8787.0,,8787.0,,2.1,11925.0
1990,8910.0,,8910.0,,8910.0,,8910.0,,2.1,11925.0
1991,9014.0,,9014.0,,9014.0,,9014.0,,2.1,11925.0
1992,9110.0,,9110.0,,9110.0,,9110.0,,2.1,11925.0
1993,9194.0,,9194.0,,9194.0,,9194.0,,2.1,11925.0
1994,9259.0,,9259.0,,9259.0,,9259.0,,2.1,11925.0
1995,9298.0,,9298.0,,9298.0,,9298.0,,2.1,11925.0
1996,9317.0,,9317.0,,9317.0,,9317.0,,2.1,11925.0
1997,9328.0,,9328.0,,9328.0,,9328.0,,2.1,11925.0
1998,9332.0,,9332.0,,9332.0,,9332.0,,2.1,11925.0
1999,9344.0,,9344.0,,9344.0,,9344.0,,2.1,11925.0
2000,9392.0,,9392.0,,9392.0,,9392.0,,2.1,11925.0
2001,9478.0,,9478.0,,9478.0,,9478.0,,2.1,11925.0
2002,9593.0,,9593.0,,9593.0,,9593.0,,2.1,11925.0
2003,9724.0,,9724.0,,9724.0,,9724.0,,2.1,11925.0
2004,9871.0,,9871.0,,9871.0,,9871.0,,2.1,11925.0
2005,9997.0,,9997.0,,9997.0,,9997.0,,2.1,11925.0
2006,10118.0,,10118.0,,10118.0,,10118.0,,2.1,11925.0
2007,10219.0,,10219.0,,10219.0,,10219.0,,2.1,11925.0
2008,10315.0,,10315.0,,10315.0,,10315.0,,2.1,11925.0
2009,10413.0,,10413.0,,10413.0,,10413.0,,2.1,11925.0
2010,10521.0,,10521.0,,10521.0,,10521.0,,2.1,11925.0
2011,10626.0,,10626.0,,10626.0,,10626.0,,2.1,11925.0
2012,10744.0,,10744.0,,10744.0,,10744.0,,2.1,11925.0
2013,10849.0,,10849.0,,10849.0,,10849.0,,2.1,11925.0
2014,10973.0,,10973.0,,10973.0,,10973.0,,2.1,11925.0
2015,11099.0,,11099.0,,11099.0,,11099.0,,2.1,11925.0
2016,11232.0,,11232.0,,11232.0,,11232.0,,2.1,11925.0
2017,11365.0,,11365.0,,11365.0,,11365.0,,2.1,11925.0
2018,11505.0,,11505.0,,11505.0,,11505.0,,2.1,11925.0
2019,11655.0,,11655.0,,11655.0,,11655.0,,2.1,11925.0
2020,11792.0,,11792.0,,11792.0,,11792.0,,2.1,11925.0
2021,11925.0,,11925.0,,11925.0,,11925.0,,2.1,11925.0
2022,,,,,,,,,2.1,11925.0
2023,,,,,,,,,2.1,11925.0
2024,,,,,,,,,2.1,11925.0
2025,,,,,,,,,2.1,11925.0
2026,,,,,,,,,2.1,11925.0
2027,,,,,,,,,2.1,11925.0
2028,,,,,,,,,2.1,11925.0
2029,,,,,,,,,2.1,11925.0
2030,,,,,,,,,2.1,11925.0
2031,,,,,,,,,2.1,11925.0
2032,,,,,,,,,2.1,11925.0
2033,,,,,,,,,2.1,11925.0
2034,,,,,,,,,2.1,11925.0
2035,,,,,,,,,2.1,11925.0
2036,,,,,,,,,2.1,11925.0
2037,,,,,,,,,2.1,11925.0
2038,,,,,,,,,2.1,11925.0
2039,,,,,,,,,2.1,11925.0
2040,,,,,,,,,2.1,11925.0
2041,,,,,,,,,2.1,11925.0
2042,,,,,,,,,2.1,11925.0
2043,,,,,,,,,2.1,11925.0
2044,,,,,,,,,2.1,11925.0
2045,,,,,,,,,2.1,11925.0
2046,,,,,,,,,2.1,11925.0
