year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,10052151.0,6.806,10052151.0,6.806,10052151.0,6.806,10052151.0,6.806,2.1,61498438.0
1961,10346695.0,6.806,10346695.0,6.806,10346695.0,6.806,10346695.0,6.806,2.1,61498438.0
1962,10651954.0,6.804,10651954.0,6.804,10651954.0,6.804,10651954.0,6.804,2.1,61498438.0
1963,10968196.0,6.803,10968196.0,6.803,10968196.0,6.803,10968196.0,6.803,2.1,61498438.0
1964,11295675.0,6.801,11295675.0,6.801,11295675.0,6.801,11295675.0,6.801,2.1,61498438.0
1965,11634837.0,6.798,11634837.0,6.798,11634837.0,6.798,11634837.0,6.798,2.1,61498438.0
1966,11985442.0,6.795,11985442.0,6.795,11985442.0,6.795,11985442.0,6.795,2.1,61498438.0
1967,12348188.0,6.791,12348188.0,6.791,12348188.0,6.791,12348188.0,6.791,2.1,61498438.0
1968,12725519.0,6.785,12725519.0,6.785,12725519.0,6.785,12725519.0,6.785,2.1,61498438.0
1969,13120587.0,6.778,13120587.0,6.778,13120587.0,6.778,13120587.0,6.778,2.1,61498438.0
1970,13535487.0,6.771,13535487.0,6.771,13535487.0,6.771,13535487.0,6.771,2.1,61498438.0
1971,13971698.0,6.765,13971698.0,6.765,13971698.0,6.765,13971698.0,6.765,2.1,61498438.0
1972,14428340.0,6.761,14428340.0,6.761,14428340.0,6.761,14428340.0,6.761,2.1,61498438.0
1973,14902271.0,6.758,14902271.0,6.758,14902271.0,6.758,14902271.0,6.758,2.1,61498438.0
1974,15388933.0,6.755,15388933.0,6.755,15388933.0,6.755,15388933.0,6.755,2.1,61498438.0
1975,15885228.0,6.751,15885228.0,6.751,15885228.0,6.751,15885228.0,6.751,2.1,61498438.0
1976,16390161.0,6.743,16390161.0,6.743,16390161.0,6.743,16390161.0,6.743,2.1,61498438.0
1977,16905222.0,6.73,16905222.0,6.73,16905222.0,6.73,16905222.0,6.73,2.1,61498438.0
1978,17432756.0,6.711,17432756.0,6.711,17432756.0,6.711,17432756.0,6.711,2.1,61498438.0
1979,17976219.0,6.685,17976219.0,6.685,17976219.0,6.685,17976219.0,6.685,2.1,61498438.0
1980,18538263.0,6.653,18538263.0,6.653,18538263.0,6.653,18538263.0,6.653,2.1,61498438.0
1981,19120683.0,6.618,19120683.0,6.618,19120683.0,6.618,19120683.0,6.618,2.1,61498438.0
1982,19723317.0,6.58,19723317.0,6.58,19723317.0,6.58,19723317.0,6.58,2.1,61498438.0
1983,20344550.0,6.542,20344550.0,6.542,20344550.0,6.542,20344550.0,6.542,2.1,61498438.0
1984,20981775.0,6.504,20981775.0,6.504,20981775.0,6.504,20981775.0,6.504,2.1,61498438.0
1985,21633799.0,6.465,21633799.0,6.465,21633799.0,6.465,21633799.0,6.465,2.1,61498438.0
1986,22296282.0,6.424,22296282.0,6.424,22296282.0,6.424,22296282.0,6.424,2.1,61498438.0
1987,22971208.0,6.379,22971208.0,6.379,22971208.0,6.379,22971208.0,6.379,2.1,61498438.0
1988,23670807.0,6.328,23670807.0,6.328,23670807.0,6.328,23670807.0,6.328,2.1,61498438.0
1989,24411744.0,6.273,24411744.0,6.273,24411744.0,6.273,24411744.0,6.273,2.1,61498438.0
1990,25203848.0,6.213,25203848.0,6.213,25203848.0,6.213,25203848.0,6.213,2.1,61498438.0
1991,26056605.0,6.148,26056605.0,6.148,26056605.0,6.148,26056605.0,6.148,2.1,61498438.0
1992,26961204.0,6.081,26961204.0,6.081,26961204.0,6.081,26961204.0,6.081,2.1,61498438.0
1993,27887204.0,6.013,27887204.0,6.013,27887204.0,6.013,27887204.0,6.013,2.1,61498438.0
1994,28792649.0,5.946,28792649.0,5.946,28792649.0,5.946,28792649.0,5.946,2.1,61498438.0
1995,29649128.0,5.883,29649128.0,5.883,29649128.0,5.883,29649128.0,5.883,2.1,61498438.0
1996,30444523.0,5.828,30444523.0,5.828,30444523.0,5.828,30444523.0,5.828,2.1,61498438.0
1997,31192853.0,5.78,31192853.0,5.78,31192853.0,5.78,31192853.0,5.78,2.1,61498438.0
1998,31924201.0,5.741,31924201.0,5.741,31924201.0,5.741,31924201.0,5.741,2.1,61498438.0
1999,32682240.0,5.711,32682240.0,5.711,32682240.0,5.711,32682240.0,5.711,2.1,61498438.0
2000,33499177.0,5.689,33499177.0,5.689,33499177.0,5.689,33499177.0,5.689,2.1,61498438.0
2001,34385849.0,5.675,34385849.0,5.675,34385849.0,5.675,34385849.0,5.675,2.1,61498438.0
2002,35334790.0,5.666,35334790.0,5.666,35334790.0,5.666,35334790.0,5.666,2.1,61498438.0
2003,36337778.0,5.659,36337778.0,5.659,36337778.0,5.659,36337778.0,5.659,2.1,61498438.0
2004,37379766.0,5.651,37379766.0,5.651,37379766.0,5.651,37379766.0,5.651,2.1,61498438.0
2005,38450323.0,5.638,38450323.0,5.638,38450323.0,5.638,38450323.0,5.638,2.1,61498438.0
2006,39548666.0,5.616,39548666.0,5.616,39548666.0,5.616,39548666.0,5.616,2.1,61498438.0
2007,40681416.0,5.584,40681416.0,5.584,40681416.0,5.584,40681416.0,5.584,2.1,61498438.0
2008,41853944.0,5.542,41853944.0,5.542,41853944.0,5.542,41853944.0,5.542,2.1,61498438.0
2009,43073830.0,5.489,43073830.0,5.489,43073830.0,5.489,43073830.0,5.489,2.1,61498438.0
2010,44346532.0,5.427,44346532.0,5.427,44346532.0,5.427,44346532.0,5.427,2.1,61498438.0
2011,45673520.0,5.358,45673520.0,5.358,45673520.0,5.358,45673520.0,5.358,2.1,61498438.0
