year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,6767092.0,6.999,6767092.0,6.999,6767092.0,6.999,6767092.0,6.999,2.1,47123533.0
1961,6983824.0,7.019,6983824.0,7.019,6983824.0,7.019,6983824.0,7.019,2.1,47123533.0
1962,7215799.0,7.04,7215799.0,7.04,7215799.0,7.04,7215799.0,7.04,2.1,47123533.0
1963,7461636.0,7.06,7461636.0,7.06,7461636.0,7.06,7461636.0,7.06,2.1,47123533.0
1964,7719108.0,7.078,7719108.0,7.078,7719108.0,7.078,7719108.0,7.078,2.1,47123533.0
1965,7986062.0,7.094,7986062.0,7.094,7986062.0,7.094,7986062.0,7.094,2.1,47123533.0
1966,8263434.0,7.106,8263434.0,7.106,8263434.0,7.106,8263434.0,7.106,2.1,47123533.0
1967,8550444.0,7.113,8550444.0,7.113,8550444.0,7.113,8550444.0,7.113,2.1,47123533.0
1968,8841156.0,7.117,8841156.0,7.117,8841156.0,7.117,8841156.0,7.117,2.1,47123533.0
1969,9127855.0,7.118,9127855.0,7.118,9127855.0,7.118,9127855.0,7.118,2.1,47123533.0
1970,9405606.0,7.115,9405606.0,7.115,9405606.0,7.115,9405606.0,7.115,2.1,47123533.0
1971,9671856.0,7.111,9671856.0,7.111,9671856.0,7.111,9671856.0,7.111,2.1,47123533.0
1972,9929644.0,7.107,9929644.0,7.107,9929644.0,7.107,9929644.0,7.107,2.1,47123533.0
1973,10186452.0,7.103,10186452.0,7.103,10186452.0,7.103,10186452.0,7.103,2.1,47123533.0
1974,10453029.0,7.1,10453029.0,7.1,10453029.0,7.1,10453029.0,7.1,2.1,47123533.0
1975,10737403.0,7.099,10737403.0,7.099,10737403.0,7.099,10737403.0,7.099,2.1,47123533.0
1976,11042975.0,7.099,11042975.0,7.099,11042975.0,7.099,11042975.0,7.099,2.1,47123533.0
1977,11368618.0,7.099,11368618.0,7.099,11368618.0,7.099,11368618.0,7.099,2.1,47123533.0
1978,11712540.0,7.099,11712540.0,7.099,11712540.0,7.099,11712540.0,7.099,2.1,47123533.0
1979,12071140.0,7.1,12071140.0,7.1,12071140.0,7.1,12071140.0,7.1,2.1,47123533.0
