year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,42664646.0,2.24,42664646.0,2.24,42664646.0,2.24,42664646.0,2.24,2.1,43814581.0
1961,43206353.0,2.17,43206353.0,2.17,43206353.0,2.17,43206353.0,2.17,2.1,43814581.0
1962,43752227.0,2.14,43752227.0,2.14,43752227.0,2.14,43752227.0,2.14,2.1,43814581.0
1963,44288607.0,2.06,44288607.0,2.06,44288607.0,2.06,44288607.0,2.06,2.1,43814581.0
1964,44796959.0,1.96,44796959.0,1.96,44796959.0,1.96,44796959.0,1.96,2.1,43814581.0
1965,45264552.0,1.99,45264552.0,1.99,45264552.0,1.99,45264552.0,1.99,2.1,43814581.0
1966,45684983.0,2.02,45684983.0,2.02,45684983.0,2.02,45684983.0,2.02,2.1,43814581.0
1967,46063219.0,2.01,46063219.0,2.01,46063219.0,2.01,46063219.0,2.01,2.1,43814581.0
1968,46411816.0,1.998,46411816.0,1.998,46411816.0,1.998,46411816.0,1.998,2.1,43814581.0
1969,46749289.0,2.04,46749289.0,2.04,46749289.0,2.04,46749289.0,2.04,2.1,43814581.0
1970,47088862.0,2.09,47088862.0,2.09,47088862.0,2.09,47088862.0,2.09,2.1,43814581.0
1971,47435008.0,2.12,47435008.0,2.12,47435008.0,2.12,47435008.0,2.12,2.1,43814581.0
1972,47783006.0,2.08,47783006.0,2.08,47783006.0,2.08,47783006.0,2.08,2.1,43814581.0
1973,48125829.0,2.04,48125829.0,2.04,48125829.0,2.04,48125829.0,2.04,2.1,43814581.0
1974,48452623.0,2.04,48452623.0,2.04,48452623.0,2.04,48452623.0,2.04,2.1,43814581.0
1975,48755662.0,2.02,48755662.0,2.02,48755662.0,2.02,48755662.0,2.02,2.1,43814581.0
1976,49032729.0,1.99,49032729.0,1.99,49032729.0,1.99,49032729.0,1.99,2.1,43814581.0
1977,49287118.0,1.94,49287118.0,1.94,49287118.0,1.94,49287118.0,1.94,2.1,43814581.0
1978,49523304.0,1.96,49523304.0,1.96,49523304.0,1.96,49523304.0,1.96,2.1,43814581.0
1979,49747998.0,1.96,49747998.0,1.96,49747998.0,1.96,49747998.0,1.96,2.1,43814581.0
1980,49965872.0,1.95,49965872.0,1.95,49965872.0,1.95,49965872.0,1.95,2.1,43814581.0
1981,50221000.0,1.93,50221000.0,1.93,50221000.0,1.93,50221000.0,1.93,2.1,43814581.0
1982,50384000.0,1.98,50384000.0,1.98,50384000.0,1.98,50384000.0,1.98,2.1,43814581.0
1983,50564000.0,2.08,50564000.0,2.08,50564000.0,2.08,50564000.0,2.08,2.1,43814581.0
1984,50754000.0,2.09,50754000.0,2.09,50754000.0,2.09,50754000.0,2.09,2.1,43814581.0
1985,50917000.0,2.06,50917000.0,2.06,50917000.0,2.06,50917000.0,2.06,2.1,43814581.0
1986,51097000.0,2.08,51097000.0,2.08,51097000.0,2.08,51097000.0,2.08,2.1,43814581.0
1987,51293000.0,2.05,51293000.0,2.05,51293000.0,2.05,51293000.0,2.05,2.1,43814581.0
1988,51521000.0,2.02,51521000.0,2.02,51521000.0,2.02,51521000.0,2.02,2.1,43814581.0
1989,51773000.0,1.935,51773000.0,1.935,51773000.0,1.935,51773000.0,1.935,2.1,43814581.0
1990,51891400.0,1.85,51891400.0,1.85,51891400.0,1.85,51891400.0,1.85,2.1,43814581.0
1991,52000500.0,1.776,52000500.0,1.776,52000500.0,1.776,52000500.0,1.776,2.1,43814581.0
1992,52150400.0,1.674,52150400.0,1.674,52150400.0,1.674,52150400.0,1.674,2.1,43814581.0
1993,52179200.0,1.562,52179200.0,1.562,52179200.0,1.562,52179200.0,1.562,2.1,43814581.0
1994,51921400.0,1.468,51921400.0,1.468,51921400.0,1.468,51921400.0,1.468,2.1,43814581.0
1995,51512800.0,1.398,51512800.0,1.398,51512800.0,1.398,51512800.0,1.398,2.1,43814581.0
1996,51057800.0,1.335,51057800.0,1.335,51057800.0,1.335,51057800.0,1.335,2.1,43814581.0
1997,50594600.0,1.272,50594600.0,1.272,50594600.0,1.272,50594600.0,1.272,2.1,43814581.0
1998,50144500.0,1.211,50144500.0,1.211,50144500.0,1.211,50144500.0,1.211,2.1,43814581.0
1999,49674000.0,1.127,49674000.0,1.127,49674000.0,1.127,49674000.0,1.127,2.1,43814581.0
2000,49176500.0,1.116,49176500.0,1.116,49176500.0,1.116,49176500.0,1.116,2.1,43814581.0
2001,48662400.0,1.078,48662400.0,1.078,48662400.0,1.078,48662400.0,1.078,2.1,43814581.0
2002,48202470.0,1.095,48202470.0,1.095,48202470.0,1.095,48202470.0,1.095,2.1,43814581.0
2003,47812949.0,1.172,47812949.0,1.172,47812949.0,1.172,47812949.0,1.172,2.1,43814581.0
2004,47451626.0,1.218,47451626.0,1.218,47451626.0,1.218,47451626.0,1.218,2.1,43814581.0
2005,47105171.0,1.213,47105171.0,1.213,47105171.0,1.213,47105171.0,1.213,2.1,43814581.0
2006,46787786.0,1.31,46787786.0,1.31,46787786.0,1.31,46787786.0,1.31,2.1,43814581.0
2007,46509355.0,1.345,46509355.0,1.345,46509355.0,1.345,46509355.0,1.345,2.1,43814581.0
2008,46258189.0,1.458,46258189.0,1.458,46258189.0,1.458,46258189.0,1.458,2.1,43814581.0
2009,46053331.0,1.473,46053331.0,1.473,46053331.0,1.473,46053331.0,1.473,2.1,43814581.0
2010,45870741.0,1.443,45870741.0,1.443,45870741.0,1.443,45870741.0,1.443,2.1,43814581.0
2011,45706086.0,1.459,45706086.0,1.459,45706086.0,1.459,45706086.0,1.459,2.1,43814581.0
2012,45593342.0,1.531,45593342.0,1.531,45593342.0,1.531,45593342.0,1.531,2.1,43814581.0
2013,45489648.0,1.506,45489648.0,1.506,45489648.0,1.506,45489648.0,1.506,2.1,43814581.0
2014,45272155.0,1.498,45272155.0,1.498,45272155.0,1.498,45272155.0,1.498,2.1,43814581.0
2015,45154036.0,1.506,45154036.0,1.506,45154036.0,1.506,45154036.0,1.506,2.1,43814581.0
2016,45004673.0,1.466,45004673.0,1.466,45004673.0,1.466,45004673.0,1.466,2.1,43814581.0
2017,44831135.0,1.374,44831135.0,1.374,44831135.0,1.374,44831135.0,1.374,2.1,43814581.0
2018,44622518.0,1.301,44622518.0,1.301,44622518.0,1.301,44622518.0,1.301,2.1,43814581.0
2019,44386203.0,1.228,44386203.0,1.228,44386203.0,1.228,44386203.0,1.228,2.1,43814581.0
2020,44132049.0,1.217,44132049.0,1.217,44132049.0,1.217,44132049.0,1.217,2.1,43814581.0
2021,43814581.0,1.217,43814581.0,1.217,43814581.0,1.217,43814581.0,1.217,2.1,43814581.0
2022,43552331.787,1.205,43549909.811,1.197,43556387.437,1.219,43555777.484,1.217,2.1,43814581.0
2023,43286670.161,1.194,43279467.471,1.177,43298804.87,1.221,43296973.969,1.217,2.1,43814581.0
2024,43017629.087,1.182,43003348.916,1.158,43041834.343,1.223,43038170.453,1.217,2.1,43814581.0
2025,42745241.21,1.171,42721647.52,1.139,42785476.903,1.225,42779366.937,1.217,2.1,43814581.0
2026,42469538.86,1.159,42434455.121,1.12,42529733.599,1.227,42520563.421,1.217,2.1,43814581.0
2027,42190554.056,1.148,42141862.045,1.102,42274605.481,1.23,42261759.906,1.217,2.1,43814581.0
2028,41908318.505,1.137,41843957.134,1.084,42020093.6,1.232,42002956.39,1.217,2.1,43814581.0
2029,41622863.609,1.126,41540827.767,1.066,41766199.01,1.234,41744152.874,1.217,2.1,43814581.0
2030,41334220.469,1.115,41232559.887,1.048,41512922.768,1.236,41485349.359,1.217,2.1,43814581.0
2031,41042419.881,1.104,40919238.022,1.031,41260265.929,1.238,41226545.843,1.217,2.1,43814581.0
2032,40747492.347,1.094,40600945.31,1.014,41008229.555,1.24,40967742.327,1.217,2.1,43814581.0
2033,40449468.074,1.083,40277763.522,0.997,40756814.705,1.242,40708938.811,1.217,2.1,43814581.0
2034,40148376.976,1.073,39949773.082,0.981,40506022.442,1.244,40450135.296,1.217,2.1,43814581.0
2035,39844248.677,1.062,39617053.095,0.965,40255853.831,1.246,40191331.78,1.217,2.1,43814581.0
2036,39537112.519,1.052,39279681.359,0.949,40006309.938,1.249,39932528.264,1.217,2.1,43814581.0
2037,39226997.556,1.042,38937734.397,0.933,39757391.832,1.251,39673724.749,1.217,2.1,43814581.0
2038,38913932.564,1.032,38591287.471,0.918,39509100.583,1.253,39414921.233,1.217,2.1,43814581.0
2039,38597946.041,1.022,38240414.606,0.903,39261437.263,1.255,39156117.717,1.217,2.1,43814581.0
2040,38279066.207,1.012,37885188.607,0.888,39014402.945,1.257,38897314.201,1.217,2.1,43814581.0
2041,37957321.013,1.002,37525681.085,0.873,38767998.705,1.259,38638510.686,1.217,2.1,43814581.0
2042,37632738.138,0.993,37161962.471,0.859,38522225.62,1.261,38379707.17,1.217,2.1,43814581.0
2043,37305344.994,0.983,36794102.036,0.845,38277084.77,1.264,38120903.654,1.217,2.1,43814581.0
2044,36975168.727,0.973,36422167.913,0.831,38032577.236,1.266,37862100.139,1.217,2.1,43814581.0
2045,36642236.224,0.964,36046227.116,0.817,37788704.101,1.268,37603296.623,1.217,2.1,43814581.0
2046,36306574.11,0.955,35666345.553,0.804,37545466.45,1.27,37344493.107,1.217,2.1,43814581.0
2047,35968208.751,0.946,35282588.051,0.791,37302865.369,1.272,37085689.591,1.217,2.1,43814581.0
2048,35627166.263,0.936,34895018.368,0.778,37060901.946,1.274,36826886.076,1.217,2.1,43814581.0
2049,35283472.505,0.927,34503699.215,0.765,36819577.273,1.277,36568082.56,1.217,2.1,43814581.0
2050,34937153.089,0.918,34108692.27,0.752,36578892.442,1.279,36309279.044,1.217,2.1,43814581.0
2051,34588233.379,0.91,33710058.198,0.74,36338848.546,1.281,36050475.529,1.217,2.1,43814581.0
2052,34236738.494,0.901,33307856.665,0.728,36099446.682,1.283,35791672.013,1.217,2.1,43814581.0
2053,33882693.31,0.892,32902146.356,0.716,35860687.947,1.285,35532868.497,1.217,2.1,43814581.0
2054,33526122.462,0.883,32492984.991,0.704,35622573.442,1.288,35274064.981,1.217,2.1,43814581.0
2055,33167050.349,0.875,32080429.338,0.692,35385104.267,1.29,35015261.466,1.217,2.1,43814581.0
2056,32805501.134,0.866,31664535.234,0.681,35148281.527,1.292,34756457.95,1.217,2.1,43814581.0
2057,32441498.744,0.858,31245357.597,0.67,34912106.327,1.294,34497654.434,1.217,2.1,43814581.0
2058,32075066.877,0.85,30822950.44,0.659,34676579.774,1.296,34238850.919,1.217,2.1,43814581.0
2059,31706229.003,0.842,30397366.89,0.648,34441702.977,1.299,33980047.403,1.217,2.1,43814581.0
2060,31335008.363,0.833,29968659.198,0.637,34207477.047,1.301,33721243.887,1.217,2.1,43814581.0
2061,30961427.974,0.825,29536878.755,0.627,33973903.098,1.303,33462440.371,1.217,2.1,43814581.0
2062,30585510.632,0.817,29102076.11,0.617,33740982.244,1.305,33203636.856,1.217,2.1,43814581.0
2063,30207278.913,0.81,28664300.977,0.606,33508715.603,1.308,32944833.34,1.217,2.1,43814581.0
2064,29826755.172,0.802,28223602.253,0.596,33277104.292,1.31,32686029.824,1.217,2.1,43814581.0
2065,29443961.55,0.794,27780028.032,0.587,33046149.432,1.312,32427226.309,1.217,2.1,43814581.0
2066,29058919.976,0.786,27333625.615,0.577,32815852.146,1.314,32168422.793,1.217,2.1,43814581.0
2067,28671652.163,0.779,26884441.526,0.567,32586213.559,1.317,31909619.277,1.217,2.1,43814581.0
2068,28282179.618,0.771,26432521.525,0.558,32357234.796,1.319,31650815.761,1.217,2.1,43814581.0
2069,27890523.638,0.764,25977910.615,0.549,32128916.986,1.321,31392012.246,1.217,2.1,43814581.0
2070,27496705.315,0.756,25520653.064,0.54,31901261.26,1.323,31133208.73,1.217,2.1,43814581.0
2071,27100745.537,0.749,25060792.409,0.531,31674268.749,1.326,30874405.214,1.217,2.1,43814581.0
2072,26702664.992,0.742,24598371.469,0.522,31447940.588,1.328,30615601.699,1.217,2.1,43814581.0
2073,26302484.164,0.735,24133432.363,0.514,31222277.912,1.33,30356798.183,1.217,2.1,43814581.0
