year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,1115221252.0,5.309184176,1115221252.0,5.309184176,1115221252.0,5.309184176,1115221252.0,5.309184176,2.1,2501427939.0
1961,1118631487.0,5.366218984,1118631487.0,5.366218984,1118631487.0,5.366218984,1118631487.0,5.366218984,2.1,2501427939.0
1962,1134490391.0,5.460809822,1134490391.0,5.460809822,1134490391.0,5.460809822,1134490391.0,5.460809822,2.1,2501427939.0
1963,1161693145.0,5.528909084,1161693145.0,5.528909084,1161693145.0,5.528909084,1161693145.0,5.528909084,2.1,2501427939.0
1964,1188526477.0,5.576014079,1188526477.0,5.576014079,1188526477.0,5.576014079,1188526477.0,5.576014079,2.1,2501427939.0
1965,1216291138.0,5.597259506,1216291138.0,5.597259506,1216291138.0,5.597259506,1216291138.0,5.597259506,2.1,2501427939.0
1966,1246873781.0,5.579531026,1246873781.0,5.579531026,1246873781.0,5.579531026,1246873781.0,5.579531026,2.1,2501427939.0
1967,1276490146.0,5.516891274,1276490146.0,5.516891274,1276490146.0,5.516891274,1276490146.0,5.516891274,2.1,2501427939.0
1968,1307031248.0,5.418848056,1307031248.0,5.418848056,1307031248.0,5.418848056,1307031248.0,5.418848056,2.1,2501427939.0
1969,1339249192.0,5.28287328,1339249192.0,5.28287328,1339249192.0,5.28287328,1339249192.0,5.28287328,2.1,2501427939.0
1970,1372345352.0,5.111960379,1372345352.0,5.111960379,1372345352.0,5.111960379,1372345352.0,5.111960379,2.1,2501427939.0
1971,1406077992.0,4.887579884,1406077992.0,4.887579884,1406077992.0,4.887579884,1406077992.0,4.887579884,2.1,2501427939.0
1972,1438056819.0,4.66284758,1438056819.0,4.66284758,1438056819.0,4.66284758,1438056819.0,4.66284758,2.1,2501427939.0
1973,1469116410.0,4.404725565,1469116410.0,4.404725565,1469116410.0,4.404725565,1469116410.0,4.404725565,2.1,2501427939.0
1974,1498767038.0,4.144387417,1498767038.0,4.144387417,1498767038.0,4.144387417,1498767038.0,4.144387417,2.1,2501427939.0
1975,1526095001.0,3.8895049,1526095001.0,3.8895049,1526095001.0,3.8895049,1526095001.0,3.8895049,2.1,2501427939.0
1976,1551909485.0,3.655402176,1551909485.0,3.655402176,1551909485.0,3.655402176,1551909485.0,3.655402176,2.1,2501427939.0
1977,1576279100.0,3.444438399,1576279100.0,3.444438399,1576279100.0,3.444438399,1576279100.0,3.444438399,2.1,2501427939.0
1978,1600660470.0,3.261580275,1600660470.0,3.261580275,1600660470.0,3.261580275,1600660470.0,3.261580275,2.1,2501427939.0
1979,1625345470.0,3.112881345,1625345470.0,3.112881345,1625345470.0,3.112881345,1625345470.0,3.112881345,2.1,2501427939.0
1980,1649657995.0,3.003681104,1649657995.0,3.003681104,1649657995.0,3.003681104,1649657995.0,3.003681104,2.1,2501427939.0
1981,1674554025.0,2.933481465,1674554025.0,2.933481465,1674554025.0,2.933481465,1674554025.0,2.933481465,2.1,2501427939.0
1982,1701656215.0,2.913491558,1701656215.0,2.913491558,1701656215.0,2.913491558,1701656215.0,2.913491558,2.1,2501427939.0
1983,1728766661.0,2.905934322,1728766661.0,2.905934322,1728766661.0,2.905934322,1728766661.0,2.905934322,2.1,2501427939.0
1984,1754986101.0,2.900994056,1754986101.0,2.900994056,1754986101.0,2.900994056,1754986101.0,2.900994056,2.1,2501427939.0
1985,1781903244.0,2.896487031,1781903244.0,2.896487031,1781903244.0,2.896487031,1781903244.0,2.896487031,2.1,2501427939.0
1986,1810270866.0,2.887496993,1810270866.0,2.887496993,1810270866.0,2.887496993,1810270866.0,2.887496993,2.1,2501427939.0
1987,1840087287.0,2.852302549,1840087287.0,2.852302549,1840087287.0,2.852302549,1840087287.0,2.852302549,2.1,2501427939.0
1988,1870065510.0,2.777080066,1870065510.0,2.777080066,1870065510.0,2.777080066,1870065510.0,2.777080066,2.1,2501427939.0
1989,1899042652.0,2.671813338,1899042652.0,2.671813338,1899042652.0,2.671813338,1899042652.0,2.671813338,2.1,2501427939.0
1990,1926685059.0,2.546509592,1926685059.0,2.546509592,1926685059.0,2.546509592,1926685059.0,2.546509592,2.1,2501427939.0
1991,1953501925.0,2.407599182,1953501925.0,2.407599182,1953501925.0,2.407599182,1953501925.0,2.407599182,2.1,2501427939.0
1992,1978448864.0,2.275988159,1978448864.0,2.275988159,1978448864.0,2.275988159,1978448864.0,2.275988159,2.1,2501427939.0
1993,2002338481.0,2.157711324,2002338481.0,2.157711324,2002338481.0,2.157711324,2002338481.0,2.157711324,2.1,2501427939.0
1994,2025845671.0,2.0742465,2025845671.0,2.0742465,2025845671.0,2.0742465,2025845671.0,2.0742465,2.1,2501427939.0
1995,2048627967.0,2.006855029,2048627967.0,2.006855029,2048627967.0,2.006855029,2048627967.0,2.006855029,2.1,2501427939.0
1996,2071144178.0,1.960349073,2071144178.0,1.960349073,2071144178.0,1.960349073,2071144178.0,1.960349073,2.1,2501427939.0
1997,2093457533.0,1.927549564,2093457533.0,1.927549564,2093457533.0,1.927549564,2093457533.0,1.927549564,2.1,2501427939.0
1998,2114916882.0,1.908041623,2114916882.0,1.908041623,2114916882.0,1.908041623,2114916882.0,1.908041623,2.1,2501427939.0
1999,2135009771.0,1.887006431,2135009771.0,1.887006431,2135009771.0,1.887006431,2135009771.0,1.887006431,2.1,2501427939.0
2000,2154077670.0,1.872897689,2154077670.0,1.872897689,2154077670.0,1.872897689,2154077670.0,1.872897689,2.1,2501427939.0
2001,2172172665.0,1.860382455,2172172665.0,1.860382455,2172172665.0,1.860382455,2172172665.0,1.860382455,2.1,2501427939.0
2002,2189375308.0,1.852021857,2189375308.0,1.852021857,2189375308.0,1.852021857,2189375308.0,1.852021857,2.1,2501427939.0
2003,2206017832.0,1.84322648,2206017832.0,1.84322648,2206017832.0,1.84322648,2206017832.0,1.84322648,2.1,2501427939.0
2004,2222329799.0,1.836628681,2222329799.0,1.836628681,2222329799.0,1.836628681,2222329799.0,1.836628681,2.1,2501427939.0
2005,2238569746.0,1.824812692,2238569746.0,1.824812692,2238569746.0,1.824812692,2238569746.0,1.824812692,2.1,2501427939.0
2006,2254464805.0,1.819598827,2254464805.0,1.819598827,2254464805.0,1.819598827,2254464805.0,1.819598827,2.1,2501427939.0
2007,2270083886.0,1.821607217,2270083886.0,1.821607217,2270083886.0,1.821607217,2270083886.0,1.821607217,2.1,2501427939.0
2008,2286029416.0,1.824605866,2286029416.0,1.824605866,2286029416.0,1.824605866,2286029416.0,1.824605866,2.1,2501427939.0
2009,2302106817.0,1.823371649,2302106817.0,1.823371649,2302106817.0,1.823371649,2302106817.0,1.823371649,2.1,2501427939.0
2010,2318059191.0,1.823791312,2318059191.0,1.823791312,2318059191.0,1.823791312,2318059191.0,1.823791312,2.1,2501427939.0
2011,2335395084.0,1.824861246,2335395084.0,1.824861246,2335395084.0,1.824861246,2335395084.0,1.824861246,2.1,2501427939.0
2012,2354967527.0,1.833653401,2354967527.0,1.833653401,2354967527.0,1.833653401,2354967527.0,1.833653401,2.1,2501427939.0
2013,2374694434.0,1.836690699,2374694434.0,1.836690699,2374694434.0,1.836690699,2374694434.0,1.836690699,2.1,2501427939.0
2014,2394063066.0,1.842179204,2394063066.0,1.842179204,2394063066.0,1.842179204,2394063066.0,1.842179204,2.1,2501427939.0
2015,2412687400.0,1.845463332,2412687400.0,1.845463332,2412687400.0,1.845463332,2412687400.0,1.845463332,2.1,2501427939.0
2016,2431145930.0,1.846409459,2431145930.0,1.846409459,2431145930.0,1.846409459,2431145930.0,1.846409459,2.1,2501427939.0
2017,2449903406.0,1.83738419,2449903406.0,1.83738419,2449903406.0,1.83738419,2449903406.0,1.83738419,2.1,2501427939.0
2018,2466337061.0,1.834790708,2466337061.0,1.834790708,2466337061.0,1.834790708,2466337061.0,1.834790708,2.1,2501427939.0
2019,2480707519.0,1.830045859,2480707519.0,1.830045859,2480707519.0,1.830045859,2480707519.0,1.830045859,2.1,2501427939.0
2020,2492597173.0,1.828765335,2492597173.0,1.828765335,2492597173.0,1.828765335,2492597173.0,1.828765335,2.1,2501427939.0
2021,2501427939.0,1.828765335,2501427939.0,1.828765335,2501427939.0,1.828765335,2501427939.0,1.828765335,2.1,2501427939.0
2022,2496669802.517,1.797,2497184162.393,1.829,2497115925.13,1.825,2497175561.057,1.829,2.1,2501427939.0
2023,2491414829.075,1.765,2492948989.702,1.83,2492744399.375,1.821,2492923183.115,1.829,2.1,2501427939.0
2024,2485671782.877,1.734,2488722423.509,1.83,2488313485.519,1.817,2488670805.172,1.829,2.1,2501427939.0
2025,2479449273.527,1.703,2484504466.395,1.831,2483823307.091,1.814,2484418427.23,1.829,2.1,2501427939.0
2026,2472755758.755,1.673,2480295120.942,1.832,2479273987.36,1.81,2480166049.287,1.829,2.1,2501427939.0
2027,2465599547.096,1.644,2476094389.736,1.832,2474665649.341,1.806,2475913671.345,1.829,2.1,2501427939.0
2028,2457988800.524,1.615,2471902275.359,1.833,2469998415.79,1.802,2471661293.402,1.829,2.1,2501427939.0
2029,2449931537.035,1.586,2467718780.396,1.833,2465272409.212,1.799,2467408915.459,1.829,2.1,2501427939.0
2030,2441435633.186,1.558,2463543907.435,1.834,2460487751.854,1.795,2463156537.517,1.829,2.1,2501427939.0
2031,2432508826.594,1.531,2459377659.06,1.834,2455644565.709,1.791,2458904159.574,1.829,2.1,2501427939.0
2032,2423158718.383,1.504,2455220037.86,1.835,2450742972.517,1.787,2454651781.632,1.829,2.1,2501427939.0
2033,2413392775.594,1.477,2451071046.423,1.835,2445783093.766,1.784,2450399403.689,1.829,2.1,2501427939.0
2034,2403218333.549,1.451,2446930687.338,1.836,2440765050.689,1.78,2446147025.746,1.829,2.1,2501427939.0
2035,2392642598.175,1.425,2442798963.194,1.836,2435688964.268,1.776,2441894647.804,1.829,2.1,2501427939.0
2036,2381672648.285,1.4,2438675876.582,1.837,2430554955.232,1.773,2437642269.861,1.829,2.1,2501427939.0
2037,2370315437.824,1.376,2434561430.093,1.838,2425363144.062,1.769,2433389891.919,1.829,2.1,2501427939.0
2038,2358577798.069,1.351,2430455626.319,1.838,2420113650.985,1.765,2429137513.976,1.829,2.1,2501427939.0
2039,2346466439.792,1.327,2426358467.853,1.839,2414806595.98,1.761,2424885136.034,1.829,2.1,2501427939.0
2040,2333987955.388,1.304,2422269957.288,1.839,2409442098.775,1.758,2420632758.091,1.829,2.1,2501427939.0
2041,2321148820.961,1.281,2418190097.22,1.84,2404020278.851,1.754,2416380380.148,1.829,2.1,2501427939.0
2042,2307955398.379,1.258,2414118890.242,1.84,2398541255.439,1.751,2412128002.206,1.829,2.1,2501427939.0
2043,2294413937.284,1.236,2410056338.952,1.841,2393005147.522,1.747,2407875624.263,1.829,2.1,2501427939.0
2044,2280530577.076,1.214,2406002445.945,1.841,2387412073.835,1.743,2403623246.321,1.829,2.1,2501427939.0
2045,2266311348.855,1.193,2401957213.82,1.842,2381762152.868,1.74,2399370868.378,1.829,2.1,2501427939.0
2046,2251762177.332,1.172,2397920645.174,1.843,2376055502.862,1.736,2395118490.435,1.829,2.1,2501427939.0
2047,2236888882.708,1.151,2393892742.606,1.843,2370292241.815,1.732,2390866112.493,1.829,2.1,2501427939.0
2048,2221697182.514,1.131,2389873508.717,1.844,2364472487.478,1.729,2386613734.55,1.829,2.1,2501427939.0
2049,2206192693.425,1.111,2385862946.107,1.844,2358596357.355,1.725,2382361356.608,1.829,2.1,2501427939.0
2050,2190380933.036,1.091,2381861057.377,1.845,2352663968.709,1.722,2378108978.665,1.829,2.1,2501427939.0
2051,2174267321.613,1.072,2377867845.129,1.845,2346675438.558,1.718,2373856600.723,1.829,2.1,2501427939.0
2052,2157857183.808,1.053,2373883311.967,1.846,2340630883.676,1.714,2369604222.78,1.829,2.1,2501427939.0
2053,2141155750.348,1.035,2369907460.495,1.846,2334530420.594,1.711,2365351844.837,1.829,2.1,2501427939.0
2054,2124168159.686,1.016,2365940293.315,1.847,2328374165.602,1.707,2361099466.895,1.829,2.1,2501427939.0
2055,2106899459.637,0.999,2361981813.035,1.848,2322162234.747,1.704,2356847088.952,1.829,2.1,2501427939.0
2056,2089354608.97,0.981,2358032022.26,1.848,2315894743.833,1.7,2352594711.01,1.829,2.1,2501427939.0
2057,2071538478.981,0.964,2354090923.596,1.849,2309571808.427,1.697,2348342333.067,1.829,2.1,2501427939.0
2058,2053455855.038,0.947,2350158519.653,1.849,2303193543.854,1.693,2344089955.124,1.829,2.1,2501427939.0
