year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,2538648.0,2.88,2538648.0,2.88,2538648.0,2.88,2538648.0,2.88,2.1,3485152.0
1961,2571682.0,2.886,2571682.0,2.886,2571682.0,2.886,2571682.0,2.886,2.1,3485152.0
1962,2603883.0,2.884,2603883.0,2.884,2603883.0,2.884,2603883.0,2.884,2.1,3485152.0
1963,2635125.0,2.874,2635125.0,2.874,2635125.0,2.874,2635125.0,2.874,2.1,3485152.0
1964,2665383.0,2.858,2665383.0,2.858,2665383.0,2.858,2665383.0,2.858,2.1,3485152.0
1965,2694537.0,2.841,2694537.0,2.841,2694537.0,2.841,2694537.0,2.841,2.1,3485152.0
1966,2722871.0,2.83,2722871.0,2.83,2722871.0,2.83,2722871.0,2.83,2.1,3485152.0
1967,2750091.0,2.831,2750091.0,2.831,2750091.0,2.831,2750091.0,2.831,2.1,3485152.0
1968,2774761.0,2.844,2774761.0,2.844,2774761.0,2.844,2774761.0,2.844,2.1,3485152.0
1969,2795037.0,2.869,2795037.0,2.869,2795037.0,2.869,2795037.0,2.869,2.1,3485152.0
1970,2809799.0,2.902,2809799.0,2.902,2809799.0,2.902,2809799.0,2.902,2.1,3485152.0
1971,2818283.0,2.938,2818283.0,2.938,2818283.0,2.938,2818283.0,2.938,2.1,3485152.0
1972,2821458.0,2.969,2821458.0,2.969,2821458.0,2.969,2821458.0,2.969,2.1,3485152.0
1973,2822112.0,2.989,2822112.0,2.989,2822112.0,2.989,2822112.0,2.989,2.1,3485152.0
1974,2824095.0,2.995,2824095.0,2.995,2824095.0,2.995,2824095.0,2.995,2.1,3485152.0
1975,2830172.0,2.983,2830172.0,2.983,2830172.0,2.983,2830172.0,2.983,2.1,3485152.0
1976,2841371.0,2.953,2841371.0,2.953,2841371.0,2.953,2841371.0,2.953,2.1,3485152.0
1977,2856958.0,2.907,2856958.0,2.907,2856958.0,2.907,2856958.0,2.907,2.1,3485152.0
1978,2875724.0,2.852,2875724.0,2.852,2875724.0,2.852,2875724.0,2.852,2.1,3485152.0
1979,2895683.0,2.789,2895683.0,2.789,2895683.0,2.789,2895683.0,2.789,2.1,3485152.0
1980,2915389.0,2.726,2915389.0,2.726,2915389.0,2.726,2915389.0,2.726,2.1,3485152.0
1981,2934624.0,2.666,2934624.0,2.666,2934624.0,2.666,2934624.0,2.666,2.1,3485152.0
1982,2953852.0,2.615,2953852.0,2.615,2953852.0,2.615,2953852.0,2.615,2.1,3485152.0
1983,2973048.0,2.574,2973048.0,2.574,2973048.0,2.574,2973048.0,2.574,2.1,3485152.0
1984,2992250.0,2.546,2992250.0,2.546,2992250.0,2.546,2992250.0,2.546,2.1,3485152.0
1985,3011519.0,2.53,3011519.0,2.53,3011519.0,2.53,3011519.0,2.53,2.1,3485152.0
1986,3030651.0,2.524,3030651.0,2.524,3030651.0,2.524,3030651.0,2.524,2.1,3485152.0
1987,3049581.0,2.524,3049581.0,2.524,3049581.0,2.524,3049581.0,2.524,2.1,3485152.0
1988,3068714.0,2.525,3068714.0,2.525,3068714.0,2.525,3068714.0,2.525,2.1,3485152.0
1989,3088603.0,2.525,3088603.0,2.525,3088603.0,2.525,3088603.0,2.525,2.1,3485152.0
