year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,180671000.0,3.654,180671000.0,3.654,180671000.0,3.654,180671000.0,3.654,2.1,331893745.0
1961,183691000.0,3.62,183691000.0,3.62,183691000.0,3.62,183691000.0,3.62,2.1,331893745.0
1962,186538000.0,3.461,186538000.0,3.461,186538000.0,3.461,186538000.0,3.461,2.1,331893745.0
1963,189242000.0,3.319,189242000.0,3.319,189242000.0,3.319,189242000.0,3.319,2.1,331893745.0
1964,191889000.0,3.19,191889000.0,3.19,191889000.0,3.19,191889000.0,3.19,2.1,331893745.0
1965,194303000.0,2.913,194303000.0,2.913,194303000.0,2.913,194303000.0,2.913,2.1,331893745.0
1966,196560000.0,2.721,196560000.0,2.721,196560000.0,2.721,196560000.0,2.721,2.1,331893745.0
1967,198712000.0,2.558,198712000.0,2.558,198712000.0,2.558,198712000.0,2.558,2.1,331893745.0
1968,200706000.0,2.464,200706000.0,2.464,200706000.0,2.464,200706000.0,2.464,2.1,331893745.0
1969,202677000.0,2.456,202677000.0,2.456,202677000.0,2.456,202677000.0,2.456,2.1,331893745.0
1970,205052000.0,2.48,205052000.0,2.48,205052000.0,2.48,205052000.0,2.48,2.1,331893745.0
1971,207661000.0,2.266,207661000.0,2.266,207661000.0,2.266,207661000.0,2.266,2.1,331893745.0
1972,209896000.0,2.01,209896000.0,2.01,209896000.0,2.01,209896000.0,2.01,2.1,331893745.0
1973,211909000.0,1.879,211909000.0,1.879,211909000.0,1.879,211909000.0,1.879,2.1,331893745.0
1974,213854000.0,1.835,213854000.0,1.835,213854000.0,1.835,213854000.0,1.835,2.1,331893745.0
1975,215973000.0,1.774,215973000.0,1.774,215973000.0,1.774,215973000.0,1.774,2.1,331893745.0
1976,218035000.0,1.738,218035000.0,1.738,218035000.0,1.738,218035000.0,1.738,2.1,331893745.0
1977,220239000.0,1.79,220239000.0,1.79,220239000.0,1.79,220239000.0,1.79,2.1,331893745.0
1978,222585000.0,1.76,222585000.0,1.76,222585000.0,1.76,222585000.0,1.76,2.1,331893745.0
1979,225055000.0,1.808,225055000.0,1.808,225055000.0,1.808,225055000.0,1.808,2.1,331893745.0
1980,227225000.0,1.8395,227225000.0,1.8395,227225000.0,1.8395,227225000.0,1.8395,2.1,331893745.0
1981,229466000.0,1.812,229466000.0,1.812,229466000.0,1.812,229466000.0,1.812,2.1,331893745.0
1982,231664000.0,1.8275,231664000.0,1.8275,231664000.0,1.8275,231664000.0,1.8275,2.1,331893745.0
1983,233792000.0,1.799,233792000.0,1.799,233792000.0,1.799,233792000.0,1.799,2.1,331893745.0
1984,235825000.0,1.8065,235825000.0,1.8065,235825000.0,1.8065,235825000.0,1.8065,2.1,331893745.0
1985,237924000.0,1.844,237924000.0,1.844,237924000.0,1.844,237924000.0,1.844,2.1,331893745.0
1986,240133000.0,1.8375,240133000.0,1.8375,240133000.0,1.8375,240133000.0,1.8375,2.1,331893745.0
1987,242289000.0,1.872,242289000.0,1.872,242289000.0,1.872,242289000.0,1.872,2.1,331893745.0
1988,244499000.0,1.934,244499000.0,1.934,244499000.0,1.934,244499000.0,1.934,2.1,331893745.0
1989,246819000.0,2.014,246819000.0,2.014,246819000.0,2.014,246819000.0,2.014,2.1,331893745.0
1990,249623000.0,2.081,249623000.0,2.081,249623000.0,2.081,249623000.0,2.081,2.1,331893745.0
1991,252981000.0,2.0625,252981000.0,2.0625,252981000.0,2.0625,252981000.0,2.0625,2.1,331893745.0
1992,256514000.0,2.046,256514000.0,2.046,256514000.0,2.046,256514000.0,2.046,2.1,331893745.0
1993,259919000.0,2.0195,259919000.0,2.0195,259919000.0,2.0195,259919000.0,2.0195,2.1,331893745.0
1994,263126000.0,2.0015,263126000.0,2.0015,263126000.0,2.0015,263126000.0,2.0015,2.1,331893745.0
1995,266278000.0,1.978,266278000.0,1.978,266278000.0,1.978,266278000.0,1.978,2.1,331893745.0
1996,269394000.0,1.976,269394000.0,1.976,269394000.0,1.976,269394000.0,1.976,2.1,331893745.0
1997,272657000.0,1.971,272657000.0,1.971,272657000.0,1.971,272657000.0,1.971,2.1,331893745.0
1998,275854000.0,1.999,275854000.0,1.999,275854000.0,1.999,275854000.0,1.999,2.1,331893745.0
1999,279040000.0,2.0075,279040000.0,2.0075,279040000.0,2.0075,279040000.0,2.0075,2.1,331893745.0
2000,282162411.0,2.056,282162411.0,2.056,282162411.0,2.056,282162411.0,2.056,2.1,331893745.0
2001,284968955.0,2.0305,284968955.0,2.0305,284968955.0,2.0305,284968955.0,2.0305,2.1,331893745.0
2002,287625193.0,2.0205,287625193.0,2.0205,287625193.0,2.0205,287625193.0,2.0205,2.1,331893745.0
2003,290107933.0,2.0475,290107933.0,2.0475,290107933.0,2.0475,290107933.0,2.0475,2.1,331893745.0
2004,292805298.0,2.0515,292805298.0,2.0515,292805298.0,2.0515,292805298.0,2.0515,2.1,331893745.0
2005,295516599.0,2.057,295516599.0,2.057,295516599.0,2.057,295516599.0,2.057,2.1,331893745.0
