year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,8526299.0,6.255,8526299.0,6.255,8526299.0,6.255,8526299.0,6.255,2.1,34915100.0
1961,8813619.0,6.36,8813619.0,6.36,8813619.0,6.36,8813619.0,6.36,2.1,34915100.0
1962,9113629.0,6.441,9113629.0,6.441,9113629.0,6.441,9113629.0,6.441,2.1,34915100.0
1963,9428906.0,6.494,9428906.0,6.494,9428906.0,6.494,9428906.0,6.494,2.1,34915100.0
1964,9762819.0,6.518,9762819.0,6.518,9762819.0,6.518,9762819.0,6.518,2.1,34915100.0
1965,10116870.0,6.516,10116870.0,6.516,10116870.0,6.516,10116870.0,6.516,2.1,34915100.0
1966,10493441.0,6.495,10493441.0,6.495,10493441.0,6.495,10493441.0,6.495,2.1,34915100.0
1967,10889499.0,6.461,10889499.0,6.461,10889499.0,6.461,10889499.0,6.461,2.1,34915100.0
1968,11294666.0,6.421,11294666.0,6.421,11294666.0,6.421,11294666.0,6.421,2.1,34915100.0
1969,11694843.0,6.377,11694843.0,6.377,11694843.0,6.377,11694843.0,6.377,2.1,34915100.0
1970,12080311.0,6.326,12080311.0,6.326,12080311.0,6.326,12080311.0,6.326,2.1,34915100.0
1971,12446444.0,6.263,12446444.0,6.263,12446444.0,6.263,12446444.0,6.263,2.1,34915100.0
1972,12796982.0,6.185,12796982.0,6.185,12796982.0,6.185,12796982.0,6.185,2.1,34915100.0
1973,13140797.0,6.088,13140797.0,6.088,13140797.0,6.088,13140797.0,6.088,2.1,34915100.0
1974,13491114.0,5.973,13491114.0,5.973,13491114.0,5.973,13491114.0,5.973,2.1,34915100.0
1975,13857469.0,5.842,13857469.0,5.842,13857469.0,5.842,13857469.0,5.842,2.1,34915100.0
1976,14242766.0,5.699,14242766.0,5.699,14242766.0,5.699,14242766.0,5.699,2.1,34915100.0
1977,14643881.0,5.55,14643881.0,5.55,14643881.0,5.55,14643881.0,5.55,2.1,34915100.0
1978,15057226.0,5.399,15057226.0,5.399,15057226.0,5.399,15057226.0,5.399,2.1,34915100.0
1979,15476928.0,5.251,15476928.0,5.251,15476928.0,5.251,15476928.0,5.251,2.1,34915100.0
1980,15898760.0,5.112,15898760.0,5.112,15898760.0,5.112,15898760.0,5.112,2.1,34915100.0
1981,16321692.0,4.984,16321692.0,4.984,16321692.0,4.984,16321692.0,4.984,2.1,34915100.0
1982,16747428.0,4.868,16747428.0,4.868,16747428.0,4.868,16747428.0,4.868,2.1,34915100.0
1983,17177663.0,4.763,17177663.0,4.763,17177663.0,4.763,17177663.0,4.763,2.1,34915100.0
1984,17615037.0,4.669,17615037.0,4.669,17615037.0,4.669,17615037.0,4.669,2.1,34915100.0
1985,18061283.0,4.585,18061283.0,4.585,18061283.0,4.585,18061283.0,4.585,2.1,34915100.0
1986,18515579.0,4.509,18515579.0,4.509,18515579.0,4.509,18515579.0,4.509,2.1,34915100.0
1987,18976411.0,4.5,18976411.0,4.5,18976411.0,4.5,18976411.0,4.5,2.1,34915100.0
1988,19443890.0,4.28,19443890.0,4.28,19443890.0,4.28,19443890.0,4.28,2.1,34915100.0
