year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,80970.0,7.224,80970.0,7.224,80970.0,7.224,80970.0,7.224,2.1,111269.0
1961,82168.0,7.155,82168.0,7.155,82168.0,7.155,82168.0,7.155,2.1,111269.0
1962,83239.0,7.074,83239.0,7.074,83239.0,7.074,83239.0,7.074,2.1,111269.0
1963,84200.0,6.981,84200.0,6.981,84200.0,6.981,84200.0,6.981,2.1,111269.0
1964,85117.0,6.876,85117.0,6.876,85117.0,6.876,85117.0,6.876,2.1,111269.0
1965,86009.0,6.76,86009.0,6.76,86009.0,6.76,86009.0,6.76,2.1,111269.0
1966,86907.0,6.632,86907.0,6.632,86907.0,6.632,86907.0,6.632,2.1,111269.0
1967,87779.0,6.494,87779.0,6.494,87779.0,6.494,87779.0,6.494,2.1,111269.0
1968,88663.0,6.345,88663.0,6.345,88663.0,6.345,88663.0,6.345,2.1,111269.0
1969,89565.0,6.185,89565.0,6.185,89565.0,6.185,89565.0,6.185,2.1,111269.0
1970,90501.0,6.014,90501.0,6.014,90501.0,6.014,90501.0,6.014,2.1,111269.0
1971,91490.0,5.828,91490.0,5.828,91490.0,5.828,91490.0,5.828,2.1,111269.0
1972,92511.0,5.629,92511.0,5.629,92511.0,5.629,92511.0,5.629,2.1,111269.0
1973,93559.0,5.417,93559.0,5.417,93559.0,5.417,93559.0,5.417,2.1,111269.0
1974,94618.0,5.197,94618.0,5.197,94618.0,5.197,94618.0,5.197,2.1,111269.0
1975,95665.0,4.973,95665.0,4.973,95665.0,4.973,95665.0,4.973,2.1,111269.0
1976,96694.0,4.752,96694.0,4.752,96694.0,4.752,96694.0,4.752,2.1,111269.0
1977,97708.0,4.54,97708.0,4.54,97708.0,4.54,97708.0,4.54,2.1,111269.0
1978,98688.0,4.339,98688.0,4.339,98688.0,4.339,98688.0,4.339,2.1,111269.0
1979,99649.0,4.154,99649.0,4.154,99649.0,4.154,99649.0,4.154,2.1,111269.0
1980,100566.0,3.985,100566.0,3.985,100566.0,3.985,100566.0,3.985,2.1,111269.0
1981,101439.0,3.832,101439.0,3.832,101439.0,3.832,101439.0,3.832,2.1,111269.0
1982,102255.0,3.692,102255.0,3.692,102255.0,3.692,102255.0,3.692,2.1,111269.0
1983,103035.0,3.561,103035.0,3.561,103035.0,3.561,103035.0,3.561,2.1,111269.0
1984,103776.0,3.439,103776.0,3.439,103776.0,3.439,103776.0,3.439,2.1,111269.0
1985,104503.0,3.328,104503.0,3.328,104503.0,3.328,104503.0,3.328,2.1,111269.0
1986,105217.0,3.23,105217.0,3.23,105217.0,3.23,105217.0,3.23,2.1,111269.0
1987,105905.0,3.144,105905.0,3.144,105905.0,3.144,105905.0,3.144,2.1,111269.0
1988,106533.0,3.072,106533.0,3.072,106533.0,3.072,106533.0,3.072,2.1,111269.0
1989,107071.0,3.01,107071.0,3.01,107071.0,3.01,107071.0,3.01,2.1,111269.0
1990,107489.0,2.956,107489.0,2.956,107489.0,2.956,107489.0,2.956,2.1,111269.0
1991,107772.0,2.907,107772.0,2.907,107772.0,2.907,107772.0,2.907,2.1,111269.0
1992,107941.0,2.86,107941.0,2.86,107941.0,2.86,107941.0,2.86,2.1,111269.0
1993,108036.0,2.811,108036.0,2.811,108036.0,2.811,108036.0,2.811,2.1,111269.0
1994,108059.0,2.76,108059.0,2.76,108059.0,2.76,108059.0,2.76,2.1,111269.0
1995,108043.0,2.703,108043.0,2.703,108043.0,2.703,108043.0,2.703,2.1,111269.0
1996,107983.0,2.641,107983.0,2.641,107983.0,2.641,107983.0,2.641,2.1,111269.0
1997,107895.0,2.576,107895.0,2.576,107895.0,2.576,107895.0,2.576,2.1,111269.0
1998,107807.0,2.509,107807.0,2.509,107807.0,2.509,107807.0,2.509,2.1,111269.0
1999,107763.0,2.442,107763.0,2.442,107763.0,2.442,107763.0,2.442,2.1,111269.0
2000,107787.0,2.379,107787.0,2.379,107787.0,2.379,107787.0,2.379,2.1,111269.0
2001,107893.0,2.321,107893.0,2.321,107893.0,2.321,107893.0,2.321,2.1,111269.0
2002,108095.0,2.271,108095.0,2.271,108095.0,2.271,108095.0,2.271,2.1,111269.0
2003,108322.0,2.229,108322.0,2.229,108322.0,2.229,108322.0,2.229,2.1,111269.0
2004,108520.0,2.196,108520.0,2.196,108520.0,2.196,108520.0,2.196,2.1,111269.0
2005,108617.0,2.17,108617.0,2.17,108617.0,2.17,108617.0,2.17,2.1,111269.0
2006,108602.0,2.149,108602.0,2.149,108602.0,2.149,108602.0,2.149,2.1,111269.0
2007,108516.0,2.131,108516.0,2.131,108516.0,2.131,108516.0,2.131,2.1,111269.0
2008,108401.0,2.112,108401.0,2.112,108401.0,2.112,108401.0,2.112,2.1,111269.0
2009,108293.0,2.092,108293.0,2.092,108293.0,2.092,108293.0,2.092,2.1,111269.0
2010,108260.0,2.07,108260.0,2.07,108260.0,2.07,108260.0,2.07,2.1,111269.0
