year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,8141839.0,6.358,8141839.0,6.358,8141839.0,6.358,8141839.0,6.358,2.1,28704947.0
1961,8439261.0,6.298,8439261.0,6.298,8439261.0,6.298,8439261.0,6.298,2.1,28704947.0
1962,8742780.0,6.231,8742780.0,6.231,8742780.0,6.231,8742780.0,6.231,2.1,28704947.0
1963,9052632.0,6.155,9052632.0,6.155,9052632.0,6.155,9052632.0,6.155,2.1,28704947.0
1964,9369101.0,6.071,9369101.0,6.071,9369101.0,6.071,9369101.0,6.071,2.1,28704947.0
1965,9692281.0,5.977,9692281.0,5.977,9692281.0,5.977,9692281.0,5.977,2.1,28704947.0
1966,10022592.0,5.87,10022592.0,5.87,10022592.0,5.87,10022592.0,5.87,2.1,28704947.0
1967,10359741.0,5.748,10359741.0,5.748,10359741.0,5.748,10359741.0,5.748,2.1,28704947.0
1968,10702281.0,5.614,10702281.0,5.614,10702281.0,5.614,10702281.0,5.614,2.1,28704947.0
1969,11048256.0,5.469,11048256.0,5.469,11048256.0,5.469,11048256.0,5.469,2.1,28704947.0
1970,11396396.0,5.321,11396396.0,5.321,11396396.0,5.321,11396396.0,5.321,2.1,28704947.0
1971,11745952.0,5.174,11745952.0,5.174,11745952.0,5.174,11745952.0,5.174,2.1,28704947.0
1972,12097696.0,5.035,12097696.0,5.035,12097696.0,5.035,12097696.0,5.035,2.1,28704947.0
1973,12453709.0,4.906,12453709.0,4.906,12453709.0,4.906,12453709.0,4.906,2.1,28704947.0
1974,12816954.0,4.791,12816954.0,4.791,12816954.0,4.791,12816954.0,4.791,2.1,28704947.0
1975,13189511.0,4.686,13189511.0,4.686,13189511.0,4.686,13189511.0,4.686,2.1,28704947.0
1976,13572210.0,4.589,13572210.0,4.589,13572210.0,4.589,13572210.0,4.589,2.1,28704947.0
1977,13964377.0,4.494,13964377.0,4.494,13964377.0,4.494,13964377.0,4.494,2.1,28704947.0
1978,14364726.0,4.397,14364726.0,4.397,14364726.0,4.397,14364726.0,4.397,2.1,28704947.0
1979,14771270.0,4.298,14771270.0,4.298,14771270.0,4.298,14771270.0,4.298,2.1,28704947.0
1980,15182616.0,4.2,15182616.0,4.2,15182616.0,4.2,15182616.0,4.2,2.1,28704947.0
1981,15597878.0,4.104,15597878.0,4.104,15597878.0,4.104,15597878.0,4.104,2.1,28704947.0
1982,16017570.0,4.014,16017570.0,4.014,16017570.0,4.014,16017570.0,4.014,2.1,28704947.0
1983,16443128.0,3.933,16443128.0,3.933,16443128.0,3.933,16443128.0,3.933,2.1,28704947.0
1984,16876703.0,3.861,16876703.0,3.861,16876703.0,3.861,16876703.0,3.861,2.1,28704947.0
1985,17319513.0,3.794,17319513.0,3.794,17319513.0,3.794,17319513.0,3.794,2.1,28704947.0
1986,17772000.0,3.73,17772000.0,3.73,17772000.0,3.73,17772000.0,3.73,2.1,28704947.0
1987,18232733.0,3.665,18232733.0,3.665,18232733.0,3.665,18232733.0,3.665,2.1,28704947.0
1988,18698850.0,3.597,18698850.0,3.597,18698850.0,3.597,18698850.0,3.597,2.1,28704947.0
1989,19166474.0,3.524,19166474.0,3.524,19166474.0,3.524,19166474.0,3.524,2.1,28704947.0
1990,19632665.0,3.448,19632665.0,3.448,19632665.0,3.448,19632665.0,3.448,2.1,28704947.0
1991,20096314.0,3.37,20096314.0,3.37,20096314.0,3.37,20096314.0,3.37,2.1,28704947.0
1992,20557694.0,3.292,20557694.0,3.292,20557694.0,3.292,20557694.0,3.292,2.1,28704947.0
1993,21016900.0,3.218,21016900.0,3.218,21016900.0,3.218,21016900.0,3.218,2.1,28704947.0
1994,21474553.0,3.147,21474553.0,3.147,21474553.0,3.147,21474553.0,3.147,2.1,28704947.0
1995,21931087.0,3.082,21931087.0,3.082,21931087.0,3.082,21931087.0,3.082,2.1,28704947.0
1996,22385650.0,3.022,22385650.0,3.022,22385650.0,3.022,22385650.0,3.022,2.1,28704947.0
1997,22837743.0,2.967,22837743.0,2.967,22837743.0,2.967,22837743.0,2.967,2.1,28704947.0
1998,23288567.0,2.915,23288567.0,2.915,23288567.0,2.915,23288567.0,2.915,2.1,28704947.0
1999,23739835.0,2.867,23739835.0,2.867,23739835.0,2.867,23739835.0,2.867,2.1,28704947.0
2000,24192449.0,2.822,24192449.0,2.822,24192449.0,2.822,24192449.0,2.822,2.1,28704947.0
2001,24646471.0,2.779,24646471.0,2.779,24646471.0,2.779,24646471.0,2.779,2.1,28704947.0
2002,25100407.0,2.739,25100407.0,2.739,25100407.0,2.739,25100407.0,2.739,2.1,28704947.0
2003,25551624.0,2.701,25551624.0,2.701,25551624.0,2.701,25551624.0,2.701,2.1,28704947.0
2004,25996594.0,2.664,25996594.0,2.664,25996594.0,2.664,25996594.0,2.664,2.1,28704947.0
2005,26432445.0,2.629,26432445.0,2.629,26432445.0,2.629,26432445.0,2.629,2.1,28704947.0
2006,26850190.0,2.595,26850190.0,2.595,26850190.0,2.595,26850190.0,2.595,2.1,28704947.0
2007,27247601.0,2.562,27247601.0,2.562,27247601.0,2.562,27247601.0,2.562,2.1,28704947.0
2008,27635827.0,2.53,27635827.0,2.53,27635827.0,2.53,27635827.0,2.53,2.1,28704947.0
2009,28031010.0,2.5,28031010.0,2.5,28031010.0,2.5,28031010.0,2.5,2.1,28704947.0
2010,28439942.0,2.471,28439942.0,2.471,28439942.0,2.471,28439942.0,2.471,2.1,28704947.0
2011,28887873.0,2.444,28887873.0,2.444,28887873.0,2.444,28887873.0,2.444,2.1,28704947.0
2012,29360827.0,2.417,29360827.0,2.417,29360827.0,2.417,29360827.0,2.417,2.1,28704947.0
2013,29781046.0,2.39,29781046.0,2.39,29781046.0,2.39,29781046.0,2.39,2.1,28704947.0
2014,30042973.0,2.365,30042973.0,2.365,30042973.0,2.365,30042973.0,2.365,2.1,28704947.0
2015,30081827.0,2.34,30081827.0,2.34,30081827.0,2.34,30081827.0,2.34,2.1,28704947.0
2016,29851249.0,2.317,29851249.0,2.317,29851249.0,2.317,29851249.0,2.317,2.1,28704947.0
2017,29402480.0,2.294,29402480.0,2.294,29402480.0,2.294,29402480.0,2.294,2.1,28704947.0
2018,28887117.0,2.272,28887117.0,2.272,28887117.0,2.272,28887117.0,2.272,2.1,28704947.0
2019,28515829.0,2.25,28515829.0,2.25,28515829.0,2.25,28515829.0,2.25,2.1,28704947.0
2020,28435943.0,2.23,28435943.0,2.23,28435943.0,2.23,28435943.0,2.23,2.1,28704947.0
2021,28704947.0,2.23,28704947.0,2.23,28704947.0,2.23,28704947.0,2.23,2.1,28704947.0
2022,28722164.464,2.191,28724668.456,2.204,28724160.89,2.201,28729604.533,2.23,2.1,28704947.0
2023,28732072.73,2.152,28739511.437,2.178,28738001.195,2.173,28754262.067,2.23,2.1,28704947.0
2024,28734800.366,2.114,28749532.877,2.153,28746537.075,2.145,28778919.6,2.23,2.1,28704947.0
2025,28730473.679,2.077,28754789.042,2.128,28749836.797,2.117,28803577.133,2.23,2.1,28704947.0
2026,28719216.756,2.041,28755335.544,2.103,28747967.75,2.09,28828234.667,2.23,2.1,28704947.0
2027,28701151.499,2.005,28751227.343,2.078,28740996.457,2.063,28852892.2,2.23,2.1,28704947.0
2028,28676397.666,1.969,28742518.761,2.054,28728988.583,2.037,28877549.733,2.23,2.1,28704947.0
2029,28645072.91,1.935,28729263.483,2.03,28712008.95,2.01,28902207.267,2.23,2.1,28704947.0
2030,28607292.813,1.901,28711514.57,2.006,28690121.543,1.985,28926864.8,2.23,2.1,28704947.0
2031,28563170.925,1.867,28689324.463,1.983,28663389.525,1.959,28951522.333,2.23,2.1,28704947.0
2032,28512818.798,1.835,28662744.99,1.96,28631875.248,1.934,28976179.867,2.23,2.1,28704947.0
2033,28456346.021,1.802,28631827.374,1.937,28595640.258,1.909,29000837.4,2.23,2.1,28704947.0
2034,28393860.257,1.771,28596622.243,1.914,28554745.311,1.884,29025494.933,2.23,2.1,28704947.0
2035,28325467.275,1.739,28557179.632,1.892,28509250.381,1.86,29050152.467,2.23,2.1,28704947.0
2036,28251270.982,1.709,28513548.991,1.87,28459214.67,1.836,29074810.0,2.23,2.1,28704947.0
2037,28171373.458,1.679,28465779.196,1.848,28404696.617,1.813,29099467.533,2.23,2.1,28704947.0
2038,28085874.988,1.649,28413918.55,1.827,28345753.91,1.789,29124125.067,2.23,2.1,28704947.0
2039,27994874.094,1.62,28358014.793,1.805,28282443.495,1.766,29148782.6,2.23,2.1,28704947.0
2040,27898467.561,1.592,28298115.108,1.784,28214821.584,1.743,29173440.133,2.23,2.1,28704947.0
2041,27796750.477,1.564,28234266.129,1.763,28142943.665,1.721,29198097.667,2.23,2.1,28704947.0
2042,27689816.253,1.536,28166513.943,1.743,28066864.514,1.699,29222755.2,2.23,2.1,28704947.0
2043,27577756.658,1.509,28094904.1,1.722,27986638.201,1.677,29247412.733,2.23,2.1,28704947.0
2044,27460661.849,1.483,28019481.62,1.702,27902318.099,1.655,29272070.267,2.23,2.1,28704947.0
2045,27338620.393,1.457,27940290.995,1.682,27813956.895,1.634,29296727.8,2.23,2.1,28704947.0
2046,27211719.304,1.431,27857376.201,1.663,27721606.599,1.613,29321385.333,2.23,2.1,28704947.0
2047,27080044.062,1.406,27770780.699,1.643,27625318.55,1.592,29346042.867,2.23,2.1,28704947.0
2048,26943678.644,1.381,27680547.441,1.624,27525143.427,1.572,29370700.4,2.23,2.1,28704947.0
2049,26802705.55,1.357,27586718.881,1.605,27421131.257,1.552,29395357.933,2.23,2.1,28704947.0
2050,26657205.83,1.333,27489336.976,1.587,27313331.423,1.532,29420015.467,2.23,2.1,28704947.0
2051,26507259.107,1.309,27388443.194,1.568,27201792.671,1.512,29444673.0,2.23,2.1,28704947.0
2052,26352943.603,1.286,27284078.517,1.55,27086563.121,1.492,29469330.533,2.23,2.1,28704947.0
2053,26194336.166,1.264,27176283.452,1.532,26967690.275,1.473,29493988.067,2.23,2.1,28704947.0
2054,26031512.29,1.242,27065098.031,1.514,26845221.021,1.454,29518645.6,2.23,2.1,28704947.0
2055,25864546.143,1.22,26950561.82,1.496,26719201.645,1.436,29543303.133,2.23,2.1,28704947.0
2056,25693510.588,1.198,26832713.921,1.479,26589677.837,1.417,29567960.667,2.23,2.1,28704947.0
2057,25518477.204,1.177,26711592.984,1.461,26456694.7,1.399,29592618.2,2.23,2.1,28704947.0
2058,25339516.315,1.156,26587237.203,1.444,26320296.754,1.381,29617275.733,2.23,2.1,28704947.0
2059,25156697.004,1.136,26459684.33,1.428,26180527.949,1.363,29641933.267,2.23,2.1,28704947.0
2060,24970087.141,1.116,26328971.674,1.411,26037431.667,1.346,29666590.8,2.23,2.1,28704947.0
2061,24779753.403,1.097,26195136.111,1.394,25891050.733,1.328,29691248.333,2.23,2.1,28704947.0
2062,24585761.292,1.077,26058214.084,1.378,25741427.42,1.311,29715905.867,2.23,2.1,28704947.0
2063,24388175.159,1.058,25918241.613,1.362,25588603.458,1.294,29740563.4,2.23,2.1,28704947.0
2064,24187058.223,1.04,25775254.297,1.346,25432620.04,1.278,29765220.933,2.23,2.1,28704947.0
2065,23982472.59,1.021,25629287.318,1.33,25273517.827,1.261,29789878.467,2.23,2.1,28704947.0
2066,23774479.276,1.003,25480375.449,1.315,25111336.958,1.245,29814536.0,2.23,2.1,28704947.0
2067,23563138.221,0.986,25328553.058,1.3,24946117.056,1.229,29839193.533,2.23,2.1,28704947.0
2068,23348508.311,0.968,25173854.109,1.284,24777897.233,1.213,29863851.067,2.23,2.1,28704947.0
2069,23130647.399,0.951,25016312.173,1.269,24606716.098,1.197,29888508.6,2.23,2.1,28704947.0
2070,22909612.316,0.935,24855960.427,1.255,24432611.762,1.182,29913166.133,2.23,2.1,28704947.0
2071,22685458.898,0.918,24692831.661,1.24,24255621.849,1.167,29937823.667,2.23,2.1,28704947.0
