year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,8053.0,,8053.0,,8053.0,,8053.0,,2.1,30423.0
1961,8164.0,,8164.0,,8164.0,,8164.0,,2.1,30423.0
1962,8319.0,,8319.0,,8319.0,,8319.0,,2.1,30423.0
1963,8469.0,,8469.0,,8469.0,,8469.0,,2.1,30423.0
1964,8644.0,,8644.0,,8644.0,,8644.0,,2.1,30423.0
1965,8836.0,,8836.0,,8836.0,,8836.0,,2.1,30423.0
1966,9022.0,,9022.0,,9022.0,,9022.0,,2.1,30423.0
1967,9213.0,,9213.0,,9213.0,,9213.0,,2.1,30423.0
1968,9427.0,,9427.0,,9427.0,,9427.0,,2.1,30423.0
1969,9621.0,,9621.0,,9621.0,,9621.0,,2.1,30423.0
1970,9830.0,,9830.0,,9830.0,,9830.0,,2.1,30423.0
1971,10012.0,,10012.0,,10012.0,,10012.0,,2.1,30423.0
1972,10210.0,,10210.0,,10210.0,,10210.0,,2.1,30423.0
1973,10391.0,,10391.0,,10391.0,,10391.0,,2.1,30423.0
1974,10551.0,,10551.0,,10551.0,,10551.0,,2.1,30423.0
1975,10697.0,,10697.0,,10697.0,,10697.0,,2.1,30423.0
1976,10821.0,,10821.0,,10821.0,,10821.0,,2.1,30423.0
1977,10923.0,,10923.0,,10923.0,,10923.0,,2.1,30423.0
1978,11041.0,,11041.0,,11041.0,,11041.0,,2.1,30423.0
1979,11226.0,,11226.0,,11226.0,,11226.0,,2.1,30423.0
1980,11471.0,,11471.0,,11471.0,,11471.0,,2.1,30423.0
1981,11821.0,,11821.0,,11821.0,,11821.0,,2.1,30423.0
1982,12250.0,,12250.0,,12250.0,,12250.0,,2.1,30423.0
1983,12755.0,,12755.0,,12755.0,,12755.0,,2.1,30423.0
1984,13317.0,,13317.0,,13317.0,,13317.0,,2.1,30423.0
1985,13951.0,,13951.0,,13951.0,,13951.0,,2.1,30423.0
1986,14646.0,,14646.0,,14646.0,,14646.0,,2.1,30423.0
1987,15390.0,,15390.0,,15390.0,,15390.0,,2.1,30423.0
1988,16155.0,,16155.0,,16155.0,,16155.0,,2.1,30423.0
1989,16867.0,,16867.0,,16867.0,,16867.0,,2.1,30423.0
1990,17489.0,,17489.0,,17489.0,,17489.0,,2.1,30423.0
1991,18007.0,,18007.0,,18007.0,,18007.0,,2.1,30423.0
1992,18443.0,,18443.0,,18443.0,,18443.0,,2.1,30423.0
1993,18783.0,,18783.0,,18783.0,,18783.0,,2.1,30423.0
1994,19068.0,,19068.0,,19068.0,,19068.0,,2.1,30423.0
1995,19307.0,,19307.0,,19307.0,,19307.0,,2.1,30423.0
1996,19508.0,,19508.0,,19508.0,,19508.0,,2.1,30423.0
1997,19660.0,,19660.0,,19660.0,,19660.0,,2.1,30423.0
1998,19820.0,,19820.0,,19820.0,,19820.0,,2.1,30423.0
1999,20026.0,,20026.0,,20026.0,,20026.0,,2.1,30423.0
2000,20313.0,,20313.0,,20313.0,,20313.0,,2.1,30423.0
2001,20675.0,,20675.0,,20675.0,,20675.0,,2.1,30423.0
2002,21128.0,,21128.0,,21128.0,,21128.0,,2.1,30423.0
2003,21674.0,,21674.0,,21674.0,,21674.0,,2.1,30423.0
2004,22329.0,,22329.0,,22329.0,,22329.0,,2.1,30423.0
2005,23106.0,,23106.0,,23106.0,,23106.0,,2.1,30423.0
2006,24022.0,,24022.0,,24022.0,,24022.0,,2.1,30423.0
2007,25050.0,,25050.0,,25050.0,,25050.0,,2.1,30423.0
2008,26096.0,,26096.0,,26096.0,,26096.0,,2.1,30423.0
2009,27035.0,,27035.0,,27035.0,,27035.0,,2.1,30423.0
2010,27796.0,,27796.0,,27796.0,,27796.0,,2.1,30423.0
2011,28326.0,,28326.0,,28326.0,,28326.0,,2.1,30423.0
2012,28654.0,,28654.0,,28654.0,,28654.0,,2.1,30423.0
2013,28850.0,,28850.0,,28850.0,,28850.0,,2.1,30423.0
2014,28985.0,,28985.0,,28985.0,,28985.0,,2.1,30423.0
2015,29148.0,,29148.0,,29148.0,,29148.0,,2.1,30423.0
2016,29355.0,,29355.0,,29355.0,,29355.0,,2.1,30423.0
2017,29567.0,,29567.0,,29567.0,,29567.0,,2.1,30423.0
2018,29795.0,,29795.0,,29795.0,,29795.0,,2.1,30423.0
2019,30033.0,,30033.0,,30033.0,,30033.0,,2.1,30423.0
2020,30237.0,,30237.0,,30237.0,,30237.0,,2.1,30423.0
2021,30423.0,,30423.0,,30423.0,,30423.0,,2.1,30423.0
2022,,,,,,,,,2.1,30423.0
2023,,,,,,,,,2.1,30423.0
2024,,,,,,,,,2.1,30423.0
2025,,,,,,,,,2.1,30423.0
2026,,,,,,,,,2.1,30423.0
2027,,,,,,,,,2.1,30423.0
2028,,,,,,,,,2.1,30423.0
2029,,,,,,,,,2.1,30423.0
2030,,,,,,,,,2.1,30423.0
2031,,,,,,,,,2.1,30423.0
2032,,,,,,,,,2.1,30423.0
2033,,,,,,,,,2.1,30423.0
2034,,,,,,,,,2.1,30423.0
2035,,,,,,,,,2.1,30423.0
2036,,,,,,,,,2.1,30423.0
2037,,,,,,,,,2.1,30423.0
2038,,,,,,,,,2.1,30423.0
2039,,,,,,,,,2.1,30423.0
2040,,,,,,,,,2.1,30423.0
2041,,,,,,,,,2.1,30423.0
2042,,,,,,,,,2.1,30423.0
2043,,,,,,,,,2.1,30423.0
2044,,,,,,,,,2.1,30423.0
2045,,,,,,,,,2.1,30423.0
2046,,,,,,,,,2.1,30423.0
2047,,,,,,,,,2.1,30423.0
2048,,,,,,,,,2.1,30423.0
2049,,,,,,,,,2.1,30423.0
2050,,,,,,,,,2.1,30423.0
2051,,,,,,,,,2.1,30423.0
2052,,,,,,,,,2.1,30423.0
2053,,,,,,,,,2.1,30423.0
2054,,,,,,,,,2.1,30423.0
2055,,,,,,,,,2.1,30423.0
