year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,32500.0,5.615,32500.0,5.615,32500.0,5.615,32500.0,5.615,2.1,105870.0
1961,34300.0,5.651,34300.0,5.651,34300.0,5.651,34300.0,5.651,2.1,105870.0
1962,35000.0,5.679,35000.0,5.679,35000.0,5.679,35000.0,5.679,2.1,105870.0
1963,39800.0,5.696,39800.0,5.696,39800.0,5.696,39800.0,5.696,2.1,105870.0
1964,40800.0,5.698,40800.0,5.698,40800.0,5.698,40800.0,5.698,2.1,105870.0
1965,43500.0,5.679,43500.0,5.679,43500.0,5.679,43500.0,5.679,2.1,105870.0
1966,46200.0,5.634,46200.0,5.634,46200.0,5.634,46200.0,5.634,2.1,105870.0
1967,49100.0,5.561,49100.0,5.561,49100.0,5.561,49100.0,5.561,2.1,105870.0
1968,55700.0,5.459,55700.0,5.459,55700.0,5.459,55700.0,5.459,2.1,105870.0
1969,60300.0,5.328,60300.0,5.328,60300.0,5.328,60300.0,5.328,2.1,105870.0
1970,63476.0,5.167,63476.0,5.167,63476.0,5.167,63476.0,5.167,2.1,105870.0
1971,70937.0,4.976,70937.0,4.976,70937.0,4.976,70937.0,4.976,2.1,105870.0
1972,76319.0,4.76,76319.0,4.76,76319.0,4.76,76319.0,4.76,2.1,105870.0
1973,84121.0,4.527,84121.0,4.527,84121.0,4.527,84121.0,4.527,2.1,105870.0
1974,89941.0,4.286,89941.0,4.286,89941.0,4.286,89941.0,4.286,2.1,105870.0
1975,94484.0,4.047,94484.0,4.047,94484.0,4.047,94484.0,4.047,2.1,105870.0
1976,96166.0,3.818,96166.0,3.818,96166.0,3.818,96166.0,3.818,2.1,105870.0
1977,93203.0,3.607,93203.0,3.607,93203.0,3.607,93203.0,3.607,2.1,105870.0
1978,95929.0,3.42,95929.0,3.42,95929.0,3.42,95929.0,3.42,2.1,105870.0
1979,96183.0,3.261,96183.0,3.261,96183.0,3.261,96183.0,3.261,2.1,105870.0
1980,99636.0,3.138,99636.0,3.138,99636.0,3.138,99636.0,3.138,2.1,105870.0
1981,99853.0,3.053,99853.0,3.053,99853.0,3.053,99853.0,3.053,2.1,105870.0
1982,100068.0,3.0,100068.0,3.0,100068.0,3.0,100068.0,3.0,2.1,105870.0
1983,100348.0,2.973,100348.0,2.973,100348.0,2.973,100348.0,2.973,2.1,105870.0
1984,100600.0,2.967,100600.0,2.967,100600.0,2.967,100600.0,2.967,2.1,105870.0
1985,100760.0,2.973,100760.0,2.973,100760.0,2.973,100760.0,2.973,2.1,105870.0
1986,100842.0,2.986,100842.0,2.986,100842.0,2.986,100842.0,2.986,2.1,105870.0
1987,100901.0,2.997,100901.0,2.997,100901.0,2.997,100901.0,2.997,2.1,105870.0
1988,100952.0,2.999,100952.0,2.999,100952.0,2.999,100952.0,2.999,2.1,105870.0
1989,101041.0,2.987,101041.0,2.987,101041.0,2.987,101041.0,2.987,2.1,105870.0
1990,103963.0,2.954,103963.0,2.954,103963.0,2.954,103963.0,2.954,2.1,105870.0
1991,104807.0,2.895,104807.0,2.895,104807.0,2.895,104807.0,2.895,2.1,105870.0
1992,105712.0,2.812,105712.0,2.812,105712.0,2.812,105712.0,2.812,2.1,105870.0
1993,106578.0,2.712,106578.0,2.712,106578.0,2.712,106578.0,2.712,2.1,105870.0
1994,107318.0,2.599,107318.0,2.599,107318.0,2.599,107318.0,2.599,2.1,105870.0
1995,107818.0,2.481,107818.0,2.481,107818.0,2.481,107818.0,2.481,2.1,105870.0
1996,108095.0,2.367,108095.0,2.367,108095.0,2.367,108095.0,2.367,2.1,105870.0
1997,108357.0,2.266,108357.0,2.266,108357.0,2.266,108357.0,2.266,2.1,105870.0
1998,108537.0,2.185,108537.0,2.185,108537.0,2.185,108537.0,2.185,2.1,105870.0
1999,108599.0,2.129,108599.0,2.129,108599.0,2.129,108599.0,2.129,2.1,105870.0
2000,108642.0,2.06,108642.0,2.06,108642.0,2.06,108642.0,2.06,2.1,105870.0
2001,108549.0,1.9,108549.0,1.9,108549.0,1.9,108549.0,1.9,2.1,105870.0
2002,108509.0,2.21,108509.0,2.21,108509.0,2.21,108509.0,2.21,2.1,105870.0
2003,108505.0,2.07,108505.0,2.07,108505.0,2.07,108505.0,2.07,2.1,105870.0
2004,108466.0,2.17,108466.0,2.17,108466.0,2.17,108466.0,2.17,2.1,105870.0
2005,108453.0,2.24,108453.0,2.24,108453.0,2.24,108453.0,2.24,2.1,105870.0
2006,108369.0,2.03,108369.0,2.03,108369.0,2.03,108369.0,2.03,2.1,105870.0
2007,108337.0,2.51,108337.0,2.51,108337.0,2.51,108337.0,2.51,2.1,105870.0
2008,108397.0,2.44,108397.0,2.44,108397.0,2.44,108397.0,2.44,2.1,105870.0
2009,108404.0,2.37,108404.0,2.37,108404.0,2.37,108404.0,2.37,2.1,105870.0
2010,108357.0,2.3,108357.0,2.3,108357.0,2.3,108357.0,2.3,2.1,105870.0
2011,108290.0,2.16,108290.0,2.16,108290.0,2.16,108290.0,2.16,2.1,105870.0
2012,108188.0,2.06,108188.0,2.06,108188.0,2.06,108188.0,2.06,2.1,105870.0
2013,108041.0,2.08,108041.0,2.08,108041.0,2.08,108041.0,2.08,2.1,105870.0
2014,107882.0,2.09,107882.0,2.09,107882.0,2.09,107882.0,2.09,2.1,105870.0
2015,107712.0,2.11,107712.0,2.11,107712.0,2.11,107712.0,2.11,2.1,105870.0
2016,107516.0,2.09,107516.0,2.09,107516.0,2.09,107516.0,2.09,2.1,105870.0
2017,107281.0,2.08,107281.0,2.08,107281.0,2.08,107281.0,2.08,2.1,105870.0
2018,107001.0,2.06,107001.0,2.06,107001.0,2.06,107001.0,2.06,2.1,105870.0
2019,106669.0,2.05,106669.0,2.05,106669.0,2.05,106669.0,2.05,2.1,105870.0
2020,106290.0,2.03,106290.0,2.03,106290.0,2.03,106290.0,2.03,2.1,105870.0
2021,105870.0,2.03,105870.0,2.03,105870.0,2.03,105870.0,2.03,2.1,105870.0
2022,105805.291,1.998,105804.009,1.995,105825.121,2.029,105825.8,2.03,2.1,105870.0
2023,105720.402,1.966,105716.599,1.962,105779.562,2.028,105781.6,2.03,2.1,105870.0
2024,105615.655,1.934,105608.132,1.928,105733.325,2.027,105737.4,2.03,2.1,105870.0
2025,105491.367,1.903,105478.967,1.895,105686.41,2.026,105693.2,2.03,2.1,105870.0
2026,105347.853,1.873,105329.456,1.863,105638.817,2.025,105649.0,2.03,2.1,105870.0
2027,105185.418,1.843,105159.945,1.832,105590.546,2.024,105604.8,2.03,2.1,105870.0
2028,105004.367,1.813,104970.773,1.8,105541.598,2.022,105560.6,2.03,2.1,105870.0
2029,104804.996,1.784,104762.275,1.77,105491.973,2.021,105516.4,2.03,2.1,105870.0
2030,104587.599,1.756,104534.78,1.74,105441.672,2.02,105472.2,2.03,2.1,105870.0
2031,104352.465,1.728,104288.61,1.71,105390.695,2.019,105428.0,2.03,2.1,105870.0
2032,104099.877,1.7,104024.083,1.681,105339.042,2.018,105383.8,2.03,2.1,105870.0
2033,103830.114,1.673,103741.511,1.652,105286.713,2.017,105339.6,2.03,2.1,105870.0
2034,103543.451,1.646,103441.201,1.624,105233.71,2.016,105295.4,2.03,2.1,105870.0
2035,103240.159,1.62,103123.454,1.597,105180.031,2.015,105251.2,2.03,2.1,105870.0
2036,102920.504,1.594,102788.566,1.57,105125.679,2.014,105207.0,2.03,2.1,105870.0
2037,102584.747,1.568,102436.83,1.543,105070.652,2.013,105162.8,2.03,2.1,105870.0
2038,102233.146,1.543,102068.532,1.517,105014.952,2.012,105118.6,2.03,2.1,105870.0
2039,101865.955,1.518,101683.952,1.491,104958.579,2.011,105074.4,2.03,2.1,105870.0
2040,101483.423,1.494,101283.368,1.466,104901.532,2.01,105030.2,2.03,2.1,105870.0
2041,101085.795,1.47,100867.052,1.441,104843.813,2.009,104986.0,2.03,2.1,105870.0
2042,100673.314,1.447,100435.272,1.416,104785.422,2.008,104941.8,2.03,2.1,105870.0
2043,100246.216,1.424,99988.29,1.392,104726.359,2.006,104897.6,2.03,2.1,105870.0
2044,99804.736,1.401,99526.364,1.368,104666.625,2.005,104853.4,2.03,2.1,105870.0
2045,99349.103,1.378,99049.749,1.345,104606.22,2.004,104809.2,2.03,2.1,105870.0
2046,98879.545,1.356,98558.695,1.322,104545.143,2.003,104765.0,2.03,2.1,105870.0
2047,98396.283,1.335,98053.446,1.3,104483.397,2.002,104720.8,2.03,2.1,105870.0
2048,97899.538,1.313,97534.245,1.278,104420.98,2.001,104676.6,2.03,2.1,105870.0
2049,97389.525,1.292,97001.329,1.256,104357.893,2.0,104632.4,2.03,2.1,105870.0
2050,96866.455,1.272,96454.929,1.235,104294.138,1.999,104588.2,2.03,2.1,105870.0
2051,96330.539,1.251,95895.277,1.214,104229.713,1.998,104544.0,2.03,2.1,105870.0
2052,95781.982,1.231,95322.597,1.193,104164.619,1.997,104499.8,2.03,2.1,105870.0
2053,95220.985,1.212,94737.11,1.173,104098.858,1.996,104455.6,2.03,2.1,105870.0
2054,94647.749,1.192,94139.034,1.153,104032.428,1.995,104411.4,2.03,2.1,105870.0
2055,94062.468,1.173,93528.584,1.133,103965.331,1.994,104367.2,2.03,2.1,105870.0
2056,93465.336,1.154,92905.97,1.114,103897.567,1.993,104323.0,2.03,2.1,105870.0
2057,92856.541,1.136,92271.398,1.095,103829.135,1.992,104278.8,2.03,2.1,105870.0
2058,92236.272,1.118,91625.071,1.076,103760.038,1.991,104234.6,2.03,2.1,105870.0
2059,91604.711,1.1,90967.19,1.058,103690.274,1.99,104190.4,2.03,2.1,105870.0
2060,90962.039,1.082,90297.952,1.04,103619.844,1.988,104146.2,2.03,2.1,105870.0
2061,90308.433,1.065,89617.548,1.022,103548.749,1.987,104102.0,2.03,2.1,105870.0
2062,89644.07,1.048,88926.169,1.005,103476.988,1.986,104057.8,2.03,2.1,105870.0
2063,88969.12,1.031,88224.001,0.988,103404.563,1.985,104013.6,2.03,2.1,105870.0
2064,88283.753,1.015,87511.229,0.971,103331.474,1.984,103969.4,2.03,2.1,105870.0
2065,87588.136,0.998,86788.031,0.955,103257.72,1.983,103925.2,2.03,2.1,105870.0
2066,86882.433,0.982,86054.586,0.938,103183.303,1.982,103881.0,2.03,2.1,105870.0
2067,86166.805,0.967,85311.068,0.922,103108.223,1.981,103836.8,2.03,2.1,105870.0
2068,85441.412,0.951,84557.647,0.907,103032.479,1.98,103792.6,2.03,2.1,105870.0
2069,84706.408,0.936,83794.492,0.891,102956.073,1.979,103748.4,2.03,2.1,105870.0
2070,83961.949,0.921,83021.769,0.876,102879.005,1.978,103704.2,2.03,2.1,105870.0
2071,83208.185,0.906,82239.641,0.861,102801.274,1.977,103660.0,2.03,2.1,105870.0
2072,82445.265,0.892,81448.266,0.847,102722.882,1.976,103615.8,2.03,2.1,105870.0
2073,81673.336,0.877,80647.803,0.832,102643.829,1.975,103571.6,2.03,2.1,105870.0
2074,80892.542,0.863,79838.406,0.818,102564.115,1.974,103527.4,2.03,2.1,105870.0
2075,80103.025,0.85,79020.226,0.804,102483.741,1.973,103483.2,2.03,2.1,105870.0
2076,79304.923,0.836,78193.414,0.791,102402.706,1.972,103439.0,2.03,2.1,105870.0
2077,78498.376,0.823,77358.115,0.777,102321.011,1.971,103394.8,2.03,2.1,105870.0
2078,77683.517,0.809,76514.475,0.764,102238.657,1.97,103350.6,2.03,2.1,105870.0
2079,76860.48,0.797,75662.634,0.751,102155.644,1.969,103306.4,2.03,2.1,105870.0
2080,76029.395,0.784,74802.733,0.738,102071.972,1.967,103262.2,2.03,2.1,105870.0
2081,75190.392,0.771,73934.908,0.726,101987.642,1.966,103218.0,2.03,2.1,105870.0
2082,74343.597,0.759,73059.294,0.713,101902.653,1.965,103173.8,2.03,2.1,105870.0
2083,73489.135,0.747,72176.023,0.701,101817.007,1.964,103129.6,2.03,2.1,105870.0
2084,72627.128,0.735,71285.226,0.689,101730.703,1.963,103085.4,2.03,2.1,105870.0
2085,71757.697,0.723,70387.03,0.678,101643.743,1.962,103041.2,2.03,2.1,105870.0
2086,70880.961,0.712,69481.562,0.666,101556.125,1.961,102997.0,2.03,2.1,105870.0
2087,69997.037,0.7,68568.945,0.655,101467.852,1.96,102952.8,2.03,2.1,105870.0
2088,69106.04,0.689,67649.301,0.644,101378.922,1.959,102908.6,2.03,2.1,105870.0
2089,68208.082,0.678,66722.748,0.633,101289.337,1.958,102864.4,2.03,2.1,105870.0
2090,67303.276,0.667,65789.405,0.622,101199.096,1.957,102820.2,2.03,2.1,105870.0
2091,66391.731,0.656,64849.386,0.611,101108.2,1.956,102776.0,2.03,2.1,105870.0
2092,65473.554,0.646,63902.806,0.601,101016.65,1.955,102731.8,2.03,2.1,105870.0
2093,64548.853,0.636,62949.776,0.591,100924.446,1.954,102687.6,2.03,2.1,105870.0
2094,63617.73,0.625,61990.405,0.581,100831.587,1.953,102643.4,2.03,2.1,105870.0
2095,62680.29,0.615,61024.801,0.571,100738.075,1.952,102599.2,2.03,2.1,105870.0
2096,61736.632,0.606,60053.071,0.561,100643.91,1.951,102555.0,2.03,2.1,105870.0
2097,60786.857,0.596,59075.318,0.552,100549.092,1.95,102510.8,2.03,2.1,105870.0
2098,59831.063,0.586,58091.645,0.542,100453.622,1.949,102466.6,2.03,2.1,105870.0
2099,58869.345,0.577,57102.153,0.533,100357.499,1.948,102422.4,2.03,2.1,105870.0
2100,57901.799,0.568,56106.94,0.524,100260.724,1.947,102378.2,2.03,2.1,105870.0
2101,56928.517,0.559,55106.103,0.515,100163.298,1.946,102334.0,2.03,2.1,105870.0
2102,55949.592,0.55,54099.739,0.506,100065.221,1.945,102289.8,2.03,2.1,105870.0
2103,54965.114,0.541,53087.94,0.498,99966.493,1.944,102245.6,2.03,2.1,105870.0
2104,53975.171,0.532,52070.801,0.489,99867.115,1.943,102201.4,2.03,2.1,105870.0
2105,52979.852,0.524,51048.411,0.481,99767.086,1.942,102157.2,2.03,2.1,105870.0
2106,51979.241,0.515,50020.859,0.473,99666.408,1.941,102113.0,2.03,2.1,105870.0
2107,50973.425,0.507,48988.234,0.465,99565.08,1.94,102068.8,2.03,2.1,105870.0
2108,49962.485,0.499,47950.621,0.457,99463.103,1.938,102024.6,2.03,2.1,105870.0
2109,48946.504,0.491,46908.106,0.449,99360.478,1.937,101980.4,2.03,2.1,105870.0
2110,47925.563,0.483,45860.772,0.441,99257.204,1.936,101936.2,2.03,2.1,105870.0
2111,46899.742,0.475,44808.7,0.434,99153.282,1.935,101892.0,2.03,2.1,105870.0
