year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,32670048.0,6.348,32670048.0,6.348,32670048.0,6.348,32670048.0,6.348,2.1,98168829.0
1961,33666111.0,6.392,33666111.0,6.392,33666111.0,6.392,33666111.0,6.392,2.1,98168829.0
1962,34683410.0,6.425,34683410.0,6.425,34683410.0,6.425,34683410.0,6.425,2.1,98168829.0
1963,35721213.0,6.448,35721213.0,6.448,35721213.0,6.448,35721213.0,6.448,2.1,98168829.0
1964,36780001.0,6.464,36780001.0,6.464,36780001.0,6.464,36780001.0,6.464,2.1,98168829.0
1965,37858947.0,6.475,37858947.0,6.475,37858947.0,6.475,37858947.0,6.475,2.1,98168829.0
1966,38958046.0,6.485,38958046.0,6.485,38958046.0,6.485,38958046.0,6.485,2.1,98168829.0
1967,40072951.0,6.493,40072951.0,6.493,40072951.0,6.493,40072951.0,6.493,2.1,98168829.0
1968,41193588.0,6.494,41193588.0,6.494,41193588.0,6.494,41193588.0,6.494,2.1,98168829.0
1969,42307149.0,6.487,42307149.0,6.487,42307149.0,6.487,42307149.0,6.487,2.1,98168829.0
1970,43404802.0,6.465,43404802.0,6.465,43404802.0,6.465,43404802.0,6.465,2.1,98168829.0
1971,44484032.0,6.421,44484032.0,6.421,44484032.0,6.421,44484032.0,6.421,2.1,98168829.0
1972,45548476.0,6.35,45548476.0,6.35,45548476.0,6.35,45548476.0,6.35,2.1,98168829.0
1973,46603522.0,6.251,46603522.0,6.251,46603522.0,6.251,46603522.0,6.251,2.1,98168829.0
1974,47657554.0,6.125,47657554.0,6.125,47657554.0,6.125,47657554.0,6.125,2.1,98168829.0
1975,48718190.0,5.973,48718190.0,5.973,48718190.0,5.973,48718190.0,5.973,2.1,98168829.0
1976,49785278.0,5.8,49785278.0,5.8,49785278.0,5.8,49785278.0,5.8,2.1,98168829.0
1977,50861166.0,5.614,50861166.0,5.614,50861166.0,5.614,50861166.0,5.614,2.1,98168829.0
1978,51959021.0,5.423,51959021.0,5.423,51959021.0,5.423,51959021.0,5.423,2.1,98168829.0
1979,53095406.0,5.232,53095406.0,5.232,53095406.0,5.232,53095406.0,5.232,2.1,98168829.0
1980,54281841.0,5.046,54281841.0,5.046,54281841.0,5.046,54281841.0,5.046,2.1,98168829.0
1981,55522804.0,4.865,55522804.0,4.865,55522804.0,4.865,55522804.0,4.865,2.1,98168829.0
1982,56814309.0,4.691,56814309.0,4.691,56814309.0,4.691,56814309.0,4.691,2.1,98168829.0
1983,58148384.0,4.521,58148384.0,4.521,58148384.0,4.521,58148384.0,4.521,2.1,98168829.0
1984,59512619.0,4.359,59512619.0,4.359,59512619.0,4.359,59512619.0,4.359,2.1,98168829.0
1985,60896732.0,4.205,60896732.0,4.205,60896732.0,4.205,60896732.0,4.205,2.1,98168829.0
1986,62293859.0,4.062,62293859.0,4.062,62293859.0,4.062,62293859.0,4.062,2.1,98168829.0
1987,63701974.0,3.929,63701974.0,3.929,63701974.0,3.929,63701974.0,3.929,2.1,98168829.0
1988,65120432.0,3.802,65120432.0,3.802,65120432.0,3.802,65120432.0,3.802,2.1,98168829.0
1989,66550231.0,3.68,66550231.0,3.68,66550231.0,3.68,66550231.0,3.68,2.1,98168829.0
1990,67988855.0,3.553,67988855.0,3.553,67988855.0,3.553,67988855.0,3.553,2.1,98168829.0
1991,69436956.0,3.415,69436956.0,3.415,69436956.0,3.415,69436956.0,3.415,2.1,98168829.0
1992,70883488.0,3.26,70883488.0,3.26,70883488.0,3.26,70883488.0,3.26,2.1,98168829.0
1993,72300308.0,3.089,72300308.0,3.089,72300308.0,3.089,72300308.0,3.089,2.1,98168829.0
1994,73651220.0,2.904,73651220.0,2.904,73651220.0,2.904,73651220.0,2.904,2.1,98168829.0
1995,74910462.0,2.714,74910462.0,2.714,74910462.0,2.714,74910462.0,2.714,2.1,98168829.0
1996,76068739.0,2.529,76068739.0,2.529,76068739.0,2.529,76068739.0,2.529,2.1,98168829.0
1997,77133212.0,2.359,77133212.0,2.359,77133212.0,2.359,77133212.0,2.359,2.1,98168829.0
1998,78115712.0,2.213,78115712.0,2.213,78115712.0,2.213,78115712.0,2.213,2.1,98168829.0
1999,79035871.0,2.096,79035871.0,2.096,79035871.0,2.096,79035871.0,2.096,2.1,98168829.0
2000,79910411.0,2.01,79910411.0,2.01,79910411.0,2.01,79910411.0,2.01,2.1,98168829.0
2001,80742500.0,1.954,80742500.0,1.954,80742500.0,1.954,80742500.0,1.954,2.1,98168829.0
2002,81534406.0,1.92,81534406.0,1.92,81534406.0,1.92,81534406.0,1.92,2.1,98168829.0
2003,82301650.0,1.901,82301650.0,1.901,82301650.0,1.901,82301650.0,1.901,2.1,98168829.0
2004,83062819.0,1.894,83062819.0,1.894,83062819.0,1.894,83062819.0,1.894,2.1,98168829.0
2005,83832662.0,1.894,83832662.0,1.894,83832662.0,1.894,83832662.0,1.894,2.1,98168829.0
2006,84617545.0,1.899,84617545.0,1.899,84617545.0,1.899,84617545.0,1.899,2.1,98168829.0
2007,85419588.0,1.907,85419588.0,1.907,85419588.0,1.907,85419588.0,1.907,2.1,98168829.0
2008,86243424.0,1.918,86243424.0,1.918,86243424.0,1.918,86243424.0,1.918,2.1,98168829.0
2009,87092250.0,1.928,87092250.0,1.928,87092250.0,1.928,87092250.0,1.928,2.1,98168829.0
2010,87967655.0,1.938,87967655.0,1.938,87967655.0,1.938,87967655.0,1.938,2.1,98168829.0
2011,88871384.0,1.949,88871384.0,1.949,88871384.0,1.949,88871384.0,1.949,2.1,98168829.0
2012,89801926.0,1.962,89801926.0,1.962,89801926.0,1.962,89801926.0,1.962,2.1,98168829.0
2013,90752593.0,1.978,90752593.0,1.978,90752593.0,1.978,90752593.0,1.978,2.1,98168829.0
2014,91713850.0,1.996,91713850.0,1.996,91713850.0,1.996,91713850.0,1.996,2.1,98168829.0
2015,92677082.0,2.014,92677082.0,2.014,92677082.0,2.014,92677082.0,2.014,2.1,98168829.0
2016,93640435.0,2.03,93640435.0,2.03,93640435.0,2.03,93640435.0,2.03,2.1,98168829.0
2017,94600643.0,2.042,94600643.0,2.042,94600643.0,2.042,94600643.0,2.042,2.1,98168829.0
2018,95545959.0,2.049,95545959.0,2.049,95545959.0,2.049,95545959.0,2.049,2.1,98168829.0
2019,96462108.0,2.05,96462108.0,2.05,96462108.0,2.05,96462108.0,2.05,2.1,98168829.0
2020,97338583.0,2.046,97338583.0,2.046,97338583.0,2.046,97338583.0,2.046,2.1,98168829.0
2021,98168829.0,2.046,98168829.0,2.046,98168829.0,2.046,98168829.0,2.046,2.1,98168829.0
2022,98111661.323,2.008,98143854.039,2.06,98130741.303,2.038,98135390.94,2.046,2.1,98168829.0
2023,98031208.486,1.97,98127398.71,2.073,98088021.035,2.031,98101952.88,2.046,2.1,98168829.0
2024,97927906.619,1.933,98119519.924,2.087,98040685.195,2.024,98068514.82,2.046,2.1,98168829.0
2025,97802183.685,1.897,98120274.973,2.101,97988750.723,2.016,98035076.76,2.046,2.1,98168829.0
2026,97654459.63,1.861,98129721.53,2.115,97932234.497,2.009,98001638.7,2.046,2.1,98168829.0
2027,97485146.534,1.827,98147917.655,2.129,97871153.331,2.001,97968200.64,2.046,2.1,98168829.0
2028,97294648.762,1.792,98174921.796,2.144,97805523.979,1.994,97934762.58,2.046,2.1,98168829.0
2029,97083363.102,1.759,98210792.789,2.158,97735363.132,1.987,97901324.52,2.046,2.1,98168829.0
2030,96851678.911,1.726,98255589.865,2.172,97660687.422,1.979,97867886.46,2.046,2.1,98168829.0
2031,96599978.253,1.694,98309372.65,2.187,97581513.417,1.972,97834448.4,2.046,2.1,98168829.0
